数据下载时间：2021-05-24 13:05:18 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/cablecreation旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01S55t4R1ZwCrylUphL_!!4011053258.jpg,otg转接头安卓手机连接U盘鼠标键盘手柄通用vivoX21 y93小米4华为opppR15 R11 A7a9转接micro数据线usb转换器,	573779037626,,8.9,8.9,7.9,14.9,59.73%,6,304,0,0,98,0,0,0,872.2,44,14,0,,,淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-26,15:21:40,2天2时16分28秒,三,http://item.taobao.com/item.htm?id=573779037626,https://kandianbao.com/item/573779037626/, 
2,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqysosx80VZo_!!4011053258.jpg,3.5mm转卡侬母 3.5转卡侬公音频线手机电容麦克风话筒调音台电脑声卡连接线k歌功放音响平衡信号线XLR卡农孔,	575252215056,,18.9,26.6,19.9,28,95.00%,9,62,0,0,141,0,0,0,3099.18,70,11,0,,,节日促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,线材,,,2021-05-24,16:16:51,3时11分39秒,一,http://item.taobao.com/item.htm?id=575252215056,https://kandianbao.com/item/575252215056/, 
3,https://img.alicdn.com/imgextra/i1/4011053258/O1CN012S1Nd51ZwCyObr1eF_!!4011053258.jpg,手机电脑耳机分线器1分2情侣分享器 双人一分二3.5mm音频转接头线,	614084884092,,19.8,19.8,16.8,19.8,100.00%,2,121,0,0,129,0,0,0,2554.2000000000003,70,36,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,电子元器件市场,线材/线类,连接线/转接线/延长线/数据线,,,2021-05-28,12:37:06,3天23时31分54秒,五,http://item.taobao.com/item.htm?id=614084884092,https://kandianbao.com/item/614084884092/, 
4,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01vIzW111ZwCwIPZsvO_!!4011053258.jpg,任天堂Switch Lite钢化膜ns游戏机防爆水指纹高清全覆盖保护贴膜迷你mini钢化玻璃保护膜2片装通用游戏机配件,	602459099707,,19.9,19.9,19.9,19.9,100.00%,1,124,0,0,224,0,0,0,4457.599999999999,70,63,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机贴膜,,,2021-05-26,00:00:00,1天10时54分48秒,三,http://item.taobao.com/item.htm?id=602459099707,https://kandianbao.com/item/602459099707/, 
5,https://img.alicdn.com/imgextra/i2/4011053258/TB2hhUSbVzqK1RjSZFvXXcB7VXa_!!4011053258.jpg,双莲花头音频线二对二2RCA梅花插头通用DVD电视CD机胆机功放低音炮电脑音响红白音箱连接线发烧级纯铜信号线,	577681624840,,25.0,39.0,25.0,39.0,100.00%,3,232,0,0,233,0,0,0,7129.8,114,26,0,,,淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,线材,,,2021-05-28,15:47:08,4天2时41分56秒,五,http://item.taobao.com/item.htm?id=577681624840,https://kandianbao.com/item/577681624840/, 
6,https://img.alicdn.com/imgextra/i1/4011053258/TB2LsCZb3HqK1RjSZFPXXcwapXa_!!4011053258-2-item_pic.png,安卓手机充电器数据线可伸缩车载micro usb弹簧线小米华为oppo通用vivo蓝牙耳机充电宝录音笔快充加长1.5米m,	577663380294,,25.0,25.0,25.0,25.0,100.00%,1,99,0,0,237,0,0,0,5925,116,35,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-28,19:24:28,4天6时19分16秒,五,http://item.taobao.com/item.htm?id=577663380294,https://kandianbao.com/item/577663380294/, 
7,https://img.alicdn.com/imgextra/i3/4011053258/O1CN01x1o3RF1ZwCwc3EglM_!!4011053258.jpg,任天堂Switch Lite保护套带斜纹防滑硅胶软壳迷你游戏机配件防摔mini一体NSL主机防指纹防刮花数码收纳整理包,	602809308108,,25.0,39.0,25.0,39.0,100.00%,4,414,0,0,106,0,0,0,3243.6000000000004,92,31,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码包/收纳/整理,数码收纳整理包,,,2021-05-28,12:02:33,3天22时57分21秒,五,http://item.taobao.com/item.htm?id=602809308108,https://kandianbao.com/item/602809308108/, 
8,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01kGT71x1ZwCxKMKgIE_!!4011053258.jpg,任天堂Switch Lite硅胶保护套带手托NS配件游戏机一体软壳 迷你mini NSL主机全包防刮花防摔外壳保护壳收纳包,	608425870038,,26.0,26.0,29,29,89.66%,3,577,0,0,113,0,0,0,2938,136,29,0,,,让利促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码包/收纳/整理,数码收纳整理包,,,2021-05-26,10:31:40,1天21时26分28秒,三,http://item.taobao.com/item.htm?id=608425870038,https://kandianbao.com/item/608425870038/, 
9,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqzfwST1YIG4_!!4011053258.jpg,卡农线公对母音频延长线纯铜平衡卡侬线音响话筒电容麦克风1分2接头调音台功放音箱插头直播连接线弯头音频线,	574817124737,,29.0,56.0,29.9,58,96.55%,15,656,0,0,64,0,0,0,2547.2000000000003,18,8,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,线材,,,2021-05-25,14:55:45,1天1时50分33秒,二,http://item.taobao.com/item.htm?id=574817124737,https://kandianbao.com/item/574817124737/, 
10,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqzmOqkBdGBC_!!4011053258.jpg,usb3.0移动硬盘数据线三星note3/s5充电传输线短 WD西部联想东芝希捷索尼硬盘盒连接线通用seagate延长线快充,	575401293183,,29.0,39.0,29.0,39.0,100.00%,2,804,0,0,233,0,0,0,7689,130,29,0,,,淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-25,10:10:49,21时5分37秒,二,http://item.taobao.com/item.htm?id=575401293183,https://kandianbao.com/item/575401293183/, 
11,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqyYEo4YkQeV_!!0-item_pic.jpg,usb转串口线九针9针com口DB9公对公/公对母接头usb转rs232串口数据线电脑连接打印USB转232转换器win8/10免驱,	576517348968,CD0477,35.0,35.0,39,39,89.74%,6,56,0,0,12,0,0,0,420,6,0,0,,,让利促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,USB数码周边,USB HUB/转换器,,,2021-05-31,10:38:41,6天21时33分29秒,一,http://item.taobao.com/item.htm?id=576517348968,https://kandianbao.com/item/576517348968/, 
12,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqcJLrTK6Npj_!!4011053258.jpg,type-c usb3.0分线器高速一拖四转接头适用苹果笔记本电脑手机otg口HUB集线器多功能1分4扩展器usp拓展坞转换,	579239093780,CD0622,39.9,69.0,49,79,87.34%,5,617,0,0,216,0,0,0,11132.640000000001,122,28,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,USB数码周边,USB HUB/转换器,,,2021-05-24,09:45:58,3时19分47秒,一,http://item.taobao.com/item.htm?id=579239093780,https://kandianbao.com/item/579239093780/, 
13,https://img.alicdn.com/imgextra/i1/4011053258/TB20a2Avcj_B1NjSZFHXXaDWpXa_!!4011053258.jpg,mini dp转vga转换器苹果笔记本电脑macbook微软surface pro雷电接口电视显示器屏投影仪视频转接线xbox转接头,	574197166051,,48.0,48.0,49,49,97.96%,3,37,0,0,102,0,0,0,4896,30,7,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,笔记本电脑配件,苹果视频线/转换线,,,2021-05-27,16:29:32,3天3时24分20秒,四,http://item.taobao.com/item.htm?id=574197166051,https://kandianbao.com/item/574197166051/, 
14,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01nvUvOo1ZwCvxeu3po_!!4011053258.jpg,dp转hdmi转接线4K高清电脑大displayport接口转换电视显卡显示器投影仪连接线公对公台式主机视频转接头144hz,	600796691213,,49.0,69.0,55,78,88.46%,4,338,0,0,180,0,0,0,10260,48,15,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,HDMI线,,,2021-05-29,14:05:09,5天59分57秒,六,http://item.taobao.com/item.htm?id=600796691213,https://kandianbao.com/item/600796691213/, 
15,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01aTqKSp1ZwD14ocBBF_!!4011053258.jpg,穿孔式Cat6网线水晶头UTP六类千兆通孔网络ri45接头8P8芯纯铜镀金,	631248138720,,49.9,49.9,49.9,49.9,100.00%,1,432,0,0,4,0,0,0,199.6,8,2,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,电子元器件市场,线材/线类,水晶头,,,2021-05-26,16:12:51,2天3时7分39秒,三,http://item.taobao.com/item.htm?id=631248138720,https://kandianbao.com/item/631248138720/, 
16,https://img.alicdn.com/imgextra/i1/4011053258/O1CN011ZwCqzgvUIFUG4F_!!4011053258.jpg,typec读卡器USB3.0高速佳能尼康单反相机内存卡SD/TF卡小米华为手机苹果macbook笔记本ipad电脑otg读卡器vivo,	575366993033,,59.0,59.0,69,69,85.51%,1,101,0,0,95,0,0,0,5605,96,17,0,,,新品促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,读卡器,,,2021-05-25,17:49:22,1天4时44分10秒,二,http://item.taobao.com/item.htm?id=575366993033,https://kandianbao.com/item/575366993033/, 
17,https://img.alicdn.com/imgextra/i3/4011053258/O1CN01QVgigd1ZwCvVZs5P9_!!4011053258.jpg,PD3.0充电器PPS快充QC4.0+FCP iPhone12快充20w苹果11xr华为小米LG手机平板typec充电头18WiPad Pro三星S9S10,	599047235374,,59.9,59.9,89,89,67.30%,1,288,0,0,137,0,0,0,8206.3,240,39,0,,,店铺活动|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机充电器,,,2021-05-28,09:04:08,3天19时58分56秒,五,http://item.taobao.com/item.htm?id=599047235374,https://kandianbao.com/item/599047235374/, 
18,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01jIuiVC1ZwD08zruVH_!!4011053258.jpg,dp延长器1.4版8K高清延长线4k显示器displayport连接母对母对接头,	625733037413,,69.0,69.0,79,79,87.34%,1,37,0,0,25,0,0,0,1725,24,6,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,电子元器件市场,线材/线类,连接线,,,2021-05-25,14:06:09,1天1时0分57秒,二,http://item.taobao.com/item.htm?id=625733037413,https://kandianbao.com/item/625733037413/, 
19,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01trYhqz1ZwCso7Mgne_!!4011053258.jpg,vga转hdmi带音频转换器台式笔记本电脑连接电视显示器投影接口vga公转hdmi母高清转接头视频线hami连接vja线,	588003146069,,79.0,79.0,99,99,79.80%,1,135,0,0,23,0,0,0,1817,10,3,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,HDMI线,,,2021-05-28,13:46:03,4天40分51秒,五,http://item.taobao.com/item.htm?id=588003146069,https://kandianbao.com/item/588003146069/, 
20,https://img.alicdn.com/imgextra/i1/4011053258/O1CN01Qg2Oin1ZwCtMjF2MV_!!4011053258.jpg,typec转dvi转换器适用于华为小米苹果macbook笔记本电脑air/pro连接线电视投影仪显示器高清视频转接投屏同屏,	573097029180,,88.0,99.0,128,129,76.74%,6,77,0,0,18,0,0,0,1663.1999999999998,18,1,0,,,让利促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,笔记本电脑配件,苹果视频线/转换线,,,2021-05-23,22:30:09,14时35分58秒,日,http://item.taobao.com/item.htm?id=573097029180,https://kandianbao.com/item/573097029180/, 
