数据下载时间：2021-05-23 13:53:14 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/dseven旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i4/379776130/O1CN012CsIde1v9aXvUlEYF_!!379776130.jpg,type-c数据线oppor17闪充线vivox27 x27Pro快充适用vivonex双引擎原装闪充vivi充电线iqoo原装1米加长2米viv0,	599219558314,,7.9,25.9,39,39,66.41%,5,4921,0,0,63,0,0,0,951.3,10,21,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-23,18:48:32,4时55分23秒,日,http://item.taobao.com/item.htm?id=599219558314,https://kandianbao.com/item/599219558314/, 
2,https://img.alicdn.com/imgextra/i1/379776130/O1CN01edZZkg1v9aYgS7SS8_!!0-item_pic.jpg,vivoy97a充电线y93s y83 y81s  y85 y51s  y71a y67数据线双引擎快充5g,	643321082667,,8.8,17.8,30,30,59.33%,8,44440,0,0,0,0,0,0,0,0,0,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-29,16:04:55,6天2时11分46秒,六,http://item.taobao.com/item.htm?id=643321082667,https://kandianbao.com/item/643321082667/, 
3,https://img.alicdn.com/imgextra/i4/379776130/O1CN01ijBQCK1v9aYv9B7f6_!!0-item_pic.jpg,适用于Vivoz5x数据线原装快充z5i手机712版vivoz5充电器线双引擎z5闪充18w步步高vivoz1z3i加长线2米,	642977497782,,8.9,30.0,28.9,35.8,83.80%,9,44441,0,0,0,0,0,0,0,0,0,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-29,17:31:31,6天3时38分22秒,六,http://item.taobao.com/item.htm?id=642977497782,https://kandianbao.com/item/642977497782/, 
4,https://img.alicdn.com/imgextra/i3/379776130/O1CN01XOh2r31v9aXmMr9IU_!!379776130.jpg,适用于opporeno3数据线opporeno4充电线pro手机oppo闪充65w快充vooc4.0加长2米oppo5g口tpc专用typec原装原配,	632851993404,,9.8,39.0,20,40,97.50%,11,54702,0,0,312,0,0,0,6701.76,36,148,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-25,19:23:06,2天5时29分57秒,二,http://item.taobao.com/item.htm?id=632851993404,https://kandianbao.com/item/632851993404/,支持正品(3);价钱便宜(9);服务态度很好(4);质量不错(10);快递物流很快(5);很方便(4)
5,https://img.alicdn.com/imgextra/i3/379776130/O1CN01avh5Gk1v9aXgLM0pS_!!379776130.jpg,一加7pro数据线7闪充type-c一加五/六/七原装one plus6手机快充DASH通用6T 7t 3T 5 5T加长1+正品5A充电器线8,	595869112004,,9.9,55.0,30,99,55.56%,8,7990,0,0,39,0,0,0,1089.66,8,22,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-27,19:27:07,4天5时33分58秒,四,http://item.taobao.com/item.htm?id=595869112004,https://kandianbao.com/item/595869112004/, 
6,https://img.alicdn.com/imgextra/i2/379776130/O1CN01i5PZF21v9aYaS3rMm_!!0-item_pic.jpg,typec数据线适用华为5A超级快充圆头小米tp魅族t口圆孔tc充电器线tabc原装tpc冲电线tapyc正品大头opρo手机,	642528200208,,9.9,58.0,15.9,70,82.86%,14,77770,0,0,0,0,0,0,0,0,0,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-28,17:57:00,5天4时3分51秒,五,http://item.taobao.com/item.htm?id=642528200208,https://kandianbao.com/item/642528200208/, 
7,https://img.alicdn.com/imgextra/i4/379776130/O1CN01Ytrgq71v9aXsTJBVE_!!379776130.jpg,金立M7数据线M3/3S专用充电线M5/5L原配M5plus/l M6plus闪充E8手机原厂2A通用S6S8S10原装快充usb线5v4a,	598286267412,,14.99,32.99,49.99,89.99,36.66%,7,6952,0,0,54,0,0,0,1198.26,14,15,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-28,15:41:45,5天1时48分36秒,五,http://item.taobao.com/item.htm?id=598286267412,https://kandianbao.com/item/598286267412/, 
8,https://img.alicdn.com/imgextra/i1/379776130/O1CN010w644O1v9aXmMtEDh_!!379776130.jpg,适用OPPOreno4数据线reno4se/pro 65w 充电线65瓦 超级快充6A闪充原配 2米 正品 type 原厂加长 QC3.0 充电头,	633902786230,,18.0,28.0,48,58,48.28%,2,9887,0,0,112,0,0,0,2464.0000000000005,8,38,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-25,15:31:08,2天1时37分59秒,二,http://item.taobao.com/item.htm?id=633902786230,https://kandianbao.com/item/633902786230/, 
9,https://img.alicdn.com/imgextra/i1/379776130/O1CN01DfWZFx1v9aXs2xKdq_!!379776130.jpg,TYPE-C数据线适用华为P20pro超级快充P9P10安卓原装正品tpc-c数据线荣耀8品牌tapy-c小米6三星S8+支持5V2A,	591048248845,,25.0,25.0,60,60,41.67%,4,1753,0,0,14,0,0,0,350,10,7,0,,,超值优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-24,19:39:54,1天5时46分45秒,一,http://item.taobao.com/item.htm?id=591048248845,https://kandianbao.com/item/591048248845/, 
10,https://img.alicdn.com/imgextra/i2/379776130/O1CN01vyJqJY1v9aXtS0sRm_!!379776130.jpg,Dseven正品苹果8数据线iPhone7plus弯头xr耳机转接头2合1专用xs吃鸡神器x游戏ip快充线i8p手机冲电转换器11,	594561011867,,25.0,25.0,50,50,50.00%,4,1937,0,0,161,0,0,0,4025,74,77,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-24,18:42:43,1天4时49分34秒,一,http://item.taobao.com/item.htm?id=594561011867,https://kandianbao.com/item/594561011867/, 
11,https://img.alicdn.com/imgextra/i3/379776130/O1CN01ELdn1U1v9aXouJ5yV_!!379776130.jpg,三星S5电池G9006V G9008V G9008W G900 G9009D i9006 EB-BG900BBC原装大容量原厂正品,	602719645704,,28.0,28.0,60,60,46.67%,1,700,0,0,266,0,0,0,7448,78,60,0,,,超值优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机电池,,,2021-05-23,18:53:28,5时0分19秒,日,http://item.taobao.com/item.htm?id=602719645704,https://kandianbao.com/item/602719645704/, 
12,https://img.alicdn.com/imgextra/i1/379776130/O1CN01BpvUiz1v9aYy1YgAd_!!0-item_pic.jpg,适用华为p9电池 p9原装手机大容量原厂换魔改增强版全新正品原机HB366481ECW EVA-AL00-AL10,	644661804665,,29.8,40.0,59,69,57.97%,2,19998,0,0,0,0,0,0,0,0,0,0,,,超值优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机电池,,,2021-05-28,16:28:27,5天2时35分18秒,五,http://item.taobao.com/item.htm?id=644661804665,https://kandianbao.com/item/644661804665/, 
13,https://img.alicdn.com/imgextra/i3/379776130/O1CN01Y4BcG11v9aXs2zXtm_!!379776130.jpg,磁吸数据线磁铁充电线器磁性强磁力吸头手机快充type-c闪充适用华为opp通用安卓苹果x三合一vivo一拖三冲plus,	608874895714,,29.9,29.9,50,50,59.80%,21,1987,0,0,38,0,0,0,1136.2,20,22,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-28,16:48:06,5天2时54分57秒,五,http://item.taobao.com/item.htm?id=608874895714,https://kandianbao.com/item/608874895714/, 
14,https://img.alicdn.com/imgextra/i1/379776130/O1CN018LGY4g1v9aXpDx7jU_!!379776130.jpg,金立F103电池金立GN3003 F103L手机电池F103S原装正品大容量F103S/L原厂BL-G024电板,	612074670957,,38.0,38.0,58,58,65.52%,4,1034,0,0,28,0,0,0,1064,4,9,0,,,火爆促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机电池,,,2021-05-28,19:44:28,5天5时51分19秒,五,http://item.taobao.com/item.htm?id=612074670957,https://kandianbao.com/item/612074670957/, 
