数据下载时间：2021-05-23 11:07:50 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/soulor小能人旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2205211913/TB1ophyznlYBeNjSszcXXbwhFXa_!!0-item_pic.jpg,【手机支架】车载手机支架磁力支架出风口汽车导航手机座磁性,	530419264128,,28.0,28.0,98,98,28.57%,1,423,0,0,55035,0,0,0,1540980,2660,62,1,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车用品/内饰品,车载手机支架/手机座,,,2021-05-22,15:58:13,19时9分28秒,六,http://item.taobao.com/item.htm?id=530419264128,https://kandianbao.com/item/530419264128/, 
2,https://img.alicdn.com/imgextra/i4/2205211913/O1CN01Ky76af1Q0CLLkE88f_!!2205211913.jpg,特斯拉五菱宏光MINi EV专用抬头显示器hud车载语音多功能obd高清,	623212188191,,165.0,165.0,388,388,42.53%,2,177,0,0,19,0,0,0,3135,76,4,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,抬头显示/HUD,,,2021-05-25,16:15:33,2天5时7分47秒,二,http://item.taobao.com/item.htm?id=623212188191,https://kandianbao.com/item/623212188191/, 
3,https://img.alicdn.com/imgextra/i1/2205211913/O1CNA11FJeM31Q0CIYJKFNW_!!2205211913-0-psf.jpg,奔驰宝马奥迪汽车专用抬头显示器hud车载语音多功能obd高清投影仪,	623800874521,,165.0,165.0,388,388,42.53%,3,562,0,0,19,0,0,0,3135,88,5,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,抬头显示/HUD,,,2021-05-25,17:33:18,2天6时25分32秒,二,http://item.taobao.com/item.htm?id=623800874521,https://kandianbao.com/item/623800874521/, 
4,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01Rd1YBN1Q0CLo5YSsh_!!2205211913-0-picasso.jpg,小能人汽车应急电源 三角架警示牌 车用危险标志车载电瓶搭电宝Q3,	610775107534,,258.0,338.0,758,858,39.39%,5,1456,0,0,28,0,0,0,8120,76,2,0,,,活动中|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-24,14:33:06,1天3时25分20秒,一,http://item.taobao.com/item.htm?id=610775107534,https://kandianbao.com/item/610775107534/, 
5,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01840FXO1Q0CKjVzr27_!!2205211913.jpg,小能人铝合金汽车应急启动电源12V大容量移动电瓶充电打火搭火器,	626816420896,,358.0,458.0,888,888,51.58%,4,1192,0,1,6,0.00%,398.00000000000006,0.01%,2388.0000000000005,10,1,0,,,新品促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-25,16:41:51,2天5时34分5秒,二,http://item.taobao.com/item.htm?id=626816420896,https://kandianbao.com/item/626816420896/, 
6,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01OkHT8M1Q0CLpVmRj6_!!2205211913-0-picasso.jpg,小能人N10汽车应急启动电源 手电筒 户外多功能汽车启动宝搭电器,	568974865782,,218.0,218.0,1688,1688,12.91%,2,867,0,2,317,0.01%,436,0.01%,69106,688,56,0,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-27,17:10:47,4天6时3分1秒,四,http://item.taobao.com/item.htm?id=568974865782,https://kandianbao.com/item/568974865782/, 
7,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01H7hZek1Q0CLeFLrxy_!!2205211913-0-picasso.jpg,小能人汽车应急启动电源12V24V货车卡车柴油车打火救援车载电蝎子,	523085016510,,488.0,658.0,1288,1288,51.09%,3,745,0,2,728,0.01%,1112,0.03%,404768,750,21,0,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-28,17:30:38,5天6时22分52秒,五,http://item.taobao.com/item.htm?id=523085016510,https://kandianbao.com/item/523085016510/, 
8,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01qmrSji1Q0CLtwAzWv_!!2205211913-0-picasso.jpg,小能人汽车应急启动电源12V备用电瓶车载求援打火器电瓶搭电宝,	531668939363,,158.0,278.0,898,898,30.96%,7,1042,0,4,4216,0.02%,824,0.03%,868496,3358,448,0,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-29,14:28:05,6天3时20分19秒,六,http://item.taobao.com/item.htm?id=531668939363,https://kandianbao.com/item/531668939363/,比较大(2);质量超好(3);快递物流很快(2);客服服务很好(2);功能挺齐全(2);说明书不好(2)
9,https://img.alicdn.com/imgextra/i1/2205211913/O1CN01fVVEYm1Q0CLtL4QSv_!!2205211913-0-picasso.jpg,小能人新品汽车应急启动电源便携式车载移动充电宝搭电瓶神器X5,	612672211098,,188.0,328.0,658,658,49.85%,4,393,0,5,156,0.02%,1220,0.04%,38064,224,33,0,,,活动中|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车电子/导航/影音/电器,应急启动电源,,,2021-05-25,10:43:16,1天23时35分30秒,二,http://item.taobao.com/item.htm?id=612672211098,https://kandianbao.com/item/612672211098/, 
10,https://img.alicdn.com/imgextra/i2/2205211913/O1CN01U4Llzd1Q0CIF3kKCr_!!2205211913.jpg,车载手机吸盘支架中控吸盘前挡风玻璃吸盘,	625920084201,,19.8,19.8,19.8,19.8,100.00%,1,190,0,6,18,0.03%,118.80000000000001,0.00%,356.40000000000003,8,4,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,汽车用品/电子/清洗/改装,汽车用品/内饰品,车载手机支架/手机座,,,2021-05-26,14:16:14,3天3时8分28秒,三,http://item.taobao.com/item.htm?id=625920084201,https://kandianbao.com/item/625920084201/, 
