数据下载时间：2021-05-23 13:09:55 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/theradome电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/2205584716751/O1CN012OdpO61zk0Rzv4G9p_!!0-item_pic.jpg,Theradome（家电）发廊大功率吹风机,	622511941860,,199.0,199.0,199.0,199.0,100.00%,1,879,0,0,6,0,0,0,1194,58,0,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,个人护理/保健/按摩器材,电吹风,电吹风,,,2021-05-26,11:38:20,2天22时28分26秒,三,http://item.taobao.com/item.htm?id=622511941860,https://kandianbao.com/item/622511941860/, 
2,https://img.alicdn.com/imgextra/i1/2205584716751/O1CN016k4QcU1zk0WC1vpw0_!!0-item_pic.jpg,Theradome桌面小风扇静音办公室桌上迷你小型台式usb充电型宿舍,	644750502400,,49.0,49.0,249,249,19.68%,2,197,0,3,3,0.02%,147,0.01%,147,6,1,0,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,USB数码周边,USB风扇,,,2021-05-28,22:08:40,5天8时58分46秒,五,http://item.taobao.com/item.htm?id=644750502400,https://kandianbao.com/item/644750502400/, 
3,https://img.alicdn.com/imgextra/i2/2205584716751/O1CN01L1kg3u1zk0QLf8zvv_!!0-item_pic.jpg,Theradome电吹风机负离子护发型师专业发廊理发店家用大功率风筒,	612465575909,,59.0,89.0,359,359,24.79%,2,18968,0,97,972,0.58%,6887,0.48%,69012,630,187,0,,,品牌促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,个人护理/保健/按摩器材,电吹风,电吹风,,,2021-05-26,22:24:25,3天9时14分31秒,三,http://item.taobao.com/item.htm?id=612465575909,https://kandianbao.com/item/612465575909/,有蓝光(4);一样大(4);喝起来很好喝(3);声音很小(4);大风很给力(33);风力效果一般(5)
4,https://img.alicdn.com/imgextra/i1/2205584716751/O1CN016d3qYS1zk0Rm1e1wy_!!0-item_pic.jpg,吹风机家用理发店护发大功率发廊专用冷热电吹风筒专业负离子静音,	605108965981,,45.0,65.0,316,316,20.57%,7,470357,0,1875,44435,11.31%,99375,6.89%,2355055,11750,7924,0,,,品牌促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,个人护理/保健/按摩器材,电吹风,电吹风,,,2021-05-26,21:54:27,3天8时44分33秒,三,http://item.taobao.com/item.htm?id=605108965981,https://kandianbao.com/item/605108965981/,很大异味(4);风速大(18);吹干很容易(18);没塑料味(2);味道很好(5);不建议买(2)
5,https://img.alicdn.com/imgextra/i1/2205584716751/O1CN011PVxB21zk0WCyEEZH_!!0-item_pic.jpg,Theradome发廊吹风机家用大功率理发店负离子护发电吹风筒冷热风,	643739673167,,88.0,88.0,378,378,23.28%,2,199954,0,1980,2001,11.94%,174240,12.08%,176088,860,91,0,,,品牌钜惠|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,个人护理/保健/按摩器材,电吹风,电吹风,,,2021-05-25,22:51:15,2天9时41分21秒,二,http://item.taobao.com/item.htm?id=643739673167,https://kandianbao.com/item/643739673167/,大风很给力(13);档位容易调节(2);吹干速度很快(2);有档次(2);性比价很高(3);外观包装很好(2)
6,https://img.alicdn.com/imgextra/i1/2205584716751/O1CN01Zva5Re1zk0R3LfrzX_!!0-item_pic.jpg,Theradome吹风机家用大功率发廊理发店负离子护发电吹风筒冷热风,	605319549283,,88.0,98.0,408,408,24.02%,4,4829,0,12630,173516,76.15%,1161960,80.55%,15963472,108588,31131,0,,,品牌促销|淘金币抵3%,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,个人护理/保健/按摩器材,电吹风,电吹风,,,2021-05-29,21:55:34,6天8时45分40秒,六,http://item.taobao.com/item.htm?id=605319549283,https://kandianbao.com/item/605319549283/,冷温热都有(26);声音小(706);学生党很适合(6);冷热风好控制(22);热度可以(12);按钮太滑了(2)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,16585,,,1442609,,,121892,,0,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
数据下载时间：2021-05-23 13:09:55 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/theradome电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
