数据下载时间：2021-05-22 23:16:08 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/watchband旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN01WPSY191YErxnZydw3_!!2206563593028-0-picasso.jpg,荣耀手表ES全覆盖水凝膜保护膜全屏无白边防水防尘电镀疏油层强力防指纹,	628543956161,,9.8,16.8,19.6,33.6,50.00%,2,792,0,0,11,0,0,0,138.60000000000002,2,4,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表贴膜,,,2021-05-27,14:01:08,4天14时46分32秒,四,http://item.taobao.com/item.htm?id=628543956161,https://kandianbao.com/item/628543956161/, 
2,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN01LHDIfJ1YErxoLybdr_!!2206563593028-0-picasso.jpg,适用科大讯飞词典笔保护膜 点读笔辞典笔通用显示屏幕保护贴膜纳米高清膜非钢化膜保护套壳便携收纳笔套,	636074626213,,9.9,28.0,19.8,56,50.00%,22,6593,0,0,5,0,0,0,85.7,2,2,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,其他智能配件,,,2021-05-27,11:26:49,4天12时12分13秒,四,http://item.taobao.com/item.htm?id=636074626213,https://kandianbao.com/item/636074626213/, 
3,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN01qrjgGW1YErxleMVGI_!!2206563593028-0-picasso.jpg,适用搜狗糖猫词典笔硅胶保护套点读笔加强版专业版通用中英电子辞典通用显示屏幕保护贴膜高清保护套笔套,	635060501243,,19.9,26.9,39.8,53.8,50.00%,8,2395,0,0,3,0,0,0,68.1,0,1,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,其他智能配件,,,2021-05-24,15:00:23,1天15时45分47秒,一,http://item.taobao.com/item.htm?id=635060501243,https://kandianbao.com/item/635060501243/, 
4,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN01ROWFq31YErxsCIffs_!!2206563593028-0-picasso.jpg,适用网易有道词典笔2.0保护套硅胶通用加强专业版扫描笔智能中英翻译笔点读辞典笔二代小学中学保护壳笔套,	635692635052,,19.9,26.9,39.8,53.8,50.00%,10,3798,0,0,17,0,0,0,385.9,4,3,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,其他智能配件,,,2021-05-24,14:02:22,1天14时47分46秒,一,http://item.taobao.com/item.htm?id=635692635052,https://kandianbao.com/item/635692635052/, 
5,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN011Z7DUs1YErxq2tCS5_!!2206563593028-0-picasso.jpg,小米手表表带 替换带配件运动硅胶型手表带智能手表MIUI FOR WATCH表链标准版尊享44mm网洞双色腕带男女正品,	610550338901,,29.0,29.0,58,58,50.00%,18,3298,0,0,61,0,0,0,1769,48,16,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-24,20:15:08,1天21时0分32秒,一,http://item.taobao.com/item.htm?id=610550338901,https://kandianbao.com/item/610550338901/, 
6,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN013IFwsq1YErxgXKQlG_!!2206563593028-0-picasso.jpg,小米手表color表带波浪纹硅胶小米Haylou Solar智能手表表带运动透气防水腕带时尚个性潮原装正品配件表链,	618097886467,,29.0,29.0,58,58,50.00%,40,17095,0,0,27,0,0,0,783,16,2,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-17,19:05:46,5天4时8分11秒,一,http://item.taobao.com/item.htm?id=618097886467,https://kandianbao.com/item/618097886467/, 
7,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN01tXmoBD1YErxq2vLRH_!!2206563593028-0-picasso.jpg,荣耀ES/GS Pro透气硅胶表带 洞洞智能手表HONER荣耀Magic/Dream watch2魔法梦幻系列表带柔软亲肤非原装配件,	628624832493,,29.0,29.0,58,58,50.00%,45,22500,0,0,1,0,0,0,29,4,0,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-28,17:48:35,5天18时33分59秒,五,http://item.taobao.com/item.htm?id=628624832493,https://kandianbao.com/item/628624832493/, 
8,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN014qPk8T1YErxq4ofYD_!!2206563593028-0-picasso.jpg,荣耀ES/GS Pro波浪反扣硅胶表带 智能手表HONER荣耀Magic/Dream watch2魔法梦幻系列表带柔软亲肤非原装配件,	629559047066,,29.0,29.0,58,58,50.00%,40,20000,0,0,7,0,0,0,203,10,1,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-28,17:58:55,5天18时44分19秒,五,http://item.taobao.com/item.htm?id=629559047066,https://kandianbao.com/item/629559047066/, 
9,https://img.alicdn.com/imgextra/i2/2206563593028/O1CN01dFORQt1YEry398ky4_!!2206563593028-0-lubanu-s.jpg,一加手表硅胶表带透气款One Plus智能手表1+ watch时尚舒适轻盈防水防汗替换腕带非原装配件,	645065177556,,29.0,29.0,58,58,50.00%,10,2999,0,0,0,0,0,0,0,0,0,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-28,17:22:36,5天18时8分0秒,五,http://item.taobao.com/item.htm?id=645065177556,https://kandianbao.com/item/645065177556/, 
10,https://img.alicdn.com/imgextra/i2/2206563593028/O1CN01C9fpjU1YEry0B9GqF_!!2206563593028-0-lubanu-s.jpg,一加手表彩虹硅胶表带透气洞洞款One Plus智能手表1+ watch时尚舒适轻盈防水防汗替换腕带非原装配件,	645417070743,,29.0,29.0,58,58,50.00%,6,1800,0,0,0,0,0,0,0,0,0,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-28,17:29:38,5天18时15分2秒,五,http://item.taobao.com/item.htm?id=645417070743,https://kandianbao.com/item/645417070743/, 
11,https://img.alicdn.com/imgextra/i1/2206563593028/O1CN012xj6lx1YErxrU3vJk_!!2206563593028-0-picasso.jpg,华米太空人小米Amazfit GTR GTS 2 mini手表潮牌印花硅胶表带color运动版智能watch3/2/2S/1米pop pro/neo/2e,	635087277431,,38.8,38.8,77.6,77.6,50.00%,98,29399,0,0,1,0,0,0,38.8,0,1,0,,,新品秒杀|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,智能设备,智能设备配件,智能手表手环表带/腕带,,,2021-05-24,18:31:02,1天19时16分26秒,一,http://item.taobao.com/item.htm?id=635087277431,https://kandianbao.com/item/635087277431/, 
