数据下载时间：2021-05-23 13:40:23 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/天蜜数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/1943450552/O1CN01QmSoEQ1FwrEIluoyR_!!1943450552.jpg,薇西 适用oppo r17数据线闪充Reno2 k3 R17pro充电线oppoa11x k5充电器线 find x手机快充typec原装正品Z加长,	619586871646,,12.0,52.0,24,104,50.00%,12,27842,0,0,30,0,0,0,840,24,7,0,,,爆款促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-25,12:54:26,1天23时14分4秒,二,http://item.taobao.com/item.htm?id=619586871646,https://kandianbao.com/item/619586871646/, 
2,https://img.alicdn.com/imgextra/i1/1943450552/O1CN01eQFLbu1FwrBedYhlD_!!1943450552.jpg,薇西适用于魔音beats耳机套beatssolo3耳机罩beatssolo3wireless耳机配件换皮solo3海绵套更换维修b有线无线,	602584618131,,32.8,95.8,128,218,43.94%,22,21960,0,0,38,0,0,0,2204,52,14,0,,,让利促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,MP3/MP4配件,耳机保护套,,,2021-05-24,21:31:11,1天7时50分49秒,一,http://item.taobao.com/item.htm?id=602584618131,https://kandianbao.com/item/602584618131/, 
3,https://img.alicdn.com/imgextra/i4/1943450552/O1CN01qkdwCr1FwrDqD3PXk_!!1943450552.jpg,薇西适用于华硕笔记本充电器电源适配器充电线19V-3.42A正品通用X550CA450CY481 Cadp-65电源线65Ww519lW419L,	615055821385,,48.0,48.0,198,198,24.24%,3,7723,0,0,228,0,0,0,10944,398,150,0,,,新品促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,笔记本电脑配件,笔记本电源,,,2021-05-27,20:51:52,4天7时11分30秒,四,http://item.taobao.com/item.htm?id=615055821385,https://kandianbao.com/item/615055821385/,型号完美对接(3);发热不严重(5);充电速度快(3);价位很满意(3);连接很稳(2);质量不错(6)
4,https://img.alicdn.com/imgextra/i1/1943450552/O1CN01H4aUhS1Fwr8aeN2Db_!!1943450552.jpg,手机自拍杆通用型三角支架7plus/8p拍照iphone6s/xr/max加长多功能蓝牙迷你便携美颜补光直播神器自拍杆,	588964385135,,49.0,89.0,98,188,47.34%,8,1235,0,0,360,0,0,0,23400,360,15,0,,,早买早优惠,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,自拍杆/架,,,2021-05-28,19:17:00,5天5时36分38秒,五,http://item.taobao.com/item.htm?id=588964385135,https://kandianbao.com/item/588964385135/, 
5,https://img.alicdn.com/imgextra/i2/1943450552/O1CN01DYyMJl1FwrD8Hh1eH_!!1943450552.jpg,手机稳定器拍摄自拍杆拍照录像vlog神器适用华为安卓苹果xr通用便携式防抖三脚架平衡直播支架手持云台稳定器,	611876211161,,189.0,189.0,378,378,50.00%,2,1755,0,0,16,0,0,0,3024,32,7,0,,,早买早优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,单反/单电相机配件,云台,,,2021-05-23,21:38:01,7时57分39秒,日,http://item.taobao.com/item.htm?id=611876211161,https://kandianbao.com/item/611876211161/, 
6,https://img.alicdn.com/imgextra/i4/1943450552/O1CN01Uk5Pxr1FwrBe1JEkc_!!1943450552.jpg,薇西 苹果x摄像头膜镜头膜iphonex镜头贴xs xsmax镜头膜摄像头保护膜苹果xr摄像头保护圈 iphonexsmax镜头膜,	602839155453,,6.9,12.9,16,25,51.60%,12,874,0,1,308,0.00%,9.3,0.00%,2864.4,106,108,0,,,活动中,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机贴膜,,,2021-05-25,20:47:55,2天7时7分33秒,二,http://item.taobao.com/item.htm?id=602839155453,https://kandianbao.com/item/602839155453/, 
7,https://img.alicdn.com/imgextra/i1/1943450552/O1CN01nccLFo1FwrGkgb30f_!!1943450552.jpg,type-c数据线适用华为p10p20p30p40畅想mate荣耀v9nova7pro小米8手机加长充电器线tpc快充tapyc4typc9mate6x,	633172763264,,8.9,23.9,17.8,47.8,50.00%,18,22979,0,1,86,0.00%,14.900000000000002,0.00%,1281.4,54,38,0,,,新品促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-28,20:27:11,5天6时46分49秒,五,http://item.taobao.com/item.htm?id=633172763264,https://kandianbao.com/item/633172763264/,充电速度快(2);长度足够(2);质量超好(5);价钱实惠(7);快递速度最快(2);包装很结实(4)
8,https://img.alicdn.com/imgextra/i3/1943450552/O1CN01HO8YpI1FwrH4diL6K_!!1943450552.jpg,苹果x钢化膜11/12promax防偷窥iPhone xr/xs/xsmax全屏覆盖6/6s/7/8Plus/se/12mini蓝光抗摔手机贴膜,	634913543567,,6.9,19.9,18.8,48.8,40.78%,114,732724,0,5,380,0.01%,60.50000000000001,0.01%,4598.000000000001,152,105,0,,,专属优惠,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机贴膜,,,2021-05-27,20:15:50,4天6时35分28秒,四,http://item.taobao.com/item.htm?id=634913543567,https://kandianbao.com/item/634913543567/,防护性特别好(3);边缘很紧密(2);没有气泡(3);触感灵敏(4);贴合度刚刚好(10);打游戏很顺畅(2)
9,https://img.alicdn.com/imgextra/i4/1943450552/O1CN01FpZtWz1FwrGrSFqxB_!!1943450552.jpg,联想华硕戴尔苹果惠普hp小米acer战神雷神机械师革命电脑键盘保护贴膜15.6通用型14英寸笔记本垫全覆盖防尘罩,	633036097200,s3,4.3,4.9,8.6,9.8,50.00%,10,2539,0,8,338,0.02%,36.32,0.00%,1534.52,76,69,0,,,新品促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,笔记本电脑配件,笔记本键盘保护膜,,,2021-05-27,17:17:44,4天3时37分22秒,四,http://item.taobao.com/item.htm?id=633036097200,https://kandianbao.com/item/633036097200/,价钱实惠(8);质量不错(7);手感很好(4);软软的(2);很舒适(3);尺寸刚好(8)
10,https://img.alicdn.com/imgextra/i1/1943450552/O1CN01Mlkstn1FwrCmxvPGk_!!1943450552.jpg,薇西适用于魔音beats耳机套录音师studio2魔声耳机海绵套耳罩3维修配件wireless耳套保护皮套棉替换皮头戴式,	603408039035,,38.0,88.0,138,258,34.11%,17,11972,0,14,2059,0.04%,812.0000000000001,0.08%,119422.00000000001,1244,775,0,,,冲量促销,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,MP3/MP4配件,耳机保护套,,,2021-05-27,17:48:41,4天4时8分19秒,四,http://item.taobao.com/item.htm?id=603408039035,https://kandianbao.com/item/603408039035/,佩戴着舒服(8);非常容易操作(2);手感特别的好(5);质量超好(13);套装方便(4);服务态度很好(4)
11,https://img.alicdn.com/imgextra/i1/1943450552/O1CN01ESwZTK1FwrCM5yrqt_!!1943450552.jpg,无线蓝牙耳机挂耳式单耳男女运动防水超长待机续航入耳塞式苹果华为小米vivo手机通用开车可接听电话耳机,	607248089530,,25.9,45.9,51.8,91.8,50.00%,6,5685,0,22,282,0.06%,745.8,0.07%,9559.8,212,48,0,,,早买早优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,影音电器,蓝牙耳机,蓝牙耳机,,,2021-05-26,21:21:35,3天7时41分13秒,三,http://item.taobao.com/item.htm?id=607248089530,https://kandianbao.com/item/607248089530/, 
