数据下载时间：2021-05-22 19:25:18 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/天马电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2383574075/O1CN01LbHJkx1fyOe9s4SCQ_!!2383574075-0-lubanu-s.jpg,天马小吊扇静音迷你小型学生床上宿舍遥控电风扇微风家用大风力,	642738409862,,109.9,109.9,299,299,36.76%,1,1685,0,283,284,0.19%,31101.7,0.20%,31211.600000000002,362,34,0,,,夏季新品,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,生活电器,吊扇,吊扇,,,2021-05-26,15:57:42,3天20时32分26秒,三,http://item.taobao.com/item.htm?id=642738409862,https://kandianbao.com/item/642738409862/,大风很给力(5);声音不大(2);衣服效果不错(3);很上档次(2);包装很好(2);外观颜色好看(3)
2,https://img.alicdn.com/imgextra/i2/2383574075/O1CN01X4ffQf1fyOe6wHAwT_!!2383574075-0-lubanu-s.jpg,天马电风扇台式家用静音学生12寸台扇宿舍16寸摇头定时节能落地扇,	642575714375,,59.9,109.9,169,169,65.03%,6,4623,0,338,347,0.23%,27006.2,0.17%,27725.300000000003,218,49,0,,,夏季新品,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,生活电器,电风扇,电风扇,,,2021-05-26,18:52:52,3天23时27分36秒,三,http://item.taobao.com/item.htm?id=642575714375,https://kandianbao.com/item/642575714375/,物流非常快(3);卖家很有信誉(2);风挺大的(2)
3,https://img.alicdn.com/imgextra/i4/2383574075/O1CN01i4JCDp1fyOdmjOCUM_!!2383574075-0-lubanu-s.jpg,天马台式电风扇家用小风扇转页扇静音鸿运扇学生台扇宿舍迷你电扇,	528444325328,,49.9,54.9,104,109,50.37%,4,4295,0,1232,103278,0.83%,63940.80000000001,0.41%,5360128.2,30224,8401,3,,,夏季热卖,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,生活电器,电风扇,电风扇,,,2021-05-26,17:14:29,3天21时49分13秒,三,http://item.taobao.com/item.htm?id=528444325328,https://kandianbao.com/item/528444325328/,声音很小(33);风速大(8);很凉爽(5);适合宿舍用(2);耗电量很小(11);物流不要说了(3)
4,https://img.alicdn.com/imgextra/i2/2383574075/O1CN01Q2Xfqk1fyOYp3tMWT_!!2383574075.jpg,天马壁扇挂壁式电风扇家用餐厅壁挂式工业摇头墙壁挂扇商用大风扇,	613708326705,,69.9,119.9,199,259,46.29%,7,3859,0,2647,13458,1.79%,237965.30000000002,1.53%,1209874.2000000002,3686,2021,0,,,夏季热卖,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,生活电器,电风扇,电风扇,,,2021-05-29,11:38:48,6天16时13分32秒,六,http://item.taobao.com/item.htm?id=613708326705,https://kandianbao.com/item/613708326705/,风速很大(5);没让我失望(4);客服服务好评(10);大小尺寸合身(8);安装方便(13);噪音让人难受(2)
5,https://img.alicdn.com/imgextra/i3/2383574075/O1CN01G34DSW1fyOeEGYHXx_!!2383574075-0-lubanu-s.jpg,天马电风扇家用落地扇宿舍大风立式摇头工业电扇台式节能强力静音,	565324528679,,79.9,144.9,289,349,41.52%,9,50623,0,143199,1098349,96.95%,15164774.100000003,97.68%,116315159.10000002,191702,164433,4,,,聚划算,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,生活电器,电风扇,电风扇,,,2021-05-27,18:33:40,4天23时8分24秒,四,http://item.taobao.com/item.htm?id=565324528679,https://kandianbao.com/item/565324528679/,手感顺滑(7);按键非常紧(4);大风很给力(2888);很大(171);风速很大(174);包装烂掉(33)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,147699,,,15524788.100000003,,,226192,,7,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
数据下载时间：2021-05-22 19:25:18 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/天马电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
