数据下载时间：2021-05-24 13:06:51 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/扬子电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2206945564422/O1CN010RyHLL1iXK1PCUnkk_!!2206945564422.jpg,扬子双桶洗衣机大容量家用老式半全自动波轮小型租房用双缸分三桶,	610685007745,,329.0,1099.0,679,1899,57.87%,16,7571,0,23,918,0.19%,14651,0.33%,584766,2304,296,0,,,夏季新品,7天无理由|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-25,15:24:15,1天2时17分25秒,二,http://item.taobao.com/item.htm?id=610685007745,https://kandianbao.com/item/610685007745/,脱水非常干(3);声音不大(16);洗的很干净(16);方便(3);容量大小刚好(2);有点太大了(2)
2,https://img.alicdn.com/imgextra/i1/2206945564422/O1CN01suvvBX1iXK4jdqk2v_!!2206945564422.jpg,扬子折叠洗衣机小型婴儿童内衣裤袜子专用迷你便携式洗脱一体神器,	643341959398,,199.0,519.0,399,799,64.96%,13,4469,0,27,27,0.22%,8829,0.20%,8829,214,4,0,,,夏季新品,7天无理由|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-25,16:16:10,1天3时9分20秒,二,http://item.taobao.com/item.htm?id=643341959398,https://kandianbao.com/item/643341959398/, 
3,https://img.alicdn.com/imgextra/i4/2206945564422/O1CN01rBKRXY1iXK0ASnNfM_!!2206945564422.jpg,扬子三个桶分桶式12KG老式洗衣机半全自动家用双桶大容量酒店商用,	617361065715,,239.0,889.0,799,1099,80.89%,3,1861,0,171,390,1.40%,85329.00000000001,1.93%,194610.00000000003,5040,106,0,,,夏季新品,7天无理由|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-27,15:17:15,3天2时10分25秒,四,http://item.taobao.com/item.htm?id=617361065715,https://kandianbao.com/item/617361065715/,声音不大(6);价钱便宜(10);洗的很干净(12);装水量非常大(6);包装完美(4);材质很不错(2)
4,https://img.alicdn.com/imgextra/i1/2206945564422/O1CN01XF9kFr1iXK4cAyINn_!!2206945564422.jpg,扬子8/10KG洗衣机全自动家用租房小型宿舍婴儿童迷你大容量带烘干,	631602049436,,129.0,839.0,399,1399,59.97%,21,10124,0,315,3359,2.58%,130095,2.94%,1387267,5392,814,0,,,夏季新品,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-25,10:26:18,21时19分28秒,二,http://item.taobao.com/item.htm?id=631602049436,https://kandianbao.com/item/631602049436/,不重(2);脱水声音很小(5);太方便了(10);洗的很干净(72);不占地方(54);不好用(3)
5,https://img.alicdn.com/imgextra/i2/2206945564422/O1CN01iOewML1iXK4qJ1JFk_!!2206945564422.jpg,扬子甩干桶脱水机单甩家用小型宿舍学生大容量甩干机非迷你洗衣机,	609813137201,,129.0,299.0,349,509,58.74%,21,8255,0,1864,50324,15.24%,367208.00000000006,8.29%,9913828.000000002,37346,14288,0,,,夏季新品,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-31,09:01:16,6天19时54分26秒,一,http://item.taobao.com/item.htm?id=609813137201,https://kandianbao.com/item/609813137201/,功力挺大的(10);配色很洋气(3);耗电量很小(3);干的快(56);脱水声音很小(18);盖子挺薄的(8)
6,https://img.alicdn.com/imgextra/i3/2206945564422/O1CN01zHIzte1iXK2jFmw4v_!!2206945564422.jpg,扬子7/8/9KG全自动洗衣机家用小型大容量迷你洗脱烘干宿舍租房用,	610754948095,,199.0,829.0,669,1629,50.89%,17,4243,0,4745,94093,38.80%,2139995.0000000005,48.32%,42435943.00000001,100906,23912,0,,,夏季新品,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-30,00:35:10,5天11时28分20秒,日,http://item.taobao.com/item.htm?id=610754948095,https://kandianbao.com/item/610754948095/,用水量挺少的(2);力度够大(10);塑料比较耐磨(2);力道很大(2);带烘干功能(10);按钮不太好按(6)
7,https://img.alicdn.com/imgextra/i3/2206945564422/O1CN01NbLgzK1iXK4LLI4TR_!!2206945564422.jpg,扬子4KG婴儿宝宝内衣内裤袜子折叠洗衣机宿舍迷你家用小型便携式,	628316763983,,199.0,529.0,599,799,66.21%,21,11201,0,5083,23862,41.57%,1682473,37.99%,7898322,35640,5453,0,,,夏季新品,7天无理由|蚂蚁花呗|信用卡支付|集分宝,大家电,洗衣机,洗衣机,,,2021-05-25,16:40:07,1天3时33分17秒,二,http://item.taobao.com/item.htm?id=628316763983,https://kandianbao.com/item/628316763983/,方便携带(2);力道很大(2);静音效果无声(183);非常可爱(10);拿起来挺沉的(2);用处不好(3)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12228,,,4428580.000000001,,,186842,,0,,,,,,,,,,,,,,,,
