数据下载时间：2021-05-22 19:33:48 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/森讯旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/2452721300/O1CN01pIWSjU1LTRNaKEoIl_!!2452721300.jpg,森讯原裝正品安卓数据线手机高速快充闪充usb充电器线适用oppo华为三星小米vivo通用加长单头1.5米充电宝短,	583974433320,,5.1,12.8,30,30,42.67%,6,17144,0,0,808,0,0,0,6609.44,130,219,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-28,14:12:19,5天18时38分46秒,五,http://item.taobao.com/item.htm?id=583974433320,https://kandianbao.com/item/583974433320/,不会发烫(2)
2,https://img.alicdn.com/imgextra/i2/2452721300/O1CN01pQHG5D1LTRTvQ5xwJ_!!2452721300.jpg,手机懒人支架桌面床头万能通用简约折叠式小巧ipad支撑架子平板电脑手机看电影神器电视直播视频创意便携配件,	595140868250,手机支架-sl,5.1,8.8,15.9,15.9,55.35%,6,28340,0,0,6642,0,0,0,43704.36,590,1871,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机支架/手机座,,,2021-05-24,14:21:45,1天18时48分12秒,一,http://item.taobao.com/item.htm?id=595140868250,https://kandianbao.com/item/595140868250/,很实用(2);快递速度最快(3);服务态度很好(2);物美价廉(2);很方便(2);尺寸刚好(3)
3,https://img.alicdn.com/imgextra/i4/2452721300/O1CN01QIep5c1LTRRmKzTQb_!!2452721300.jpg,手机支架桌面支夹懒人便携iPad平板电脑升降托架办公室mini自拍可爱家用直播可调节高度床上万能通用神器支撑,	603833494984,手机平板支架,5.1,29.9,39,39,76.67%,18,80340,0,0,259,0,0,0,3890.18,176,49,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机支架/手机座,,,2021-05-24,14:28:30,1天18时54分57秒,一,http://item.taobao.com/item.htm?id=603833494984,https://kandianbao.com/item/603833494984/, 
4,https://img.alicdn.com/imgextra/i4/2452721300/O1CN01Lp84b51LTRNKIDy0j_!!2452721300.jpg,适用苹果7耳机转接头i7p转换器xs充电听歌二合一8plus分线器3.5mm音频头xr转接线二合一iphone11pro max快充,	585237987344,,9.9,9.9,98,98,10.10%,7,14921,0,0,1318,0,0,0,13048.2,744,314,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-22,10:41:40,8时51分8秒,六,http://item.taobao.com/item.htm?id=585237987344,https://kandianbao.com/item/585237987344/,做工堪称经典(3);外观造型好看(3);质量非常棒(3);服务不错(2)
5,https://img.alicdn.com/imgextra/i3/2452721300/O1CN01J4Kaav1LTRNpgXBZI_!!2452721300.jpg,魅族数据线原装mx5魅蓝note5 note6 S6 E2手机充电线快充头note3 note2 metal充电器E 5s MX6数据线安卓通用,	587757302979,,12.5,35.5,79,79,44.94%,6,5212,0,0,739,0,0,0,16036.300000000003,238,255,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-23,15:33:40,20时0分7秒,日,http://item.taobao.com/item.htm?id=587757302979,https://kandianbao.com/item/587757302979/, 
6,https://img.alicdn.com/imgextra/i4/2452721300/O1CN01LHTRSQ1LTRPeDbEjA_!!2452721300.jpg,数字解码Type-c耳机转接头适用华为mate20 pro/p20荣耀20/note10手机mate10转接器线通用nova5原装p30pro正品,	594194641820,,15.1,15.1,49,49,30.82%,1,821,0,0,163,0,0,0,2461.2999999999997,74,53,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-24,15:05:06,1天19时31分33秒,一,http://item.taobao.com/item.htm?id=594194641820,https://kandianbao.com/item/594194641820/, 
7,https://img.alicdn.com/imgextra/i3/2452721300/O1CN01ZjsYDP1LTRQ6PZ7Dd_!!2452721300.jpg,森讯 适用oppo数据线三合一充电线器伸缩一拖三Reno闪充findx充oppor17冲电oppofindx原裝R17 R17pro正品通用,	596357015381,,15.1,15.1,39,39,38.72%,3,3122,0,0,1629,0,0,0,24597.899999999998,470,580,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-26,11:44:04,3天16时10分31秒,三,http://item.taobao.com/item.htm?id=596357015381,https://kandianbao.com/item/596357015381/,不会发烫(2);不会松动(2);反应迅速(4);接触性很棒(4);充电效果很好(3);长度足够(3)
8,https://img.alicdn.com/imgextra/i1/2452721300/O1CN01r9ZPMY1LTRSqmYJen_!!2452721300.jpg,适用荣耀type-c耳机原装正品入耳式20/note10有线控nova5高音质K歌华为p20/mate20/p30pro小米6x通用降噪耳麦,	610185774037,,15.1,15.1,39.9,39.9,37.84%,3,2792,0,0,195,0,0,0,2944.5,48,41,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,影音电器,手机耳机,手机耳机,,,2021-05-24,10:58:42,1天15时25分9秒,一,http://item.taobao.com/item.htm?id=610185774037,https://kandianbao.com/item/610185774037/, 
9,https://img.alicdn.com/imgextra/i4/2452721300/O1CN01Q1O3JB1LTRO9xCwAC_!!2452721300.jpg,适用魅族note9耳机16x入耳式16thplus原装pro7正品pro6 6s 6plus魅蓝E3 note6手机mx6有线note5耳塞mx5通用S6,	588541062392,,19.9,19.9,49,49,40.61%,4,8301,0,0,809,0,0,0,16099.099999999999,354,196,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,影音电器,手机耳机,手机耳机,,,2021-05-27,09:09:14,4天13时35分41秒,四,http://item.taobao.com/item.htm?id=588541062392,https://kandianbao.com/item/588541062392/, 
10,https://img.alicdn.com/imgextra/i4/2452721300/O1CN010bY19v1LTRYN1R50z_!!2452721300-0-lubanu-s.jpg,加湿器小型家用静音卧室大雾量办公室桌面空气室内孕妇婴儿容量宿舍学生车载便携式无线喷雾房间床头保湿补水,	641447159475,,19.9,19.9,39.8,39.8,50.00%,3,29995,0,0,3,0,0,0,59.699999999999996,4,1,0,,,品牌促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,USB数码周边,USB加湿器,,,2021-05-25,15:49:10,2天20时15分37秒,二,http://item.taobao.com/item.htm?id=641447159475,https://kandianbao.com/item/641447159475/, 
