数据下载时间：2021-05-22 22:48:38 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/绿巨能旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/362426318/O1CN014JLSh51wXgxz891l5_!!362426318-0-lubanu-s.jpg,绿巨能otg数据线U盘USB3.0转TYPE-C转接头MICRO安卓接口U盘平板,	627847411619,LJN-ZJT014,16.9,22.9,29,29,78.97%,2,148,0,0,48,0,0,0,926.3999999999999,50,16,0,,,爆款促销|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,USB数码周边,USB HUB/转换器,,,2021-05-25,10:03:57,2天11时15分52秒,二,http://item.taobao.com/item.htm?id=627847411619,https://kandianbao.com/item/627847411619/, 
2,https://img.alicdn.com/imgextra/i3/362426318/O1CN01lOygLW1wXgsTGWzvT_!!362426318.jpg,绿巨能type-c数据线macbook ipad pro适用于华为笔记本电脑pd快充线充电,	596231295927,,29,29,49,49,59.18%,0,70,0,0,16,0,0,0,464,14,2,0,,,专属优惠|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-25,19:00:00,2天20时11分55秒,二,http://item.taobao.com/item.htm?id=596231295927,https://kandianbao.com/item/596231295927/, 
3,https://img.alicdn.com/imgextra/i2/362426318/TB2fTjUxuuSBuNjy1XcXXcYjFXa_!!362426318.jpg,绿巨能hdmi线4k高清线2.0连接线台式电脑主机笔记本ps4投影仪公对,	571659498945,,29.9,29.9,50,50,59.80%,2,65,0,0,18,0,0,0,538.1999999999999,18,0,0,,,爆款促销|淘金币抵2%,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,影音电器,影音家电配件,HDMI线,,,2021-05-26,10:47:49,3天11时59分44秒,三,http://item.taobao.com/item.htm?id=571659498945,https://kandianbao.com/item/571659498945/, 
4,https://img.alicdn.com/imgextra/i1/362426318/O1CN01jRPZlm1wXgunGG33m_!!362426318.jpg,绿巨能LP-E5电池LP E5充电器EOS 1000D 2000D 450D 500D KISSX2 KISSX3相机电池usb双座充,	608044159183,,39,39,69,69,56.52%,0,151,0,0,35,0,0,0,1365,10,9,0,,,专属优惠|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码相机配件,数码相机充电器,,,2021-05-27,19:00:00,4天20时11分55秒,四,http://item.taobao.com/item.htm?id=608044159183,https://kandianbao.com/item/608044159183/, 
5,https://img.alicdn.com/imgextra/i1/362426318/O1CN01gvAQ3A1wXgw6F4idz_!!362426318.jpg,绿巨能漫威适用于华为荣耀V30pro手机壳V30防摔超薄5g限量版高档nova6 se全包高档外壳套pro潮牌创意网红正版,	613941333869,,39.0,39.0,99,99,39.39%,12,359,0,0,1,0,0,0,39,2,0,0,,,爆款促销|淘金币抵2%,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-23,17:24:53,18时36分48秒,日,http://item.taobao.com/item.htm?id=613941333869,https://kandianbao.com/item/613941333869/, 
6,https://img.alicdn.com/imgextra/i1/362426318/O1CN01UQNE1p1wXgvw41V4w_!!362426318.jpg,绿巨能适用于华为mate30pro手机壳mate20pro防摔超薄mate5g版高档mate30全包mate20外壳pro潮牌创意正版漫威,	614396547079,,39.0,39.0,99,99,39.39%,16,88,0,0,13,0,0,0,507,14,7,0,,,爆款促销|淘金币抵2%,7天无理由|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-23,17:13:09,18时25分4秒,日,http://item.taobao.com/item.htm?id=614396547079,https://kandianbao.com/item/614396547079/, 
7,https://img.alicdn.com/imgextra/i1/362426318/O1CN01EKVhR51wXgxhmD1n5_!!362426318-0-lubanu-s.jpg,迪士尼正版授权 适用于苹果11手机壳液态硅胶防摔iPhone11promax摄像头全包x新款xr卡通可爱保护薄xs软套女款,	625964182524,,39.0,39.0,99,99,39.39%,8,80,0,0,7,0,0,0,273,78,2,0,,,爆款促销|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-27,14:21:35,4天15时33分30秒,四,http://item.taobao.com/item.htm?id=625964182524,https://kandianbao.com/item/625964182524/, 
8,https://img.alicdn.com/imgextra/i1/362426318/O1CN014tVTTF1wXguhsZrfa_!!362426318.jpg,绿巨能MFI认证PD快充线 iphone11 X Pro max Typec转苹果双头iPad 苹果8PLUS X数据线高速传输,	600623897522,,39.9,99.0,199,199,49.75%,3,266,0,0,59,0,0,0,3748.8600000000006,78,22,0,,,爆款促销|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机数据线,,,2021-05-25,10:36:42,2天11时48分37秒,二,http://item.taobao.com/item.htm?id=600623897522,https://kandianbao.com/item/600623897522/, 
9,https://img.alicdn.com/imgextra/i1/362426318/O1CN01WG4Dro1wXgsyazI2I_!!362426318.jpg,绿巨能苹果iphone11快充充电器头单口18W快充3c认证充电器头支持苹果11promax x 8 8plus PD快充协议套餐,	607170453308,,39.9,99.0,199,199,49.75%,3,262,0,0,32,0,0,0,2033.2800000000002,44,6,0,,,爆款促销|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机充电器,,,2021-05-25,15:29:58,2天16时41分53秒,二,http://item.taobao.com/item.htm?id=607170453308,https://kandianbao.com/item/607170453308/, 
10,https://img.alicdn.com/imgextra/i1/362426318/O1CN01ntgnAu1wXgy7HTD6w_!!362426318-0-lubanu-s.jpg,绿巨能尼康EN-EL9相机电池充电器D3000 D5000 D40 D40X D60充电座,	626862702842,,39.9,39.9,69,69,57.83%,0,155,0,0,21,0,0,0,837.9,8,7,0,,,专属优惠|淘金币抵2%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码相机配件,数码相机充电器,,,2021-05-24,13:40:05,1天14时52分0秒,一,http://item.taobao.com/item.htm?id=626862702842,https://kandianbao.com/item/626862702842/, 
