数据下载时间：2021-05-24 13:22:36 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/韩扬旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i4/1664799971/O1CN018aBSJE2NWloIN3UI9_!!1664799971-0-lubanu-s.jpg,韩扬适用iPhone12无线充电器Magsafe磁吸快充苹果11Promax充电器mini正品x头12pro专用20w车载xr手机通用,	632731783194,,118.0,158.0,198,298,53.02%,2,17524,0,0,228,0,0,0,30552,386,96,0,,,新品秒杀,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机充电器,,,2021-05-27,10:11:43,2天20时49分8秒,四,http://item.taobao.com/item.htm?id=632731783194,https://kandianbao.com/item/632731783194/,充电速度快(5);非常轻薄(2);吸力很强(3);使用方便(3);价钱实惠(11);质量效果很好(17)
2,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01MmxffS2NWlnxredVE_!!1664799971-0-lubanu-s.jpg,【原装正品】韩扬适用于苹果12真无线蓝牙耳机iPhone11入耳式AirPro4代超长续航X华为mate30安卓tws通用,	631435679374,,158.0,158.0,299,299,52.84%,5,44408,0,0,27,0,0,0,4266,56,16,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码包/收纳/整理,耳机绕线器,,,2021-05-25,00:01:21,10时38分46秒,二,http://item.taobao.com/item.htm?id=631435679374,https://kandianbao.com/item/631435679374/, 
3,https://img.alicdn.com/imgextra/i1/1664799971/O1CN012CKMIB2NWlj5SLPVV_!!1664799971.jpg,韩扬适用oppor17数据线闪充oppo r17充电线Reno快充find x手机充电器线type-c闪充线原装R17pro数据线k3正品,	601742131869,,15.8,61.8,68,99,62.42%,9,8744,0,1,228,0.01%,34.2,0.01%,7797.6,74,80,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,数码周边,数据线,,,2021-05-29,14:54:01,5天1时31分26秒,六,http://item.taobao.com/item.htm?id=601742131869,https://kandianbao.com/item/601742131869/, 
4,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01jeuxNj2NWlgleFIWz_!!1664799971.jpg,AirPods保护套苹果蓝牙无线耳机套通用液态硅胶贴纸新airpods2壳潮盒原装配件耳塞防丢绳薄全包软壳防尘贴片,	592302499788,,19.0,19.0,58,58,32.76%,7,23260,0,1,2095,0.01%,19,0.00%,39805,1076,315,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,MP3/MP4配件,耳机保护套,,,2021-05-26,16:50:23,2天3时27分48秒,三,http://item.taobao.com/item.htm?id=592302499788,https://kandianbao.com/item/592302499788/, 
5,https://img.alicdn.com/imgextra/i1/1664799971/TB2qy.pcHsTMeJjSsziXXcdwXXa_!!1664799971.jpg,苹果7手机壳iphone7plus手机壳7Plus保护壳苹果7P全包软女款防摔,	558969356144,,25.0,25.0,50,50,50.00%,11,10352,0,1,610,0.01%,25,0.00%,15250,104,33,0,,,活动中,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-29,16:32:12,5天3时9分37秒,六,http://item.taobao.com/item.htm?id=558969356144,https://kandianbao.com/item/558969356144/, 
6,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01DiB8Kf2NWlkOog0eW_!!1664799971.jpg,防指纹苹果11手机壳iPhone11Pro Max透明xr硅胶全包防摔苹果11pro超薄手机套11pro max保护壳女男款软壳新潮,	609423166110,,25.0,25.0,68,68,36.76%,18,8986,0,1,40,0.01%,25,0.00%,1000,20,11,0,,,活动中,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-26,21:03:30,2天7时40分55秒,三,http://item.taobao.com/item.htm?id=609423166110,https://kandianbao.com/item/609423166110/, 
7,https://img.alicdn.com/imgextra/i1/1664799971/TB2h80aXMvGK1JjSspiXXc96FXa_!!1664799971.png,苹果6钢化膜iphone6钢化膜6s全屏钢化玻璃膜6plus钢化膜防指纹4.7,	557323036707,,28.0,32.0,88,88,36.36%,13,38265,0,1,1707,0.01%,29.6,0.01%,50527.200000000004,212,51,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机贴膜,,,2021-05-24,19:32:37,6时10分2秒,一,http://item.taobao.com/item.htm?id=557323036707,https://kandianbao.com/item/557323036707/, 
8,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01q8S7Vd2NWlm4O5Oe7_!!1664799971.jpg,手机散热器发烫游戏降温神器半导体制冷背夹退热散热小风扇苹果主播同款液冷吃鸡发热冷却贴片专用X贴壳7水冷,	617813339303,SRQ-01,88.0,88.0,199,199,44.22%,2,2974,0,1,591,0.01%,88,0.02%,52008,642,287,0,,,新品秒杀,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机支架/手机座,,,2021-05-28,22:01:32,4天8时38分57秒,五,http://item.taobao.com/item.htm?id=617813339303,https://kandianbao.com/item/617813339303/,非常新潮外观(8);玩游戏不卡了(7);没有噪音(6);声音大小合适(2);散热好(25);小巧(12)
9,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01UzUFVV2NWllyoOdDd_!!1664799971.jpg,苹果8plus钢化膜新se防窥7p全屏7防偷窥6plus防窥膜iphone6s/7隐私膜防偷窃Se2偷看膜6splus手机膜防蓝光高清,	619672598215,,18.0,35.0,88,88,39.77%,108,959228,0,2,649,0.02%,49.6,0.01%,16095.2,204,235,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机贴膜,,,2021-05-29,21:22:51,5天8时0分16秒,六,http://item.taobao.com/item.htm?id=619672598215,https://kandianbao.com/item/619672598215/,没有白边(4);防窥效果好(6);防指纹效果赞(5);玩游戏很棒(3);没有气泡(5);物流好评(2)
10,https://img.alicdn.com/imgextra/i1/1664799971/O1CN01sNz13O2NWlgLUCLhY_!!1664799971.jpg,韩扬苹果X手机壳iPhone XS Max玻璃iPhoneX透明XR超薄iPhoneXMax全包防摔套XMax男新iPhone外壳iPhoneX潮情侣,	589950776363,,22.0,22.0,99,99,22.22%,18,30802,0,2,254,0.02%,44,0.01%,5588,162,35,0,,,全民疯抢,7天无理由|蚂蚁花呗|信用卡支付|集分宝,3C数码配件,手机配件,手机保护套/壳,,,2021-05-26,21:36:45,2天8时14分10秒,三,http://item.taobao.com/item.htm?id=589950776363,https://kandianbao.com/item/589950776363/, 
