数据下载时间：2021-06-27 18:51:16 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/624569240658/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,阿**9,颜色分类: DJI OM 4,好评,收到有半个月了  玩了几次  按键功能很多基本都学会了  还在继续探索中🤣  云台很稳  下载的软件录像效果很好  视频可能被压缩了 看起来不是很清 。缺点就是就是没有送收纳包！！还得自己买~,-,-,2021-06-18
2,坚**奔,颜色分类: DJI OM 4,好评,整体包装还可以，发的顺丰到货也挺快的，OM4的颜值也挺不错，磁力确实很强，使用起来也简单。就是手机靠近磁铁处散热不好，使用时间长一些就发热。另外单机配件里面就一收纳袋，说实话，挺掉价的。如果配一个带LOGO的硬壳收纳包，多大气呀，唉，国货多注意细节就好了。,-,-,2021-06-22
3,1**f,颜色分类: DJI OM 4,好评,刚到手，摸索了好久，才学会了一些，明天再来研究一下，还是很好用的，以后多拍点,用了三天后，熟悉了操作，太牛B了！全场打满分，稳地一P！大片即时感，很喜欢，以后会再来，大疆产品，值得信赖！,-,2021-06-18
4,心**丿,颜色分类: DJI OM 4,好评,趁活动入手的，嘿嘿，好喜欢！,-,-,2021-06-23
5,t**3,颜色分类: DJI OM 4,好评,非常棒，之前用的是om2，现在用这个感觉到了好多细节的不同，稳定效果和跟锁效果有很大进步，再也不像以前那么**了，新增旋转角度，不过遗憾的是不能360，story模式直接相当于开启了物理外挂，牛🐮！,-,-,2021-06-25
6,z**5,颜色分类: DJI OM 4,好评,实话实说，第一次邮寄显然是别人随心换退了的二手机，再包装出售，这点让人很失望，并且怀疑大品牌的得虚伪面具，网上沟通客服一直顺快递问题，试问，快递能负责包裹，还能负责产品新旧和使用情况？令人欣慰的是售后客服还可以打电话沟通解决，我们要的是一个说法，去柜台买东西还要挑一挑，我们也是花了正经钱买的正牌货，真要买二手机，就不会来官网用原价买了，虽然换了一台，但来回浪费的时间，邮寄和取快，总之是失望的一次购物。希望随心购的产品不要再流入市场，别人不要的难道就该糊弄给别的客户？大品牌希望有大做派，打格调，生意来源于老百姓，但也能毁在自己身上,-,-,2021-06-23
7,买**5,颜色分类: DJI OM 4,好评,值得入手,-,-,2021-06-25
8,逍**5,颜色分类: DJI OM 4,好评,真不错，用起来确实比同事的魔爪要好，不过价格也贵很多啊，真是一分钱一分货，出门旅游有了它方便多了,-,-,2021-06-20
9,木**邓,颜色分类: DJI OM 4,好评,必须给个好评，网购一些本地市场买不到的东西，渐渐从时尚转变成习惯。 很多掌柜的还是不错的。比如这家，小二，售后，客服都热情服务，真心不错，赞一个！ 但也有些**商家，尤其是上海的***，*他个妈妈，买东西买出个骗子。,-,-,2021-06-23
10,顺**5,颜色分类: DJI OM 4,好评,物流发货速度顶呱呱👍 刚刚收到，产品上手手感不错👍。 刚接触实在不太会使用，不过里面的使用提示很贴心，多看看里面的指南应该很快上手了👍 总体感觉不错👍👍,-,-,2021-06-24
