数据下载时间：2021-06-29 09:18:40 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/602124005709/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,王**岩,颜色分类: 黑色弯头 0.5米,好评,电源的延长线收到了，做工还是很不错的，电线外壁的厚度不错，在使用过程中也对安全是有保障的，其次就是母头采用了新国标方案，这样对安全也是有了保障，其次就是卖家的发货快，价格也合理，很不错，值得推荐给大家，谢谢，所以有一些小遗憾，就是插头在刚收到的时候真的是很难***，简直是太难了，在尝试了多次之后，相对松了一些，质量就方便拔插了。,-,-,2021-06-22
2,小**n,颜色分类: 黑色弯头 2米,好评,发货速度很快，包装的也挺结实的。线挺粗做工挺好的，趁活动又入了这款牌子的延长线。用着不错。  ,-,-,2021-06-23
3,梁**8,颜色分类: 黑色直头 3米,好评,做工好，线劲粗。长度足，包装严实 ,-,-,2021-06-21
4,落**烟,颜色分类: 黑色弯头 8米,好评,产品材质很好，做工细节处理到位，价格也很实惠！ ,-,-,2021-06-23
5,任**9,颜色分类: 黑色直头2米,好评,让姨子去给我妈安装的，我不在家，具体情况没问，先好评 ,-,-,2021-06-21
6,海**贝,颜色分类: 黑色直头 3米,好评,趁着618有活动果断下单，东西收到了质量不错，做工挺好，非常满意，延长线的首选，满意！ ,-,-,2021-06-15
7,吴**8,颜色分类: 黑色弯头 1米,好评,商品品质：已收到，电源延长线整体做工不错，是国标线，期待好用耐用。 ,-,-,2021-06-16
8,吴**8,颜色分类: 黑色弯头 2米,好评,商品品质：已收到，电源延长线整体做工不错，期待好用耐用。 ,-,-,2021-06-16
9,x**4,颜色分类: 黑色弯头 0.5米,好评,电视机电源线不够长，用了这个刚刚好，全天开机都很稳定 ,-,-,2021-06-22
10,t**5,颜色分类: 黑色直头 3米,好评,很好，质量也很好！赞👍 ,-,-,2021-06-20
11,南**影,颜色分类: 白色弯头 0.5米,好评,太实用啦，正好够用，完美 ,-,-,2021-06-19
12,z**7,颜色分类: 白色弯头 2米,好评,产品功能：延长电源 外观材质：外观很好 商品品质：品质不错 包装很好，延长线看着也很正规，但是价格却比其他家都贵！性价比不高！ ,-,-,2021-06-20
13,z**7,颜色分类: 白色弯头 1米,好评,产品功能：延长电源 外观材质：包装很好 商品品质：品质不错 包装很好，延长线看着也很正规，但是价格却比其他家都贵！性价比不高！ ,-,-,2021-06-20
14,我**1,颜色分类: 黑色直头 0.5米,好评,线软硬适中，做工不错。长度刚刚好。好评。 ,-,-,2021-06-24
15,打**天,颜色分类: 黑色直头 0.5米,好评,用来做灭蚊器的延长线很舒服。也不用担心功率高发热问题 ,-,-,2021-06-20
16,衣**彩,颜色分类: 白色弯头 3米,好评,连接电风扇用的，这样客厅里就都可以吹到啦～ ,-,-,2021-06-23
17,西**0,颜色分类: 黑色直头 0.5米,好评,非常满意，我是接扫地机器人充电座的，刚好离插头短了一点点，这个长度正好！ ,-,-,2021-06-20
18,张**7,颜色分类: 黑色弯头 3米,好评,材质非常好，设计也合理，东西又实用，觉得确实比几块钱的好得多。 ,-,-,2021-06-19
19,零**o,颜色分类: 黑色弯头 0.5米,好评,完美解决问题，质量也挺好的,-,-,2021-06-22
20,乐**雪,颜色分类: 白色弯头 1米,好评,还没用看着挺好,-,-,2021-06-24
21,树**妹,颜色分类: 黑色直头2米,好评,特别好用，直接插头🔌匹配我的循环风扇，赞！推荐 ,-,-,2021-06-18
22,y**u,颜色分类: 黑色弯头 1米,好评,小贵 但线还是挺不错的 ,-,-,2021-06-15
23,钢**活,颜色分类: 黑色直头2米,好评,习惯好评,-,-,2021-06-26
24,棒**饰,颜色分类: 黑色弯头 1米,好评,挺好，解决了生活中的不方便，物美价廉，给个好评！ ,-,-,2021-05-29
25,凯**爱,颜色分类: 白色弯头 1米,好评,线材质量好，第二次购买了,-,-,2021-06-16
26,大**佬,颜色分类: 白色弯头 2米,好评,不错，很实用 ,-,-,2021-06-23
27,t**g,颜色分类: 白色弯头 0.5米,好评,不错，非常棒,-,-,2021-06-22
28,j**y,颜色分类: 黑色弯头 3米,好评,商品已至集貨處，謝謝賣家快速的出貨，等集齊後一起寄送海外，先給好評，謝謝服務。,-,-,2021-06-20
29,j**t,颜色分类: 黑色直头 0.5米,好评,好用的，用料很厚实 ,-,-,2021-06-21
30,非**0,颜色分类: 黑色直头 3米,好评,用着不错，挺方便的,-,-,2021-06-17
31,凉**彡,颜色分类: 白色弯头 0.5米,好评,好短电线0.5米 ,-,-,2021-06-25
32,z**9,颜色分类: 黑色弯头 1米,好评,东西已经收到！手感不错！用料扎实！质量很好！电视用应该没有问题！ ,-,-,2021-06-14
33,c**6,颜色分类: 黑色弯头 0.5米,好评,发货迅速，五星好评。 ,-,-,2021-06-19
34,l**s,颜色分类: 白色弯头 0.5米,好评,租房用挺好的，线粗，安全 ,-,-,2021-06-12
35,风**5,颜色分类: 黑色弯头 2米,好评,做工精细 ,-,-,2021-06-20
36,t**6,颜色分类: 黑色弯头 2米,好评,很满意，商品描述和实物一样，满意,-,-,2021-06-14
37,t**0,颜色分类: 黑色弯头 0.5米,好评,用一段时间再说,-,-,2021-06-19
38,a**n,颜色分类: 白色弯头 3米,好评,质量不错。用来做延长线 ,-,-,2021-06-10
39,大**o,颜色分类: 黑色弯头 2米,好评,今天收到宝贝，打开包裹里面是做工和质量非常好的电源延长线。是广大消费者信赖的产品，也是一次成功的购物。宝贝跟描述的一致。感谢热心为我服务的客服。祝你店铺生意兴隆财源广进。 ,-,-,2021-05-30
40,天**6,颜色分类: 黑色直头 1米,好评,质量很好，店家的服务真的很贴心。,-,-,2021-06-17
41,e**l,颜色分类: 黑色弯头 0.5米,好评,还没用，看着很不错线给结实 ,-,-,2021-06-10
42,y**l,颜色分类: 黑色弯头 2米,好评,实用，解决了电视自带线短的缺陷，走墙管必备神器。,-,-,2021-06-11
43,固**果,颜色分类: 黑色弯头 1米,好评,质量很好，之前电动车不能离电源太远，现在自由多了，充电速度也和加延长线前差不多 ,-,-,2021-06-14
44,t**1,颜色分类: 白色弯头 0.5米,好评,正品，买的放心，价钱也公道，满意！,-,-,2021-06-11
45,回**川,颜色分类: 白色弯头 3米,好评,线材比一般的质量要好，3米长刚好适用，推荐购买！,-,-,2021-06-03
46,嘉**2,颜色分类: 黑色弯头 0.5米,好评,完美解决狭窄部位插头太高的问题 ,-,-,2021-06-21
47,l**9,颜色分类: 黑色弯头 0.5米,好评,质量不错啊好评 ,-,-,2021-06-12
48,t**5,颜色分类: 黑色弯头 0.5米,好评,买断了  对付用吧 ,-,-,2021-06-20
