数据下载时间：2021-06-28 13:51:11 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/545849980401/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,鹿**君,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,透黑颜色很好看，套黑色机器完美，直边设计的，手感很棒，前后都高出手机保护没问题，非常有质感很喜欢 ,-,-,2021-06-26
2,花**二,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,同事推荐的，质量确实好，细节完美特别厚实，高出了钢化膜，背面也高出镜头这下不怕摔了哈哈  ,-,-,2021-06-25
3,t**4,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,第二次购买，前面买的xr的质量很好，很厚实摔了好几次手机都没问题还卖了个好价钱换了苹果11，11的壳做的也非常好，还会继续回购,-,-,2021-06-23
4,s**9,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,此用户没有填写评价。,用了一阵没变色，而且保护很好，摔了2次比较厉害手机都没问题,-,2021-05-24
5,a**9,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,质量很好，全包镜头的正面也高出屏幕8p很合适，直边手感非常喜欢，点赞  ,-,-,2021-06-23
6,d**哥,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,质量很好，防摔的手感也不错，很喜欢 ,-,-,2021-06-23
7,陈**m,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,第三次购买，质量不用说杠杠滴！主要是防摔特别好而且手感不错 所以一直回购  ,-,-,2021-06-18
8,f**g,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,防摔透明壳，很厚软硬适中手感非常不错，高出镜头高出屏幕，套上很有质感  ,-,-,2021-06-15
9,g**s,颜色分类: 苹果6/6S（4.7寸）透明【创意防摔壳】,好评,此用户没有填写评价。,客服很不错，开始拍错了帮我改成了12，蓝色手机用透黑的效果挺不错，好看，感觉瞬间提升了档次，贴合度很好，高出镜头一些，正面也高过钢化膜，一切都刚好，非常喜欢,-,2021-06-13
10,s**3,颜色分类: 苹果7/8/Se2（4.7寸）玫瑰金【创意防摔壳,好评,完美贴合，前面保护 材料软硬适中，靓丽设计风格现代简约！看着很舒服，希望时间长些不会变色就完美了！  ,-,-,2021-06-11
11,放**奈,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,透明度很高，柔软有弹性，很厚，软中带硬，镜头保护的很不错，正面高出屏幕一点，以后也不需要经常换钢化膜了。发货也超快  ,-,-,2021-06-13
12,t**8,颜色分类: 苹果6/6S（4.7寸）透明【创意防摔壳】,好评,手机壳非常好，手感舒服，值得购买,-,-,2021-06-22
13,放**奈,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,第三次购买了，拍了2个质量依旧很好，胜过以前买的其他家产品，厚实做工好，产品质量非常不错，黑色配黑机器真不错！ ,-,-,2021-06-13
14,z**5,颜色分类: 【iphone11】透明【创意防摔壳】,好评,朋友给做了背板，特意买了个透明壳子，目前看着还不错，尤其这个拐弯话筒音响的设计，打游戏不卡手，真的很满意~ 整体评价：好 ,-,-,2021-06-22
15,y**瑞,颜色分类: 苹果7/8/Se2（4.7寸）玫瑰金【创意防摔壳,好评,好用。还很耐用，非常保护手机 尺寸贴合：好 整体评价：好 外观设计：好 保护情况：好 产品材质：好 尺寸大小：合适 ,-,-,2021-06-23
16,夏**m,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,买错了，本来想买玻璃材质的。但是套上出奇的好啊，挺扎实，颜值也好看。 ,-,-,2021-06-22
17,冯**6,颜色分类: 【iphone11proMax】透黑【创意防摔壳】,好评,严丝合缝 手感不错 有质感的壳子 ,-,-,2021-06-22
18,一**0,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！是理想中的产品，质量不错，物流也很快，值得点赞跟实体店没有区别，还便宜，喜欢！ ,-,-,2021-06-22
19,成**随,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,整体评价：整体感觉还是物有所值的 尺寸贴合：尺寸大小完全贴合 外观设计：还蛮好看的，有点小潮 保护情况：四个角有做特别的处理，刚装好就摔了一下，保护的很到位 尺寸大小：合适 产品材质：没有异味，拿到手里也不会滑 ,-,-,2021-06-15
20,h**0,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,对比去年买的单薄了很多，拿在手上明显没以前的有质感，称了一下果然。克数少在正面四周高度不超过屏幕，保护不了屏幕。 钢化膜也不好，四周一圈气泡贴不住。 本来用了好才来回购的，没想到没以前的好了。,-,-,2021-06-23
21,佳**0,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,始终相信一份价钱一分货，收到货立马按上，配套贴合很完美，尤其四个保护角，看着都厚实！送的还有手机膜，挂绳，不错👍值得购买,-,-,2021-06-15
22,苏**1,颜色分类: 【iphone11proMax】透明【创意防摔壳】,好评,这是我买过很多透明壳中最好的一个，价格也不贵，特别软，按键也灵活，以后就选你家店铺了 ,-,-,2021-06-25
23,樱**0,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,简约大气，手感好，推荐大家购买，很不错的一款手机壳。,-,-,2021-06-23
24,h**t,颜色分类: 苹果12/12pro（6.1寸）透黑【创意防摔壳】,好评,手机壳手感很好，黑色的应该不容易黄吧！好评,-,-,2021-06-22
25,t**5,颜色分类: 6plus/6splus（5.5寸）透明【创意防摔壳】,好评,第一次购买，摸着很有质感，质量不错。包装盒内涉及很好，还赠有钢化膜。 ,-,-,2021-06-22
26,甜**9,颜色分类: 【iphone11】透明【创意防摔壳】,好评,第三次买了，前面买的7p和xr的，618换了11，壳品质依旧值得信赖，很厚保护OK的，还送了膜 ,-,-,2021-06-23
27,米**洋,颜色分类: 〖iPhonexs MAX〗6.5寸透黑【创意防摔壳】,好评,每次都买这家手机膜膜 已经不是第一次了 质量很好很推荐姐妹们卖它 ,-,-,2021-06-22
28,t**7,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,质量真心好，细节很不错，之前买的绿脸的跟着真没得比，还会回购 非常满意 ,-,-,2021-06-23
29,边**尧,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,质量真心好，之前买过好几种透明胶套做工都没这个好，很厚实透明度高细节到位，而且透黑色感觉比透明的套黑色机器好看，比屏幕也高点非常满意  ,-,-,2021-06-03
30,妆**c,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,手机壳升级版确实不错。大小合适。尤其是喇叭口防尘做的很到位,-,-,2021-06-24
31,a**哥,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,此用户没有填写评价。,壳质量真的不错，之前买过8p。这又拍了xr和11p套上很贴合手感一流。主要是保护好特防摔安全感十足。做工依旧精致,-,2021-06-07
32,茶**3,颜色分类: 【iphone11】透明【创意防摔壳】,好评,整体不错，关键是防摔效果好，值得购买 ,-,-,2021-06-26
33,w**顾,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,很不错的手机壳 质量送也不错的 很好看 价廉物美 ,-,-,2021-06-25
34,h**g,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,买Doxiie的这款壳买了好多年了！iPhone6 换到 iPhone12 都在用Doxiie的壳。就上次买的开关按钮没对上，搞得开关会被长安。不过现在三个月后又买了一次（相信Doxiie），没问题了！应该是有改进吧！永远支持Doxiie壳！防衰不厚重！,-,-,2021-06-23
35,和**3,颜色分类: 苹果6/6S（4.7寸）透明【创意防摔壳】,好评,非常满意的一次购物，材质很好，正品，必须大赞 ,-,-,2021-06-24
36,李**鸡,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,整体评价：不错 尺寸贴合：合适的 外观设计：正常 保护情况：好着呢 尺寸大小：刚好 产品材质：硅胶吧  ,-,-,2021-06-24
37,四**道,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,产品材质：防摔保护没问题👌买的透黑色很好看 ,-,-,2021-06-15
38,紫**蛋,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,非常棒，做工也很好，细节做的很精致，材质也很好，满意 ,-,-,2021-06-24
39,x**9,颜色分类: 【iphone11】透明【创意防摔壳】,好评,到货速度挺快 用着手感也不错,-,-,2021-06-24
40,y**2,颜色分类: iPhone X/XS 透黑【创意防摔壳】,好评,收到手机壳，质量很好，下次还会光临的 ,-,-,2021-06-24
41,s**l,颜色分类: 【iphone11】透黑【创意防摔壳】,好评, 不怕手机摔了         很满意  商家还很贴心 送了 屏保一张  完美✌️。 ,-,-,2021-06-26
42,南**e,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,之前的手机壳用太久了，想换一个新的，这个摸起来手感很好，按键也很灵敏，感觉很不错。,-,-,2021-06-16
43,滕**2,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,很贴合，简单大方，还送了手机链,-,-,2021-06-22
44,树**6,颜色分类: iPhone X/XS 透黑【创意防摔壳】,好评,手感非常好，非常值得购买。 ,-,-,2021-06-26
45,于**伏,颜色分类: 6plus/6splus（5.5寸）透黑【创意防摔壳】,好评,质量非常好，柔软有弹性很厚防摔款的，做工特别精致，透黑色的套上很好看，非常满意还附送了钢化膜 ,-,-,2021-05-28
46,t**0,颜色分类: 7plus/8plus（5.5寸）玫瑰金【创意防摔壳】,好评,东西收到了，质量跟卖家描述的一样,-,-,2021-06-25
47,1**光,颜色分类: 6plus/6splus（5.5寸）透黑【创意防摔壳】,好评,非常好👍♥️老板送了贴膜和手机挂绳 ，满意，谢谢，原来的外壳是买手机的时候，一起来的，用了N年了……这么好早就该换了，新手机一样，大家买吧……真心好 ,特别边围和按键处超级棒👍♥️,-,2021-06-18
48,c**e,颜色分类: 苹果7/8/Se2（4.7寸）透明【创意防摔壳】,好评,此用户没有填写评价。,已经用了一段时间，手机壳质量很好！很厚实，开孔也精准。镜头位置最赞！,-,2021-05-30
49,e**3,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,很厚实，手感很好，是我喜欢的样子，只要耐脏就完美 ,-,-,2021-06-20
50,m**d,颜色分类: 〖iPhonexs MAX〗6.5寸透黑【创意防摔壳】,好评,壳子收到了手感很好，包裹的很紧密,-,-,2021-06-19
51,卞**6,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,壳很棒，套上很合适，正面高出屏幕很多这下不怕摔了，之前买过类似的都不如意，还会回购  ,-,-,2021-06-07
52,暖**7,颜色分类: 苹果7/8/Se2（4.7寸）玫瑰金【创意防摔壳,好评,非常的厚实 摔到地下也不会摔破的感觉 很好看 我喜欢 ,-,-,2021-06-20
53,丿**蓝,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,整体评价：非常好 性价比很高 尺寸贴合：完美适合机型  外观设计：美观清爽 保护情况：很好  尺寸大小：适合机型 产品材质：手感好 ,-,-,2021-06-18
54,春**绚,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,尺寸贴合：非常合适 整体评价：手感不错，也很简洁漂亮 ,很好，喜欢,-,2021-06-24
55,z**7,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,手机壳防摔保护的不错，摄像头的位置也超过了1mm，防止磨擦，真心不错，放心购买。,-,-,2021-06-25
56,z**l,颜色分类: 【iphone11proMax】透明【创意防摔壳】,好评,手感不错，四个角做了防摔，期待效果～ ,-,-,2021-06-20
57,怕**i,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,非常好挺好的，手机壳很厚，里面还送个钢化膜。挺好的 非常好 手机壳很厚 里面还送钢化膜 ,-,-,2021-06-20
58,果**i,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,现在觉得透黑的比纯透明的好看多了 不用担心变黄😅😅 ,-,-,2021-06-24
59,婀**1,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,质量挺好的 透明的很好看也很厚实 还送了膜和挂绳 不错,-,-,2021-06-18
60,星**雪,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,还不错，四角内置安全气囊，深空灰的手机用这个透黑非常好看。 ,-,-,2021-06-17
61,彭**彤,颜色分类: 〖iPhonexs MAX〗6.5寸透明【创意防摔壳】,好评,此用户没有填写评价。,上一张有暇疵就补发了一张，那一张用一个月左右就黄了，我把这张新的拿出来用，真的太差了，好像有一层洗不掉的腊，东一块西一块，以后坚决不买他家。,-,2021-04-29
62,九**仙,颜色分类: 苹果12/12pro（6.1寸）透黑【创意防摔壳】,好评,质量很好，开孔精密，手机一到就用上了，还送了钢化膜，自己贴！ ,-,-,2021-06-18
63,比**车,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,手机壳很不错，效果很满意，推荐大家购买,-,-,2021-06-18
64,我**远,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,四角防摔这个挺好的，我上个手机壳价格和这个差不多没有四角防摔，把我的这个手机磕掉了一块漆，换了这个就不用担心了,-,-,2021-06-25
65,l**兰,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,整体评价：材质厚实，无异味，性价比超高 ,-,-,2021-06-18
66,熊**9,颜色分类: 6plus/6splus（5.5寸）透黑【创意防摔壳】,好评,质量非常好，尺寸大小很贴合，细节处理没有任何毛刺瑕疵，准备换手机再来买其他配套产品。 ,-,-,2021-06-25
67,s**0,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,物流超级快，在6.16下单，今天竟然到货了，赶紧给手机换＂新衣＂，手感特别棒，我是红苹果手机，买了个黑外套，换上以后棒哒哒的，特别好看呢！啇家特别周到，还送了手机链，出门旅游也可以挂在脖子上了，很满意，双手点好评。,-,-,2021-06-17
68,若**齐,颜色分类: iPhone X/XS 透明【创意防摔壳】,好评,还不错好评,-,-,2021-06-24
69,t**1,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,物流速度快，卖家还送了手机膜和挂件，不错，保护效果也好，希望可以用久一点不会变黄 ,-,-,2021-06-15
70,只**j,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,手机壳质量很好，赠送的膜贴起来很容易，还赠了挂绳，太棒了 ,-,-,2021-06-22
71,t**9,颜色分类: 苹果7/8/Se2（4.7寸）透明【创意防摔壳】,好评,宝贝以收到非常哇塞建议大家购买,-,-,2021-06-24
72,花**1,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,整体评价：好 够厚实 防护性不错 ,-,-,2021-06-25
73,3**g,颜色分类: 【iphone11pro】透明【创意防摔壳】,好评,这手机壳真的太高大上了，非常非常值得购买。太棒了,-,-,2021-06-15
74,d**5,颜色分类: 【iphone11】透明【创意防摔壳】,好评,不错  质量挺好  不变黄的话  下次还会光顾 ,-,-,2021-06-17
75,s**8,颜色分类: 6plus/6splus（5.5寸）透黑【创意防摔壳】,好评,手感好，大小合适，材质不错！值得购买,-,-,2021-06-21
76,卢**6,颜色分类: 【iphone11pro】透明【创意防摔壳】,好评,第三次买了，包裹性手感都好，就是用一段时间发黄,-,-,2021-06-17
77,s**4,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,尺寸合适    质量手感都很好  还好看 ,买了2个颜色，质量确实好做工非常不错，很厚防摔保护的，不敢用薄的之前就是薄的给手机摔了,-,2021-06-20
78,旧**8,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,不错，挺好的。应该是能用很久的那种，不象以前买的硅胶的没用多久就坏了。 ,-,-,2021-06-24
79,孔**衣,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,此用户没有填写评价。,质量真的不错，之前别家买过一个做工没法跟这个比，这款细节很好，套上非常贴合按键也舒服，高出屏幕一些。还送了个钢化膜,-,2021-06-13
80,r**8,颜色分类: 苹果12/12pro（6.1寸）透黑【创意防摔壳】,好评,质量感觉挺不错的，第二次购买了,-,-,2021-06-18
81,黄**1,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,尺寸贴合：物流非常快，质感也非常好亲期待回购 ,-,-,2021-06-18
82,白**s,颜色分类: 【iphone11pro】透明【创意防摔壳】,好评,手感很舒服，拿在手里不会太滑，按键也轻巧，完美，用黄了还会回购。 ,-,-,2021-06-20
83,小**子,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,透明的老是容易发黄，这次买个透黑的看看，过段时间再追平，价格有点小贵 ,-,-,2021-06-24
84,t**9,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,质量超好 还送贴膜,-,-,2021-06-20
85,q**6,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,手机壳的质感很棒，装了之后很结实，挺好的,-,-,2021-06-22
86,1**花,颜色分类: 苹果12/12pro（6.1寸）透明【创意防摔壳】,好评,整体评价：挺好的 ,-,-,2021-06-19
87,宋**y,颜色分类: 【iphone11】透明【创意防摔壳】,好评,此用户没有填写评价。,已经发黄了。。。,-,2021-06-12
88,芳**0,颜色分类: iPhone X/XS 透明【创意防摔壳】,好评,收到了，这个手机壳手感不错，点赞 ,-,-,2021-06-22
89,t**8,颜色分类: 〖iPhone XR〗6.1寸 透明【创意防摔壳】,好评,质量很好 很结实 尺寸刚刚好 ,-,-,2021-06-22
90,5**u,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,好评，手机套很不错，侧边是类似苹果12一样的直角，其实带弧度，圆的边框才是真的舒服 ,-,-,2021-06-13
91,w**w,颜色分类: 〖iPhonexs MAX〗6.5寸透明【创意防摔壳】,好评,尺寸贴合：正好， 外观设计：简介 产品材质：软的手感好 整体评价：可以入手 尺寸大小：合适 送的膜也用上了，还不错哦 ,-,-,2021-06-14
92,天**冰,颜色分类: 〖iPhone XR〗6.1寸 透黑【创意防摔壳】,好评,质量真心好，之前买过好几种透明胶套做工都没这个好，很厚实透明度高细节到位，而且透黑色感觉比透明的套黑色机器好看，比屏幕也高点非常满意 可以说是买过最精致的透明防摔软壳了，这个价格确实不贵，质量相当不错工艺精湛。镜头保护完美，正面比屏幕高些不仅可以防摔而且不影响滑屏！之前买过双面的壳真心垃圾前面玻璃一碰就碎了一点都不值，用来用去还是这种好使 推荐真的好喜欢，客服态度也挺好的，值！以后有需要还会来买,-,-,2021-06-12
93,小**8,颜色分类: 6plus/6splus（5.5寸）透明【创意防摔壳】,好评,质量非常好，透明度好，尺寸刚刚好，洞口准确，防摔功能设计的好，物有所值 ,-,-,2021-06-12
94,q**w,颜色分类: 6plus/6splus（5.5寸）透明【创意防摔壳】,好评,东西收到，还不错的，马上就换上了。还好,-,-,2021-06-21
95,牵**的,颜色分类: 【iphone11】透明【创意防摔壳】,好评,质量超级好，下次还会购买,-,-,2021-06-25
96,t**4,颜色分类: 苹果12/12pro（6.1寸）透黑【创意防摔壳】,好评,一款不错的手机壳子，值得推荐,-,-,2021-06-23
97,t**3,颜色分类: 【iphone11】透明【创意防摔壳】,好评,发货速度很快哦  客服也是热心的人人哦  喜欢的亲亲们可以考虑买来看看,-,-,2021-06-15
98,b**3,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,此用户没有填写评价。,可以说是买过最精致的透明防摔软壳了，这个价格确实不贵，质量相当不错工艺精湛。镜头保护完美，正面比屏幕高些不仅可以防摔而且不影响滑屏！之前买过双面的壳真心垃圾前面玻璃一碰就碎了一点都不值，用来用去还是这种好使 推荐真的好喜欢，客服态度也挺好的，值！以后有需要还会来买,-,2021-05-23
99,迟**a,颜色分类: 〖iPhonexs MAX〗6.5寸透明【创意防摔壳】,好评,很不错啊这个还送了手机膜,-,-,2021-06-15
100,m**7,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,包裹很好 防摔,-,-,2021-06-23
101,l**2,颜色分类: 〖iPhonexs MAX〗6.5寸透黑【创意防摔壳】,好评,此用户没有填写评价。,手机壳还行,-,2021-06-17
102,h**3,颜色分类: 〖iPhonexs MAX〗6.5寸透黑【创意防摔壳】,好评,真的很好，厚实手感好，还送了钢化膜。,-,-,2021-06-18
103,s**粉,颜色分类: 7plus/8plus（5.5寸）玫瑰金【创意防摔壳】,好评,超级好看，超级喜欢，质量好，后面不变黄就更完美了，大大好评 ,-,-,2021-06-26
104,幻**t,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,物超所值，多次购买了，相当赞！！！,-,-,2021-06-20
105,t**7,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,很好，同时下单了3家人家，这家最满意，另外2家都退掉了 ,-,-,2021-06-23
106,t**9,颜色分类: 【iphone11】透黑【创意防摔壳】,好评,此用户没有填写评价。,手机壳很好用质量好,-,2021-06-02
107,t**6,颜色分类: 苹果7/8/Se2（4.7寸）透明【创意防摔壳】,好评,五星五星，太可以了,-,-,2021-06-20
108,贵**友,颜色分类: 苹果12/12pro（6.1寸）透黑【创意防摔壳】,好评,两分钟就搞定了 很方便  上台机子是7p  就买的他们家的壳   很好用  从上铺摔下来无数次毫发无伤  质量没得说,-,-,2021-06-11
109,刘**0,颜色分类: 苹果6/6S（4.7寸）透明【创意防摔壳】,好评,物流差到爆，换了2次膜都被压碎了，卖家说没有最外面的包装无法验证，你给我直接放菜鸟驿站我验证什么差,-,-,2021-06-24
110,蓝**e,颜色分类: 苹果7/8/Se2（4.7寸）透黑【创意防摔壳】,好评,整体评价：好 ,-,-,2021-06-24
111,小**3,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,非常棒的手机壳,-,-,2021-06-25
112,狂**9,颜色分类: 7plus/8plus（5.5寸）透明【创意防摔壳】,好评,可以好评 ,-,-,2021-06-20
113,t**3,颜色分类: 7plus/8plus（5.5寸）透黑【创意防摔壳】,好评,不错的 ,-,-,2021-06-25
