数据下载时间：2021-06-29 13:28:32 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/642739477192/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,苦**1,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,佩戴感受：戴在耳朵里特别舒服，没有感觉到耳朵不适的，然后听音乐声音的效果也是非常好的，出去跑步健身都不会掉，包装也很精致，高低音都很立体清晰，戴在耳朵里牢固，也不会觉得耳朵痛，非常喜欢，还会在来~ ,音质是还不错！,优质产品，迅速发货，真情服务是我们一贯遵循的宗旨。我们深知您们每一次网购都在生活中多添一份期待，这种期待是幸福的，我们也会不辱使命把幸福送到。期待看到您满意的笑颜O(∩_∩)O，愿您心想事成，事事皆如意。,2021-06-26
2,喔**耶,套餐类型: 官方标配 颜色分类: 升级版白色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,续航能力：我是开出租车的。用的微信对讲机。满电可以连续通话两小时前后。充电半小时左右就可以续航了。很不错了。我用的是单个耳机不习惯带双耳。影响和别人沟通 佩戴感受：很舒服。买了以后可以自己感受 外观材质：造型挺喜欢的 声音效果：屏蔽了杂音。通话什么很清晰 ,-,-,2021-06-26
3,t**1,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,买来运动健身最好用了，戴着很稳，不容易掉，耳机很轻无负重感。音质细腻，低音符合我的要求，戴久了耳朵没有不适的感觉，电池耐用，听歌还是看电影声音都清晰。在健身房跑步和骑健美车的时候，一晃一晃的都不会断，而且戴着还很稳。,-,-,2021-06-26
4,可**y,套餐类型: 官方标配 颜色分类: 升级版粉色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,此用户没有填写评价。,很少评价东西，这个还是必须给个赞的，第一副拿回来有一点点问题，卖家很给力很爽快的就给换货解决了，诚信经营的卖家，东西颜值很高，也不易掉，佩戴舒服，关键很隐藏，工作时或带娃时佩戴也很隐蔽，实话说有一丢丢噪音，但是毕竟是蓝牙耳机，而且价格非常美丽，也不影响使用，所以总体性价比非常高的,-,2021-06-04
5,t**4,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,这耳机很实用！现在天天带着了，真心喜欢，试用起来总体来说很轻音质很不错，而且摆放的很整齐，耳机没有任何瑕疵，没有杂音，声音清晰流畅，有个充电仓很方便，跑步不会掉下来，音效也很不错。,-,-,2021-06-26
6,宁**9,套餐类型: 官方标配 颜色分类: 升级版肤色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,其他特色：看着是耳挂式和带充电仓才买的，耳挂式的比其他款式的要戴得稳一些，主要自己的耳洞比较小，这种有耳挂的戴着牢固一些，耳机材质不错戴着耳朵不会疼，运动听歌使用很不错， 充电仓充电也方便，不用的时候放进去就自动充电了，在户外也不用担心找不到充电的地方。使用挺方便的 ,-,-,2021-06-26
7,痞**0,套餐类型: 官方标配 颜色分类: 升级版粉色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,戴出去跑步还是要用这种挂耳式的非常好用不会掉，佩戴也是很舒服，材质很柔软，戴久了耳朵不会感觉到不舒服，听了三个小时，电量才掉了百分之十几。蓝牙连接很稳定。,-,-,2021-06-14
8,1**名,套餐类型: 官方标配 颜色分类: 升级版肤色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,此用户没有填写评价。,在健身房锻炼的时候，好多晃动幅度大的项目，戴着这个耳机都不会掉，常戴也没有无痛感。耳机立体音效不错，音效就很完美，打电话很清晰，信号很稳定，电量很耐用，防水效果也是很不错，很满意。,优质产品，迅速发货，真情服务是我们一贯遵循的宗旨。我们深知您们每一次网购都在生活中多添一份期待，这种期待是幸福的，我们也会不辱使命把幸福送到。期待看到您满意的笑颜O(∩_∩)O，愿您心想事成，事事皆如意。,2021-06-22
9,何**3,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,这次一口气买了六个同价位不同款式的蓝牙，对比之后留下四个，退回俩个实在太差的，现在来说说这一款。音质方面高中音都不错，就是低音差好多，长时间佩戴耳朵不痛，狂甩不会掉出来。听音乐感觉稍差些，听小说打电话还行。总体来说唯一满意的就是，做事的时候怎么动都不会掉。 ,-,-,2021-06-26
10,田**钰,套餐类型: 官方标配 颜色分类: 尊享版黑色【无痛挂耳+狂甩不掉+数显电舱+自动秒连】,好评,续航能力：续航不错，一直用，还没充过电 佩戴感受：佩戴感受：挂耳的设计不会掉，适合跑步带 声音效果：音质不错，打游戏的时候也带着，没感觉有什么问题，盒子挺好看的，方便携带。 ,-,-,2021-06-26
11,连**3,套餐类型: 官方标配 颜色分类: 升级版肤色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,只有这种挂耳式耳机戴着才舒服，很稳。在健身房锻炼的时候，好多晃动幅度大的项目，戴着这个耳机都不会掉，常戴也没有无痛感。耳机立体音效不错，打电话很清晰，信号很稳定，电量很耐用，防水效果也是很不错。 ,-,-,2021-06-18
12,t**3,套餐类型: 官方标配 颜色分类: 升级版白色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,买来运动健身最好用了，戴着很稳，不容易掉，耳机很轻无负重感。音质还是蛮出乎我意料的，细腻的感觉，低音符合我的要求，戴久了耳朵没有不适的感觉，能用好几个小时，听歌还是看电影声音都清晰。,-,-,2021-06-15
13,y**3,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,是自动连接蓝牙的，信号稳定，通话也没有延迟，听得很清晰，说实话，比想象中好，外观材质很好 ，性价比高，听歌还可以听十个多小时，音质很立体，跟手机带的有线耳机一样有听歌有质感，这个耳机是真的很棒而且跑步不会掉哦。,-,-,2021-06-20
14,t**9,套餐类型: 官方标配 颜色分类: 升级版白色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,挂耳式耳机戴的很稳固不容易掉呀，买来跑步用的，跑步的时候听歌声音稳定不会断续，通话也很清晰没有杂音，关键还得是续航，真的可以听超久的，每次都是从白天听到晚上还能有电，这个确实厉害,-,-,2021-06-24
15,杰**6,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,音质方面做的很好，很清澈，放到最大声出去夜跑很给力 ，很有节奏感，降噪模式做的也很好，放到最大声也不会漏音，很适合我每天夜跑使用，质量做的很精致 ，方便携带出去，使用方面没有任何问题，很给力！,-,-,2021-06-22
16,连**3,套餐类型: 官方标配 颜色分类: 升级版白色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,挂耳式耳机好用，续航真的超久，从早听到晚完美ok，通话也很顺畅，没有杂音和断断续续的情况出现，音质方面的话，听歌的时候那种立体感哇~️舒服啊，还有人声低沉有层次感，性价比真的挺高的 ,-,-,2021-06-18
17,t**9,套餐类型: 官方标配 颜色分类: 升级版黑色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,"耳机连接过之后拿出来就自动配对连接，打开蓝牙就ok[胜利]，通话人声清晰，听歌的音质很好，有充电仓可以随时随地给耳机充电,兼容效果也高,携带也蛮方便的，质量很不错，同价位里性价比算是很高的了。",-,-,2021-06-24
18,t**7,套餐类型: 官方标配 颜色分类: 升级版白色【无痛挂耳狂甩不掉+数显电舱+自动秒连】,好评,买过几个蓝牙耳机，这家的挂耳式耳机比较实在，听歌切换歌曲很方便，暂停播放都轻轻按一下就可以，而且播放出来的音质效果非常不错，低音效果很好，信号也稳妥，不会断线，质量很棒，妥妥的给五星好评啦！  ,-,-,2021-06-16
