数据下载时间：2021-06-28 14:01:54 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641336879996/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**7,颜色分类: 炫酷黑★【冰箱半导体智能物理急速降温】★插电启动★送1.5m-Typec线,好评,散热器的效果非常nice，打起王者不会有延迟了，手机的温度一直控制的很稳定一点都不烫，吹风的声音很小不影响语音，是个好东西，外观好看还很实用，用了这个打游戏都开瑞全场，性价比高。安装情况：简单方二问尺寸大小：合适材质做工：美观,-,-,2021-06-17
2,t**8,颜色分类: 【加强风力】❣风冷散热/电池可无线使用 电镀银-送1.2米Type-C线,好评,散热器的效果非常nice，打起王者不会有延迟了，手机的温度一直控制的很稳定一点都不烫，吹风的声音很小不影响语音，是个好东西，外观好看还很实用，用了这个打游戏都开瑞全场，性价比高。 安装情况：简单方便 尺寸大小：合适 材质做工：美观,-,-,2021-06-26
3,t**d,颜色分类: 风冷插电款-银色 送1.5m线,好评,发货快！很轻，夹的比较稳，可以散热！性价比很高！,用了一下，还是不错的，和描述的一样！,-,2021-06-18
4,t**4,颜色分类: 【主播推荐】?风冷充电款【黑色】★ 送1.5m线,好评,是正品 看起来非常高级 很好用 方便实用,-,-,2021-06-21
5,h**刚,颜色分类: 【主播推荐】❣风冷充电款-银色+指套 送1.5m线,好评,今天宝贝收到，快递速度快，宝贝很飘亮，装到手机上使用很方便,-,-,2021-06-21
6,尹**王,颜色分类: 【主播推荐】❣风冷充电款-银色 送1.5m线,好评,精致小巧  几乎无重量  不影响游戏手感,-,-,2021-06-18
7,t**7,颜色分类: 【加强风力】❣风冷散热/电池可无线使用 电镀银-送1.2米Type-C线,好评,手机打游戏感觉很烫手，然后就买了这家的散热器，效果还是挺不错的，散热挺快的，体验了一下，感觉很好，手机不烫手，玩久了也不会掉帧卡屏，散热器的颜值也很高总体上很可以哦,-,-,2021-06-17
8,h**8,颜色分类: 【加强风力】❣风冷散热/电池可无线使用 电镀银-送1.2米Type-C线,好评,材质做工：做工精细，散热起来挺好用的，散热手机很快，不会像风冷散热器噪音大，这个冷冻降温特别的安静，散热的同时不会影响到手机的使用，小巧便携，夹在手机后面也方便，性价比高，用的很满意,-,-,2021-06-21
9,t**7,颜色分类: 【加强风力】❣风冷散热/电池可无线使用 电镀银-送1.2米Type-C线,好评,此用户没有填写评价。,小小散热器，风力杠杠的，我这是用了一段时间才来评价的，绝对负责人，我直播用，三四个小时，用了它再也不卡顿了,-,2021-06-17
10,d**8,颜色分类: 【主播推荐】?风冷充电款【黑色】★ 送1.5m线,好评,打开包装说明书、合格证啥都没有，只是勉勉强强能用吧，风力不大几乎感觉不到什么风样，散热效果就不好说了，不过也许是这样，所以用时也还挺安静的。自身电板又不大，没用多久就没电了，虽然好像貌似可以边充电边用样，但又不知怎么的充电孔好像很松样，老会掉下来。之前买过个更便宜的明显风都更大，觉得两个转速也差不多啊，反正我这次大概是买了个寂寞吧！习惯了好评，也懒得退了，也应该不会再来他家了。,-,-,2021-06-23
11,雨**光,颜色分类: 【主播推荐】?风冷充电款【黑色】★ 送1.5m线,好评,风力还可以，价格也不错，正品，希望以后玩手机的时候不会再热了,-,-,2021-06-26
12,滕**宝,颜色分类: 【主播推荐】?风冷充电款【黑色】★ 送1.5m线,好评,这个风扇可以说是物美价廉 首先价格不贵 其次质量很好，风不大不小，紧贴到手机上其实没必要那么大风 用起来很舒服，手机不发烫了，不用担心手机电池老化 信我的，大家可以买,玩了几次游戏，效果很棒，手机一点也不热,-,2021-06-07
13,t**2,颜色分类: 【主播推荐】❣风冷充电款-银色 送1.5m线,好评,新买的散热器，绝对是正品，风扇静音，风力挺大,使用了后，感觉挺好的，能持续使用好久,-,2021-06-25
14,t**1,颜色分类: 象牙白★【冰箱半导体智能物理急速降温】★插电启动★送1.5m-Typec线,好评,苹果8玩吃鸡烫的厉害，实验2天有效果，吃鸡一天基本不热了；基本静音，耳朵贴着还是可以听到一点风扇声；接口是tyc的，玩游戏的时候一根线充电，一根线散热，希望以后出多接口。,-,-,2021-06-25
15,t**4,颜色分类: 【主播推荐】?风冷充电款【黑色】★ 送1.5m线,好评,正品超级好，很稳，不贵，声音也小，棒棒棒。,-,-,2021-06-21
16,艳**9,颜色分类: 金属银★【冰箱半导体智能物理急速降温】★插电启动★送1.5m-Typec线,好评,造型美观，无噪音，制冷效果好。骁龙888都能完美控温。,-,-,2021-06-21
17,t**9,颜色分类: 象牙白★【冰箱半导体智能物理急速降温】★插电启动★送1.5m-Typec线,好评,这个散热器太棒了 纯正品 凉的特别快 特别适合手机发热太严重的玩家使用,-,-,2021-06-09
