数据下载时间：2021-06-28 12:00:19 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641822753778/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,赛**麻,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,特别好，之前还担心不好看或者质量不行。没想到非常的合适。扣子也很紧，不担心松了忽然掉。一次很好的购物体验。推荐！,-,-,2021-06-21
2,十**x,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 褐色,好评,此用户没有填写评价。,特别好看而且材质很好～简约风格很喜欢，性价比很高！推荐大家购买呀,-,2021-06-23
3,y**8,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,戴上还蛮不错，而且很显得肤色白，主要是颜色不突出。,-,-,2021-06-26
4,l**3,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,表带收到了～～白色配上蓝色也很好看～～夏天搭配裙子或休闲装美美哒～～,-,-,2021-06-22
5,k**7,表带尺寸: 38mm（1~3代）下单送壳膜 颜色分类: 褐色,好评,纠结了很久白色还是棕色，最后买了棕色，很适合上班戴，百搭好看，换了个表带感觉换了个手表呢。,-,-,2021-06-24
6,未**g,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,表带很好看，换个表带有了换个表的效果。可以调节松紧，颜色也很适合夏天，好评,-,-,2021-06-26
7,1**城,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,质感很棒，没有味道，配纯黑的表盘也好看！推荐推荐！还送了膜和支架！,-,-,2021-06-24
8,淘**鲑,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 褐色,好评,表壳和表带都是从他们家买的，简直太漂亮啦！非常大气。就像换了一个新手表！好评！,-,-,2021-06-26
9,雨**i,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 褐色,好评,表带颜色没有什么色差 质感很好 给个好评,-,-,2021-06-25
10,粘**萌,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,质感很好，颜色很正，带上也很舒服，非常的满意，以后表带锁定这家啦～,-,-,2021-06-23
11,c**1,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 褐色,好评,特别喜欢！质量很好，颜色很正。真的比想象中的好太多，极力推,-,-,2021-06-24
12,柒**7,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,还挺不错了 把之前一直没戴的表找了出来 换上夏天可以戴一戴,-,-,2021-06-21
13,a**素,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,多次购买了，这家的表带款式很新颖，质量也好，带起来很舒服。颜色特别正，跟表盘毫无违和感。,-,-,2021-06-20
14,j**0,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 褐色,好评,超好看非常复古的颜色，配玫瑰金的表盘绝绝子，戴着也很舒服，一年四季都适合，爱了爱了！,-,-,2021-06-19
15,t**9,表带尺寸: 42mm（1~3代）下单送壳膜 颜色分类: 棕色,好评,发货速度很快，颜色很好看，很高级且有质感，推荐,-,-,2021-06-21
16,い**啵,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 米白色,好评,给我宝贝买的，她很喜欢！奶白色永远的神！  这样看她手好可爱哈哈哈哈,-,-,2021-06-20
17,t**3,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 杏色,好评,一开始还怕这个表带太细 hold不住44mm的表盘 没想到很惊喜,-,-,2021-06-15
18,y**6,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,质量非常不错，细表带适合小手围的人，而且孔密松紧度调节很方便，颜色也低调，配个银色表壳就更好了,-,-,2021-06-11
19,若**5,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,物流还是挺快的   颜色也很正的呢 特别喜欢 下次还要在他家买,-,-,2021-06-25
20,小**n,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,颜色浅浅的，特别适合夏天，戴起来很方便而且安全！贴在手腕上也很舒服！不过带了几天，有些脏了，擦擦就好了，超百搭！,-,-,2021-06-11
21,7**滥,表带尺寸: 38mm（1~3代）下单送壳膜 颜色分类: 米白色,好评,确实是太好看了吧 满眼的喜欢 带出去身边的朋友都要链接 这次入手的是米白色很适合夏天带 下次准备买个绿色的 看着颜色就很正 包装也很好 真的是太太太喜欢啦,-,-,2021-06-24
22,真**3,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,好用好用！好看好看！质量很不错，种**这家店，准备再来一支金属表带换着戴！不错不错👍,-,-,2021-06-13
23,琼**梦,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,哇 真的好喜欢呀超级百搭可人就是超级喜欢啦  这个颜色也超级好看 反正就是值得啦,-,-,2021-06-12
24,t**4,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,挺好看的，质量也不错，一个表带拯救了一个表，这个表已经很久没带了，换个表带又有了想带的冲动，颜值超高,-,-,2021-05-28
25,暖**g,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 褐色,好评,好看，皮质很软，戴上也很舒服，颜色也漂亮。。,-,-,2021-06-14
26,h**2,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,表带的颜色漂亮，细的挺好看，质量也不错。,-,-,2021-06-11
27,邵**萌,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 褐色,好评,表带收到了，颜色是真的很正，很好看，带着也很舒服，推荐购买！,-,-,2021-06-14
28,喜**球,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,买白色是为了日常百搭，凑近闻才有一点点味道。我的表盘是40mm的，没有p图，不显白也不显黑吧，给姐妹们参考～,-,-,2021-06-25
29,旧**7,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,好好看的表带哦，夏天戴也不热啦，搭配壁纸美美哒，喜欢💕,-,-,2021-06-09
30,8**s,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,颜值高还轻！比我想象中好看。和我粉色表很搭。 米兰尼斯表带太重太热了，完美解决了这两个问题。 质感还是有的。,-,-,2021-06-26
31,t**9,表带尺寸: 38mm（1~3代）下单送壳膜 颜色分类: 杏色,好评,爱了爱了，表带挺软的，质量不错，做工也可以，这颜色百搭啊,-,-,2021-06-21
32,l**b,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 杏色,好评,这个袋子配粉色的就是好看,-,-,2021-06-26
33,e**y,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,非常好看的表带 iwatch的快乐就在于经常可以换漂亮的表带 哈哈哈哈,-,-,2021-06-22
34,就**0,表带尺寸: 40mm（4~6代/SE)下单送壳膜 颜色分类: 米白色,好评,很精致百搭，配衣柜所有衣服都很合适，喜欢，以后表带就认准这家啦～,-,-,2021-06-26
35,我**散,表带尺寸: 44mm（4~6代/SE）下单送壳膜 颜色分类: 米白色,好评,从朋友那种草过来的，表带很好看，很适合女生带，和我的黑色表盘也很搭，而且也不闷气，总的来说还是值这个价钱的,-,-,2021-06-04
36,柠**4,表带尺寸: 38mm（1~3代）下单送壳膜 颜色分类: 米白色,好评,收到宝贝太开心了！颜色非常显白，小巧精致！十分喜欢😘取戴也十分方便！没有买错,喜欢,-,2021-06-04
