数据下载时间：2021-06-28 14:05:31 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/613836830913/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,卡**3,颜色分类: 升级版黑色,好评,整体评价：很稳定，不抖动，基本满足所有车型，非常棒 ,-,-,2021-06-23
2,t**0,颜色分类: 升级版银色,好评,质量很好用着也挺好方便不易掉 ,-,-,2021-06-24
3,t**1,颜色分类: 黑色,好评,整体评价：先后买过几个手机架均不满意，这是考查了许久后找到最滿意的一款，外观漂亮，质地高档，安装方便，希望使用中称心如意，点赞了。 ,-,-,2021-05-28
4,t**4,颜色分类: 银色,好评,设计比较特别，非常适合放在中控台，实用性和美观度都做到了，以前的那种放在中控台上感觉手机朝自己永远是歪的，这个视线距离刚刚好！ ,-,-,2021-06-25
5,l**5,颜色分类: 黑色,好评,使用体验：目前开车路都挺颠簸的但是依然很稳没有噪音。比较不错，以后会回购的！ 安装情况：安装非常简单可以通过圆盘角度选择自己比较适合的角度！ 产品材质：材料看起来挺好的，没有毛边不光泽情况。 ,-,-,2021-06-15
6,张**1,颜色分类: 黑色,好评,粘接比较牢固，看起来也比较精致，使用起来方便，终于不用每天用老式的去夹那个空调口了。爆赞。,-,-,2021-06-26
7,风**0,颜色分类: 银色,好评,车载手机支架款式大方，与描述一致，还没安装上去，先好评了 ,-,-,2021-06-23
8,龙**3,颜色分类: 升级版黑色,好评,开车十几年了，用了不少手机支架，这款是我最满意的，放上手机很稳，也不会出现嘎吱嘎吱响声，推荐一下给大家,-,-,2021-06-21
9,t**2,颜色分类: 升级版 银色+香熏*1{（默认古龙）可联系客服指定},好评,这个真的很好用，我拿回来赶紧去安装了，真的很好使用，比我想象的还要好，喜欢的宝宝赶紧下手吧，超值,-,-,2021-06-20
10,s**u,颜色分类: 升级版 黑色+香熏*1{（默认古龙）可联系客服指定},好评,质量很好，粘贴式的，很牢固耐震，样式美观大气，安装后不遮挡视线，物流很快，五星好评,-,-,2021-06-24
11,t**8,颜色分类: 升级版黑色,好评,特别好十分实惠而且好用建议大家购买,-,-,2021-06-26
12,坚**底,颜色分类: 银色,好评,售后特别好，有问题都给及时解决了，开始就是沾不住，后来给发的粘贴，说不行在给换，非常有信用的商家，大大的赞👍 支架很好看，也好用，,-,-,2021-06-26
13,唐**c,颜色分类: 升级版 银色+香熏*1{（默认古龙）可联系客服指定},好评,产品质量不错，手感也很好，总体来说很满意,-,-,2021-06-22
14,z**7,颜色分类: 黑色,好评,东西很满意固定的很牢固，过减速带也不会抖动，比以前买的那几个都好用，,-,-,2021-06-22
15,我**不,颜色分类: 黑色,好评,好用，拿放很方便。做工也比较精致 ,-,-,2021-06-21
16,1**g,颜色分类: 黑色,好评,不错，先自己买了一个，现在帮朋友买一个，质量，还是不错的，有需要还会再来的,-,-,2021-06-23
17,b**0,颜色分类: 黑色,好评,安装上非常合适！建议入手！,-,-,2021-06-23
18,r**n,颜色分类: 升级版 银色+香熏*1{（默认古龙）可联系客服指定},好评,安装上后很好的，粘得也挺紧，很满意的一次购物，会推荐朋友买,-,-,2021-06-26
19,g**g,颜色分类: 升级版黑色,好评,外形很好看，很喜欢。,-,-,2021-06-10
20,x**3,颜色分类: 蓝色,好评,感觉还是不错的！👍👍👍👍👍👍👍,-,-,2021-06-10
21,x**o,颜色分类: 升级版 黑色+香熏*1{（默认古龙）可联系客服指定},好评,东西不错，好用，值得拥有,-,-,2021-06-24
22,明**9,颜色分类: 升级版黑色,好评,东西很实用，买了好多个了，都没用，这个贴上去很好的老板，热情，值得信赖，好用，要买就买这一款，😎,好用，值得拥有，都来买吧😍,亲爱哒，您的信任是对我们最大的欣慰，希望我们能给您带来一份惊喜与快乐！,2021-06-25
