数据下载时间：2021-06-28 11:59:42 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/631731092507/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,d**猴,颜色分类: 1米【Type-c接口oppo专用5A闪充】2条装,好评,非常满意的一次购物，宝贝无论款式还是颜色都非常棒！质量很好，很有品质，黑色的很高大上。非常成功的一次网购！接触灵敏度：灵敏度可以的，而且价格实惠充电速度：速度可以，质量保证一年的时间，有问题可以换新的，外观材质：外观比较好看，而且比较耐用的，外观比较好看，而且比较耐用的，外观比较好看，而且比较耐用的，外观比较好看，而且比较耐用的，外观比较好看，而且比较耐用的，充电速度也比较快，数据线充久电手机也不会发烫，充电反应很灵敏，没有弹窗没有出现不支持。数据线很坚固，接口的做工接触很稳不会松动。包装很好看，非常的小巧精致，还很便携。物美价廉,-,-,2021-06-26
2,t**1,颜色分类: 1.5米【安卓接口oppo4A闪充】1条装,好评,数据线质量特别好，长度够用，拿回来充电试了一下，接触灵敏，充电速度非常快，果然是闪充，和原装充电器没什么两样，这个品牌值得信赖，经济实惠的同时充电也很稳定，线很软且头也不松动而且接口的做工也是很细致的，感谢卖家送的小礼物🙏🏻,-,-,2021-06-24
3,会**h,颜色分类: 1.5米【Type-c接口oppo专用5A闪充】1条装,好评,挺好用的，充电快，不会发烫，充满涓流保护，再也不担心手机过冲了，说明匹配度还是很高的，质量不错，样子也好看，接口的金属质感特别好，很光亮，看着很高档，使用起来不发热充电速度也挺快，于是家里办公室书房凡是有接口的地方全配好了。真的很棒。好评。 ,-,-,2021-06-22
4,t**8,颜色分类: 1米【Type-c接口oppo专用5A闪充】1条装,好评,东西很好 和原装的一样 还很便宜 送了一个小东西 这样就会免得以后再发生数据线开口的情况了 喜欢的就下手吧 已经推荐给其他舍友了 他们也心动要买了 便宜又好用喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢 ,-,-,2021-06-22
5,z**4,颜色分类: 1米【Type-c接口oppo专用5A闪充】1条装,好评,接触灵敏度：好 充电速度：快 外观材质：好 充电线很棒跟我的手机很合适客服态度也很负责热情还送了小礼物对手机的保护也挺有用处的充，电也快也不会有突然短路的风险目前挺满意的价格也很划算充电线长度也可以自行选择满意满意如果下次还需要买充电线会再次选择这家的!!  ,-,-,2021-06-23
6,e**郁,颜色分类: 1.5米【安卓接口oppo4A闪充】2条装,好评,接触灵敏度：灵敏度很好，用了几天才来评论的，之前怕不太好用一直在试，插上立即充电，灵敏度很高 充电速度：充电速度可以，虽然不如原厂的充电器，但是对比下原厂的价格，这个价位已经是性价比高的了。 外观材质：外观和原厂没什么差别，就少了个logo，很满意。☺ ,-,-,2021-06-24
7,嘿**球,颜色分类: 2米【Reno系列-FindX系列专用闪充】2条装,好评,做工不错，接口接拔顺畅，衔接也很结实，不易掉落！没有松动的迹象反应很灵敏，接口也稳。充电速度和数据传输很快！数据线的硬度也是刚刚好，也不会容易断。入手的是两米的数据线， 客服态度很好，有问必答，售后有保障。很满意！ ,-,-,2021-06-25
8,t**0,颜色分类: 1.5米【Type-c接口oppo专用5A闪充】2条装,好评,从包装上可以感受到商家很细心，做了多层包装，减少了运输中的损坏，还送了保护套，可以增加数据线的使用寿命，试了一下接口正好合适，不紧不松，前天下单，两天就收到了，发货速度很快，很赞，希望商家能越做越好，祝商家生意兴隆，万事如意!!,-,-,2021-06-23
9,t**8,颜色分类: 1.5米【安卓接口oppo4A闪充】1条装,好评,充电手机速度很稳定，使用效果很不错，充电的时候不会发热发烫，电流也是稳定，包装也不错，看着挺耐用，不弹窗，不提示不匹配现象，反应很敏捷，超方便的，很人性化设计。卖家发货很快，质量很好。接触很稳不会松动。超级喜欢这条线。很喜欢他家的数据线，非常的好用，平时边冲边玩的时候很方便的，充电反应很迅速，每次充电都非常快。充电不弹窗也挺快的，很耐用，这个数据线的性价比好高，很满意啦。还会继续光顾的。 ,-,-,2021-06-22
10,我**甜,颜色分类: 1.5米【Type-c接口oppo专用5A闪充】2条装,好评,接触灵敏度：接触蛮灵敏的，和我的手机很匹配。充电速度也比较快。店家还是比较贴心的，送了两个线套保护器。这样线还是可以大大提升使用寿命讷。包装比较整齐厚实，强迫症的福音了，看上去还是有质感。线比较粗，不单薄，应该耐用吧，至少感觉是的。 ,-,-,2021-06-24
