数据下载时间：2021-06-28 13:00:12 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/596172614379/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,晟**宇,颜色分类: 1米【闪充线】两年超长质保 买一送一,好评,接触灵敏度：非常好 充电速度：与原装完全一样 外观材质：乳白色，很漂亮 用着和我的原装充电线完全一样。买一送一还加了保护壳，客服回复也很及时，价格非常实惠，建议大家购买。 ,很不错，和原来的线相比较，这个线软一点，不会容易折断，推荐购买，还买一送一，性价比高，和原来的充电器完全一样。,-,2021-06-18
2,海**3,颜色分类: 【双引擎闪充头+1.5米闪充线】,好评,之前买了几次充头和数据线，充电时间太长，费时。这次买的非常好，充电迅速。特别喜欢接口保护套，以后就不担心线折断了。很满意的一次购物！,-,-,2021-06-24
3,爱**淇,颜色分类: 1米【闪充线】两年超长质保 买一送一,好评,vivo数据线充电速度快，家里，车载用着都很好，数据线很软，很结实，会介绍朋友购买的，下次再来复购。,vivo数据线双引擎闪充，配上飞利浦充电座，真实无敌的存在,-,2021-06-25
4,不**r,颜色分类: 1米+2米【闪充线】两年超长质保,好评,刚刚收到是原装闪充线，质量非常棒充电非常的 快，直得信任，大家快来购买。已经多次购买，便宜。,非常喜欢，爱了爱了,-,2021-06-24
5,t**4,颜色分类: 1.5米【闪充线】两年超长质保 买一送一,好评,数据线很好，很喜欢，充电速度也挺好的，而且他送了个保护套挺好的，防止线弄弯，推荐大家去买！,很喜欢，再说一遍很好，充电很快，下次我还会回购的,-,2021-06-18
6,大**苏,颜色分类: 2米【闪充线】两年超长质保 买一送一,好评,质量不错，第二次购买了，和老公两个人一根线不够用，之前老公买的用了一年多了还好好的，充电还是那么快，线也够长，所以又买了两条，家里店里不用拿来拿去的了，非常满意，下次还来你家 ,一如既往的好用，线长方便，祝店家生意兴隆！,-,2021-06-26
7,单**的,颜色分类: 1米【闪充线】两年超长质保 买一送一,好评,数据线已收到，充电很快，我很喜欢。充起来跟原装的一样，一下子买了两根，这样出门携带也挺方便。 ,充电真快，推荐需要购买,-,2021-06-22
8,1**6,颜色分类: 1米【闪充线】两年超长质保 买一送一,好评,充电线挺不错的，感觉和原装差不多，是闪充的，很灵敏，充电属实挺快的，建议购买,充电线用着挺好，买一送一还送了保护套，价格也实惠，,-,2021-06-24
9,s**0,颜色分类: 1.5米【闪充线】两年超长质保 买一送一,好评,东西不错的，便宜又实惠，还送了防护头，物流很快就到了，冲电也快是正品，值得推荐购买,-,-,2021-06-15
10,s**m,颜色分类: 1米【闪充线】两年超长质保 买一送一,好评,充电速度：充电速度非常快 外观材质：材质柔软，光滑，线很长，很坚实，材质很好，插头插进顺畅。 ,充了一次电，充电很快，喜欢的入手吧，。。愉快的购物,-,2021-06-18
