数据下载时间：2021-06-28 13:47:08 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/624630716549/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,焰**台,适用平板电脑型号: 荣耀平板V6 10.4英寸 颜色分类: 【手托款支架皮卡丘】,好评,手感不错，硅胶软软的，做工精细，考究，看得出开模具用心了。,-,-,2021-06-22
2,z**5,适用平板电脑型号: 华为 Matepad 10.4寸 颜色分类: 【手托款支架皮卡丘】,好评,是硅胶材质非常好，这样就能保护孩子不容易碰撞了。,-,-,2021-06-25
3,清**9,适用平板电脑型号: 荣耀平板7 10.1寸 颜色分类: 【手托支架半脸米妮】粉色,好评,保护套非常好，完美贴合，再也不怕小孩摔了,-,-,2021-06-21
4,媛**0,适用平板电脑型号: 华为 Matepad 10.8寸 颜色分类: 【手托款支架呲牙恐龙】,好评,颜色是孩子喜欢的蓝色，还有小恐龙，质量也不错,-,-,2021-06-23
5,听**穹,适用平板电脑型号: 华为 Matepad 10.4寸 颜色分类: 【手托款支架呲牙恐龙】,好评,很可爱，是小朋友喜欢的小恐龙，再也不怕小朋友上课把它摔了，有扶手也很方便小朋友上课。,-,-,2021-06-26
6,侯**4,适用平板电脑型号: 华为MatePad Pro - 10.8英寸 颜色分类: 【手托款支架皮卡丘】,好评,质量很好，无异味，颜色鲜艳，孩子喜欢。,-,-,2021-06-23
7,花**武,适用平板电脑型号: 华为MatePad Pro - 10.8英寸 颜色分类: 【手托款支架皮卡丘】,好评,试了几天才来评价，不错，正好，小孩子很喜欢,-,-,2021-06-24
8,胖**宝,适用平板电脑型号: 华为 Matepad 10.4寸 颜色分类: 【手托款支架呲牙恐龙】,好评,很好看，很可爱，挺适合小男孩使用，有把手挺方便,-,-,2021-06-22
9,n**3,适用平板电脑型号: 2021新款华为MatePad Pro - 10.8英寸 颜色分类: 【手托款】黄色支架皮卡丘+【高清钢化膜】,好评,外壳质量还可以，按键基本都能露出来，送的膜就很一般了,-,-,2021-06-26
10,x**0,适用平板电脑型号: 华为MatePad Pro - 10.8英寸 颜色分类: 【手托款支架皮卡丘】,好评,小孩子非常喜欢，质量挺好的,-,-,2021-06-22
11,x**5,适用平板电脑型号: 华为 Matepad 10.4寸 颜色分类: 【手托款支架蓝色馋嘴猫】,好评,质量挺好的  儿子很喜欢,-,-,2021-06-24
12,l**1,适用平板电脑型号: 荣耀平板7 10.1寸 颜色分类: 【手托款支架皮卡丘】,好评,保护套很可爱，小孩非常喜欢。,-,-,2021-06-14
13,k**7,适用平板电脑型号: 荣耀平板V6 10.4英寸 颜色分类: 【手托款支架呲牙恐龙】,好评,此用户没有填写评价。,用了一段时间，牢固好用，就是音量按钮遮挡了,-,2021-04-06
14,锦**e,适用平板电脑型号: 华为畅享平板2 10.1英寸 颜色分类: 【手托款支架皮卡丘】,好评,宝贝自己选的图案，他很喜欢，尺寸合适，解放了双手，好安装,支撑角度合适，观看效果好。,感谢您在千万产品中选择了我们家，对我们的认可，Puller旗舰店的宗旨我们坚持为消费者提供好的产品，好的购物体验，所以我们家对产品质量的把关是很严格的，只有严格的执行力，才能为每一位支持我们家的亲们收到好的宝贝。也希望您能持续关注店铺，我们也会珍惜您的好评，不断的改进自己，完善自己，您的好评就是对我们的肯定和鼓励，期待您下次光临，祝您生活愉快!,2021-06-20
15,不**2,适用平板电脑型号: 荣耀平板V6 10.4英寸 颜色分类: 【手托款支架皮卡丘】,好评,很好用，好看。,-,-,2021-06-21
16,陈**9,适用平板电脑型号: 荣耀平板V6 10.4英寸 颜色分类: 【手托款支架呲牙恐龙】,好评,还行吧，是宝贝自己选的图案，图案挺好看的，很可爱,安装上是合适的,感谢您在千万产品中选择了我们家，对我们的认可，Puller旗舰店的宗旨我们坚持为消费者提供好的产品，好的购物体验，所以我们家对产品质量的把关是很严格的，只有严格的执行力，才能为每一位支持我们家的亲们收到好的宝贝。也希望您能持续关注店铺，我们也会珍惜您的好评，不断的改进自己，完善自己，您的好评就是对我们的肯定和鼓励，期待您下次光临，祝您生活愉快!,2021-06-23
17,蓝**1,适用平板电脑型号: 华为 Matepad 10.4寸 颜色分类: 【手托款支架呲牙恐龙】,好评,东西不错,-,-,2021-06-22
