数据下载时间：2021-06-28 13:16:28 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/639001397485/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**6,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,非常不错的宝贝，带屏幕显示电量，外观精致，非常喜欢，是真正的快充，充电速度非常的快，这是我目前用过最好的充电宝，充电的容量也非常大，充满后可以充好几次。相信我，这个充电宝可以的,-,-,2021-06-04
2,t**8,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,此用户没有填写评价。,这款充电宝实在是太棒了！很精致，拿在手里手感确实好，收到货手机刚好没电从19%到85%但充电宝的电量才减掉20%，是我用过最棒的充电宝，好久没有认真评价了，只因为太喜欢！包装也特别好，做工精美,-,2021-06-18
3,d**帆,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充电宝拿在手里就很有份量，整体上有很多功能自带线自带插脚手机支架支持快充的接口，产品大小上也能接受巴掌大小也方便携带，价格上也对得起这款宝贝，而且618还能优惠，估计老板心在滴血吧，哈哈哈 ,-,-,2021-06-16
4,t**9,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,相对我之前用的那个充电宝，这个体积小巧多了，手感不错，轻薄。颜值也是我喜欢的那种，简答大气不花俏，设计得也符合日常使用，自带线方便充电，自带插脚方便自充，紧急时刻还能客串手机充电头，数显也很精准，都是实用的功能。手感是那种带微微磨砂的，舒服。蛮不错哒,-,-,2021-06-25
5,n**a,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,此用户没有填写评价。,放口袋里刚刚好[666]，轻薄充电宝。不占空间太方便了，很有质感的外观，即使送人也很高级精致。 非常不错，小小的，冲电快，不发烫，关键是大容量，非常好用[强],-,2021-06-17
6,入**2,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,此用户没有填写评价。,东西很不错，到手很有份量，充电也不是虚电。预测满电充电宝可以给手机冲3次电左右。比预测只冲两次电已经是超出了。本人也买过很多充电宝。建议大家别去买很夸张容量电的充电宝，就买这种容量实诚，充电宝大小适当的一定真。,-,2021-06-15
7,心**j,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,时尚精致，容量大电量足，充电快续航持久。使用方便。安全节能，好评 ,-,-,2021-06-24
8,t**9,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充电时很稳定，外观小巧精致，不占空间，走到哪充到哪随时续电，不影响追剧，质量挺不错！推荐 蛮实用的。显示剩余电量保证可以及时充电，不耽误使用,-,-,2021-06-25
9,t**2,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,体积不算大，比我的30瓦PD快充只大了一点，做充电器使用，能够充满自动断电 ，边用边冲的充电速度也不慢，使用的时候也没有发热，续航给力，值得入手。卖家服务也很好，有问必答,-,-,2021-06-15
10,香**8,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,体积不会笨重，看着就顺眼👍，而且这个是我买的最小巧的一个，携带方便而且一点儿也不占地方试用了一下，充电速度很快，电量也很足，而[抓狂]且这个充电宝还有数显功能加上这个外观看起来就大气，之前买的就没这功能哦，还能带上飞机✈,-,-,2021-06-10
11,z**6,颜色分类: 【经典白*支持18W快充】15000毫安+自带线2条+可当手机支架+带数显+折叠插脚,好评,物流给力，包装还是比较看起来高大上的，开机就有57的电量，白色是我预期的效果，自带的充电线也可以实现我手机的快充，在我的预想之中，就是关机时候这个屏幕还是啥原因，感觉反应迟钝，要按几次才能关掉，总体来说大小，外观，颜色对我来说还是可以，后期使用过后再具体评价性能。 ,-,-,2021-06-23
12,8**g,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,很轻便，携带也挺好带的，用着简单方便，自带插脚，自带线，实用方便，外观设计得不错，充电次数也蛮多的，方便携带，安利一波。以前出门都是乱糟糟的线和充电头，现在就很简单了，一个充电宝搞定，带出去朋友都跟我要链接了，功能太强大，想低调都难！ ,-,-,2021-06-22
13,i**4,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,非常精致的一款充电宝，小巧可爱，做工非常细致，手机插上就能充电了，自带一根充电线就是方便，出门直接带个充电宝就OK了，也不会觉得很重。充电速度很给力呢，还可以几个手机一起充，很棒。,-,-,2021-06-21
14,雨**4,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充电速度方面还是很满意，充电速度比我原来那个快很多，价格不高，性价比也算不错的。容量真实，自带充电功能这个就很强了，省事的很，用过就知道了。,-,-,2021-06-25
15,t**5,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,很实用，电容量很大，外观做工也不错，包装很严实，还自带数据线，自带插脚用着也很方便，颜色很耐脏，还配有USB和PD快充口，可以用2种充电线充电，整体设计很棒,-,-,2021-06-25
16,不**2,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,此用户没有填写评价。,尺寸大小：正好，方形的 外观材质：简介，关键是三输入三输出，方便，出门不用带线 容量大小：正好，1.5万的容量正好充3次苹果11，每次从10%冲到90%，3次后充电宝还剩18%的电,-,2021-06-22
17,t**1,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,平常的充电老是被长长的数据线缠着，早就买一个这样自带线的充电宝啦，刚好活动直接就下手了，出门再也不需要带乱七八糟的一堆充电线了，关键这个还自带插头，哈哈哈哈！现在出门只带着一个就够我用了。 nice点个赞 ,-,-,2021-06-22
18,t**4,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,挺不错的，充电线很坚固，充电速度也给力，反正大概我打把游戏的时间就可以充60%，和原装头的充电速度差不多，产品制造工艺棒，看起挺高级的。 ,-,-,2021-06-25
19,冯**4,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,容量大小：质感不错，拆分还有58的电量，于是立马试用了下，充电速度很快，不管是给手机充电还是给充电宝充电，太给力了 尺寸大小：跟✋🏻一样大，厚实，携带方便 外观材质：外观精致美观，高大上 ,-,-,2021-06-15
20,素**5,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,壳子是有点类似磨砂质感的，不像那种光面的容易留指纹，还有电量显示。而且自带线，基本就是满足了我对充电宝的所有需求，自带插脚这个功能许多充电宝不具备，这款更像是商务款的充电宝，出门带一个充电宝就可以了，能自充也能充手机 ,-,-,2021-06-15
21,a**3,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充上电不会发热，充电不是虚电，容量较大的又能给手机充电多次使用效果不错，也挺有分量的，样子也漂亮，看着很干净,-,-,2021-06-17
22,y**s,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充电宝非常好用，充电非常快！真心不错！ 容量大小：小个头大能量！ 尺寸大小：mini型携带方便！ 外观材质：材质货真价实！ ,-,-,2021-06-23
23,q**梦,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,自带线，自带插脚，还有电量显示。容量也不小，整体携带也方便，基本就是满足了我对充电宝的所有需求,-,-,2021-06-25
24,宝**z,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,宝贝到手了，整体看起来很小巧，拿在手上就感觉很实在，电容量很足，可以充三次手机，功能上设计很棒，自带线充手机，自带插脚可以自充也能当充电头用，现在出门也很简单了，一个充电宝搞定，简单高效,-,-,2021-06-17
25,鼠**子,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,收到后就迫不及待打开看看，太强大了，我的充电宝很多！但没有一款像这样强大的！以后出门就只带它什么都搞定了！自带线还自带插头，基本上出门只要一个充电宝，充电头都不用了，实用 ,-,-,2021-06-25
26,t**9,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,容量大小：刚刚好 尺寸大小：刚好合适 外观材质：类似磨砂的手感但很光滑，有自带的数据线，还有充电插头可以自充，充电的速度也很快，还有快充接口，手机在外面没电了，能够很快充足够的电量，携带也很方便 ,-,-,2021-06-25
27,a**1,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,用了一段时间真的好用，自带插头，自带线，不用来回换线，是真的方便，而且现在出门一个充电宝就能搞定，很方便。祝产品卖的更好,-,-,2021-06-21
28,陈**f,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,拿在手里就很有份量，旁边有显示电量的，还有自带线，自带插脚，能自充速度也不慢，相当于减少了出门携带东西的重量，很喜欢这个设计，相对于传统的充电宝，这种还自带插头的就非常方便啦，出差或者旅游带这一个就够啦。 ,-,-,2021-06-16
29,t**5,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,一款特别不错的快充小巧迷你充电宝，值得买，携带方便，等用坏了，在来此店铺回购，卖家服务态度相当好，热情。充电速度杠杠的。 ,-,-,2021-06-25
30,比**比,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,本来是想买个充电头的，然后看到这款充电宝，带有PD和QC快充功能，还有AC插脚，这个很惊喜，而且可以用自带充电线可以充电。个人感觉是一款很不错的产品，使用很方便，整体不大重量不重携带方便,-,-,2021-06-15
31,a**3,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,在某站看视频有up主推荐多用充电宝，趁活动入了。拿在手上沉甸甸的，能作为充电宝和手机支架用，能同时充4台设备，2种方式给充电宝充电，感觉能满足更多需求，到手后试了下，真的感觉很方便，关键价格也实惠。 ,-,-,2021-06-17
32,q**2,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,容量大小：正好，1.5万的容量正好充3次苹果11，每次从10%冲到90%，3次后充电宝还剩18%的电 尺寸大小：正好，方形的 外观材质：简介，关键是自带线和自带插脚用着比较方便，出门不用带线也不用带充电头  ,-,-,2021-06-16
33,t**e,颜色分类: 【魔幻黑*支持18W快充】15000毫安+自带线2条+可当手机支架+带数显+折叠插脚,好评,出门旅行不想带充电器买的～没想到挺好用的～显示电量很nice～也不是很重，可能因为是快充充电时手机挺烫的 ,-,-,2021-06-26
34,l**3,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,收到后就迫不及待打开看看，太强大了，我的充电宝很多！但没有一款像这样强大的！自带线虽然只有两条，但我又不用安卓口的，有自带的插脚可以随时充电，很方便。以后出门就只带它什么都搞定了！性价比高，值得购买！赞赞赞…… ,-,-,2021-06-16
35,t**4,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,充电宝很好，容量挺大的  充电速度也很快外观精致好看  出门携带很方便   ,收到后就迫不及待打开看看，太强大了，我的充电宝很多！但没有一款像这样强大的！以后出门就只带它什么都搞定了！性价比高，值得购买！赞赞赞……,-,2021-06-25
36,白**9,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,正是我所需要的，带充电线带插头。刚好我和爱人，一个华为，一个苹果。可以两部机子同时充。充满能充4次，样子漂亮。朋友也很喜欢，还推荐给朋友了。性能贼强大，划算，满意，价格实惠东西质量好，感觉真的是非常值，小巧，放包里还蛮好的。 ,-,-,2021-06-13
37,t**7,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,此用户没有填写评价。,快递很快哦，拿在手里的感觉真的好不一样，整体小巧很有分量手感很好，磨砂外壳拿在手里感觉真的很舒服，而且多功能的设计很合理，有线有插头，还有支架可以用，这款充电宝是我到手后最喜欢的一款，容量大，功能多，易携带。,-,2021-06-06
38,t**9,颜色分类: 【此项勿拍】+（加购+收藏享优先发货权）,好评,买的充电宝早收到货了，自带两条数据线，苹果，华为线，还有自带插脚可以用，走到哪里只需充好电带一个充电宝，数据线不用带，特别方便，最主要的是价钱也不贵，物美价廉，祝卖家生兴隆！！,-,-,2021-06-25
39,y**7,颜色分类: 【魔幻黑*支持18W快充】15000毫安+自带线2条+可当手机支架+带数显+折叠插脚,好评,超级好的，之前一个旅游时候掉了，马上补！又被带出去玩了，别再没了啊！！！ ,-,-,2021-06-26
40,杜**3,颜色分类: 【魔幻黑*支持18W快充】15000毫安+自带线2条+可当手机支架+带数显+折叠插脚,好评,大小正好，自带线比较方便，避免出去带线占地方 ,-,-,2021-06-23
