数据下载时间：2021-06-27 10:19:36 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/584647312233/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**1,颜色分类: 活动款-出风口支架,好评,不会刮花手机，好用 看起来很精致，方便拿取，值得安利~用过程中没有很大的噪音，还可以随意调整角度，适用于各种手机，真的是很实用。安装也非常方便，卡扣卡的很紧，不会担心掉下来，外观设计时尚潮流。, 这款支架很好用，与描述相符，价格便宜，使用真的很方便，材质也很好，还是朋友说很好用，然后让我买的用了之后取放手机很方便，不用浪费什么注意力 ，轻轻松松就能操作，非常实用。这款支架不挡视线，操作方便，质量强硬。哈哈哈！,-,2021-06-23
2,芳**1,颜色分类: 活动款-出风口支架【黑】,好评,收到货就放车里用着了，效果还不错，手机上车有地方放了，重力感音的挺好操作，取放手机不费劲，单手就可以，底部的充电口留的正好，啥也不影响，挺好的 而且手机放在支架上面充电也是正常可以的，不影响，手机往上面一放就可以自动夹紧了，很棒哦 ,东西检查了一下，是没有出现任何的破损的，看了一下支架的尺寸吻合架子看着精致，高大上的感觉，非常满意。手机放上去很稳也不挡视线，颠簸一点也不会掉下来！和预想的一样，物流很快啊，不用担心物流问题，隔天就收到了。感觉很不错 做工精致,-,2021-06-21
3,忆**累,颜色分类: 活动款-出风口支架【黑】,好评,尤其是中间的镜面特别喜欢。支架松紧可以自行根据需要来调节。通风口处一夹就可以了，非常方便。重力感应，手机一放自动加紧。不过这个功能只能竖着放手机如果横过来就不行了。通过颠簸路段，手机也纹丝不动，真的是物超所值，以后会推荐朋友来的，有需要的可以试试哦！点赞！ ,"边开车边导航方便又安全☔,夹子有软垫﻿☀,稳固防颠簸☁,角度什么的可以调节﻿☀,之前买过两个手机车载支架﻿☀,升驾驶幸福感🌂,毫无廉价感的🌃,不会担心掉下来☔,有了这个支架后再也不怕用手机导航时手机放哪里啦☔,旋转很灵活🌂,外形也很好看🌂太好了",-,2021-06-18
4,t**2,颜色分类: 活动款-出风口支架,好评,在颠簸的路上开车也很结实，一点儿也没松，有需要的朋友千万别犹豫了，赶紧下手吧！就选这家没问题了，镜面款，不怎么染灰尘。手机也挂的很紧。个人比较喜欢的。容易百搭。质量也非常好，还要考虑回购一个。也不容易掉，还挺牢固的 ,物流发货也是很快的，可以单手操作，手机夹住后♡也非常♢稳，这价位是来看是♢很超值的。不松动！看导航特别方便，如有需要的朋友可以放心买做工形式：外型好看，关键安装不费劲。 🤲 🖕 👋,-,2021-06-23
5,胡**3,颜色分类: 活动款-出风口支架【黑】,好评,安装简单，导航的时候非常稳固不会摇晃，出风口夹子久了也不会松动，特别可靠，质量也不错外观漂亮，平时开车不导航不放手机也不会响！开车时导航体验很爽。是我要找的款式。,支架安装好了，手机也有地方放了，导航也方便了，非常的实用，手机放上去很稳，不会晃动，而且角度可以根据需要调整，看手机地图导航很方便，不会影响到开车，大大提升了开车导航的安全性。,-,2021-06-21
6,浮**7,颜色分类: 活动款-出风口支架【黑】,好评,款式好看不错，而且没有噪音，高颜值，价钱实惠但很有用，质量强硬常年开车神器。开车看导航轻松很多，不用像以前一样，把手机放在公里表那里看导航了，不安全还容易掉，现在用着好很多，很不错的一款手机支架，超级方便！,手机放上去很稳，车子过很多路障手机也不会晃动，之前买的支架都是车跑了一段时间，手机就滑落了。很喜欢现在买的这个，好看又实用。支架臂很厚，结实耐用，使用也方便，确实没有异响，非常稳手机终于有地方放了，导航的时候可以用。,-,2021-06-14
7,曹**6,颜色分类: 活动款-出风口支架【黑】,好评,"出门开车导航的好神器，质量可以，值得信赖。很牢固，颠簸路上也很稳，跟卖家描述的差不多，物流也很快，价格实惠，质量一般不会差，做工精细！外观挺不错的。非常方便好用，安装简单,，看手机不影响开车,这款支架很有自己的特色。不错不错！  ","挺稳不会掉，也不影响开车，安装简单,价格实惠大小正好合适！真的不错！光面在不用手机的情况下也是很美观。只要 单手取放就可以，十分 耐用。实实在在能够提 升驾驶幸福感,这个就 不一样了。挺满意的。",-,2021-06-18
8,l**1,颜色分类: 活动款-出风口支架【黑】,好评,相当满意这个支架很方便，夹扇叶上很稳固，怎么颠簸都不会松动，很实用，手机放下去会自动夹紧，拿手机也非常方便，款式好看不错，而且没有噪音，颠簸转弯都很稳！感谢卖家。开车过程中不会掉，也不影响视线，角度调整也很灵活,不会像之前买的那样容易脱落，这次购买的不会出现这样的情况，质量也不错，迫不及待的用起来，，开车用，又实惠，又方便，又不占地方，挂手机使用非常方便。整个感觉都不错，非常牢固，不松动！无论是外观还是功能上都是挺不错的，比之前的看着高档商家发货真是极速的快，值得点赞给个好评！而且物流很快。 ✌,-,2021-06-19
9,t**2,颜色分类: 活动款-出风口支架,好评,"df底部可以充电哦,很🎁轻,是我要找的款式。而📋且手机放在支架上面充🏊电也是正常可以的,边🐊框硬塑,手机也挂的很🌎紧。这下导航看手机就😛很方便了, ",-,-,2021-06-23
10,t**6,颜色分类: 活动款-出风口支架,好评,整体评价：赠品多多，产品质量很好，使用效果很好 ,手机玩起滑动灵敏耐用，！！🌐🐉尺寸合适，屏幕依然很干净，贴上没有翘边的情况，确实是相当的给力这个膜。超级喜欢，完美贴合手机，没气泡，🐑🌲而且摸着跟裸机屏幕一样，材质方面很有质感，手机膜还原屏幕颜色，非常透亮，🌝相信保护效果也很棒，🌼🐮整个膜看起来也很高透清晰，效果真是满意，摸起来很顺滑很舒服，手感特别好！！。🌿🌿🐔,-,2021-06-23
