数据下载时间：2021-06-27 18:31:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638492953451/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**7,颜色分类: 银离子抑菌-单个腰靠-黑色【小清新】,好评,头枕腰靠收到了，质量还是一如既往的好，给家人朋友们回购多次了，做工精细面料好，放到车上高大尚，很喜欢满意 ,-,-,2021-06-23
2,老**龙,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,此用户没有填写评价。,冰丝面料不粘身，天热时候使用起来感觉更舒服一点。里面的内芯弹性大，很柔软，支撑性很足。头枕两侧加高了，对脖领的支撑性和稳定性都更好了,-,2021-06-19
3,百**3,颜色分类: 银离子抑菌-单个腰靠-黑色【小清新】,好评,头枕腰靠收到了，质量还是一如既往的好，给家人朋友们回购多次了，做工精细面料好，放到车上高大尚，很喜欢满意,-,-,2021-06-20
4,大**蛋,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,自从买了这个头枕腰靠套装 妈妈再也不怕我开车腰疼了，发货速度特别快，质量也挺好的，手感也不错，媳妇也挺开心的，真正的推荐，喜欢的赶紧下单。,-,-,2021-06-25
5,t**7,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,大小正合适，很舒适，也很柔软，性价比很高，打算再买两个 ,-,-,2021-06-23
6,b**2,颜色分类: 银离子抑菌-单个腰靠-黑色【针织款】,好评,还不错，大小合适比之前的高一些。推荐给大家 ,-,-,2021-06-24
7,秀**i,颜色分类: 银离子抑菌-头枕腰靠套装-棕色【针织款】,好评,靠背真的不错…开车不会累了…又买了一套放在副驾 ,-,-,2021-06-23
8,夜**归,颜色分类: 银离子抑菌-头枕腰靠套装-棕色【针织款】,好评,爸爸很喜欢，非常好看，舒服。父亲节礼物送对了！ ,-,-,2021-06-20
9,凯**y,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,做工精致，透气性好，体感不错,-,-,2021-06-23
10,t**2,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,整体评价：质量很好的头枕腰靠，性价比高，冰丝的夏季舒适感比较好，价格实惠，顺丰快递很快。 ,-,-,2021-06-21
11,t**1,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,开车很舒服，材料很柔软，十分好评 ,-,-,2021-06-25
12,王**g,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,买的冰丝款，车里有空调所以不觉闷热。有腰靠开车真的苏胡很多，本人腰不好，没有腰靠感觉后面空空。喜欢的可以下手啦,-,-,2021-06-22
13,w**0,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【冰丝款】,好评,此用户没有填写评价。,收到货了，安装上去特别舒服，开车不腰疼不累了,-,2021-06-20
14,白**w,颜色分类: 银离子抑菌-头枕腰靠套装-黑色【针织款】,好评,和理想样子一样，平常开车SUV比较累，所以买了一套，舒服多了 ,-,-,2021-06-14
15,g**8,颜色分类: 银离子抑菌-单个腰靠-黑色【冰丝款】,好评,由于车比较低端没有腰托调节功能，买了这个给家人使用后反馈腰舒服多了，不错不错。 ,-,-,2021-06-19
16,无**雪,颜色分类: 银离子抑菌-单个腰靠-黑色【冰丝款】,好评,棉的弹力很好，客服的态度也不错啊。 ,-,-,2021-06-25
17,7**力,颜色分类: 银离子抑菌-单个腰靠-黑色【针织款】,好评,靠着很舒服，感觉很值，下次还会光顾 ,-,-,2021-06-22
18,刺**7,颜色分类: 银离子抑菌-单个腰靠-黑色【冰丝款】,好评,货到了就迫不及待的用了，感觉挺舒适的，腰再也不累了，开再久的车都没事了！ ,-,-,2021-06-18
