数据下载时间：2021-06-28 14:04:23 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/625964987305/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,屋**璃,颜色分类: 云镜白（礼盒款）,好评,温度力度随手可控，是一款效果颜值都在线的按摩仪，使用起来每个模式感觉都很不一样，每种都可以体验到，可以根据自己的需求进行选择。+，可以大面积热敷。缓解颈部疲劳，滚轮按键就在右下角，方便快捷。+这个是分区按摩的，敷的时候就感觉多个手指有序按摩揉捏脖子，能够很大幅度的照顾到颈部的每个部位*#.  ,-,-,2021-06-25
2,苏**9,颜色分类: 云镜白,好评,王一博粉丝过来支持一下，这款真的是不仅得到了我还有家人的一致好评。因为本人。比较吃劲，所以每次我都调到三档或4档，然后按压一个加热键。然后我爸妈他们一个个都不行，她们最多承受三档，按摩个15分钟确实很享受，而且最方便的是还可以连接蓝牙，调节想要的模式和力度，赞赞赞！！！,-,-,2021-06-25
3,t**7,颜色分类: 云镜白,好评,老公用了好，立马给老爸也安排买了一个，生命中两个最重要的男人，都必须安排上最好的。老爸年纪大了难免颈椎不好，用手按摩不到还很累，买个按摩仪省心多了，配合送的凝胶使用非常爽，开到四档力度就很刺激了，每天按摩15分钟，长期使用还能预防和缓解颈椎病。 ,-,-,2021-06-24
4,a**牌,颜色分类: 云镜白,好评,此用户没有填写评价。,给颈椎放松放松还是很舒服滴，家人的体验也说很好，可以按键控制，也可以手机控制，操作简单易上手！客服服务态度非常的好，对于咨询的问题都耐心详细的回答。还送了一博的明信片和啫喱凝胶，加热按摩很舒服，外观简单时尚，很轻巧戴脖子上没有负担，用起来很舒服可以缓解疲劳，力度多挡选择，打工人实在太喜欢了，一天到晚坐着脖子酸痛按一下就放松了，小小的按摩仪能量很足，我最多就用个3档，充一次可以用好几次，被力道、热度所惊艳！强力推荐大家可以一试！按摩和热敷都超舒服，对于每天上班的我们可以有效的缓解颈部疲劳，带起来很轻巧，没有负担感，值得入手！,-,2021-06-07
5,李**卓,颜色分类: 幸运红（健康好礼 优选红色）,好评,非常喜欢，因为颈椎不好，长时间对电脑一个姿势，特别僵硬，之前也买过按摩仪，被同事推荐SKG使用后，效果不错，是一款效果颜值都在线的按摩仪，关键是这个方便轻巧不妨碍做事，温度力度随手可控，手机APP和机身按键都可以控制，非常便捷，使用起来每个模式感觉都很不一样，综合模式也很给力，每种都可以体验到，多个档位选择很人性化，可以根据自己的需求进行选择。 ,值得推荐,亲亲，感谢您对我们的支持，这款全新的K5-2按摩仪突破以往物理揉捏的表层式按摩，在脉冲电技术上进行研发升级，将微弱电流通过皮肤传导至深层肌肉，引起肌肉的收缩与舒张，为您带来神经层、 血管层、肌肉层，三层深度按摩体验，达到颈椎放松的效果，让您可以随时随地按摩颈部，舒缓脖子不适哦~欢迎您下次继续回购哦~~,2021-06-19
6,l**e,颜色分类: 原野绿（一博专属定制色）,好评,老爸说最近脖子疼，就帮老爸买了按摩仪，主要还是王一博代言的产品。老爸用了之后说效果特别好，用了之后脖子都不疼了👍一博的声音很好听呀，爱了爱了❤️百香果支持王一博😋 按摩效果：按摩有好几种，还可以连接蓝牙手机控制，非常方便👍 ,-,-,2021-06-15
7,t**0,颜色分类: 原野绿（一博专属定制色）,好评,K5这款按摩仪是属于热敷系列款(不否认当时买是因为有一博语音和颜色哈哈哈，我最爱的绿色系)。 三档控温，可以大面积热敷。缓解颈部疲劳，可以随时调节温度，滚轮按键就在右下角，一伸手就能到，方便快捷。 这个是分区按摩的，有4片大的电极片，敷的时候就感觉多个手指有序按摩揉捏脖子，不会集中在一个点，能够很大幅度的照顾到颈部的每个部位，缓解酸痛感，舒服度会增强很多。 按摩模式是分四种，按压，捶打，揉捏，综合，我个人偏爱捶打，哈哈哈上班的时候捶打一下神清气爽，是真的可以按到穴位的那种，感觉到舒适的时候，头也会不自觉跟着摆动。 因为我个人毕竟怕疼且懒，所以我自己挑的按摩仪也会以舒适方便为主，SKG这款就大大了满足了我的需求，首选上班时候戴着很方便，且按摩声音基本没有，不会影响到任何人，我最近基本午休带着按摩！而且很轻，不会有压迫感。 还有，颜值真的很高很高很高！绿色系是真的太让人舒适的颜色了，工作累了看一看也能释放眼部疲劳！ 谁说明星代言就一定是粉丝滤镜呢，亲自试一下不就知道了[打call]  ,下载APP未来穿戴，可以解锁更多的按摩模式，想当舒服，真的值得体验！,亲亲，感谢您对我们的支持，这款全新的K5-2按摩仪突破以往物理揉捏的表层式按摩，在脉冲电技术上进行研发升级，将微弱电流通过皮肤传导至深层肌肉，引起肌肉的收缩与舒张，为您带来神经层、 血管层、肌肉层，三层深度按摩体验，达到颈椎放松的效果，让您可以随时随地按摩颈部，舒缓脖子不适哦~欢迎您下次继续回购哦~~,2021-06-21
8,t**2,颜色分类: 云镜白（礼盒款）,好评,特色功能：轮滑式调节，方便简单，还有加热模式，舒适放松 外观材质：很轻巧，外出携带也很方便， 档位调节：一到八档可以自由调节。 包装很大气时尚，昨天父亲节买来送人的，家人很喜欢。很不错。 按摩效果：揉捏，敲打，综合模式可以自由转换，总有一个适合你的  ,-,-,2021-06-23
9,柒**库,颜色分类: 原野绿（一博专属定制色）,好评,还可以外观也好看，按摩麻麻的感觉。没有人按的力道大，就是方便实用，在办公室也可以按下 ,-,-,2021-06-16
10,s**7,颜色分类: 原野绿（一博专属定制色）,好评,因为是一博代言，已经是第二次购买了，第一个买的不是一博语音的，已经送人，这次买了一博最爱的绿色，收到果然颜值超高，一开机就有一博语音，还送了一博签名照，太开心了，配合啫喱使用感觉强烈很多 ,-,-,2021-06-09
