数据下载时间：2021-06-28 13:18:23 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635994425632/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,叶**y,颜色分类: 7号电池（1盒10粒）,好评,非常值得信赖的品牌，质量有保障，价格还亲民，相当满意 ,-,-,2021-05-31
2,z**1,颜色分类: 5号电池（1盒10粒）,好评,快递二次收费，差评。,-,-,2021-06-18
3,河**华,颜色分类: 5号电池（1盒10粒）,好评,质量不错。,-,-,2021-06-08
4,淮**陈,颜色分类: 5号电池（1盒10粒）,好评,小米的五号电池，一如既往的好,-,-,2021-05-26
5,江**8,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,质量不错，价格实惠，值得推荐。,-,-,2021-04-21
6,z**5,颜色分类: 7号电池（1盒10粒）,好评,非常好,-,-,2021-06-25
7,d**3,颜色分类: 7号电池（2盒20粒）,好评,真不错,-,-,2021-04-22
8,c**9,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,好,-,-,2021-05-06
9,y**1,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,挺好,-,-,2021-05-01
10,晓**室,颜色分类: 7号电池（1盒10粒）,好评,物流快,-,-,2021-05-07
11,大**安,颜色分类: 5号电池（1盒10粒）,好评,满意,-,-,2021-06-16
12,叶**y,颜色分类: 5号电池（1盒10粒）,好评,宝贝收到，物流很快，描述相符，比较满意，好评，推荐 ,-,-,2021-05-31
13,大**安,颜色分类: 7号电池（2盒20粒）,好评,满意,-,-,2021-06-16
14,y**n,颜色分类: 5号电池（1盒10粒）,好评,大家别上当，旗舰店9.9可以买的到，他这里16，还说自己是从旗舰店买来卖的，这样也可以进天猫，对天猫失望，本想投诉，没几个钱不想浪费时间，花钱买教训。十几年的淘宝购物经验，从来不会差评，第一次送给你。,-,-,2021-05-26
15,y**n,颜色分类: 7号电池（1盒10粒）,好评,大家别上当，旗舰店9.9可以买的到，他这里16，还说自己是从旗舰店买来卖的，这样也可以进天猫，对天猫失望，本想投诉，没几个钱不想浪费时间，花钱买教训。十几年的淘宝购物经验，从来不会差评，第一次送给你。,-,-,2021-05-26
16,蛇**一,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-19
17,不**饭,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-26
18,往**1,颜色分类: 5号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-05-14
19,车**原,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,此用户没有填写评价。,-,-,2021-03-24
20,小**有,颜色分类: 5号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-05-26
21,s**y,颜色分类: 5号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-06-21
22,黄**泽,颜色分类: 7号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-06-02
23,g**p,颜色分类: 7号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-05-15
