数据下载时间：2021-06-28 12:01:34 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/521289160008/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,念**0,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,东西收到了 ，做工精细，试了一下各种功能都完好，在别地买的不发货，他这发货很快，非常好的产品，解决了我的大问题，家里车不常开，每次都叫人来搭电，很不划算，成了常客，干脆自己买了一套，这下可以自己搞定了，一打就着。 ,-,-,2021-06-23
2,蝴**绿,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,因上周车的电池坏了打不着火，拿了同事的充电宝一下就打着了，开到汽修厂换掉了电池，所以自已也考虑买一个备用，充电宝配件齐全，套装价超值，开箱后检查充电宝满电的，试了手电简照明很亮，拆掉负极可以打火，平时装皮包里放在车上备用十分方便,-,-,2021-06-21
3,t**1,颜色分类: 11800毫安X5S【小排量汽车使用(建议选大容量)】,好评,整体评价：不错！ 使用情况：一次就着！ 性价比：蛮高的 外观做工：精美 产品材质：还可以，到货蛮久的，今天刚好朋友的车没电了叫我帮他搭电，突然想起买了应急启动电源一下就着车了。挺好用的，不知道能用多久。 ,-,-,2021-06-21
4,雨**轩,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,这次买的真是不错呢，瞬间把车启动了，非常简单好用，车子立马复活了，电源用途很广泛。上面还有个手电筒，还有那种一闪一闪的那个灯光，都是平常开车中可以用到的，真的很喜欢，回家还试用了一下给手机充电也是很好。 ,-,-,2021-06-21
5,萱**3,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,黑色皮包包装很精美，产品很有质感，有份量，质量一看就没问题，打开电就满的指示灯全亮；里面东西很全，充电线质感也不错，都没问题。汽车电子产品都在旗舰店买的，绝对好评！,-,-,2021-06-16
6,t**2,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,非常好用，车放了三个多月没动，一点电都没了，买了这个产品，启动后再熄火再启动一共试了三次，没有问题，很轻松的启动车，12款的车，三次后电量还是显示电还有，每次启动掉2%左右，电量很耐用！,-,-,2021-06-11
7,h**u,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,宝贝收到，配件齐全，还没试启动车的功能，其它基本功能正常。以后试完点火启动功能再来追评。另外客服福特热心耐心，一块儿表扬一下！,-,-,2021-06-23
8,岁**5,颜色分类: 【活动数显版(顺丰)】16800毫安【电瓶夹+手机快充】,好评,此用户没有填写评价。,用过一次才来评论 非常好 也可以当充电宝使用 小小身材 大大能量！点赞,-,2021-05-21
9,t**2,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,此用户没有填写评价。,包装精美结实，带包和泵，充电器手感很好，插口设计防差错，正反都能充，考虑很全面周到！快递给力！买回来满电状态，等车没电再用，关键看这个了…后续追评,-,2021-06-11
10,骏**5,颜色分类: 【加强豪华全屏版(顺丰)】32800【智能夹+气泵+送皮包】,好评,非常好用，用了一段时间了，很满意，今天给朋友的车子启动了一下，朋友很开心。已经推链接给他了，他也拍了一个。大家放心使用哦，值得信任的品牌。客服们也很用心的给我们介绍。,-,-,2021-06-24
11,t**4,颜色分类: 【升级数显版(顺丰)】22800毫安【电瓶夹+送皮包】,好评,整体评价：第一次用到这东西，感觉不错，效果很好，以后不用担心电瓶没电，还可以给手机充电，其它小电器充电，好评。 ,值得推荐的一个产品，多功能用途，开车必备，家里的小家电都能充电安全，好评。,非常感谢您在百忙之中，抽空给我们做出的评价哦，亲亲满意我们也就放心的呢~如果有任何使用问题不懂的随时联系我们，我们一直在【客服--jeep】,2021-06-10
