数据下载时间：2021-06-29 09:39:53 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/627741177287/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,燕**8,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y01A紫色（配粉保护套）,好评,哥哥换了手表，这个换个表链给妹妹带，完美，质量好。,-,-,2021-06-18
2,s**u,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z6巅峰版-黑绿,好评,超级好用，宝贝自己就安装上了,-,-,2021-06-25
3,t**1,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y05/y05s粉色表带,好评,质量和原装一样的,-,-,2021-06-19
4,小**禾,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y03黑蓝（配蓝保护套）,好评,质量很好，比原来的质地柔软，型号很配，性价比超高，可以经常更换，方便省钱,-,-,2021-06-16
5,g**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z6巅峰版-黑紫,好评,东西挺好的，性价比特别高，安装起来也很简单，而且比原装的还软一下，儿子说戴起来更舒服一些,-,-,2021-06-11
6,b**a,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y05/y05s粉色表带,好评,东西挺好的，安装起来也很简单，而且比原装的还软性价比特别高，,-,-,2021-06-16
7,宝**0,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,和手表很匹配，值得购买！！,-,-,2021-06-22
8,n**3,表带尺寸: 送2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（送蓝保护套）,好评,此用户没有填写评价。,非常好用，和原装的差不多,-,2021-03-19
9,x**7,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z6款-闪绿,好评,质量挺好的，比原装的软一点,-,-,2021-06-25
10,7**哦,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,手感好，没异味，好用！,-,-,2021-06-24
11,虎**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Q1A/D2-粉色,好评,很好，还配贴膜和工具，非常划算，正好买表的时候没有贴膜。,-,-,2021-06-19
12,t**4,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,此用户没有填写评价。,非常好用,-,2021-06-26
13,l**8,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,不错、便宜实用，有工具孩子自己换的表带。,-,-,2021-06-12
14,t**0,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y粉色（配粉保护套）,好评,表带很好，谢谢送的膜,-,-,2021-03-26
15,w**y,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y05/y05s粉色表带,好评,还好，较原装的略微硬一些,-,-,2021-06-23
16,t**5,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z6款-炫紫,好评,不错，价格合理，实用,-,-,2021-06-19
17,t**1,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y01A紫色（配粉保护套）,好评,完美！,-,-,2021-06-19
18,g**0,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3绿色（配绿保护套）,好评,非常好！满意，需要还会再来,-,-,2021-06-18
19,l**q,表带尺寸: 送2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（送黑保护套）,好评,此用户没有填写评价。,用到现在断了,-,2021-01-24
20,z**m,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z5/z5q蓝绿（配蓝保护套）,好评,长的那一段合适 和原装差不多 短的那一段环扣比较紧 没有原装顺滑,-,-,2021-06-10
21,t**7,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y05/y05s绿色表带,好评,不错，质量很好,-,-,2021-06-10
22,星**8,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y粉色（配粉保护套）,好评,已经都装上了，就是可以多发一个螺丝就会更好。,-,-,2021-06-19
23,x**2,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y01A紫色（配粉保护套）,好评,小朋友非常喜欢，有需要还会再来这家,-,-,2021-06-10
24,t**7,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y03黑蓝（配蓝保护套）,好评,这个表带真不错，比原装的还好看，孩子非常喜欢，看起来也很结实，更换也是非常简单，以后估计还会回购！,-,-,2021-06-10
25,c**5,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,还可以吧，不是一样的,-,-,2021-06-20
26,b**0,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,很合适，性价比也高。,-,-,2021-06-11
27,c**2,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y03黑蓝（配蓝保护套）,好评,非常满意。特别是服务。有问题能够立即处理。东西也很喜欢。很柔软的表带。用了好几天了。小朋友也很喜欢,-,-,2021-05-29
28,a**4,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,还不错，换上手表焕然一新。,-,-,2021-06-12
29,l**s,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3绿色（配绿保护套）,好评,宝贝非常好！,-,-,2021-06-10
30,小**8,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,非常好，比原装舒服,-,-,2021-06-10
31,浙**3,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3粉色（配粉保护套）,好评,挺好，买了两次了,-,-,2021-06-18
32,t**7,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3蓝色（配黑保护套）,好评,不错的的确确实实在在的,-,-,2021-06-10
33,a**0,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y02/Y01S粉色表带,好评,前面卡扣是塑料的，有点失望呀,-,-,2021-06-10
34,t**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y01A蓝色（配蓝保护套),好评,不错，是那种软的料子赠送的东西也可以,-,-,2021-06-04
35,廉**l,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z3/z3d蓝色（配绿保护套）,好评,孩子用的小天才手表表带断了，尝试着粘了粘，没有粘好，就在网上买的这款表带。一开始还担心和手表匹配不匹配呢，安装完以后发现非常匹配。而且安装过程也非常简单，商家还送了专业工具。孩子非常喜欢，又可以带着手表出去玩了。,-,-,2021-06-02
36,b**m,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3绿色（配绿保护套）,好评,物流很快，送的拆装工具匹配，儿子自己动手换的，和原装的没什么区别，用段时间追评。,-,-,2021-06-02
37,a**达,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,东西已到货，装上去很适合。,-,-,2021-05-29
38,兰**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,东西很好，很合适，经济实惠,-,-,2021-05-28
39,天**备,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y02/Y01S粉色表带,好评,刚刚好，便宜,-,-,2021-05-31
40,s**r,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y01A紫色（配粉保护套）,好评,质量太差，没用两天表扣就掉了,-,-,2021-06-09
41,l**6,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y粉色（配粉保护套）,好评,不错，很原装一样，还有工具直接就换上啦,-,-,2021-06-06
42,t**0,表带尺寸: 送2张贴膜+拆装工具【半年质保】 颜色分类: z3蓝色（送绿保护套）,好评,此用户没有填写评价。,宝贝非常不错，不好意思，忘了评论了,-,2021-03-26
43,千**鱼,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,已收到，得容易就安装上了，挺好的。,-,-,2021-06-07
44,s**n,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,送货很快，马上就换了新表带，还配了一个保护手表屏幕的，非常实用，手表不小心摔到地板上，也能缓冲一下。,-,-,2021-05-19
45,凉**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: y03黑蓝（配蓝保护套）,好评,已经安装了，很好，贴膜也好，手感柔软。,-,-,2021-06-08
46,紫**7,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y02/Y01S绿色表带,好评,货已经收到，正在使用，很不错。,-,-,2021-06-06
47,轩**神,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y01A蓝色（配蓝保护套),好评,非常好用，质量很好，！,-,-,2021-05-31
48,l**5,表带尺寸: 送2张贴膜+拆装工具【半年质保】 颜色分类: Q1A-粉色,好评,此用户没有填写评价。,卖家服务超赞！扣坏了马上又重新发了一个！,-,2021-03-18
49,马**琳,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1s/Q1s/D3粉色（配粉保护套）,好评,下次还会回购的哦,-,-,2021-06-01
50,陈**5,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,满意，这个价在外面买不到,-,-,2021-06-06
51,地**江,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y粉色（配粉保护套）,好评,质量好.发货快.买买买.,-,-,2021-06-08
52,t**5,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: Y02/Y01S粉色表带,好评,不错非常满意,-,-,2021-06-19
53,t**2,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z6款-炫紫,好评,表带挺软的，很nice,-,-,2021-05-29
54,简**9,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z2/z2y黑色（配黑保护套）,好评,已经收到，还没安装。,-,-,2021-06-14
55,z**2,表带尺寸: 配2张贴膜+拆装工具【半年质保】 颜色分类: z1/Q1/z1y/Q1y蓝色（配蓝保护套）,好评,不错，超满意！,-,-,2021-06-04
