数据下载时间：2021-06-29 09:41:14 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/639578568540/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**5,颜色分类: 少女粉【3600毫安+带底座+三档】超长续航推荐,好评,东西很好跟图片一模一样风力也可以挺满意的 便携性：方便，小巧 精致 外观材质：好看 满满的少女心 外观设计漂亮 质量不错 无瑕疵，无异味，扇起来很舒适 朋友的三档的才和我一档的风一样大 非常舒服 有三档可调节的风，非常方便，价格实惠 物美价廉 物超所值,-,-,2021-06-16
2,t**2,颜色分类: 梦幻蓝【2000毫安+带底座+三档】,好评,"✨最主要的是还非常的🍃解热,在车✨上还给我吹吹,三档风力且🌸几乎没声音,宝贝✨与描述基本一致,这么低的价格能买到这么好🌸的东西！良心卖家,风🌸力很大～也不是很廉价那种,外观🍓材质：很可爱,不会吹得头疼,是爱了爱了！准备再入一个给我姐上学带去✨",-,-,2021-06-25
3,诚**6,颜色分类: 少女粉【2500毫安+带底座+三档】续航推荐,好评,风扇质量绝了，充完电，用的时间很长，款式外观都很漂亮，电量耐用，有底座放在桌子上平稳不乱移动，吹出来的风也超级柔和，吹在身上很舒服，动力十足，三档可调节，最大档也没有很大的噪音，夏天必备，轻巧易携带，价格便宜实惠,-,-,2021-06-20
4,t**4,颜色分类: 少女粉【1200毫安】,好评,"玲珑小巧 开心非常的小巧颜色很好看，材质也很好，质量很好。还有包装精美，高端大气上档次很方便诶，风速可调节，中档就已经很大风了，头上的耳朵特别喜欢。风力非常大，转的特别快， 便携性：好携带，很好可可爱爱的,跟实体店买的一样,下次还会继续光顾的做工很精致，充电都没有问题，也很耐用价钱实惠，做工也挺好的，推荐一下，夏天到了有用武之地了  ",-,-,2021-06-16
5,z**i,颜色分类: 少女粉【3600毫安+带底座+三档】超长续航推荐,好评,声音不大不会觉得吵，拿在手上很轻便，性价比挺高的。做工用料也是环保型，也没有什么奇奇怪怪的味道，而且续航能力不错，充满电可以吹好长时间，很小巧，出门带着也很方便，这个价格能买到这种质量的东西，真是值了  ,-,-,2021-06-20
6,蔚**恋,颜色分类: 少女粉【2000毫安+带底座+三档】,好评,"用了就没那么热了，朋友推荐的，以为会不好用，真的出乎意料 便携性：很方便诶，轻轻的，能放进斜挎包里 外观材质：很可爱，虽然是塑料壳，但是一点廉价的感觉也没有只能重新买了开心非常的小巧颜色很好看，材质也很好，质量很好。尺寸正好,清🐨清凉凉的。算是平价好🌝物,容易操作,不会承😅不住。这个都还可以 ",-,-,2021-06-15
7,t**6,颜色分类: 梦幻蓝【2000毫安+带底座+三档】,好评,外观材质：外观精致 很少女心 宝贝和介绍的一样，质感很好 方便携带 风力也很大 还有支架 值得购买，风速大，耐吹 精挑细选很久✨，最后决定买这一款，到货后果然没有让我失望 风力有三档，大小适宜，携带方便，有底座可放桌面上,-,-,2021-06-18
8,非**觉,颜色分类: 梦幻蓝【2000毫安+带底座+三档】,好评,价格是非常实惠的，真的是爱了，风扇的材质看着挺结实的，质量我也很满意，风力挺大的，风力也可以调节，跟卖家描述的一模一样，可以充电的，停电的时候也不怕热了，有底座 可以放在桌子上，非常方便 ,-,-,2021-06-20
9,夏**天,颜色分类: 少女粉【1200毫安】,好评,三档风力且几乎没声音，真的很静音了，这样在也不会打扰别人，风量均匀，开到最大档特别的凉快，但是不会吹得头疼不舒服什么的，而且还带有一个底座， 可取下和安上，安上就可以放在桌子上对着吹，不安就可以拿在手上吹，非常方便，颜值超高，超级好看！！！  ,-,-,2021-06-18
10,x**0,颜色分类: 少女粉【2000毫安+带底座+三档】,好评,价格实惠，挺漂亮的，吹着凉快。风扇质量还行，挺漂亮的，发货快，很值得购买。送礼自用非常合适外观：萌萌的，小孩子很喜欢，风力效果：不错材质也很好，做工也挺﻿✨好的，客服很耐心转的特别快，可手持可放桌，样子简单！颜色很好看。是爱了爱了！准备再入一个给我弟上学带去。续航能力强 充一次电可以用蛮久的。,-,-,2021-06-15
11,不**姐,颜色分类: 少女粉【1200毫安】,好评,"可拆卸充电电池，设计比较好，方便更换电池，老板服务到位，有问题及时解决比实体店里实惠多了！ 外观材质：宝贝收到了，颜色很好看，质感也很好，样子简单！是我想要的！！下次还会再来！做工很精致，充电都没有问题包装完好颜色很好看⚡,外观材质：颜值挺高！质量不错☔,推荐购买！功能真的挺齐全的可手持可放桌，非常小巧便携，  ",-,-,2021-06-15
12,果**n,颜色分类: 梦幻蓝【3600毫安+带底座+三档】超长续航推荐,好评,风力效果 吹着很舒服，不会吹得头疼，很解热。上班上学时间紧，吃饭还可以吹吹饭，方便携带，拿着不累特别轻巧，天气越来越热了，出门带着随时随地都可以吹，特别方便。很耐用，充一次电可以吹好久。做工精致，颜值高，摸起来滑滑的，实物与图片相符。给力！！！ ,-,-,2021-06-17
13,t**3,颜色分类: 少女粉【1200毫安】,好评,好可爱的小风扇！有了它，再也不惧怕炎热 外观材质：美 物美价廉不错的一次购物。有底座放在桌子上平稳不乱移动，还有3个档位可以调节，这个价格能买到这种质量的东西，真是值了，小巧方便，风力很大！ ,-,-,2021-05-20
14,彭**2,颜色分类: 少女粉【1200毫安】,好评,放包里也方便，不占空，而且风力挺大的，外出玩耍不怕热了，任何时候都能吹上风，太舒适了，没有瑕疵，边缘处处理的非常光滑不粗糙，关键是价格便宜，这样的价钱在实体店想都不敢想，非常实惠，物有所值，值得购买，考虑回购 ,-,-,2021-06-19
15,p**琼,颜色分类: 少女粉【2500毫安+带底座+三档】续航推荐,好评,"yc设计比较好⛄,用了就没那么热了🌀,三档风力且几乎没声音🌄,买给孩子的﻿☀,风力有三档🌅,还有3个档位可以调节﻿☀,风非常舒服🌄,最后决定买这一款☔,在车上还给我吹吹⛄,小孩子很喜欢🌄,风力也很大⚡,样子简单！颜色很好看🌁,满满的少女心⚡",-,-,2021-06-25
16,t**7,颜色分类: 梦幻蓝【3600毫安+带底座+三档】超长续航推荐,好评,非常喜欢比实体店便宜很多，颜色很高级不俗气，没想到几块钱能买到这么好用的风扇，是可以充电的，为电池续航，这样就不会只能固定在一个地方使用了，风力还可以，风非常舒服，噪音也不大，总的来说还是挺好的，值得购买，冲冲冲！！！,可以，强烈推荐,-,2021-04-17
17,y**端,颜色分类: 少女粉【3600毫安+带底座+三档】超长续航推荐,好评,真的太太太方便啦，出门带着也没有负担，颜色特别清新可爱，风吹出来很凉爽，但是没有噪音这一点很棒，夏天来了天气越来越热了，小风扇可以人手一个了，喜欢的朋友们赶紧入手吧，真的是夏天必备了，摸起来也非常有质感，充一次电可以吹挺长时间的，赞赞赞  ,-,-,2021-06-16
18,t**4,颜色分类: 少女粉【2000毫安+带底座+三档】,好评,非常的解热。风也很大，夏天必备风扇。特别喜欢，而且风力很大，还可以走哪吹到哪里， 价格又便宜。下午出去扇了两个多小时一档，刚刚回来还有电，风力挺大的良心卖家，以后会常来光顾设计的很棒，点个赞 外观材质：萌萌的，好用，夏天必备神器，颜值高，风力也足够的 ,-,-,2021-06-16
19,6**x,颜色分类: 少女粉【3600毫安+带底座+三档】超长续航推荐,好评,货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢 宝贝与描述基本一致，发货很快，值得一买 刚试了一下，风力还可以，小孩子用，比上次那个静音好多了，不错， 细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~  ,-,-,2021-06-16
20,z**2,颜色分类: 少女粉【2500毫安+带底座+三档】续航推荐,好评,风力效果：续航能力强 可边充电边用，也可充满电再用，给孩子吹饭，很棒，外出携带太方便了，风很舒服，送礼自用非常合适外观：萌萌的，小孩子很喜欢，风力效果：不错材质也很好，做工也挺好方便实用 快递很快 挺好的很贴心的送了充电的线，已经收藏关注这家店啦 最主要的是还非常的解热,-,-,2021-06-16
