数据下载时间：2021-06-27 19:16:09 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/643372661603/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,那**5,颜色分类: 貔貅款【凝胶内胆】凉感,好评,图案好看，坐起来有弹性，内胆还可以，没有破损 单面有防滑点,-,-,2021-06-22
2,t**9,颜色分类: 醒狮款【凝胶内胆】凉感,好评,坐垫收到了，坐着确实不热了，儿子很喜欢，这个垫坐着软软的，屁股下面不出汗了。清爽多了。 ,-,-,2021-06-22
3,黑**妖,颜色分类: 貔貅款【凝胶内胆】凉感,好评,对比了十多家最终敲定的“拽猫”，爱了爱了，买了两个，P P炒鸡舒服，回弹好，坐着不闷热，办公室两个同事已经把链接要了过去，我也算是为拽猫贡献了一波！当然，好东西不需要刻意营销，大众是有感的！随即又拍了一个车里的靠垫，体验后再来分享！ ,-,-,2021-06-22
4,超**啊,颜色分类: 京剧款【凝胶内胆】凉感,好评,非常好 整体做工细致 还一起买了坐垫钥匙扣方向盘套 五星好评 ,-,-,2021-06-11
5,n**8,颜色分类: 貔貅款【凝胶内胆】凉感,好评,这款坐垫坐起来真的舒服哦，不像以前买的那些，不透风，这个透风，夏天再也不怕热了,-,-,2021-06-08
6,秋**湖,颜色分类: 京剧款【凝胶内胆】凉感,好评,好萌的坐垫，好可爱😊而且软软、QQ、凉凉的。拆包时有一点点气味，透了一晚上气就没什么了，今天与老公一人一只带办公室坐上了，很舒服呀😄好评！ ,-,-,2021-06-24
7,嘉**4,颜色分类: 圆彩款【凝胶内胆】凉感,好评,安装服务：简单 贴合效果：防滑，隔热 商品气味：无异味 材质做工：很好 ,-,-,2021-06-23
8,a**1,颜色分类: 貔貅款【凝胶内胆】凉感,好评,还不错，原装座椅上的座椅通风效果不给力，屁股坐上去感受不到通风效果，用这个坐上去情况好一点，夏天不会热屁股了。 ,-,-,2021-06-24
9,李**5,颜色分类: 圆彩款【凝胶内胆】凉感,好评,很好的东西，很厚实，很软很舒服！,-,-,2021-06-12
10,2**单,颜色分类: 貔貅款【凝胶内胆】凉感,好评,东西不错，有效减缓了夏天黑车黑座椅一上车烫屁股的困扰，图案也挺独特的。,-,-,2021-06-24
