数据下载时间：2021-06-28 13:20:59 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/639887728789/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,向**2,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,转接头很小，接上转接的耳机，音质变化不大。用着很方便。,-,-,2021-06-23
2,z**荟,长度: 其他 颜色分类: 【迷你二合一充电款】type-c耳机转接头☆无损音质,好评,小巧玲珑，携带很方便，便宜好货，我的红米k40能用。还用心的设计了个小挂钩！稍微有电流声，希望越做越好！最后祝老板生意兴隆！,-,-,2021-06-23
3,t**4,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,非常实用，非常好的商品，接通以后通话音质很好，方便使用,-,-,2021-06-20
4,h**h,长度: 其他 颜色分类: 特惠2个装【经典白】type-c耳机转接头☆无损音质,好评,买过第二次了，左边是这次买的，右边是第一次买的，音质很好，有了转换头就不用再买配套的有线耳机了，线控精准。,-,-,2021-06-22
5,t**3,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,此用户没有填写评价。,两次都是坏的，找客服到头来像是我的问题一样，明明自己产品不过关，还硬气的很，差评差评，不要买,-,2021-06-23
6,b**y,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,🌹真的超级适配，很好用，外观是米白色，转换自如，真心推荐，而且不是很贵，所以推荐购买哦！！,-,-,2021-06-24
7,x**淘,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,跟卖家图片一样，耳机转接头质量不错，价格也很实惠，音质无损,-,-,2021-06-21
8,t**4,长度: 其他 颜色分类: 黑色编织【无损音质】转接线,好评,这个转接线挺好的，价格便宜音质很好，快递包装不错,-,-,2021-06-20
9,l**7,长度: 其他 颜色分类: 黑色编织【无损音质】转接线,好评,转接头非常棒，做工精细，色泽漂亮上档次。,-,-,2021-06-24
10,t**0,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,太便宜了音效也非常不错，推荐大家购买,-,-,2021-06-15
11,t**4,长度: 其他 颜色分类: 黑色编织【无损音质】转接线,好评,宝贝已收到，质量很好  编织绳比较耐用  试听一下音质不错，没买的朋友赶紧下单吧。,-,-,2021-06-20
12,s**t,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,买了个新手机发现耳机口不一样，马上就来这家买了第二天收到货，很方便很满意,-,-,2021-06-24
13,t**2,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,此用户没有填写评价。,只能用一个月的东西，大家注意一下吧，还不如多花点钱买个好点的,-,2021-06-01
14,t**5,长度: 其他 颜色分类: 【白红款】type-c耳机转接头☆无损音质,好评,宝贝收到了，线子是比较细，稍短那种，效果质量后期追评。,-,-,2021-06-25
15,t**0,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,五星好评，主要是这个价格和手感，质量都相当到位了,-,-,2021-06-15
16,啊**橘,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,这个转接头蛮不错，插上耳机也不会有杂音啥的，很好用啊👍👍👍👍我个人觉得很好哈哈哈哈,-,-,2021-06-21
17,t**5,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,转换器连接紧密，音质效果好！,-,-,2021-06-25
18,平**2,长度: 其他 颜色分类: 黑色编织【无损音质】转接线,好评,方便好用啊  买错耳机只能买个这个  其实装一起一样的,-,-,2021-06-21
19,快**哈,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,非常nice发货速度很快昨天买今天到，黑色和我耳机太配啦,-,-,2021-06-23
20,咫**6,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,刚收到货就迫不及待的打开试了，质量很好，是我喜欢的转接头。,-,-,2021-06-24
21,卑**你,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,很好用挺紧的，没有有音质的损伤，个人觉得很还用,-,-,2021-06-26
22,t**6,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,东西收到了，换的新手机买个转接线才能插耳机，喜欢就下单吧！,-,-,2021-06-24
23,完**君,长度: 其他 颜色分类: 【经典白】type-c耳机转接头+高音质圆孔耳机,好评,不错呢！可以用耳机的感觉真好！音质也很清楚！,-,-,2021-06-25
24,4**u,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,质量感觉还行用用过一段时间在评论,-,-,2021-06-24
25,t**3,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,宝贝收到了  质量非常好  与卖家描述的完全一致  非常满意,-,-,2021-06-23
26,t**4,长度: 其他 颜色分类: 【经典白】type-c耳机转接头☆无损音质,好评,这个耳机转接头不错 质量很好 没什么毛病 买它！！！,-,-,2021-06-20
27,t**6,长度: 其他 颜色分类: 【经典黑】type-c耳机转接头☆无损音质,好评,价格便宜 音质清晰 卡槽也很紧 好评！,-,-,2021-06-24
