数据下载时间：2021-06-29 09:40:17 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635100662484/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,h**1,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,充气泵挺好的，充气速度快，价格也便宜性价比高，感觉非常的棒，麻雀虽小五脏俱全送的配件也是很完善，充气也快的，质量还很强硬，当时就看上了这款可以预设胎压才购买的，特地拿朋友和我的车都试了一下充气，两个车子都很快充起来了，给朋友说说他们也买一个用这也好，也推荐给广大车友，非常不错的店，也非常不错的产品。,-,-,2021-06-26
2,c**e,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,充气泵充气速度快而且特别稳，气嘴用起来很方便，不得不说这款充气泵性价比不错，有照明又能设定胎压，外观小巧还不重。在电动车上准备一个，每隔一段时间检查一次，不怕车子没气。平时去远的地方工作就怕车子出现毛病，买了这款充气泵再也不用担心了，放座垫下一点也不占空间。 ,-,-,2021-06-25
3,t**0,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,气泵很小巧💇💇，随车携带很方便，充气工作音量可以接受，很好操作，连接轮胎气嘴，液晶屏会显示轮胎实际胎压。按气压调节键，设定胎压，最后按设置键，开始给轮胎充气，达到预定胎压后会自动停，女生操作也适合😇😇，方便,宝贝充气速度快体积小，不占地方，值得购买,阳光，不只来自太阳，也来自我们的心。心里有阳光，能看到到世界美好的一面。看着您那一字一句的真实体会，这个时候，心中充满感激，似百花齐放，姹紫嫣红。感恩，一直有您一路的支持，愿能与您一直相随！【凯立奇旗舰店】,2021-06-25
4,那**8,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,充气泵小巧便携，操作简单。和卖家描述一样，质量挺不错的，试了下压力大，车胎很快就充满了，声音也小，送的几个气嘴篮球，电瓶车都可以用，真是方便多了，以后不用花钱去4S店了，随时随地都可以打气，放在后备箱不占空间，可以的 ,-,-,2021-06-23
5,x**6,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,此用户没有填写评价。,产品非常好，带照明灯，设计比较贴心，晚上使用也没有问题，宝贝拿在手里分量很足，一开始不会使用客服耐心指导使用方法，宝贝很不错，打气非常快，有了它再也不用跑修理店了，省了很多麻烦，建议有车的朋友们都备一个，使用起来简单又方便。,-,2021-06-24
6,刘**8,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,车载充气泵今天收到了，卖家发货确实很快，拿到手就给几个轮子充了气，充气速度很快，声音也不大，而且不需要自己一直盯着看，设置好自己需要的气压到点了自己就停了，真的是很方便，出门在外一定要备一个这种，说不定什么时候就用的到，这个充气泵平时就丢后备箱就可以了，东西也小巧不占位置，宝贝不错给好评 ,不错哦很实用，充气快，很方便。,-,2021-06-26
7,t**7,颜色分类: 【无线升级款6000毫安】  预设胎压+充满自停 快速补气 应急照明,好评,整体评价：机器收到了，产品还不错，使用一切正常，与描述相符，再也不用去修理店加气了，出远门车上有个应急充气泵真的会踏实很多，各种工具也很不错。打气方便，自带灯晚上使用也没问题 ,-,-,2021-06-12
8,温**4,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,这款充气泵还是挺好用的，比较小巧智能，使用起来简单方便，主要就是方便，车子胎压不足，就不用去店里了，自己就能给车胎打气，放假回老家，走高速，有个充气泵在车上备着，也放心些，充气泵质量强硬，和描述一致  ,-,-,2021-06-23
9,s**y,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,第一次买汽车应急充气泵，在网上选来选去，选好久还是感觉凯立奇充气泵大品牌比较靠谱，收到货之后第一时间打开试验产品，果然还是大品牌没让我失望，充气速度很快，声音不大，还有收纳袋赠送的，放在后备箱也不占地儿 ,-,-,2021-06-24
10,谢**钧,颜色分类: 续航升级款【送车充  预设胎压+充满自停】快速补气 应急照明,好评,这款充气泵价格实惠，体积小方便携带，走到哪都不怕轮胎没气了，随时随地都可以给轮胎打气，简单方便，与描述相符，充的很快，酷,-,-,2021-06-23
