数据下载时间：2021-06-29 09:18:06 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635901766589/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,吴**宇,套餐类型: 官方标配 颜色分类: 【官方三代顶配版】全功能★ 智能主动降噪★送黑色保护套,好评,续航能力：续航能力很强 佩戴感受：很舒服 外观材质：外观跟正品一样 声音效果：声音可以调节，很好， 价格不贵，物超所值 ,非常好用，电池也挺耐用，音质也很好,-,2021-06-21
2,小**宝,套餐类型: 官方标配 颜色分类: 【官方三代终极S版】全功能★ 物理降噪★无损音质★送白色保护套,好评,其他特色：带上不会掉，也不会不舒服。  续航能力：刚用上，过后再评价 佩戴感受：入耳舒服，完全没有不适的感觉， 外观材质：外观好看。很精致。 声音效果：声音有多种选择。还有降噪功能，可以说是非常不错了。 非常喜欢 ,-,-,2021-06-17
3,一**8,套餐类型: 官方标配 颜色分类: 【官方三代顶配版】全功能★ 智能主动降噪★送白色保护套,好评,其他特色:带上不会掉，也不会不舒服。 续航能力:刚用上，过后再评价佩戴感受:入耳舒服，完全没有不适的感觉，外观材质:外观好看。很精致。声音效果:声音有多种选择。还有降噪功能，可以说是非常不错了。非常喜欢  ,-,-,2021-06-21
4,t**5,套餐类型: 官方标配 颜色分类: 【官方三代顶配版】全功能★ 智能主动降噪★送黑色保护套,好评,声音效果：不错的 续航能力：时间也很长 其他特色：赠品很喜欢 佩戴感受：很舒服 头可以换 外观材质：看起来不错 ,用了一下，没有发现什么问题，总体感觉很OK，下次还会继续支持，特此追评。,-,2021-06-26
5,会**2,套餐类型: 官方标配 颜色分类: 【官方二代终极版】全功能·音质大幅度提升★送白色保护套,好评,续航能力：时间挺长的，满足我的需求了 佩戴感受：感觉挺舒服的 外观材质：很小，适合装包包里 声音效果：很清楚👍 ,-,-,2021-06-25
6,t**8,套餐类型: 官方标配 颜色分类: 【官方二代旗舰版】光感入耳★ 改名定位★ 送白色保护套,好评,佩戴感受：是理想中的产品，质量不错，物流也很快，值得点赞✨已经多次购买了，家庭必备，购买价格实惠，送货速度很快，🎁包装也很精美 ,-,-,2021-06-21
7,张**你,套餐类型: 官方标配 颜色分类: 【官方二代顶配版】全功能·无损音乐★ 送红色保护套,好评,耳机很好用，和以前买的正品差不多，之前那个正品洗衣洗坏了，买了这家的产品很好用，不会出现杂音啥的，不错，推荐 ,-,-,2021-06-26
8,v**0,套餐类型: 官方标配 颜色分类: 【官方二代终极版】全功能·音质大幅度提升★送蓝色保护套,好评,其他特色：不得不说物流是真的给力，音质正常，备用基本无压力，性价比极高的耳机。 ,整体使用还可以,-,2021-06-22
9,天**天,套餐类型: 官方标配 颜色分类: 【官方二代旗舰版】光感入耳★ 改名定位★ 送绿色保护套,好评,声音效果：不错 佩戴感受：不错 价格亲民 外观美丽 ,手感不错 有分量,-,2021-06-21
10,t**6,套餐类型: 官方标配 颜色分类: 【官方三代顶配版】全功能★ 智能主动降噪★送绿色保护套,好评,不错，打开仓盖就有反应，直接手机就能识别，显示充电仓电量和耳机电量，好评。 ,-,-,2021-06-16
11,t**3,套餐类型: 官方标配 颜色分类: 【官方二代终极版】全功能·音质大幅度提升★送黑色保护套,好评,音质真的没得说，很不错的一次购物，用的好，还会回购，送朋友 ,-,-,2021-06-14
12,f**1,套餐类型: 官方标配 颜色分类: 【官方二代顶配版】全功能·无损音乐★ 送绿色保护套,好评,好用，盖子打开就直接连上了，音质也不错、这个价位很值了,-,-,2021-06-23
13,平**p,套餐类型: 官方标配 颜色分类: 【官方二代旗舰版】光感入耳★ 改名定位★ 送蓝色保护套,好评,性价比超高 赶上618促销活动 真心不错 和正品完全一致,-,-,2021-06-21
14,h**q,套餐类型: 官方标配 颜色分类: 【官方二代终极版】全功能·音质大幅度提升★送绿色保护套,好评,耳机音质非常好，支持正品弹窗，电量也比较抗用，不错！ ,已经买第二个了，自己用着真的不错，这次买给家里人，推荐~,-,2021-06-25
