数据下载时间：2021-06-29 09:27:48 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/630588047518/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,吾**人,颜色分类: 网纹款,好评,外观材质：外观还可以吧   这个噪音真大我不会上传视频不然一定给你们听听 就好像要坏的感觉  使用时长：短 从来没感觉买到这么次的东西说不过去  理发效果：太差了 如果不是非的给一星的话我应该半个不会给 这个头发剃的一点不干净喝视频比差十万八千里  果然配得上29块钱 ,听听这声音 我真的无语了 还要好评 还说什么七天无理由我笑了  还有那些说好的  对的起自己么  刷的？,-,2021-06-23
2,朋**6,颜色分类: 网纹款+原装刀头,好评,款式漂亮！做工精细！配件齐全！先进科技！,-,-,2021-06-23
3,a**x,颜色分类: 直充佛缘款+理发套装,好评,外观材质：感觉不错，很好看金佛 使用时长：充一次电用很久 理发效果：光头神器 ,-,-,2021-06-23
4,苏**呵,颜色分类: 佛缘款+备用电池+原装刀头+理发套装,好评,宝贝已收到，厂家发货很快，厂家说的和收到的物品一致，对本次购物很满意，给五星好评！使用后我会追评的！ ,-,-,2021-06-21
5,无**元,颜色分类: 佛缘款+备用电池+原装刀头,好评,舅舅说特别好用，样子也很好看，拿在手里很舒适，告诉我给个大好评哈哈 ,特意选的两个刀头，以后用着也方便,-,2021-06-25
6,我**啥,颜色分类: 佛缘款,好评,绝对超乎所值，值得购买，老公买的用着真心不错,-,-,2021-06-26
7,t**1,颜色分类: 佛缘款,好评,此用户没有填写评价。,声音不大，使用方便，挺快的。,-,2021-06-11
8,t**6,颜色分类: 佛缘款+原装刀头,好评,外观材质：小推子特别精致，动力强劲，已经光临两次了 ,-,-,2021-06-25
9,陈**西,颜色分类: 网纹款+备用电池+原装刀头,好评,宝贝已收到即打开看感觉手感很好待用后再追加,-,-,2021-06-17
10,悠**5,颜色分类: 佛缘款,好评,刚出差回来，拆开来看，不错！,-,-,2021-06-24
11,l**1,颜色分类: 网纹款+备用电池,好评,理发很顺畅，很彻底，声音不大，使用效果好，五星好评！ ,很好用的理发神器，下次还会来,-,2021-06-18
12,t**4,颜色分类: 佛缘款,好评,收到货了  非常精致  不错不错喜欢😍😍😍,-,-,2021-06-24
13,l**6,颜色分类: 网纹款+备用电池,好评,第一次用很爽，后来出了点小问题，客服能认真解决，好评！ ,-,-,2021-06-17
14,t**4,颜色分类: 网纹款+备用电池+原装刀头,好评,外观设计好看，使用时间超长待机，使用手感舒服 ,已经用了一段时间了，待机时间很长，效果杠杠滴……………………………………………………………………………………………………………………,-,2021-06-24
15,t**3,颜色分类: 佛缘款+备用电池+原装刀头+理发套装,好评,618神兽·孝敬的@神器！用后在发体验...,试了一下·效果杠杠的,-,2021-06-26
16,欧**站,颜色分类: 直充佛缘款,好评,宝贝可以，喜欢 ,-,-,2021-06-17
17,t**1,颜色分类: 直充佛缘款,好评,货收到了，跟商家所描述的一样，沉甸甸的，特别有手感，USB充电款，还赠送的电推拖、海绵、刷子、机油，样式美观 大方 实用，非常喜欢的一款产品，快递也很给力，客服的服务态度也热情周到，五星好评。,-,-,2021-06-11
18,秀**0,颜色分类: 直充佛缘款,好评,真不怎么样。帮我换了一个也不行。转速一会快一会慢，一推头发就挺了。,-,-,2021-06-22
19,欧**站,颜色分类: 直充佛缘款,好评,质量很好，喜欢 ,-,-,2021-06-17
20,w**0,颜色分类: 直充佛缘款,好评,外观材质：高大上的时尚设计，手感好。 理发效果：刀锋爽利，好操作，成型易。 ,这推剪方便实用好操作，而且颜值高。,-,2021-06-24
21,t**3,颜色分类: 直充佛缘款+原装刀头+理发套装,好评,宝贝收到了，非常喜欢跟之前在实体店买的不一样，手感沉甸甸的，声音很小，卖家送的小礼物好多样，感觉很棒的一次购物。,今天用了特别灵巧，推得干净,-,2021-06-26
22,t**0,颜色分类: 佛缘款,好评,材质很漂亮，刚买来就用了，效果不错 ,下次还会再来,-,2021-06-15
23,t**1,颜色分类: 直充佛缘款+原装刀头,好评,外观材质：材质非常好 使用时长：使用时间长 理发效果：效果非常好 ,方便好用，非常不错，好评！,-,2021-06-11
24,w**购,颜色分类: 直充佛缘款,好评,很好看，好用，剃得光，锋利，物美价廉赞赞赞 ,持久续航哦，充一次电可以用好久,-,2021-06-22
25,d**2,颜色分类: 佛缘款,好评,外观材质：质量好，主要还很美观上档次， 使用时长：理发好几个头，都还有电耐用 理发效果：漂亮 ,-,-,2021-06-26
26,t**3,颜色分类: 网纹款+备用电池+原装刀头,好评,外观设计的挺精致的，已经用了2次了，效果非常好，值得购买，很不错 ,声音非常小，小巧精致，携带方便,-,2021-06-26
27,t**6,颜色分类: 网纹款,好评,这家物流很慢，而且质量特别不好，刀头一直卡头发，慢的要*，望大家不要去他们家购买，我已经上当了，而且他们说的天花乱坠，实际一点都没用,-,-,2021-06-25
28,t**4,颜色分类: 直充佛缘款,好评,货不错，很好用 刀片峰利 手感好。,这款替头刀很实惠好用，畜电时间长刀口很锋利外观也不错，手感很好。,-,2021-06-24
29,x**6,颜色分类: 网纹款+备用电池+原装刀头+理发套装,好评,质量非常不错，理发效果非常不错，方便，使用时长，充电电池，赠送了非常多的东西，很喜欢。 ,-,-,2021-06-26
30,胤**哥,颜色分类: 网纹款,好评,还可以，推剪推的干净，雕刻也好看,-,-,2021-06-18
31,南**茶,颜色分类: 佛缘款+备用电池+原装刀头,好评,宝贝收到了，用了用效果挺好，推的挺干净，经济实惠！ ,不错不错，用几天了动力十足！,-,2021-06-22
32,飘**9,颜色分类: 佛缘款,好评,理发效果：油头推子非常棒，而且价位便宜，动力强劲，推的很干净，推荐大家 ,-,-,2021-06-22
33,嗳**儿,颜色分类: 佛缘款+备用电池,好评,T9油头电推剪 0刀头发廊雕刻痕推光头理发器婴儿童成人家用电推子，质量很好，性价比高，有需要可以放心购买。 ,-,-,2021-06-22
34,t**3,颜色分类: 网纹款,好评,还是喜欢黑色的，这款金色的图片上没有啊！,-,-,2021-06-26
35,s**l,颜色分类: 佛缘款,好评,此用户没有填写评价。,刀头质量太差了，买一个理发器用几次刀头就不快了，劝大家买的时候还是要注意点，,-,2021-04-11
36,花**i,颜色分类: 直充网纹款+原装刀头,好评,想想也挺划算    理两次发  的钱买个刮胡刀   不亏 ,-,-,2021-06-26
37,l**8,颜色分类: 直充网纹款+原装刀头,好评,还是挺好用的 也不贵 性价比高 ,不错 充电也很快的 安卓线通用,-,2021-06-10
38,a**0,颜色分类: 网纹款+备用电池,好评,用着顺手，锋利，干净利落，贴皮肤还比较舒服。 ,-,-,2021-06-21
39,3**陈,颜色分类: 网纹款,好评,说几点用过的真实评价！1.没动力！2噪音大！3不锋利！4.充个电踢一个就没电！5.电池弱！总结！*******！等我新货到了当场砸了！,如此垃圾的产品商家还来叫我好评😨！我只不过实话实说而已！,-,2021-06-19
