数据下载时间：2021-06-29 09:30:02 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/606169172611/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,老**端,颜色分类: 柯基灰色版一个,好评,萌萌哒，果然没让我失望～放了纸巾就鼓起来了～特别好玩～ ,-,-,2021-06-24
2,菲**a,颜色分类: 柯基经典版一个,好评,超级可爱，质量也不错哦，大家买起来。 ,-,-,2021-06-22
3,j**5,颜色分类: 柯基经典版一个,好评,回购的 第一个挺满意 又买一个 很不错 物美价廉 ,-,-,2021-06-17
4,士**g,颜色分类: 柯基灰色版一个,好评,这个很好诶毛茸茸的舒服 我还担心会很大一只 结果小小的正好 感觉普通的纸抽都可以 我用的维达 抽起来顺畅～ ,-,-,2021-06-20
5,内**龙,颜色分类: 柯基经典版一个,好评,很好玩，不错哦！ ,-,-,2021-06-21
6,s**y,颜色分类: 柯基经典版一个,好评,可爱呢，外面做工还可以，里面不行。 ,-,-,2021-06-26
7,哪**司,颜色分类: 柯基经典版一个,好评,第二次买啦，好用好看,-,-,2021-06-23
8,叶**g,颜色分类: 柯基经典版一个,好评,挺可爱的 我试了放卷筒纸抽不出来 只能放少量抽纸 ,-,-,2021-06-22
9,梦**2,颜色分类: 柯基经典版一个,好评,这个太好玩了哈哈哈哈哈哈哈哈,-,-,2021-06-20
10,隐**名,颜色分类: 柯基经典版一个,好评,此用户没有填写评价。,不错，很好看，质量也很好，没有异味。,-,2021-06-05
11,a**i,颜色分类: 柯基经典版【一对装】,好评,第二次购买了，这次买两个，一个另外一辆车用，一个送人，可爱，实惠 ,-,-,2021-06-20
12,爱**子,颜色分类: 柯基经典色-碳包版一个,好评,不够饱满,-,-,2021-06-26
13,叫**头,颜色分类: 柯基经典版一个,好评,还挺OK ,-,-,2021-06-19
14,张**3,颜色分类: 柯基经典版一个,好评,出纸孔太小了，纸都扯破了,-,-,2021-06-23
15,1**婧,颜色分类: 柯基经典版一个,好评,可爱，好用,-,-,2021-06-23
16,g**i,颜色分类: 柯基经典版一个,好评,超级可爱 手感也不错,-,-,2021-06-16
17,p**1,颜色分类: 柯基-超级英雄一个,好评,好看，质量很好，就是放不了多少纸 ,-,-,2021-06-25
18,聪**7,颜色分类: 柯基经典版一个,好评,质量不错 很可爱 抽纸很顺畅,-,-,2021-06-16
19,j**5,颜色分类: 柯基经典版一个,好评,好看又好玩 还好用 好评 ,-,-,2021-06-17
20,东**缜,颜色分类: 柯基经典版一个,好评,质量不错，价格便宜性价比高,-,-,2021-06-16
21,w**i,颜色分类: 柯基黑色版一个,好评,非常可爱，还能做靠枕，我又下单了，再买一个。 ,-,-,2021-06-10
22,适**6,颜色分类: 柯基经典版一个,好评,除了有点小，其他挺好 ,-,-,2021-06-24
23,二**4,颜色分类: 柯基-超级英雄一个,好评,太垃圾，更本不能用,-,-,2021-06-25
24,d**9,颜色分类: 柯基经典版一个,好评,纸巾盒很可爱。,-,-,2021-06-11
25,t**4,颜色分类: 柯基经典版一个,好评,非常不错的！！老板人超级好！值得购买！ ,-,-,2021-05-31
26,领**奴,颜色分类: 柯基经典版【一对装】,好评,挺有创意,-,-,2021-06-16
27,a**o,颜色分类: 柯基经典版一个,好评,特别可爱，毛茸茸的。发货也很快。 ,-,-,2021-06-19
28,z**2,颜色分类: 柯基经典版一个,好评,可可爱爱 没有头脑 ,-,-,2021-06-12
29,t**8,颜色分类: 柯基黑色版一个,好评,小**很可爱，送给客户做伴手礼非常合适！客服态度也非常好，以后有需要还会再买,-,-,2021-06-09
30,伟**妈,颜色分类: 柯基经典版一个,好评,。。就还行吧，快递一直没有发出来，然后我不问也没回，问了说发仓库出来了，后面我再问就是快递丢了。。。啊。。还好不急着要 ,-,-,2021-06-15
31,w**3,颜色分类: 柯基经典版一个,好评,物流很快，物品完好无损，用起来很舒服，喜欢💕,-,-,2021-06-13
32,挥**京,颜色分类: 柯基黑色-碳包版一个,好评,有点松，其他还好,-,-,2021-06-22
33,z**9,颜色分类: 柯基经典版一个,好评,稍微有点小,-,-,2021-06-20
34,9**h,颜色分类: 柯基经典版一个,好评,有车之前就想买这个，有了车立马下手，实在是太可爱了 ,-,-,2021-06-01
35,梁**王,颜色分类: 柯基经典版一个,好评,很可爱，喜欢！ ,-,-,2021-06-11
36,第**豆,颜色分类: 柯基经典版一个,好评,拉链一拉就坏掉了，这个价位，也没必要折腾退换了 ,-,-,2021-06-14
37,t**1,颜色分类: 柯基灰色版一个,好评,非常不错，可爱呢，挂着车里很好 ,-,-,2021-06-02
38,奶**再,颜色分类: 柯基经典版一个,好评,比较小，质感很差 ,-,-,2021-06-19
39,粉**o,颜色分类: 柯基经典版【一对装】,好评,哈哈哈 好可爱  ,-,-,2021-06-08
40,大**长,颜色分类: 柯基经典版一个,好评,可爱，软软的,-,-,2021-06-08
41,z**7,颜色分类: 柯基经典色-碳包版一个,好评,发货什么的都挺快的，价格也不贵，告诫大家千万别买竹炭包…，造型有些对不起心理预期……，,-,-,2021-05-31
42,t**2,颜色分类: 柯基经典版一个,好评,不错是不错 就是有点小 纸巾噻一塞就进去了 不错不错 还是蛮可爱的 服务不错 满意,-,-,2021-05-31
43,9**j,颜色分类: 柯基经典版一个,好评,柯基屁股，没想象中的那么圆润，但也还不错。 ,-,-,2021-06-17
44,q**g,颜色分类: 柯基-LUCKY-DOG一个,好评,比想象中还要小啊。。。希望30抽的纸巾能放进去。。。。,-,-,2021-06-14
45,z**g,颜色分类: 柯基经典版一个,好评,实物比想象中的小。也没有图片里好看。,-,-,2021-06-18
46,宏**胜,颜色分类: 猫咪一个（限时特价）,好评,质量太差了，就感觉很低档,-,-,2021-06-17
47,m**3,颜色分类: 柯基经典版一个,好评,整体评价：哈哈哈哈好可爱哦 ,-,-,2021-06-02
48,浅**0,颜色分类: 柯基黑色版一个,好评,收到了，女朋友很喜欢，摸着屁股不撒手,-,-,2021-05-31
49,找**精,颜色分类: 柯基经典版一个,好评,不错，顶一个，谁要你这么诚信呢。。呵呵谢谢咯！,-,-,2021-06-05
50,t**4,颜色分类: 老鸭屁屁一个,好评,好评精美,-,-,2021-05-31
51,哎**嘿,颜色分类: 经典柯基+二哈【一对装】,好评,感觉往出抽纸有点费劲似的 ,-,-,2021-06-17
52,不**2,颜色分类: 柯基经典版一个,好评,很方便。很好用 ,-,-,2021-06-02
53,海**0,颜色分类: 柯基灰色版一个,好评,好可爱呀！,-,-,2021-05-28
54,c**茉,颜色分类: 柯基经典版一个,好评,颜值超高的呢，非常赞，姑娘很喜欢抽着玩，感觉好邪恶啊啊啊～柯基屁股好圆润，触感很柔软 ,-,-,2021-05-22
55,杨**7,颜色分类: 柯基灰色版一个,好评,好小,看图片停大，好小,-,2021-06-17
56,t**6,颜色分类: 柯基经典版一个,好评,做工形式：很可爱的pp造型纸巾包，毛茸茸的手感非常好 使用体验：不能放置太大包的纸巾，一般只能放30抽左右的，足够车用就可以了 ,-,-,2021-05-26
57,起**3,颜色分类: 柯基经典版一个,好评,胖嘟嘟的好可爱,-,-,2021-05-17
58,小**呢,颜色分类: 猫咪一个（限时特价）,好评,很 猥 ... 琐 ，哈哈哈！很可爱，就是蛋dan是胶水黏住的，有点歪，手工有些糙，但是也没啥大问题，自己修补一下就好看了！,-,-,2021-06-08
59,你**崽,颜色分类: 柯基经典版一个,好评,第二次买了，第一次收到很可爱很喜欢，第二次买柯基pp瘪瘪脏脏的，有点失望,-,-,2021-05-21
60,孙**2,颜色分类: 老鸭屁屁一个,好评,不是很满意，看图 ,-,-,2021-06-09
61,贾**8,颜色分类: 经典柯基+二哈【一对装】,好评,不错，非常好，颜值高，nice ,-,-,2021-05-15
62,圆**7,颜色分类: 柯基经典版一个,好评,整体看着还算不错，还未投入使用！ ,-,-,2021-05-10
63,s**奇,颜色分类: 柯基-LUCKY-DOG一个,好评,可爱，实用不占地方，小包抽纸就OK,-,-,2021-05-13
64,h**5,颜色分类: 柯基经典色-碳包版一个,好评,产品材质：和店家的图完全不同 做工形式：外观不对称 买的是带碳包的，有点沉，炭包把整个柯基屁股撑的一点形状也没有，不圆也不饱满。外面的毛也是杂乱的很和商家的图完全是两个东西。 ,-,-,2021-05-21
65,t**4,颜色分类: 柯基经典版一个,好评,好看  可爱  有创意,-,-,2021-05-31
66,y**7,颜色分类: 柯基经典版【一对装】,好评,这质量是真的查，还掉毛,-,-,2021-06-08
67,酒**飞,颜色分类: 柯基粉色版一个,好评,挺不错的，就是放的纸太少了，稍微多点就不好抽了,-,-,2021-06-06
68,c**3,颜色分类: 柯基经典版一个,好评,有点迷你啊😂😂,-,-,2021-06-10
69,新**年,颜色分类: 经典柯基+二哈【一对装】,好评,很牛*。很好的东西！,-,-,2021-05-23
70,a**9,颜色分类: 柯基经典版一个,好评,挺可爱的，纸巾也能放进去，满意的 ,-,-,2021-05-21
71,小**仔,颜色分类: 柯基经典版【一对装】,好评,第二次购买 非常不错 ,-,-,2021-05-16
72,p**族,颜色分类: 柯基经典版一个,好评,超级可爱！入手不亏！ ,-,-,2021-06-05
73,囿**糊,颜色分类: 柯基经典色-碳包版一对,好评,给服务的五星好评,-,-,2021-05-23
74,瘾**i,颜色分类: 经典柯基+二哈【一对装】,好评,拆开快递都是脏的 ,-,-,2021-06-06
75,敏**q,颜色分类: 柯基灰色版一个,好评,值这个钱,-,-,2021-05-20
76,t**8,颜色分类: 柯基黑色版一个,好评,物流很快，还行吧!,-,-,2021-06-09
77,肖**5,颜色分类: 柯基灰色版一个（限时特价）,好评,摸上去手感特别柔软，看着也特别可爱,-,-,2021-05-02
78,澄**冷,颜色分类: 柯基经典版一个,好评,小菊菊有点紧😍可爱的咧～萌*了 娃超喜欢 ,-,-,2021-04-19
79,s**i,颜色分类: 柯基经典版【一对装】,好评,此用户没有填写评价。,不是追評，是因為我剛收到（海外） 好可愛～毛軟軟的，舒服！,-,2021-04-23
80,w**2,颜色分类: 柯基经典色-碳包版一个,好评,与卖家秀差距有点大，不饱满 ,-,-,2021-05-25
81,s**n,颜色分类: 柯基经典版一个,好评,质量很好 喜欢,-,-,2021-04-21
82,0**0,颜色分类: 柯基经典版一个,好评,超级好用 很可爱 推荐买买买,-,-,2021-04-18
83,半**瓜,颜色分类: 柯基经典色-碳包版一个,好评,一言难尽 ,-,-,2021-06-04
84,a**车,颜色分类: 柯基经典版一个,好评,实用性和颜值都非常的赞，我很喜欢，还会再来买的简只能用完美来形容！强烈推荐！ ,-,-,2021-04-28
85,暗**h,颜色分类: 柯基经典版一个,好评,只能装小包的纸巾，扯出来的时候有点费力,-,-,2021-06-02
