数据下载时间：2021-06-27 18:38:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/642983834067/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,爱**叔,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,质感:说是陶瓷触感，差，塑料感十足，耳机上面的切换很差劲。 续航，刚买回来还没有测试。 链接:链接也没有他说的那种苹果的那种链接就跟蓝牙耳机一样，蓝牙链接速度还可以。 音质:有一说一，有点漏音。 客服:差劲，特别差。解决问题慢不说，就一个耳机邮寄搞了一个星期左右。 外观材质：差 佩戴感受：还行 续航能力：还没测 声音效果：漏音 ,-,-,2021-06-25
2,f**y,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,耳机轻巧，久戴也没有不适，我也是重度游戏迷，耳机也没有延迟，好看又好用其他特色：物超所值 续航能力：充满两三天都可以 佩戴感受：无不适感 外观材质：手感很舒服 声音效果：降噪能力很强，做工很棒小巧出门随时携带都不碍事声音也蛮清晰的，性价比蛮高的，总之很好就对啦，这个价位来说真的物超所值了，带耳朵里稳稳的不会掉质量强硬 赞 ,-,-,2021-06-25
3,a**铭,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅送无线充 绿,好评,此用户没有填写评价。,我用着是不咋地，没开盖总是自动连接，戴一只耳机，有时候会连接到另一个，并且戴着的还没声音，我只能说可能是假货吧，要不然就是质量不过关，还有我看其他家的这个版本都要贵不少，只能说贪了小便宜，有这钱不如买个牌子的，真晦气,-,2021-06-01
4,h**0,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 黑,好评,东西很不错,刚买到的，很好用。音质和正品的一样。很值得入手。,-,2021-06-25
5,4**q,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,佩戴感受：带着挺舒服 续航能力：5个小时 声音效果：两只一起带着和外面的世界与世隔绝 ,-,-,2021-06-14
6,d**3,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 绿,好评,原装的未拆封，收到立马就试了，音质很好，没有杂音和电流音，当即给朋友打个电话，能听到很清晰，很小声也能听到，现在听歌中，舒服。戴着不会容易掉，音质很好，也不容易掉，很喜欢。声音很大，稍微一点点音量就可以了。 自己买的保护套很合适,-,-,2021-06-12
7,2**张,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,非常满意的一次购物，这个价格能到这样的耳机可以说是非常棒的产品了！ 做工质感：沉沉的有点压手，很有质感。 音效音质：高音不刺耳，中音明亮，低音浑厚，特别是开启降噪效果后和带耳麦差不多。 续航能力：只试用了二十分钟，还不知道续航如何。 灵敏度：灵敏度非常棒，入耳检测设计特别实用。 舒适度：有大中午三套耳塞，我换了个小的耳塞来带，挺舒服没有不适。 其他特色：客服回复的速度很快，态度也很好，很有耐心，点赞！！  ,-,-,2021-06-20
8,罗**陈,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,声音不错，续航不错，外观也不错，统统都好像挺不错的哈哈哈 ,-,-,2021-06-14
9,吕**晴,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 黑,好评,已在使用中，挺满意的，弹窗很快，音质清晰没有杂音，也没有电流的声音，而且蓝牙连接很稳定，功能也和苹果一样带有改名字跟定位，确实设计的很好，上下班都带着，同事也在用，音质一般的耳机不值得推荐，但是我推荐这个,-,-,2021-06-23
10,u**8,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 绿,好评,惊呆了，完全和官网的一毛一样，差点以为老板发错货了，哈哈 我很看重耳机音质感的，没事就听听歌 ，音质超级清晰，带着很合适，跑步时听歌也不会掉，蓝牙连接挺快的，非常方便舒服 ，非常值了👍,-,-,2021-06-24
11,t**2,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,此用户没有填写评价。,"2天就收到快递了，一拿到手就感受到耳机的分量了，用起来效果也是蛮不错的，完全超出了预期，音质低音很沉重，戴上之后特别舒服，通话什么的都很清晰，华强北的耳机真的很厉害,降噪模式也很不错,比别家的要强多了,音质是真的清晰，和同学玩吃鸡说话可以听得清，没有延迟，画面都是同步的，玩起来特别舒服",官网原厂三代:真洛达1562A✅双麦主动降噪✅空间音频✅全功能无需更新,2021-06-12
12,l**3,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 白,好评,此用户没有填写评价。,一分钱一分货，确实比一般多的好，物超所值，让人爱不释手。主要是降噪和通透功能，特别厉害。买过其他家的根本没效果的，但是这一个不一样，音质非常好，续航可以听三四个小时，高端大气上档次，朋友都叫我推荐,官网原厂三代:真洛达1562A✅双麦主动降噪✅空间音频✅全功能无需更新,2021-06-12
13,白**豆,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 白,好评,此用户没有填写评价。,"朋友买了一个感觉很好看，就问了链接，自己也买了一个，耳机质量强硬,声音清晰操作也很简单,连接快捷,带着接听手机电话都很方便。让人很满意",官网原厂三代:真洛达1562A✅双麦主动降噪✅空间音频✅全功能无需更新,2021-06-18
14,m**9,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,爆赞 这个价位买到的 很划算 而且和正品一模一样基本没什么区别 该有的都有 不懂的问客服就行 我也是问了客服才知道还有你不知道的功能 适合入手 不是托 真的很强,用了一个星期体验 音质只能说一般 主要是电量不大行 用一会就没电了 充电仓电量也很小,-,2021-06-21
15,a**2,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,其他特色：感觉真的很不错 续航能力：续航也还不错哦 佩戴感受：佩戴起来很舒服 外观材质：外观和真的没啥区别 声音效果：声音效果我用寝室室友的比了一下，他买的苹果的感觉后悔了,-,-,2021-06-20
16,l**1,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 黑,好评,用了几天了，个人感觉很满意，这个价格可以买到质量这么好的已经很不错了 性价比确实高 我觉得买这种实用性的不管是不是苹果官方耳机都可以 品质和外观完全没差别 ,-,-,2021-06-23
17,l**6,套餐类型: 官方标配 颜色分类: 仅限今日：送原配数据线+保护套+亲肤耳帽+大礼包,好评,一收到快递，迫不及待地打开，试了一下，感觉特别好，物有所值！挺棒！,-,-,2021-06-15
18,l**6,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,耳机颜值很高!音质清晰，用来玩吃鸡简直绝了，不仅仅是外观的和原版的一-样，功能也是，电量显示，蓝牙连接指纹触控都有，连接手机的蓝牙，用起来方便。连麦没有电流声声音也没有延迟，耳机戴久了耳朵也不会疼，而且不会掉，物流也很快，当天下单就发货了，买 它! !,-,-,2021-06-15
19,t**文,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,其他特色：降噪功能是真的强。 佩戴感受：几乎无重量佩戴舒适。 声音效果：音质的话这个价位都差不多，这个略好一点 ,-,-,2021-06-23
20,浪**罪,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,音响不错,-,-,2021-06-15
21,爱**洛,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 黑,好评,我只能讲这就是个垃圾。 连一般的蓝牙耳机都不如 左耳机连上就掉线  掉线又连上。重复好几次 每一次用都是这样  右耳机还算稳定。但是有时候听着听着也会掉线。反正用着很闹心。音质也就呢样。跟带线的耳机差不多。我是用了一段时间才来评论的。不是很差的东西我都懒得评论 这是我淘宝买过最差的东西。真不知道哪来那么多好评,-,-,2021-06-23
22,k**5,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,外观材质:外观高大上，小巧，手感好。佩戴感受:很舒服，很方便。声音效果:声音不错。其他特色:价格便宜。 ,-,-,2021-06-20
23,冉**6,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 绿,好评,不错不错。 挺好的 ,-,-,2021-06-21
24,s**3,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 白,好评,此用户没有填写评价。,东西质量非常好，音质效果一般，没有线的比较方便，功能十分全面，还有赠品，这价位很值。,官网原厂三代:真洛达1562A✅双麦主动降噪✅空间音频✅全功能无需更新,2021-06-17
25,青**x,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 绿,好评,刚拿到手确实没有弹窗和电量显示，多亏了后来那个客服教我设置了一下～针不戳～该说不说 音质确实比我在pxx买的好哈哈哈 就是你家有的售后太不专业了 一问三不知 真气人 ,-,-,2021-06-25
26,p**0,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,功能非常强大，音质很好，做工和苹果完全一样，性价比超高，非常值,-,-,2021-06-25
27,t**5,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,耳机收迫不及待试用，耳机入耳感觉非常贴切，音质非常清晰明亮。,-,-,2021-06-25
28,t**3,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,设计觉得特别有美感，试听之后体验不错，降噪，音质方面都很不错，性价比相当高了。,-,-,2021-06-25
29,潘**3,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,佩戴感受：舒服 声音效果：非常可以没有杂音 续航能力：5小时以上 ,-,-,2021-06-23
30,高**杰,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 白,好评,呀，朋友推荐的这家，使用方便，开机即时弹窗，蓝牙连接速度非常快。🍎音质也很好，听起来很舒服，👍👍空间音频和其他都在，没阉割。还有很多功能晚点试试怎么样。,-,-,2021-06-24
31,t**9,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,其他特色：好 声音效果：好 续航能力：好 佩戴感受：好 外观材质：好 ,-,-,2021-06-25
32,t**1,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,降噪可以，通透模式挺好。双耳都带上交流没问题。续航也不错。拥有耳机我又活过来啦哈哈哈哈哈哈哈,-,-,2021-06-24
33,薰**4,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 紫,好评,用了一阵后才过来评价的 这是我买的第三个耳机中终于留下来的一款（其他的就不多做评价了）因为经常听音乐所以对音乐音质要求挺高的 打开后电池仓和耳机电量都是实时显示的 耳机声音也很大 我的手机开下来都几乎只需要用十分之一的音量 还是物有所值的,-,-,2021-06-17
34,雷**鸿,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 紫,好评,此用户没有填写评价。,这么便宜又实用的东西买的好值，试带了听歌没有杂音，音质很清晰，戴上感觉可以 不会痛 声音很清楚 充电快，充一次电的话是可以用很久的，隔音效果也不错  喜欢。好评 好评,官网原厂三代:真洛达1562A✅双麦主动降噪✅空间音频✅全功能无需更新,2021-06-14
35,p**m,套餐类型: 官方标配 颜色分类: 【1536u顶配版】物理降噪✅标准功能 白,好评,外观小巧精致，佩戴舒适不易掉，音效也超级棒，大赞 ,-,-,2021-06-25
36,上**了,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,佩戴感受：还好，不会有不适 外观材质：很棒 声音效果：很棒，值这个价 ,-,-,2021-06-24
37,勇**6,套餐类型: 官方标配 颜色分类: 【1562A王炸版】双麦降噪✅复刻全功能✅原机体验 白,好评,续航能力：持久 佩戴感受：舒适 外观材质：光滑 声音效果：优美 ,-,-,2021-06-25
