数据下载时间：2021-06-27 10:17:11 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/560253896325/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**0,适用手机型号: iPhonex 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,钢化膜自然吸附上去，没有白边和气泡这样的情况，屏幕保持的很干净，和原机屏幕的手感一模一样，整个膜看起来也很高透清晰，丝毫不影响，非常的干净！ ,贴上和手机浑然一体完美贴合，边缘保护的很好，真的是不会割手的设计！,镜面的人生映照出千姿百态，宝贝能够伴随亲才是不虚此生，没有束缚的屏幕，完全裸机的感受。能给亲带来更优质的体验。期待亲您的再次光临哦！ 祝您生活工作愉快！,2021-06-20
2,蝴**畔,适用手机型号: iPhone 11 Pro 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,"钢化膜贴上后非常灵敏，跟裸机一样的效果。我自己动手贴的膜，没有白边和气泡的情况，一次性搞定,还不赖，摸上去是手感很舒适的，滑滑的，屏幕也很清晰 ",不留指纹，触屏反应也很灵敏，手机看着干净清爽 这次购买体验超满意！,镜面的人生映照出千姿百态，宝贝能够伴随亲才是不虚此生，没有束缚的屏幕，完全裸机的感受。能给亲带来更优质的体验。期待亲您的再次光临哦！ 祝您生活工作愉快！,2021-06-24
3,t**3,适用手机型号: iPhone12 Pro 颜色分类: 【电镀蓝光护眼不碎边】2片装★收藏送神器+后膜,好评,"H~和手机屏幕贴合度特别的高﻿♈,性价比很高♊,价钱也比较合适♊,是全覆盖的款式♎,屏幕很灵敏没什么油腻感♍,看着很干净很清爽♋,用了大半天也没有留下什么指纹印♍,打游戏不会卡住﻿♈,我已经是无数次回购了♏  ",-,-,2021-06-23
4,郑**9,适用手机型号: iPhonex 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,"xz还能很好的保护手机🍔屏幕,玻璃不碎边,触感🌽也挺好的。而且触摸很😬灵敏,防指纹效果赞,🔭很薄的。这款钢化膜的🕡做工真的非常不错,没🐚有白边,裸机感非常满🙇意。做活动的时候还是✡比较优惠, ",价格实惠，看图↓每天就送100张↓,-,2021-06-24
5,马**鑫,适用手机型号: iPhonex 颜色分类: 【电镀三倍抗指纹不碎边】2片装★收藏送神器+后膜,好评,性价比很高！比实体店要划算的多，相当实惠！包装和钢化膜都是很精致的。怎么使用屏幕都是清晰明亮的，非常透亮。 ,能感觉出来是质量很好的产品，而且非常耐脏，屏幕也很清晰。,包装我们是认真的，优惠也是认真的哦，手机膜水过无痕，滴水成珠，油污一抹即净，您值得拥有哦,2021-06-24
6,小**具,适用手机型号: iPhonexr 颜色分类: 【电镀三倍抗指纹不碎边】2片装★收藏送神器+后膜,好评,这钢化膜与手机大小匹配度恰到好处，贴膜工具配的很齐全，用起来反应也十分灵敏，使用效果非常赞，无论是玩游戏还是看抖音都是蛮给力的  ,价格和质量成正比，这次购物非常满意，需要贴膜的可以安排上了,这款钢化膜手感特别的好，用了最新的升级防指纹工艺。升级了最新的防爆工艺，质量杠杠滴。,2021-06-21
7,z**6,适用手机型号: iphone7plus 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,贴上去和没贴的感觉是差不多的，整个显示屏保护的非常有安全感，正面看非常高清清楚，也不影响视觉，看起来非常舒服，大小孔位都非常合适  ,用来打游戏的感觉，紧紧的贴合机身不会翘，摸起来手感确实不一样,谢谢亲对小古家的认可，这款钢化膜采用优质玻璃材质，分辨率高，还原裸机，视觉更清晰呢！,2021-06-20
8,s**5,适用手机型号: iPhone 11 颜色分类: 【电镀蓝光护眼不碎边】2片装★收藏送神器+后膜,好评,贴合度：超级贴合 尺寸大小：刚刚好 材质手感：完美 里面有送辅助的贴膜工具，很不错的手机膜，贴好膜后看起来和没贴一样，蛮不错的  ,对手机屏幕的保护也是更加稳妥，毕竟是手机还是要好好爱护才行的,谢谢亲对小古家的认可，这款钢化膜采用优质玻璃材质，分辨率高，还原裸机，视觉更清晰呢！,2021-06-24
9,莫**迁,适用手机型号: iPhonexr 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,钢化膜还原屏幕颜色，非常透亮，屏幕很灵敏没什么油腻感，不会脏。玩久了也不会有指纹留下，指纹防护效果真的很棒，性价比很高  ,我自己贴都可以贴的很好，做工很好，值得推荐购买呦！,小古这款玻璃钢化膜很不错哦，装备还是要给他最好的，小古祝您天天开心，感谢您的光临！,2021-06-21
10,t**1,适用手机型号: iPhone12 颜色分类: 【9D曲面全覆盖蓝光】黑色2片装★收藏送神器+后膜,好评,他们家的手机膜，我已经是无数次回购了，性价比很高挺好用的，我的手机被保护了很多很多次。都很耐磨，价钱也比较合适，触感也挺好的。做活动的时候还是比较优惠，他们家新款更新的也挺快。￼￼ ,挺耐摔的，送的固定器也很赞👍,好滴好滴，您的多次支持让我们感受到了什么是爱，谢谢亲的支持啦!,2021-06-22
11,小**王,适用手机型号: iPhone 11 颜色分类: 【电镀蓝光护眼不碎边】2片装★收藏送神器+后膜,好评,"贴上也和我的手机完💶全搭配,很薄的,感觉防🌎摔效果也会很好。贴上📋去之后拿起来才是真正👻的裸机手感的,抗蓝光🌃效果好,裸机感非常满💈意。价格实惠质量很好⚾,最重要的就是防指纹😡,屏幕看着更清晰明亮🏢了。尺寸非常合适,  ",-,-,2021-06-22
12,飞**女,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,膜和屏幕贴合的非常完美，手感是真的很不错，自己都是可以贴的❣非常的完美，而且贴上去之后也没有进灰翘边、气泡什么的  ,贴上后触屏灵敏，手感很顺滑，使用价值高。,这款小古钢化膜膜采用进口的优质玻璃，精湛工艺还原苹果手机原屏幕使用触感，屏幕高达99%色彩真实清晰,2021-06-25
13,倩**8,适用手机型号: iPhonexsmax 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,钢化膜和手机很匹配，和量身定做的一样，贴膜工具包很全，简单易操作，膜贴上屏幕非常清晰，屏幕不会粘指纹，新手也可以自己贴的  ,已经用上了。然后价格也非常实惠，性价比较高，推荐这款。,这款钢化膜采用进口的优质玻璃，精湛工艺还原苹果手机原屏幕使用触感，喜欢记得要把宝贝推荐给好友哦。,2021-06-24
14,h**s,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,这款钢化膜防指纹效果挺不错的，不留指纹，手感真的是巨好，贼舒服，灵敏度也特别高，贴在手机手机也显得很好看，质量非常强硬  ,拿起来才是真正的裸机手感，还不会那么容易翘边，真的蛮不错的,这款小古钢化膜采用进口的优质玻璃，精湛工艺还原苹果手机原屏幕使用触感，保护手机屏幕非他莫属。,2021-06-23
15,t**2,适用手机型号: iPhone 11 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,这个钢化膜真的很好！钢化膜很光滑，用起来非常顺手，不留指纹，不像普通膜一样容易脏。还送后膜，保护手机背面不易划伤，推荐购买！,已经用了有一段时间，钢化膜还是像新的一样，很干净光滑,这款9D膜采用最新工艺，防摔防刮还防指纹呐！,2021-06-21
16,泰**1,适用手机型号: iPhone 11 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,贴合度：非常贴合，没有空气泡 尺寸大小：大小合适，材质手感：很顺滑，不会有指纹，不管是看电视还是玩游戏，画质都特别的清晰  ,价格实惠又好用，关键看起来高端，值得安利下！,确认过眼神，遇上对的膜。每天最开心的事莫过于看到亲使用满意，我们会更加的珍惜，不断的改进与完善，力求做得更好~,2021-06-24
17,中**k,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,钢化膜贴上之后是好的没有的话说，堪比裸机手感，手指触屏反应灵敏，玩了会游戏，真的是超级顺，防指纹效果也不错，非常干净，强力推荐！  ,看着很舒服，手机配件一直都在买的，很中意这家,钢化膜还原了屏幕美感，让亲使用的更加满意 ٩(๑>◡<๑)۶ 喜欢记得要把宝贝推荐给好友哦。,2021-06-23
18,t**1,适用手机型号: iPhone 11 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,看着不会挡屏幕，比之前买的那些普通钢化膜的好多了，不当屏，而且触摸很灵敏，玩手机反应都很快，用了大半天也没有留下什么指纹印，看着很干净很清爽  ,确实是我想要的膜，很不错呢,能保护手机的安全才是一款不可多得的好膜喲(＾Ｕ＾)ノ~ＹＯ,2021-06-22
19,双**1,适用手机型号: iPhone 11 颜色分类: 【电镀蓝光护眼不碎边】2片装★收藏送神器+后膜,好评,"感觉防摔效果也会很好⛄,触摸比较灵敏﻿☀,厚度刚刚好☔,是我想要的那种膜⛄,大品牌的东西就是不一样☁,推荐购买！蓝光膜手感和防摔性一点也不输呀~🌀,最重要的就是防指纹⚡  ",-,-,2021-06-25
20,t**1,适用手机型号: iPhone8plus 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,钢化膜贴上屏幕后非常透亮，打游戏一点不涩很顺滑，反应灵敏，也不会留指纹，材质方面很好,硬度也够，可以很好的保护屏幕，贴上手机跟新的一样，很完美,镜面的人生映照出千姿百态，宝贝能够伴随亲才是不虚此生，没有束缚的屏幕，完全裸机的感受。能给亲带来更优质的体验。期待亲您的再次光临哦！ 祝您生活工作愉快！,2021-06-22
21,h**9,适用手机型号: iphone7plus 颜色分类: 【9D曲面全覆盖】黑色2片装★收藏送神器+后膜,好评,防摔性挺好的，手机不小心磕磕碰碰的摔到的拿起来也没事呢，一直很相信这家的质量，膜的手感又很赞，又不怎么沾指纹特别好  ,用起来很顺手，玩起游戏来都感觉很棒。,高清膜，您大可放心，足够已保护您的手机哦，防摔效果也是不错的，您可以放心选购哈,2021-06-21
22,t**3,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,膜质量非常强硬，保护手机也是绰绰有余的，贴上去之后拿起来才是真正的裸机手感，手机上面看视频真的很高清，非常满意的一次shopping,而且确实像卖家描述的那样。毫无瑕疵，很完美的一款膜。,谢谢亲对小古家的认可，这款钢化膜采用优质玻璃材质，分辨率高，还原裸机，视觉更清晰呢！,2021-06-23
23,t**6,适用手机型号: iPhone 11 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,钢化膜手感超赞，表面很顺滑大小刚好合适，贴上能和手机完全匹配，没有翘边的情况，整个屏幕很透亮,-,-,2021-06-20
24,j**5,适用手机型号: iPhone12 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,膜质量很不错，弧边也完美贴合了，这款钢化膜保护的很到位，还有裸机的效果，防指纹的效果也可以，灵敏度高，刷抖音非常顺滑，质量很不错的一款保护膜 ,贴了和没贴膜一样，透光率还挺好的，很清晰。喜欢。,因为您的称赞让我们更加有信，您要是满意的话可以推荐推荐哦！,2021-06-24
25,t**1,适用手机型号: iPhone 11 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,这款钢化膜的做工真的非常不错，和手机屏幕贴合度特别的高，是全覆盖的款式，这款钢化膜膜挺给力的，不会割手，是我想要的那种膜。,相信大品牌果然没错，比之前用的低价钢化膜手感好太多了~,买个钢化膜保护手机，这款钢化膜手感特别的好，用了最新的升级防尘工艺。升级了最新的防爆工艺质量杠杠滴。祝您天天开心，感谢您的光临！,2021-06-22
26,自**锅,适用手机型号: iPhone12 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,使用了几天才来评论，钢化膜的触屏反应灵敏，屏幕摸起来很顺滑，不会留指纹， ,贴好后看上去挺舒服的，稳稳的保护手机屏幕,-,2021-06-25
27,t**8,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】3片装★收藏送神器+后膜,好评,"钢化膜贴上去大小挺合适，跟手机很吻合,主要是防指纹效果非常好,而且不会进灰，刚刚玩了一会微博都没啥指纹，真的是蛮不错的 ","使用起来是真的完全没有问题的,有需要是会再次回购这款钢化膜的",谢谢亲对小古家的认可，这款钢化膜采用优质玻璃材质，分辨率高，还原裸机，视觉更清晰呢！,2021-06-24
28,t**9,适用手机型号: iPhone 11 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,这膜贴膜很简单，我对齐放上屏幕之后，推推压一压就好了，完美！古尚古的钢化膜质感很好，手感棒  ,很实惠，比实体店里便宜多了，贴合度十分完美，把手机保护的妥妥的。出去玩也放心了,买个钢化膜保护手机，这款钢化膜手感特别的好，用了最新的升级防尘工艺。升级了最新的防爆工艺质量杠杠滴。祝您天天开心，感谢您的光临！,2021-06-25
29,董**9,适用手机型号: iPhonex 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,一开始有一点舍不得，但是收到货后，完全觉得值这个价格贴上效果确实不错，比我之前在苹果店贴的专用膜还要好不少，这家手机的硬度比较高，摸起来的质感就很不错,性价比特别的高，卖家发货的速度也很快,您能相信小古，是小古的荣幸，独特的工艺技术让钢化膜的防刮效果上更上一层楼~,2021-06-22
30,t**8,适用手机型号: iPhone12 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,性能不错的，对于乱丢手机的我来说，简直是一款手机救星，平常磕碰都不用提心吊胆了哈哈。贴上之后屏幕眼睛看的很舒服，不油腻一直很清爽干净[旺柴] ,"东西很不错,很喜欢，这个就很好。",有了这款膜，再也不怕手机磕磕碰碰的啦！,2021-06-24
31,茜**1,适用手机型号: iPhone12 颜色分类: 【9D曲面全覆盖高清】黑色2片装★收藏送神器+后膜,好评,好不错啊，贵点的东西还是好很多哦，音量调节，指纹解锁很灵敏，买之前就很担心贴了膜会有影响，膜贴上去好清晰，四周特别贴合把屏全包好了   ,真的很意外，摸起来很舒服也很丝滑,感谢您对我们店的支持~也感谢亲对我们产品的认可，我们的高清膜业内绝对杠杠的哦！,2021-06-23
32,a**8,适用手机型号: iPhonex 颜色分类: 【电镀蓝光护眼不碎边】2片装★收藏送神器+后膜,好评,摸起来超滑，厚度刚刚好☁，最重要的就是防指纹，膜不会刮手٩(๑>◡<๑)۶ ，，货真价值，质感很不错，蓝光膜手感和防摔性一点也不输呀~ ,平常喜欢追追剧刷刷抖音 ●´∀` σ，用这种护眼的钢化膜在合适不过了，日常磕碰也可以保护的很好,好滴好滴，有了这款膜，看综艺，看电影，眼睛在也不难受啦！,2021-06-19
33,莹**8,适用手机型号: iPhone8plus 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,物流太给力了吧，当天下单当天就帮我发货了，这速度杠杠的，钢化膜贴好之后屏幕没什么油腻感，聊天打字反应很快，非常满意 ,裸屏的触感，触碰屏幕都能感觉到非常舒服，超赞的,小古这款玻璃钢化膜，有效防指纹防油腻，喜欢的话记得要分享给小伙伴们哟♪(･ω･)ﾉ,2021-06-25
34,小**6,适用手机型号: iphone8 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,钢化膜的质量是好的没有的话说，高清高透的，贴上之后堪比裸机手感，手指触屏反应灵敏，玩了会游戏，真的是超级顺，奥利给 ,而且自己贴一点压力都没有，因为店家赠送了好多贴膜工具,贴膜工具在手，贴膜不是问题~期待亲亲的再次光临~,2021-06-25
35,我**好,适用手机型号: iphone7plus 颜色分类: 【电镀三倍抗指纹不碎边】1片装★无神器,好评,"sj贴在手机手机也显得⚓很好看,没有白边,触感😋也挺好的。不留指纹,🍎防指纹效果赞。保护手🔅机效果很好,玻璃不碎👙边,日常被我崽拿着磕🐞磕碰碰的,  ",-,-,2021-06-25
