数据下载时间：2021-06-28 12:04:05 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638792538220/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**4,颜色分类: 16英寸机械标准款,好评,"左右摇摆超大广角范围吹风，安装起来也十分简单,底盘很稳就算开最大风也不会摇晃，最重要的是风扇没有声音，还特别的结实，会继续回购的，对比了很多款风扇﻿，外观是经典大气的黑色，绝对值得入手！吹风扇感觉比空调舒服，个人觉得这个高度也正好！ ","🌸应该是我买过性价比最高的一款落地扇了， 风扇外观简约大气🎁颜值很高 ,实用性一级棒❤️风扇质量很好,😘是我想要的样子 ,二级能效也不怎么耗电😎最大档位4档 😄风速比较大 ,平时用一档二档就够了，风扇设计精巧 😻比较安静的，🤗朋友看到也问我要链接，已经推荐她买了🤗大家可以放心购买😋很不错的","""每笔交易都是一段难忘的回忆，感谢网络让我们有机会在这里相识， 更要谢谢您给予我们的支持和肯定，用100%的诚心和100%的服务换取您200%的满意，我们将动力十足。 """,2021-06-20
2,g**6,颜色分类: 16英寸机械加长电源线,好评,"zh这简直是夏天的🔒福音,强烈推荐这款风扇💪,良心实惠的一家老牌😦子,风扇太给力了,大🎎小也刚刚好,风力超大💽,外观时尚精美!网罩🎻结实耐劳!安装也一点🙎都不费力,多个档位随🍗心选择,风力超大,角🍄均匀送风 ",-,-,2021-06-22
3,吕**蛏,颜色分类: 16英寸机械标准款,好评,"吹起来很舒服,开一档就够日常使用了,女孩子一个人也可以搞定安装，操作非常简单🌁,底盘特别稳固结实🌅,就算开最大风也不会摇晃🌅,坐在沙发旁刚刚好🌀,网罩很细密，家里有小孩来也不怕,对比了很多款风扇才买的这款☔,左右摇摆超大广角范围吹风﻿，很实用 ",-,-,2021-06-18
4,久**瘾,颜色分类: 16英寸机械标准款,好评, 质量值得信赖！风扇物流很快，收到后就安装使用了，安装也很简单，风扇外观简单大气有质感，档位操作简单，很好调节！各个档位的风速都有明显不同，风力柔和没有强烈的吹干，使用时声音也还可以，效果挺不错的，晚上睡觉时使用不会觉得声音大！总体非常满意！,-,-,2021-06-24
5,平**d,颜色分类: 16英寸机械标准款,好评,"买的落地扇收到了🌃,有需要的家庭就放心购买吧🌁,个人感觉这个高度也正好🌄,操作简单经济实惠☁,风扇的颜值很符合我家的装修很满意🌂,属于比较省电的那一种🌀,性价比真得超级高☔,底盘特别稳固结实﻿☀,风力很均匀🌀质量也很饿好，以后有需要还会继续回购的  ",-,-,2021-06-19
6,q**7,颜色分类: 16英寸机械标准款,好评,落地扇挺结实的看着，很好安装的，风力比想象中好，声音也不大，底盘很稳，比较实用，风力很棒，放在客厅有点热不想开空调的时候就刚好可以用这个，优惠实用，用起来也很好用，风扇真的是相当的不错，黑色的也非常的经典耐看，风扇的整体设计也非常不错，看着真的超级的棒，风也非常的凉爽。 ,-,-,2021-06-16
7,欣**8,颜色分类: 16英寸机械标准款,好评,这简直是夏天的福音，强烈推荐这款风扇，良心实惠的一家老牌子，风扇太给力了，大小也刚刚好，风力超大，外观时尚精美！网罩结实耐劳！安装也一点都不费力，多个档位随心选择，风力超大，广角均匀送风，吹着很舒服，物美价廉！  ,-,-,2021-06-15
8,春**8,颜色分类: 黑色遥控款,好评,此用户没有填写评价。,这个使用寿命也太短了吧，今年三月份购买的，款式也不是我定单的款式，当时联系客服，说是新款，并给了十元红包作为补偿。一直没有使用，进入六月份开始使用，不到一个月就不会转了，而且遥控器也不好使，忽好忽坏，有时两米距离勉强可用，有时必须到跟前三十公分才有反应，我都无语了，大热天的光着膀子汗流浃背不说，还不断的被家人埋怨，这也太差了吧。,-,2021-03-31
9,t**3,颜色分类: 16英寸机械标准款,好评,收到货啦就迫不及待的来评价了⛄ 这款风扇总体设计非常简约大方🔥 放在家里也很赏心悦目，黑色真的很百搭， 看着像几百块的电风扇 🎈功能很齐全设计也很人性化☁ 可以定时关闭，风速也可以调节有好4档可以选择，风力很大， 夏天用也很凉快 根本用不着开空调了🌟,-,-,2021-06-20
10,徐**e,颜色分类: 16英寸机械标准款,好评,"LYW四档风速,风👌声很小,这么实惠质量还🏂这么好,声音小,开关🎢很好用。功能也很人性🐞化,回复信息快还特别🏧有耐心。很好组装的电🚭风扇,整体来说非常好❇。骆驼牌的地盘很轻很🐮轻,风速很大,可以购🔛买。优惠实用, ",-,-,2021-06-21
11,舌**尖,颜色分类: 16英寸机械标准款,好评,很好组装的电风扇，自己可😃以独立完成，风扇的盖子也方便拿下来清洗，地盘挺💪重的比较稳固，包装的很好，没有损🌊坏，装好后整体很☁简单大方，风很大，正常使用只需⛄要开一档睡觉，没有噪音，不会影响睡觉。,-,-,2021-06-16
12,s**0,颜色分类: 16英寸机械标准款,好评,外观材质：材质环保，有种高级感，简约大气 耗电量：能耗二级 相对于家里的老风扇 节能很多 运转声音：正常运转声音 无杂音 档位调节：四档调节 方便实用 一般二档就够 吹风感受：风吹的很柔 舒服 推荐 ,-,-,2021-06-19
13,大**8,颜色分类: 16英寸遥控标准款,好评,外观材质：大气有档次 耗电量：额定功力只有58w 运转声音：风扇声音小，挺好的。 档位调节：高中低档，摇头，定时功能齐全。还带遥控哦。 ,-,-,2021-06-23
14,大**3,颜色分类: 16英寸机械标准款,好评,回来以后，一眼都相中了，感觉是一百多的东西，质量哪哪都可好，声音小，风大，高低正好，也可以调，四个档位，根据需要，家里人都可喜欢，以后还会买店家的东西,-,-,2021-06-23
15,t**7,颜色分类: 14英寸机械（天空白）,好评,快递包装破损，不过东西没少，风力还不错，刚装好就特意试了下，还一地狼藉😂,-,-,2021-06-20
16,t**5,颜色分类: 16英寸机械标准款,好评,回购，第二次下单，推荐邻居也买了，超便宜，质量也很好。👍🏻👍🏻👍🏻👍🏻 ,-,-,2021-06-03
17,t**g,颜色分类: 16英寸机械标准款,好评,落地扇收到了，⛄质量很好，很扎实，底盘重量也是不错的，比我以前买的那个重，风扇站立更稳固！整体设计师黑色的，🐮很大气耐看，二级能效比较省电的那种😀 运转声音也小，很静音，风力强劲，客服回复也超级快呢🐳,-,-,2021-06-20
18,t**6,颜色分类: 16英寸机械标准款,好评,吹风感受：风力大  耗电量：客服说一天24小时开着也只需要1度电，不知道真的假的  档位调节：3个风力  运转声音：声音还行不大可以接受   外观材质：有个东西后面客服补发了 服务热情 比心♥️ ,-,-,2021-06-22
19,啊**霞,颜色分类: 16英寸机械标准款,好评,外观材质：过关，没有味 吹风感受：，哪个级别的风力也有，随便选，都好 ,-,-,2021-06-21
20,l**x,颜色分类: 16英寸机械标准款,好评,看着视频安装方便，用了几天了挺好用的，没有噪音。 ,不错👍,"""您好!产品好,服务好,物流好一直是我们对客户的承诺呢,愿您如蓝天下碧蓝的湖水,美丽安然;祝福您,如夜空中的繁星点点,夺目耀眼.祝福依然，愿不变的幸福，陪伴在亲生命中的每一天！我们时刻准备着再次为您服务~期待亲的下次光临！ """,2021-06-24
21,鸿**y,颜色分类: 16英寸遥控标准款,好评,一般般，也就值我7，80买的这个价，风力还行，就是对比我以前同价位买的kang佳的小了点，最关键是吹的风没有那么柔声音还比那个大。然后就是遥控器很差劲很廉价，就一个很轻的塑料块一样，然后遥控还不是很灵敏，必须对很准才有反应。然后我康jia的那个风扇的遥控器竟然也能用来控制这个风扇，还比原装的好用多了。总的来说7，80还是值，但不能说物超所值，没有对比就没有失望。。。 ,-,-,2021-06-17
22,坚**2,颜色分类: 16英寸机械标准款,好评,挺好的，选了好久才终于选定了这家的风扇，不错，收到之后看说明书有点看不太懂，问客服沐歌雪要了视频几分钟就装好了，装好，试了试，蛮好的，声音也不是很大，挺好，档位调节也可以。第一次在网上买风扇就买到这么好的。 ,-,-,2021-06-20
