数据下载时间：2021-06-27 10:21:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/592963814689/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**9,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,很满意的一次购物，特别是在九阳那边下单后，一个星期没有发货，果断退货后，在这边，马上就给发出来了，这点真的很满意，因为哪怕就是618，我买了东西，店家一个星期多了都不给发货，是几个意思啊！ 再说产品，清洗干净后就绞了肉馅，可是说，操作非常简单方便，打出来的颗粒细腻。真的挺不错，要是朋友中有有需求的，会做推荐的！,-,-,2021-06-21
2,z**7,颜色分类: 高硼硅玻璃杯-双刀,好评,早就想买一个绞肉机 又担心打来的肉不好吃 还想着不好清洗 直到用了这款机子 才发现所有的担心都是多余的 几秒就得了一大碗肉沫 可拆卸 清洗很容易 好特别干净卫生 真是买对了,-,-,2021-06-24
3,杨**花,颜色分类: 高硼硅玻璃杯-单刀,好评,跟描述一样，刀片的材质是钢的，这款绞肉机比其他的音量小，容量也挺大的，有一挡两挡，用起请方便，客户态度也挺好的，值得购买 ,-,-,2021-06-23
4,y**6,颜色分类: 304不锈钢杯（2.2L）-单刀,好评,打泥特别的快，干净又卫生，不锈钢杯体，不用担心不小心打碎了，，厨房好帮手,-,-,2021-06-20
5,t**9,颜色分类: 304不锈钢杯-单刀,好评,宝贝收到了，昨天包饺子用它打的肉馅，给菜，肉挺细的，菜是真细，第一次用，不熟练，菜打的太细了，。总体感觉还是不错的选择,-,-,2021-06-21
6,秋**生,颜色分类: 玻璃杯-双刀,好评,刀片很锋利，绞红萝卜很细，提拿方便，物流也快，客服小俊和娟娟售后服务态度好，补发的玻璃杯也很快就补发。,-,-,2021-06-23
7,t**2,颜色分类: 高硼硅玻璃杯-双刀,好评,产品收到，包装妥帖，完好无损，装好试电运转正常，机器很给力，且声音不大，值得倍赖的品牌产品，感谢该店家老板的诚信经营及关照，给五星好评！ ,-,-,2021-06-21
8,t**7,颜色分类: 304不锈钢杯-双刀,好评,此用户没有填写评价。,用了好久才来评价的，机器质量非常好，绞肉速度很快，做饺子真方便，还有备用的刀子，有需要的可以加购哦！,-,2021-06-22
9,t**7,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,刚收到产品还没来得及使用，开箱一看就满意，产品精美，标识清楚，售后码.防伪码齐全，真货，是正规厂家。,-,-,2021-06-22
10,花**妈,颜色分类: 高硼硅玻璃杯-双刀,好评,绞肉机收到了，上次给妈妈买了个挺好用的，这次给自己也买了个，特意买了点儿肉试了一下还不错好用，五星好评！ ,-,-,2021-06-21
11,淡**y,颜色分类: 304不锈钢杯-单刀,好评,平时剁肉馅每次胳膊都疼，现在有了这个绞肉机再也不发愁包馅了，干净卫生方便，还不占多少空间 。 ,-,-,2021-06-22
12,1**z,颜色分类: 高硼硅玻璃杯-单刀,好评,"收到就拿出来试了一下，高鹏玻璃,机子的动力很足，操作起来很简单，一两秒就把菜打碎了，每一个配件的包装都细心，质量真心不错的，总体来说和预期的一样，是正品质量。四个刀片交叉的，很好用，音量不大,真心感谢小豆客服，态度好，很有耐心，下次还会光临",-,-,2021-06-23
13,翟**聪,颜色分类: 玻璃杯-双刀,好评,很满意、两套双刀，还有防伪标志是正品 ,-,-,2021-06-22
14,妙**2,颜色分类: 高硼硅玻璃杯-单刀,好评,挺不错的，以前都是在外面让卖肉的帮绞肉，但是一直害怕不卫生，并且给我绞的太碎了，煮出来都看不到肉😂，果断自己买了一个，发现还能调节档位，想碎到什么程度都可以自己调节，到货后就试着做了肉酱和肉粥，跟自己理想中的刚好，很完美，不到一分钟就绞好肉了，清洗也方便，好评！！！ ,-,-,2021-06-22
15,t**2,颜色分类: 玻璃杯-单刀,好评,收到了宝贝试用，OK。力度好，好用。,-,-,2021-06-21
16,k**3,颜色分类: 高硼硅玻璃杯-双刀,好评,货已收到 非常满意 大小正好 ,-,-,2021-06-20
17,t**7,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,此用户没有填写评价。,方便好用、速度快,-,2021-06-22
18,东**7,颜色分类: 304不锈钢杯-双刀,好评,刀片材质：锋利👍👍👍👍👍 静音效果：很好👍👍👍👍👍 容量大小：适合家庭👍👍👍👍👍 粉碎效果：很好  看图片👍👍👍👍👍 ,使用几次的确很好👍👍👍👍👍又好清洗，无卫生*角，非常棒，有搅劲👍👍👍👍👍无噪音。值得推荐朋友，图片肉一斤左右,-,2021-06-09
19,傅**7,颜色分类: 304不锈钢杯-双刀,好评,绞肉机下午收到就绞肉了。速度很快，两分钟就绞好肉，轻松多了又买了两个刀头 ,-,-,2021-06-22
20,t**1,颜色分类: 304不锈钢杯-双刀,好评,谢谢商家，绞肉机不错，真棒 ，绞起肉来又细，值得各位去买，去信任，👍商家咨询问题很用心，我会再次光临本店的，真的再次感谢良心商家,-,-,2021-06-25
21,t**0,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,非常好用，家里人都很喜欢，给五星好评,-,-,2021-06-19
22,t**5,颜色分类: 304不锈钢杯-双刀,好评,昨天试了一下，质量很好，下次还会来你家,-,-,2021-06-12
23,邱**平,颜色分类: 高硼硅玻璃杯-双刀,好评,绞肉机收到了，还不错，客服小英服务态度也很好，一开始不会用然后客服小英很仔细教了怎么使用， 用大蒜试了一下，打的挺碎的，等下整点猪肉试试看能不能打的动， 这价钱能买到这种的可以，外面杂牌都比这贵多了， 就是快递挺暴力的，连箱子的被弄破了，还好绞肉机没摔坏，值得入手👍👍👍👍。,-,-,2021-06-13
24,m**n,颜色分类: 304不锈钢杯（2.2L）-单刀,好评,"刀片材质：刀片锋利 静音效果：声音可以接受 容量大小：家用正合适 粉碎效果：动力强大 真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  ",-,-,2021-06-20
25,大**8,颜色分类: 304不锈钢杯-单刀,好评,太好用了，轻轻松松搞定营养又美味的饺子，好以后可以经常做饺子吃 ,-,-,2021-06-16
26,海**3,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,宝贝收到后很满意，物有所值，需要的亲们可以放心购买，刀片材质好，容量大小合适 ,-,-,2021-06-24
27,w**云,颜色分类: 304不锈钢杯-双刀,好评,货收到了，物流很快。客服小云服务好，第一次用这个刚试绞了些芹菜还行。下次绞肉再来追评 ,-,-,2021-06-21
28,绝**涵,颜色分类: 304不锈钢杯-单刀,好评,早都想买绞肉机了，一直在挑选，这款不错，声音小，不到一分钟就能绞好，刀片很锋利，用起来真的很方便，绞肉，绞菜，分分钟就好了，2升的家里用足够，以后包饺子，包包子就方便多了。好评，建议购买 ,-,-,2021-06-24
29,t**5,颜色分类: 高硼硅玻璃杯-单刀,好评,刀片材质：钢刀 静音效果：噪音小 容量大小：2斤食材，正好一家四口的量。非常实用的一款，清洁方便，蔬菜也能用，这回不用剁的那都是菜杂了。推荐大家购买 粉碎效果：大小颗粒自己掌握，我们喜欢吃小粒粒肉的馅，用起来很方便。 ,客服马可，服务很好，咨询的时候回复很耐心，收到好很详细的告诉使用清洁方法。,-,2021-06-12
30,t**4,颜色分类: 304不锈钢杯-双刀,好评,小英客服特别有耐心讲导使用，产品非常好用，值得购买,-,-,2021-06-20
31,为**5,颜色分类: 304不锈钢杯-双刀,好评,奥克斯品牌的电器比较值得信赖，刀片厚实耐用，304不锈钢防摔，送了防滑底座方便实用，买了双刀头款，可以替换，操作简单，十分快捷。客服小英服务好，有耐心。 ,-,-,2021-06-09
32,傅**妹,颜色分类: 玻璃杯-单刀,好评,肉绞的杠杠滴，物美价廉，干净卫生，东西真的不错,-,-,2021-06-18
33,美**9,颜色分类: 玻璃杯-双刀,好评,刀片材质：刀片是不锈钢的  很锋利   静音效果：声音可以  没有噪音  不是像那些无名小品牌噪音很大 容量大小：容量可以  很实用 粉碎效果：十几秒就把肉馅粉碎了  特别好 ,-,-,2021-06-21
34,s**1,颜色分类: 玻璃杯-单刀,好评,刀片材质：四片不锈钢刀片，十分锋利，幸好配有护套。 静音效果：机器本身有防滑橡胶圈安装在杯体下面，静音效果非常好！ 容量大小：3升杯体的分量足够家庭使用 粉碎效果：粉碎挺细腻的，配有两个档位，低速 高速 ,-,-,2021-06-22
35,z**雪,颜色分类: 304不锈钢杯（2.2L）-双刀,好评,刀片材质：好的滴 静音效果：声音不大，满意非常的不错。价格实惠 容量大小：给不错 粉碎效果：试飞成功，细小 ,-,-,2021-06-24
36,b**6,颜色分类: 304不锈钢杯-单刀,好评,绞肉机绞肉很好，如果需要颗粒状的少按一会，肉泥就多按几下。家用这么多刚好，包饺子包包子一餐的量足够了。声音也不是很大，比自己剁方便多了。希望能用的时间长一点。 ,-,-,2021-06-21
37,l**寿,颜色分类: 304不锈钢杯-双刀,好评,刀片材质：刀片锋利   它的接口是304不锈钢接口，坚固耐磨的同时，也可以保持它运转稳定，除了用它绞肉馅以外，后来还用它粉碎辣椒面，粉碎效果，而且它有快慢双档，主要是针对不同的食材设置的，所以你想要什么样的食材都是可以满足的。不锈钢碗坚固不怕碎。 ,-,-,2021-06-23
38,t**0,颜色分类: 高硼硅玻璃杯-双刀,好评,绞肉机确实不错，给予好评，机身很结实，价格合理，没买的可以考虑，确实很不错的。 ,-,-,2021-06-19
39,各**1,颜色分类: 玻璃杯-单刀,好评,宝贝收到了，立马试了一下，打的芒果泥，效果不错，干净卫生好清洗，玻璃的能看清里面的情况，很喜欢，美嘉服务态度很好，下次有需要还会光顾的 ,-,-,2021-06-11
40,h**3,颜色分类: 玻璃杯-单刀,好评,刀片材质：佳佳 静音效果：小 容量大小：刚刚好 ,-,-,2021-06-22
41,t**5,颜色分类: 高硼硅玻璃杯-双刀,好评,包装牢固，安装简单，把防滑垫放在玻璃杯下边即可，杯子刀子刷好之后，切好洋葱，试一试，手动点几下就好了。简单好用，大品牌信得过，容量大，切削快。包饺子不用费劲儿了。,-,-,2021-06-12
