数据下载时间：2021-06-29 09:38:38 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/559540452143/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,傻**氏,颜色分类: 绅士黑,好评,还可以，这是第二次买了，去年买了个白色用了一年，然后搬家后重新下单换了个黑色，使用简单，网上按键即可，烧水速度也还行~ ,-,-,2021-06-22
2,t**8,颜色分类: 薰衣紫,好评,没上次买的质量好，这次外壳塑料很差，里料都没标注是不是304，直接只标着“食品接触用”很廉价的感觉，盖都盖不上，明明是质量问题客服说快递路上磕磕碰碰无法保证，不退货就是想发个真实评价，很无语的一次网购，一星都不想给，慎买！！！！！,太差了，慎买！！！,-,2021-06-26
3,l**e,颜色分类: 暮夜黑,好评,宝贝质量很好，外表看上去美观大方，还很有档次，已经不是第一次购买，之前购买的性价比都很高，并且介绍朋友也来购买了这个品牌，这个品牌在低价位的行列中，还算是性价比比较高的。 ,-,-,2021-06-20
4,黄**哒,颜色分类: 石墨黑,好评,外表还是多耐脏的，里面的空间还是蛮大的烧水也很快，过一夜，第二天早上起来，水都是温温的，外表简约，之前也是在他们家买的，后来不小心砸了，就换了一个， ,-,-,2021-06-19
5,邹**0,颜色分类: 迷蝶粉,好评,一次没用，盖子盖不严，不是质量问题，都是这样的，呵呵，谁家水壶盖不严，倒水不用从壶嘴到，直接从盖子倒，垃圾产品，大家不要上当了 ,盖子盖不严，质量不好，大家不要上当了,非常抱歉没有给亲一个完美的购物体验，水壶盖子不是密封的哦，倒水的时候不放那么斜就可以了呢；产品都是经过安全检测合格出厂的，保证正品的呢，售后质保有一年免费换新服务，使用当中有任何问题欢迎联系在线客服为您服务哦~祝您生活愉快！,2021-06-24
6,他**1,颜色分类: 薰衣紫,好评,热水壶不错，第二次买了，就是烧水的时候声音有点大，不过也不是大问题 ,这个使用了一段时间了，之前买的有保温功能的，这个是给姥姥买的，泡茶喝水多，就买了个普通的，整体使用起来还不错，外观也好看，操作方便，点个大赞,亲亲您好！因为有您的支持，我们才有今天，感谢您的每一个评价，小店都会努力让您满意！祝您生活愉快！,2021-06-20
7,蚂**a,颜色分类: 迷蝶粉,好评,此用户没有填写评价。,用了才三个月就坏了，不通电了！…说好了一年坏了包换的，结果客服那边竟然要求自己承担运费才肯更换新的，一个茶壶才二十多块钱，我运费都要二十多块了！来回换了如此质量差的有必要吗？,感谢亲选择奥林格，没有达到您的满意，真心抱歉，亲对我们产品有好的建议可以联系我们噢，我们会努力不断完善，达到不同客户的期望，产品都是经过安全检测合格出厂的，保证正品的呢，售后质保有一年免费换新服务，使用当中有任何问题欢迎联系在线客服为您服务哦，祝您生活愉快！,2021-03-12
8,t**3,颜色分类: 荷花粉,好评,烧开不能断电，把手很烫拿不了很垃圾，第二次选择的这家店，上一次的好，这一次的不止这个价 ,对比一下，图二是第一次买的，图一是现在买的，而且还不能断电，水开手把很烫,亲亲您好！正常水壶是水开自动断电的哦，不能断电有可能是运输过程中颠簸导致煮水开关卡住了，如不能自动断电请您联系一下在线客服为您处理哦！我们是有一年质保的哦，同时由于不断电不停有水蒸气进入到手柄导致手柄比较热的哦，正常水壶是双层防烫的哦，刚煮好水摸起来比较热，但是不会烫伤手的。,2021-03-31
9,档**呀,颜色分类: 丁香紫,好评,也就漏水而已，没啥大问题。以前一把用好久，外观变得看不下去了，才想起来换，现在的买来就漏水,-,-,2021-06-23
10,比**扉,颜色分类: 石墨黑,好评,温控器：买的保温款，温度控制比较稳重，适合我经常喝温水的 防烫效果：保温款挺厚实的  内壁材质：内壁看起来是不锈钢吧，只觉得很好用 烧水速度：烧水速度很快，但是不会很急促那种感觉，性能稳定 ,-,-,2021-06-19
11,傻**6,颜色分类: 迷蝶粉,好评,此用户没有填写评价。,垃圾 才用了多久就坏了垃圾垃圾 说是质保却不给承担运费 **商家 大家不要上当,-,2021-02-19
12,a**3,颜色分类: 暮夜黑,好评,水壶用了一段时间了，感觉质量超好，没有出现任何问题，并且价钱不贵，内壁304不锈钢，外壳优质塑材，健康又防烫，温控器也很灵敏，烧水很速度很快，已经推荐给朋友 ,-,-,2021-06-19
13,j**v,颜色分类: 迷蝶粉,好评,一直都是这家店买的，物品很好，实惠又好用。,-,-,2021-06-25
14,还**1,颜色分类: 绅士黑,好评,外观简单大方，开水很快，没有异味，家用很方便。 ,-,-,2021-06-26
15,好**9,颜色分类: 绅士黑,好评,烧水壶用了一段时间了，用着感觉还挺满意的，容量够大，质感好，做工还蛮细致，煮水还够快，对了快递的速度也够给力呢👍👍家里有需要再来😌 ,-,-,2021-06-07
16,贾**9,颜色分类: 迷蝶粉,好评,用了几天才来评价的，此壶不但美观而且没有味道，值得推荐！烧水快，而且容量也大，这个颜色很适合小仙女使用。 ,-,-,2021-06-03
17,雨**5,颜色分类: 薰衣紫,好评,已经是多次买了，挺好用便宜耐用,-,-,2021-06-22
18,我**0,颜色分类: 迷蝶粉,好评," 奧林格烧水壶收到了。看着就挺好用的。不错不错, 我已经用上了,还可以。这个颜色也很喜欢。烧水速 度挺快的。就一次购物,能会回购… 好评好评，5y5y。   ",-,-,2021-06-08
