数据下载时间：2021-06-29 09:37:54 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/622993195878/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**1,颜色分类: Reno系列闪充【1米线】1条,好评,宝贝收到了快递很快感觉很满意用了还不错,-,-,2021-06-21
2,w**0,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,充电线不错，充电挺快的，刚开始用，用了一段时间才知道。 ,-,-,2021-06-23
3,t**4,颜色分类: Reno系列闪充【2米线】1条,好评,值得信任，售后处理完美。第一根虽然不好用，但是店家给补发了两条，直到好用为止哦，良心店家，爱了爱了,-,-,2021-06-25
4,月**河,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,充电很快，数据线也特别结实耐用，长度也够 不错,-,-,2021-06-22
5,那**5,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线挺粗的，质量蛮好的，充电速度很快，线也够长，传输稳定还不错。 ,-,-,2021-06-21
6,靖**1,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,数据线很好，和原配的充电器一样，而且充电也是很快的，用着很好，等会多备几条充电线 ,-,-,2021-06-26
7,包**0,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,超级好非常好用 ,-,-,2021-06-22
8,天**团,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,灵敏度很高，充电速度很快，跟原装差不多，质量也好 ,-,-,2021-06-26
9,罗**9,颜色分类: Reno系列闪充【1米线】1条,好评,快递还是很快的，做工质量有保障值得购买这个价格很划算 ,-,-,2021-06-15
10,t**1,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线收到就使用了，充电还挺快的，质量不错，公司放一条随时随地可以充电，性价比高 ,-,-,2021-06-21
11,奇**裁,颜色分类: Reno系列闪充【1米线】1条,好评,很好用还有保护充数据线的地方。 ,-,-,2021-06-17
12,t**9,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,充电速度和我之前的感觉没有差别，用这个就不用用插牌了，这一点很好,-,-,2021-06-24
13,心**妍,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,数据线收到来，充起电来很快，一根1米的，1跟两米的，以后再也不用担心线不够长了 ,-,-,2021-06-23
14,乌**5,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,数据线充电速度挺快的，特意选了长度长一点的方便使用，价格也比较实惠～ ,-,-,2021-06-19
15,米**r,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,充电快，是闪充，充一次可以用很久，刷视频很久电量还挺多,-,-,2021-06-22
16,t**4,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,和原装的一样，质量不错，充电速度很快  ,-,-,2021-06-25
17,我**啊,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,线的质量蛮好的。不是那种很细的线。跟原装差不多。充电快，好用。 ,-,-,2021-06-21
18,b**2,颜色分类: Reno系列闪充【1.5米线】1条,好评,充电速度跟原装差不多  ,-,-,2021-06-19
19,抽**景,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,此用户没有填写评价。,充电线挺长的，拿着有质感，充电速度也很快，好评,-,2021-05-04
20,t**1,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,已经收到了，质量挺好的，充电速度也很快。,-,-,2021-06-21
21,小**孩,颜色分类: Reno系列闪充【1.5米线】1条,好评,质量不错，充电速度很快！,-,-,2021-06-18
22,与**7,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,发货蛮快的，数据线够长，方便多了，充电速度也快。,-,-,2021-06-24
23,靳**r,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线比以前买的好，线挺结实的，满意 ,-,-,2021-06-24
24,t**8,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,充电也很快，用了一段时间才来评价的，很不错，充电速度很快。 ,-,-,2021-06-24
25,t**7,颜色分类: Reno系列闪充【1米线】1条,好评,物流很快服务态度很好非常满意建议大家购买价格也实惠祝老板生意兴隆，财源滚滚 ,-,-,2021-06-15
26,t**4,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,足够长，在宿舍手机可以拿到床上充电，挺适配的，充电快！  ,-,-,2021-06-25
27,t**0,颜色分类: Reno系列闪充【1米线】1条,好评,东西很好，充电非常好，很好用的哈！,-,-,2021-06-17
28,似**6,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,线够长，质量也很好，充电非常快，值得入手 ,-,-,2021-06-21
29,t**0,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,质量特别好，线不易断，充电特别快,-,-,2021-06-17
30,蒋**6,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,闪充收到了，质量不错，还送了小礼品，值得购买,-,-,2021-06-19
31,z**9,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,数据线好用，充电特别快：接口处都很紧的，不会脱落 ,-,-,2021-06-20
32,t**6,颜色分类: Reno系列闪充【1.5米线】1条,好评,满意，放在车里用很好，也够长！,-,-,2021-06-14
33,科**店,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,发货很快，线也厚实，质量超好，超级喜欢 ,-,-,2021-06-25
34,未**苗,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,充电手机速度很快，包装也不错，看着挺耐用 ,-,-,2021-06-16
35,t**0,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线够长充电方便 材质不错挺粗 充电速度也快,-,-,2021-06-17
36,万**意,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,物流到的很及时，质量好，充电快，长度也够用,-,-,2021-06-24
37,g**0,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,充电速度：快，最喜欢这个头，保护数据线 外观材质：质量好 ,-,-,2021-06-12
38,阳**3,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,物流速度快，包装好，东西看着不错，满意😀😀😀😀😬,-,-,2021-06-22
39,豆**0,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,充电线做工很好，用过再来评价，充电速度很快，很满意,-,-,2021-06-20
40,一**放,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,发货速度很快，充了几次是快充。买了两条一条家里一条公司,-,-,2021-06-25
41,t**6,颜色分类: Reno系列闪充【1.5米线】1条,好评,接口处保护的很好  充电也很快  线套是软的很舒服,-,-,2021-06-14
42,快**1,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,好用，充电速度很快，质量很好不发热👍👍👍,-,-,2021-06-18
43,c**3,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,很快就收到了，原装正品的，质量不错，充电速度挺快的,-,-,2021-06-15
44,范**王,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,掌柜的服务态度真好，发货很快。数据线也相当不错。太喜欢了，谢谢！ ,-,-,2021-06-16
45,蔡**8,颜色分类: Reno系列闪充【1.5米线】1条,好评,此用户没有填写评价。,垃圾，假货，才用一个月就坏了,-,2021-05-13
46,守**坤,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,充电器充电很快，1个小时就充满了，价格还比手机店便宜，满意 ,-,-,2021-06-16
47,w**好,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,充电速度很快，时间长也不发热。好用,-,-,2021-06-19
48,w**5,颜色分类: Reno系列闪充【1米线】1条,好评,挺好的跟原装一模一样，送的这个保护线头处了 ,-,-,2021-06-11
49,黯**茉,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,物流很快，充电线很长，充电很快，满意 ,-,-,2021-06-25
50,a**芹,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,很好用的一条充电线，充电非常快，线很柔软，值得购买。 ,-,-,2021-06-20
51,a**言,颜色分类: Reno系列闪充【1.5米线】1条,好评,数据线收到了真的挺好的也很长  再也不用担心数据线不够长而发愁了,-,-,2021-06-09
52,文**8,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,这个数据线非常好用，之前买了好几条。用了几天就坏掉了，且充电也很快哟,-,-,2021-06-15
53,黄**4,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,闪电充电，原装正品不伤电池  ,-,-,2021-06-21
54,b**言,颜色分类: Reno系列闪充【1米线】1条,好评,好非常好用 跟原装一模一样,-,-,2021-06-13
55,l**1,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,质量很好。充电很快。也不发热。好用 ,-,-,2021-06-19
56,请**巾,颜色分类: Reno系列闪充【1.5米线】1条,好评,还行吧，插上去要过两秒才变成闪充 ,-,-,2021-06-18
57,a**9,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,充电速度很快，质量不错，物美价廉！,-,-,2021-06-09
58,t**7,颜色分类: Reno系列闪充【1米线】1条,好评,多次购买了，充电很快的，值得推荐的宝贝！,-,-,2021-06-15
59,达**人,颜色分类: Reno系列闪充【1米线】1条,好评,充电速度：太好用了好喜欢 ,-,-,2021-06-15
60,尕**丹,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评, 充电很快，质量挺好的，线也够长，不错 ,-,-,2021-06-19
61,l**2,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,充电很快，质量很好，挺好的 ,-,-,2021-06-15
62,欢**0,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线材质挺不错的，充电速度很快，比实体店优惠。 ,-,-,2021-06-13
63,惟**5,颜色分类: Reno系列闪充【2米线】1条,好评,接触很OK，充电也比较快，物美价廉 ,-,-,2021-06-16
64,肖**银,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,充电线收到了，用了一下挺好，充电速度挺快的，关键是比实体店便宜，,-,-,2021-06-11
65,t**5,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,还不错，充电很快,-,-,2021-06-16
66,t**2,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线够粗够长，充电感觉和我原装一样块，使用还可以没问题,-,-,2021-06-20
67,6**情,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,数据线的材质很好，物流也很快，满意 ,-,-,2021-06-09
68,l**友,颜色分类: Reno系列闪充【1米线】1条,好评,不错的哦哦,-,-,2021-06-13
69,t**8,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,发货速度非常快， 数据线也很长。 躺在床上玩手机也方便了， 接口特别紧实。很满意 。,-,-,2021-06-24
70,z**8,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,发货很快，客服很耐心解答我的疑惑，期待你的经久耐用。 ,-,-,2021-06-19
71,颖**也,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,数据线非常好。充电非常快。是我想要的。实体店太贵了。满意的一次购物。,-,-,2021-06-09
72,c**3,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,凑单买的，没想到质量跟专卖店一样，特别特别喜欢，而且价格优惠,-,-,2021-06-15
73,t**1,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,数据线和原机带的差不多，很好用充电一样快，发货也快挺满意的,-,-,2021-06-21
74,t**9,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,用了一次才来评价，冲电狠快，质量有保证,-,-,2021-06-24
75,t**3,颜色分类: Reno系列闪充【1.5米线】1条,好评,充电速度没有原装的快，但是还可以，有赠品，不错的 ,-,-,2021-06-18
76,t**2,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线的品质很好，很有韧性，不容易折坏很耐用，充电速度也很快，蛮值的 ,-,-,2021-05-31
77,谁**a,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,包装严实，充电挺快的，质量很好，也有显示vooc，nice！ ,-,-,2021-06-09
78,真**妙,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,型号匹配，质量也不错，很好 ,-,-,2021-06-13
79,小**6,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,充电速度可以，质量不错，比之前店里买的优惠，挺好的 ,-,-,2021-06-03
80,梅**1,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,线挺粗的，充电也很快，感觉很原装差不多没什么区别,-,-,2021-06-13
81,葫**灬,颜色分类: Reno系列闪充【1.5米线】1条,好评,和原厂一样是闪充的 充电的时候有闪充标识 还赠了一个防护套 我之前就是那里断了 很贴心的商家👍,-,-,2021-05-16
82,t**9,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,线的质量好，长度也够用，充电快,-,-,2021-06-24
83,t**6,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,质量非常好物美价廉值得购买,-,-,2021-06-14
84,黄**d,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,跟原装的没啥区别，充起来都一样，很实惠啊👍 ,-,-,2021-06-10
85,t**7,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线挺好用的，强韧结实不容易折断，传输稳定充电非常快。,-,-,2021-06-15
86,v**君,颜色分类: Reno系列闪充【1米线】1条,好评,外观材质：感觉跟原装一样，充电口也是绿色的，感觉还不错，好评！ ,-,-,2021-06-03
87,t**6,颜色分类: Reno系列闪充【2米线】1条,好评,充电速度慢,-,-,2021-06-14
88,哥**哥,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线长度足足两米，材质柔软结实，以后就可以边玩手机边看电视都够长了，充电速度快不伤害手机，好产品，好质量，好评 ,-,-,2021-06-03
89,t**4,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,充电速度很快，跟我原来的原配线差不多，非常不错! ,还送了线槽，挺贴心的,-,2021-06-25
90,同**床,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线收到了 很好用 充电速度很快 满意 ,用了才来评价  很好用 太满意了,-,2021-06-03
91,梦**贝,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,数据线收到了，和原装的差不多，还送了固线器这样就不容易坏了，非常好,-,-,2021-06-02
92,c**0,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,非常好用，非常快速，棒棒哒，,-,-,2021-06-14
93,a**5,颜色分类: Reno系列闪充【2米线】1条,好评,挺好的东西，充电速度也挺快的，值得买,-,-,2021-06-08
94,t**8,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,挺不错   充电没毛病,-,-,2021-06-24
95,t**1,颜色分类: Reno系列闪充【1米线】1条,好评,值得下次选购,-,-,2021-06-21
96,萌**4,颜色分类: Reno系列闪充【1米线】1条,好评,很好，也快充,线挺好的，非常好用。,-,2021-06-09
97,t**0,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,"终于收到我需要的宝贝了,东西很好,价美物廉,谢谢掌柜的!跟原厂没什么区别",-,-,2021-06-17
98,t**5,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,不错，喜欢，性价比高，以后会经常光顾,-,-,2021-06-14
99,h**4,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,挺好的一次购物，还送了保护套。,-,-,2021-06-16
100,t**5,颜色分类: Reno系列闪充【2米线】1条,好评,佛了,lj,-,2021-06-19
101,t**7,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,充电线反应很灵敏，充电速度挺快的，跟我原装一样好用 ,-,-,2021-06-15
102,淘**嘿,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,数据线质量挺好，用着很方便，充电很快，接口处也很紧密，价格也很实惠。 ,-,-,2021-06-06
103,t**6,颜色分类: Reno系列闪充【1米线】1条,好评,充电感很好，超级贴心，还送了线套。,-,-,2021-06-14
104,小**7,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,发货很快，卖家很好，和原厂一样是闪充的，质量很好，推荐,-,-,2021-06-02
105,t**3,颜色分类: Reno系列闪充【1米线】1条,好评,好用，充电时显示vccc标志，速度也可以。,-,-,2021-06-05
106,为**琴,颜色分类: Reno系列闪充【1米线】1条,好评,质量不错，很满意，各方面都很好，值得购买！,-,-,2021-05-30
107,紫**4,颜色分类: Reno系列闪充【2米线】1条,好评,线挺好的，但是送的咬线器是黑色的简直**强迫症，我又下单买了一个咬线器 ,-,-,2021-06-16
108,t**6,颜色分类: Reno系列闪充【1.5米线】1条,好评,此用户没有填写评价。,在这家买了两条数据线了。不出意外都是一样坏的，只用了一段时间就坏了，很不结实，非常不好,-,2021-06-14
109,t**6,颜色分类: Reno系列闪充【1米线】1条,好评,再次购买，很好用,-,-,2021-06-14
110,罗**妍,颜色分类: Reno系列闪充【1米线】1条,好评,很好用。,我用了，很好用，冲电也快，可以放心购买。,-,2021-05-28
111,t**4,颜色分类: Reno系列闪充【1米线】1条,好评,质量非常好 ，物流非常快，值得再购 。,-,-,2021-06-25
112,d**5,颜色分类: Reno系列闪充【1米线】1条,好评,晚来的评价，物流快，和图片一样，满意❤️ ,-,-,2021-06-03
113,t**3,颜色分类: Reno系列闪充【2米线】1条,好评,可以可以,-,-,2021-05-28
114,爱**莹,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,数据线充电很快没一会就充满了，质量很好买了两根线一根出去充电宝用 ,-,-,2021-05-29
115,一**9,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,充电很快，跟原装的没有区别，线挺软的，不易损坏，价格也很实惠，还要看看能不能用的久一些,-,-,2021-06-03
116,t**9,颜色分类: Reno系列闪充【1米线】1条,好评,数据线非常好，一定给朋友推荐一下。,-,-,2021-06-24
117,董**4,颜色分类: Reno系列闪充【1.5米线】1条,好评,物超所值质量挺好，物流也很快，赞！,-,-,2021-06-05
118,t**5,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,充电挺快和原装的速度一样，价格也实惠挺满意的 ,-,-,2021-06-04
119,回**g,颜色分类: Reno系列闪充【1.5米线】1条,好评,评论返现好麻烦,-,-,2021-06-15
120,杨**黛,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,是正品，充电速度快，性价比高，总体满意 ,-,-,2021-06-05
121,我**呀,颜色分类: Reno系列闪充【1.5米+1.5米】【同长2条】,好评,充电速度挺快的接口也很牢固赞 ,-,-,2021-06-01
122,t**8,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,充电速度就是快，省时省心，质量非常棒 ,-,-,2021-06-24
123,半**3,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,线够长用起来真的太方便了，而且充电速度也很快，买的太赞了，,-,-,2021-06-05
124,战**7,颜色分类: Reno系列闪充【1.5米线】1条,好评,(๑•̀ㅂ•́)و✧价格超优惠，性能也非常棒，完美的一次购物 ,-,-,2021-06-04
125,s**w,颜色分类: Reno系列闪充【1.5米线】1条,好评,这个线不行，前几天充电还可以，不到十天充电线就充不上电了，划不来，谨慎下单 ,-,-,2021-06-11
126,t**2,颜色分类: Reno系列闪充【1米线】1条,好评,接触灵敏度：高 充电速度：很快 外观材质：好 ,-,-,2021-05-29
127,爱**猪,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,质量不错，充电比较快速，反应也灵敏 ,-,-,2021-05-31
128,t**2,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,充电速度快，有时候没电的话也很迅速的，就能充好，不错不错 ,-,-,2021-06-04
129,t**7,颜色分类: Reno系列闪充【1.5米线】1条,好评,真的太好了，和原装的充电线差不多，还有快充，特别满意,-,-,2021-06-15
130,t**2,颜色分类: Reno系列闪充【1.5米线】1条,好评,第二次买了！一如既往的好用！上次那根线被我老公拿去了,挺好用的！,-,2021-06-14
131,t**1,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,宝贝收到了，跟原装没什么差别，质量很好，试了下充电也特别快，卖家还送了小礼物，很开心🥳,-,-,2021-06-21
132,是**啊,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,数据线闪充很快，比我之前买的好用，线长一些很方便 ,-,-,2021-06-05
133,我**1,颜色分类: Reno系列闪充【1米+1.5米】【搭配2条】,好评,充电速度真的很快，我买来放车的，家里一个车上一个。,-,-,2021-06-05
134,t**0,颜色分类: Reno系列闪充【1.5米线】1条,好评,数据线充电非常快，质量也很好,用起来充电非常快，非常不错的,-,2021-06-17
135,爱**了,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,线很长，充电速度很快，价格比实体店便宜，很好。 ,-,-,2021-05-31
136,林**8,颜色分类: Reno系列闪充【1米+2米】【搭配2条】,好评,数据线用着不错，充电的速度正常，价格实惠！ ,-,-,2021-06-01
137,天**号,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,数据线充电速度很快，杠杠的。 ,-,-,2021-05-31
138,铭**6,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,长度刚好合适，用起来很方便，充电充的也很快。 ,-,-,2021-06-07
139,t**0,颜色分类: Reno系列闪充【2米+2米】【同长2条】,好评,线挺长的用着方便，充电速度也很快的，挺好用的。 ,-,-,2021-06-17
140,t**3,颜色分类: Reno系列闪充【2米线】1条,好评,用了两三次后，充电速度越来越慢,-,-,2021-06-01
141,我**5,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,闪充效果不错，线质量很好，充电很快 ,-,-,2021-05-28
142,t**9,颜色分类: Reno系列闪充【1米+1米】【同长2条】,好评,接触灵敏度：插上就快充了 充电速度：挺好 外观材质：挺好 ,-,-,2021-06-24
143,m**2,颜色分类: Reno系列闪充【1.5米+2米】【搭配2条】,好评,用过必须来给个好评，充电贼快，质量很好。 ,-,-,2021-05-30
