数据下载时间：2021-06-28 12:03:05 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/598995886646/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,罗**国,颜色分类: 【1条】【0.25米】,好评,充电速度杠杠的，值得拥有 ,-,-,2021-06-22
2,b**e,颜色分类: 【1条】【0.25米】,好评,充电宝用的，长度合适发货快，很满意,-,-,2021-06-26
3,w**0,颜色分类: 【2条装】【1.5米】,好评,接触灵敏度：非常灵敏 充电速度：很快很稳 外观材质：很好看，质量不错，长度足够 ,-,-,2021-06-26
4,梦**g,颜色分类: 【1条】【0.25米】,好评,接触灵敏度：可以，暂时没毛病 充电速度：小米9充电显示快充 外观材质：材质比较软 ,-,-,2021-06-26
5,m**3,颜色分类: 【2条装】【1米】,好评,质量很好，价格便宜。好评！ ,-,-,2021-06-26
6,ζ**此,颜色分类: 【1条装】【1米】,好评,根本就不能用，换几个电话同型号的也用不了，虽然只有几块钱，太坑了……,-,-,2021-06-24
7,t**2,颜色分类: 【1条】【0.25米】,好评,能用，真的很**短！！ ,-,-,2021-06-15
8,1**p,颜色分类: 【2条装】【1米】,好评,充电快，很好用 ,-,-,2021-06-23
9,传**么,颜色分类: 【3条装】【1米】,好评,第二次买了 这次再买3条囤着 很耐用 目前用来当充电宝的线用了快一年都好好的,-,-,2021-06-22
10,j**0,颜色分类: 【3条装】【1.5米】,好评,之前多次购买了，好评。顺便说一句，作为快充线使用，很好！可惜不能当数据线用。,-,-,2021-06-26
11,z**1,颜色分类: 【3条装】【1.5米】,好评,便宜是便宜 但不是快充  充着电玩手机会掉电的 所以只能说一般的货,-,-,2021-06-21
12,沐**9,颜色分类: 【2条装】【1米】,好评,物流非常快，包装也很精致，充电很稳定，反应很迅速，不错。接口也很紧，连上手机之后很紧实，没有松动的情况，试了一下充电，充电的时候电流也是很稳定，没有出现接触不良的情况，非常好，不会发热，看着质量不错，非常结实，连接充电效果不错，充电快，接触很稳，质量很奈斯，外观也 很好看，线够长了，插上插头之后，而且用起来还不碍手，真的很不错，充电速度也比较快的。比较满意，准备再购条数据线，果断收藏店铺！,-,-,2021-06-06
13,鬼**覃,颜色分类: 【2条装】【1米】,好评,便宜好用，第二次买了，放在抽屉备用 ,-,-,2021-06-24
14,t**0,颜色分类: 【2条装】【1米】,好评,此用户没有填写评价。,充电没有问题，就是不能放车里用，一用不停的闪USB链接，别的啥也干不了,-,2021-06-22
15,郁**子,颜色分类: 【2条装】【2米】,好评,非常棒，5A超级快充，便宜好用,-,-,2021-06-23
16,t**8,颜色分类: 【1条装】【1米】,好评,数据线，这个价位可以入手,-,-,2021-06-24
17,冬**0,颜色分类: 【2条装】【1.5米】,好评,家人收到的，说是还不错，质量挺好的，物美价廉，性价比好服务热情,-,-,2021-06-22
18,t**8,颜色分类: 【1条装】【1米】,好评,还没用过不知道效果怎么样，但是比我原装数据线粗我的手机型号vivos6,-,-,2021-06-24
19,t**5,颜色分类: 【1条】【0.25米】,好评,根本不是5a，就是根数据线，没法快充 ,-,-,2021-06-26
20,帅**泽,颜色分类: 【2条装】【1.5米】,好评,充电速度快！好评，价格也很实惠 ,-,-,2021-06-22
21,m**2,颜色分类: 【1条装】【1米】,好评,商品质量很好大小合适没有损坏，使用效果也不错，充电很快，我很满意希望下次在次购买。,-,-,2021-06-15
22,a**y,颜色分类: 【1条】【0.25米】,好评,价格不贵，质量还不错，短线好用，好评！ ,-,-,2021-06-22
23,我**切,颜色分类: 【1条】【0.25米】,好评,挺便宜的，就是不耐用,-,-,2021-06-26
24,t**2,颜色分类: 【1条装】【1米】,好评,5A数据线充电速度快，1米长度基本够用了，家里还是使用1.5米的好些，够长。,-,-,2021-06-15
25,黄**w,颜色分类: 【1条装】【1米】,好评,物品好，送货快，支持快充,-,-,2021-06-20
26,全**9,颜色分类: 【2条装】【2米】,好评,东西质量太差,-,-,2021-06-26
27,何**家,颜色分类: 【1条装】【1米】,好评,接触灵敏度：用了两天才评的效果满意而且价廉 外观材质：不错线够粗， ,-,-,2021-06-21
28,i**8,颜色分类: 【1条】【0.25米】,好评,非常感谢老板，很满意哦。是正品,-,-,2021-06-03
29,落**华,颜色分类: 【1条装】【1米】,好评,挺好的，价格适中，质量看着不错,-,-,2021-06-24
30,m**7,颜色分类: 【3条装】【1.5米】,好评,"充电线确实很好,实用",-,-,2021-06-25
31,t**8,颜色分类: 【1条装】【2米】,好评,第二次购买，支持华为5A超级快充，,-,-,2021-06-24
32,心**e,颜色分类: 【3条装】【1.5米】,好评,多次购买了，质量很好，下次继续合作,-,-,2021-06-21
33,p**诺,颜色分类: 【2条装】【1米】,好评,好用奈用，回购的，之前的是被弄断了,-,-,2021-06-21
34,b**i,颜色分类: 【3条装】【2米】,好评,[玫瑰]没有雨露，就没有五谷丰登；没有水源，就没有生命；没有生命，就没有快乐的WO自己，充电线挺好的的，每次都有惊喜，挺耐用的 ,-,-,2021-06-15
35,h**2,颜色分类: 【1条】【0.25米】,好评,充电宝上用很棒哦,-,-,2021-06-26
36,春**晓,颜色分类: 【1条】【0.25米】,好评,车上用正合适,-,-,2021-06-21
37,t**1,颜色分类: 【3条装】【1米】,好评,正品好货,-,-,2021-06-26
38,暴**生,颜色分类: 【1条装】【2米】,好评,今天刚取的货，回来试了下，还不错，线材比原装的要粗，2米长也比原装1米长的好用多了！希望能用的久！给五星好评！以后有需要还会继续购买！,-,-,2021-06-12
39,t**6,颜色分类: 【1条装】【1.5米】,好评,价格实惠，接口不错，质量可靠。 ,-,-,2021-06-19
40,t**1,颜色分类: 【2条装】【1.5米】,好评,不错不错非常超值,-,-,2021-06-26
41,t**7,颜色分类: 【2条装】【1米】,好评,"态度非常和蔼。🎰性价比超高？🍨已经买过很多次了?🍺,😘数据线不错。🌑 🔻外包装厚实的 🏊会继续关注你家的新款的?◽发的货不能用！🎨,💑充电非常快？📅充电速度快,🚾插头尺寸大小不一 充电线确实很好,🎑实用,🎢夠长;🏠支持卖家？☎东西好价格也不贵 很好用🚫",-,-,2021-06-25
42,晴**5,颜色分类: 【3条装】【1.5米】,好评,质量很好，收到货第一时间打开看了，很不错，很满意 ,-,-,2021-06-26
43,r**华,颜色分类: 【1条】【0.25米】,好评,很不错，便宜实用，物流很快，质量也很好。 ,-,-,2021-06-25
44,伍**昕,颜色分类: 【2条装】【1.5米】,好评,线够长，方便实用，支持快充！好评！,-,-,2021-06-25
45,肖**3,颜色分类: 【1条装】【1米】,好评,价格在这儿放着，算是物美价廉吧，就是华为快充时断时续，临时应个急还能用吧！ ,-,-,2021-06-22
46,祖**5,颜色分类: 【1条装】【1米】,好评,好评，数据线很好用。,-,-,2021-06-23
47,苏**0,颜色分类: 【2条装】【1米】,好评,物流很快，物品完好无损，用起来很舒服，喜欢💕,-,-,2021-06-24
48,a**4,颜色分类: 【1条装】【1米】,好评,没有什么好评价的，因为买之前看错了,-,-,2021-06-22
49,h**o,颜色分类: 【2条装】【1.5米】,好评,接触灵敏度：高 充电速度：快 外观材质：完美 ,-,-,2021-06-15
50,t**7,颜色分类: 【2条装】【1.5米】,好评,快递挺快的，充电快，总之这次购物挺满意,-,-,2021-06-25
51,d**u,颜色分类: 【3条装】【1.5米】,好评,多次买了，非常好,-,-,2021-06-23
52,c**m,颜色分类: 【3条装】【2米】,好评,此用户没有填写评价。,不好用，插手机那头的头子不耐用，10多次后就越充越慢了，我买了6条基本都有这种情况,-,2021-05-12
53,f**q,颜色分类: 【3条装】【2米】,好评,描述与实际不符，什么快充啊，全是忽悠的广告词！实际是半小时充20%的电。我原装数据线半小时充满！压箱底了 ,-,-,2021-06-20
54,l**j,颜色分类: 【1条装】【1米】,好评,真的不行，太差了第一次见还不入充电宝充的快，这线建议大家别买。你会后悔的,-,-,2021-06-20
