数据下载时间：2021-06-27 18:50:02 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/603480715161/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,w**8,颜色分类: 净化款,好评,噪音控制：声音小，基本无感！比空调声音还小点。  外观材质：全塑料的机身，墨绿色矮胖子很可爱  加湿效果：四档可控调节，操作简单方便颜色提示一目了然。。 ,-,-,2021-06-20
2,昔**去,颜色分类: 标准款,好评,还挺静音的，晚上不会很吵，而且容量比我想的大多了，超级大，可以装***，标准版也有香薰盒，清洁的话也挺方便的，不论是夏天还是冬天，都需要加湿器加持下，这样就不会太干了 ,真的很不错哦，天气热的时候可以增加空气湿度，还能降降温，完美，容量大，装一次可以用好久，非常好，客服服务也很好哦,-,2021-06-23
3,t**2,颜色分类: 净化款,好评,关注了好久，感觉今年可火的网红款，性价比还高，非常好用，外观也漂亮，没有噪音，有了它屋里不干了，推荐给我朋友，小琴服务也好， ,-,-,2021-06-23
4,兎**6,颜色分类: 多重净化升级款,好评,没有噪音杂音，声音很***个档位，我一般都是用最大的。水雾很细腻。颜值爆表。总体感觉还是不错的。值得购买。,我是用了一段时间再来评价的。值得信任。五星好评。客服小标也很认真负责。值得表扬。,-,2021-06-25
5,y**9,颜色分类: 多重净化升级款,好评,好看 颜值很高，没有色差，出雾也大，最重要的是好洗，之前买的不能洗，这个就方便洗，每天洗保持干净这样更健康 ,-,-,2021-06-24
6,t**6,颜色分类: 标准款,好评,小南瓜加湿器已经收到，小巧可爱，放在房间，晚上开空调不怕喉咙干皮肤干了。 ,-,-,2021-06-22
7,m**l,颜色分类: 标准款,好评,一开始感觉非常大，后来想了一下，可以在客厅里面用，就非常适合，而且可以调档位，加精油还是不错的。客服小橘子服务好。 ,很好用，没有什么问题，夏天空气净化，感觉很好，,-,2021-06-20
8,t**7,颜色分类: 多重净化升级款,好评,首先说它的外观和颜色超级好看，几乎没什么噪音是我喜欢的类型。然后是客服橘子的服务态度也很好，亲们放心入手吧！ ,爱了爱了，忍不住再来一遍，感谢橘子客服的帮助。,-,2021-06-24
9,没**6,颜色分类: 净化款,好评,小南瓜加湿器外观颜色非常好看，出雾量也大，工作时静音，不影响睡眠！,-,-,2021-06-21
10,c**u,颜色分类: 多重净化升级款,好评,宝贝收到啦，颜值很好看哦，跟图片上一样，大小也合适 ,-,-,2021-06-20
11,紫**5,颜色分类: 标准款,好评,加湿器很好看，跟图片没差别，出来的水雾很细，加水方便 很好用 ,客服小乔MM服务很好，遇到不懂的不会用的直接问客服就好啦，加湿器出水雾细密，水雾量大，开空调太干了 用加湿器正好,-,2021-06-24
12,r**y,颜色分类: 标准款,好评,东西收到不错，比我想象的大一点，基本没有什么声音 ,-,-,2021-06-23
13,m**9,颜色分类: 标准款,好评,收到货就立马试用了一下，滴了几滴香水在里面，喷出来的味香香的，噪音很小。先看到有差评还有点担心，结果是很好，又不贵，值得推荐！,-,-,2021-06-15
14,t**3,颜色分类: 净化款,好评,水箱容量挺大的，声音也比较小，颜值很高呢，很喜欢。还有小云服务不错哦 ,-,-,2021-06-24
15,v**仔,颜色分类: 净化款,好评,噪音控制：挺安静 颜色很好看，用了些天，还可以，客服橘子服务好！ ,挺可爱的，,-,2021-06-23
16,t**5,颜色分类: 标准款,好评,加湿器不错，奔着颜值买的，出雾快，好像有4档调节，不会很大声音，不错👌 ,-,-,2021-06-24
17,你**0,颜色分类: 标准款,好评,客服小琴非常热情，产品不错、喷雾功能出色，价格优惠给力。赞给予好评  ,不错不错空调房必备。赞 种草买晚了 大家买哦 早买早享受哦 客服小琴赞,-,2021-06-20
18,r**8,颜色分类: 标准款,好评,容量很大 雾很大 没什么声音 颜值高,-,-,2021-06-24
19,t**0,颜色分类: 净化款,好评,买了许多就这个颜值高好可爱啊，喜欢，水雾还大，最喜欢颜值 ,-,-,2021-06-18
20,t**2,颜色分类: 标准款,好评,此用户没有填写评价。,不错，已经使用一段时间了，特别棒，小文服务好，赞👍,-,2021-06-23
21,l**3,颜色分类: 标准款,好评,前几天是给家里买一台，这次是买的自己用的，很好用 ,早上起床嘴巴也不发干了，好用。客服橘子很热情,-,2021-06-20
22,t**0,颜色分类: 标准款,好评,加湿器收到了，开了几个小时出雾很细也没有像评论说的地上有水的现象，墨绿色好看又高级，有什么问题问客服都很耐心的回答，总之非常满意！ ,-,-,2021-06-18
23,9**宋,颜色分类: 标准款,好评,实物比想象中要大的多，加湿器颜值高，性价也不错，价钱不贵买的超值，橘子客服态度很好，满意 ,-,-,2021-06-15
24,m**q,颜色分类: 标准款,好评,很实用的小工具，简单又好用。实用性高，价格也优惠。推荐购买。,-,-,2021-06-16
25,z**2,颜色分类: 净化款,好评,很不错外观也好看，没有什么噪音，加湿效果很不错、很喜欢，奶思奶思， ,-,-,2021-06-25
26,费**0,颜色分类: 标准款,好评,刚收到，618活动200-30划算点，已经在用了 ,-,-,2021-06-18
27,王**1,颜色分类: 净化款,好评,其他特色：好看是好看就是太大了 外观材质：塑料材质 噪音控制：没啥噪音 水箱容量：很大 加湿效果：很不错 ,-,-,2021-06-14
28,a**7,颜色分类: 标准款,好评,外观材质：质感还不错摸上去手感很好 不知道是快递暴力还是出厂就是这样，侧边破了很大一个洞用胶带给粘上了，里面塑料袋子都给磨破了。不知道得多大的撞击才会导致成这样。 噪音控制：声音有点大，出雾量还是可以。 水箱容量：容量还是挺大的 ,-,-,2021-06-18
29,d**4,颜色分类: 标准款,好评,质量特别好，没有声音，很理想，值得拥有 ,-,-,2021-06-24
30,t**0,颜色分类: 标准款,好评,小南瓜造型可爱，喷雾也是蛮好的最主要声音好小，反正很喜欢,-,-,2021-06-18
31,v**5,颜色分类: 净化款,好评,颜值高，包装好，终于能解决室内干燥的问题了～ ,-,-,2021-06-22
32,a**9,颜色分类: 标准款,好评,出雾量还可以，挺好看的，客户小琴售后也非常好。,按键即可调节出雾量，客服小琴售后很好，介绍得很详细,-,2021-06-20
33,你**他,颜色分类: 净化款,好评,直接爱了！！！以前就想着买个，因为这个上手，而且小巧方便，操作相对简单，正好入了这家，果然没有让我失望！赠送了很多东西，有操作指南，非常方便，很棒！弟弟也非常喜欢！ ,-,-,2021-06-13
34,燕**7,颜色分类: 多重净化升级款,好评,噪音控制：没有噪音 水箱容量：水容量也不错😄 有三个档位橙色大档，蓝色中档，绿色小档 加湿效果：很大哦。外观小巧好看 ,-,-,2021-06-13
35,5**猬,颜色分类: 标准款,好评,静音好看触摸式调节，颜值高，换水容易 ,-,-,2021-06-24
36,y**4,颜色分类: 标准款,好评,外观材质：非常喜欢这款绿色的小南瓜加湿器，容量很大，声音非常小，完全不影响睡眠，两种出雾量可自由选择，有需要其他产品还会再来这家店买。 ,这个小南瓜加湿器真是太棒了，今天天气很热，用了一下午了，小标客服的服务态度也很好，非常感谢！,-,2021-06-08
37,t**3,颜色分类: 净化款,好评,小橘子和小琴服务很好，东西也不错 ,-,-,2021-06-24
38,白**点,颜色分类: 多重净化升级款,好评,整体不错，水箱容量大 加湿效果不错！ ,-,-,2021-06-22
39,苏**巍,颜色分类: 净化款,好评,加湿器收到了，非常满意，静音雾大，而且橘子服务非常好。 ,-,-,2021-06-25
40,2**y,颜色分类: [天猫精灵款],好评,噪音控制：不错 水箱容量：不错 ,-,-,2021-06-25
41,t**3,颜色分类: 多重净化升级款,好评,出来了的净化空气空气小、声音大,-,-,2021-06-24
42,6**7,颜色分类: 多重净化升级款,好评,收到了以后用了七八分钟挺正常的，但是没一会就开始喷雾夹杂着水珠了，买了两个，一个放车里，一个放卧室，底座都有漏水的现象，出雾口也带有水珠，特别是放车上，整个中控都湿了，必须垫个纸巾或者抹布在底座才行，谨慎购买，不知道为啥好评这么多，准备退回，还是一句劝，购买的时候要慎重  ,-,-,2021-06-19
43,非**1,颜色分类: 净化款,好评,挺满意的，颜值很高，而且加湿的效果也满意,-,-,2021-06-24
44,天**8,颜色分类: 标准款,好评,宝贝颜值高，上面上水很方便，值得购买！,-,-,2021-06-25
45,柯**7,颜色分类: 净化款,好评,此用户没有填写评价。,买了没几天不出雾 问客服不理我 就闲置在那 今天想着用一下 还是不出雾 问客服又不给解决问题 收货了就不理人 真是   烦,-,2021-01-29
46,花**2,颜色分类: 标准款,好评,在试用了，还行,-,-,2021-06-22
47,开**2,颜色分类: 多重净化升级款,好评,加湿器不错，出雾很细，雾气也大 ,-,-,2021-06-20
48,t**0,颜色分类: 标准款,好评,朋友推荐的，很方便也很好看，声音很小，效果很好。颜值很好 ,-,-,2021-06-18
49,r**9,颜色分类: 净化款,好评,很差很差 特别差 不出雾 而且声音特别大 有视频 亲们可以自己看吧 ,很差 很差 声音特别大 并且雾特别小 盖上盖就没有雾了,-,2021-06-21
50,财**大,颜色分类: 净化款,好评,容量很大，超静音了，可以说没声音 而且烟也很大，夏天空调房 觉得很需要加湿 加水也方便，盖子打开就可以加 没用小时蓝灯待机状态 总体感觉不错 生意兴隆 ,-,-,2021-06-21
51,落**暖,颜色分类: 净化款,好评,颜值高，好用！颜色好看！ ,-,-,2021-06-20
52,女**萌,颜色分类: 标准款,好评,一点声音都没有，特别喜欢，安静，效果自己看 ,-,-,2021-06-19
53,风**望,颜色分类: 多重净化升级款,好评,不错，全好评,-,-,2021-06-17
54,l**妞,颜色分类: 净化款,好评,小脑瓜收到了，用起来简单方便，容量又大，有三个档位，声音很小，爱了！,-,-,2021-06-11
55,k**0,颜色分类: 标准款,好评,其他特色：静音，容量大，外观好看 外观材质：好看 噪音控制：基本没什么声 水箱容量：大容量 加湿效果：不错 ,-,-,2021-06-23
56,l**6,颜色分类: 净化款,好评,加湿效果：用了后才感觉很差，出雾太小了，设置的三档没啥用，最大档都满足不了空气湿度，嗓子干的很难受，不值得购买 ,-,-,2021-06-18
57,q**5,颜色分类: 标准款,好评,容量很大，放一次水可以用一天，出雾调节也方便,-,-,2021-06-10
58,t**6,颜色分类: 标准款,好评,此用户没有填写评价。,用了一段时间了 也推荐朋友买 每天基本开空调时间都会使用 感觉脸也不会干了 不然每天早上起来都觉得脸干 身体干 性价比可以 值得购买,-,2021-06-22
59,d**7,颜色分类: 多重净化升级款,好评,此用户没有填写评价。,质量不错，喜欢的赶紧下手吧,-,2021-06-25
60,w**4,颜色分类: 多重净化升级款,好评,这是淘宝购物以来最最差的一次！给的香精不但化学成分对身体不好，破东西漏电不说，还很容易发烫.有小孩子的根本用不了！千万不要放食物在屋子里，这家的加湿器雾气会带上灰尘和细菌漂浮到食物上，本来好好的吃的，上面全是水雾，加湿器开下来就很大，调不小，屋子里湿气太重！很容易感冒.和空调一起开更糟！换一家有牌子的吧！这家太差了！对了，貌似辐射还不小孕妇千万别买！开的时候一直发出滋滋滋的声音！我查了一下说是有辐射！,-,-,2021-06-25
