数据下载时间：2021-06-27 18:26:58 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638217849591/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,李**n,颜色分类: YSH-C15F1,好评,买壶有一段时间了，可以是触摸屏的，各个按键时间也合适。还有温度显示。而且壶热的挺快的，主要是煮除湿茶，还有茶漏，玻璃也挺厚，自动保温，而且保温还可以调温度，我一般定80。整体而言都可以，可以下手。 ,-,-,2021-06-23
2,j**j,颜色分类: 升级版（带滤网蛋架）,好评,玻璃面好清洁，湖绿的颜色特别爽心悦目 🌸试了一下烧水功能，效果不错 👍🏻 水开自动保温，贴心 🌹  ,-,-,2021-06-25
3,y**2,颜色分类: 升级版（滤网蛋架）,好评,多功能介绍：我很喜欢，今天煮银耳感觉太好了，点银耳功能开始煮，水煮开之后慢慢的加热，煮开后系统默认的功率300瓦，这样不会溢出，以前我用别的锅煮银耳，不小心总被溢出汤汁，大爱小熊品牌 加热效果：加热很快 是否保温：保温很好 ,-,-,2021-06-16
4,傻**玉,颜色分类: 升级版（带滤网蛋架）,好评,多功能介绍：收到就立刻用啦！烧水很快，容量够大，机身都很有质感有分量，不是那种薄薄的壶！盖子也很紧实，倒水不扶也不会掉下来哦！按键那一块也很高级 清晰明了 非常方便操作！今天用来炖银耳，直接用自带的功能一个半小时！超级无敌方便！！！！！非常推荐噢！！！ ,-,-,2021-06-24
5,萍**0,颜色分类: 升级版（带滤网蛋架）,好评,618买的锅 昨天就收到了 速度很快 这个壶的质感不错 玻璃不是很薄的那种 机子看起来也很高档 整体效果非常喜欢 打算再买一个  是否保温：保温效果挺好的 加热效果：加热很快 烧水两分钟那样就好了 多功能介绍：主要用来烧水的 没试过煮其他东西 ,-,-,2021-06-24
6,萍**0,颜色分类: 升级版（带滤网蛋架）,好评,第二次购买了 质量很好 这个放在店里用 煲水很快 两三分钟那样就可以了 玻璃壶的厚度挺好的 不会很薄 机子无瑕疵 很精致好看 触摸感很好 灵敏度高 ,-,-,2021-06-24
7,怡**1,颜色分类: 升级版（带滤网蛋架）,好评,观望好久，竟然降价了，真划算！ 好用，方便！ 烧水的时候有一点点噪音，不过感觉正常 饮水机还会有声音哪！ ,-,-,2021-06-23
8,h**1,颜色分类: YSH-D15W2,好评,多功能介绍：买了有几天了，煮花茶喝的，挺好的，送了煮蛋器，每天早上给孩子住鸡蛋，方便。又看中了一款小熊的锅，打算入手。 ,-,-,2021-06-10
9,花**姐,颜色分类: 升级版（带滤网蛋架）,好评,我买东西还是比较挑剔的。这款小熊养生壶颜值高 没让我失望 唯一的就是希望质量好  今天用上啦 简单操作 有需要还会再来的！ ,-,-,2021-06-20
10,y**儿,颜色分类: 升级版（带滤网蛋架）,好评,还不错的样子，比我之前买的一百多块钱的看着结实，喜欢😘包装完好，谢谢送的清洗剂！,-,-,2021-06-25
11,吕**8,颜色分类: 升级版（带滤网蛋架）,好评,好产品就是好，值得信懒！,-,-,2021-06-21
