数据下载时间：2021-06-27 19:15:23 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/555119829089/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,蒋**陈,颜色分类: 白蓝,好评,小熊加湿器很静音，📤特别好用颜值也高，🙅晚上开空调质量很好，🐛有两个档位可调节大小，👵大容量加水也方便，🕒值得购买雾气很细腻，📊声音不大。用的矿泉水，📟有条件的就换个蒸馏水，🐷更干净点。 ,-,-,2021-06-24
2,s**r,颜色分类: 白色,好评,加湿器质量不错，容量大，上加水触摸屏，操作便捷，出雾量大却不会打湿周边的家居物品，价格实惠亲民，值得推荐购买！ ,-,-,2021-06-21
3,平**6,颜色分类: 白蓝,好评,小熊加湿器很好，喷雾可调节大小，容量较大省得频繁加水，上加水更方便，是夏季家庭的必备品。前几年购了一台小熊牌加湿器，这次又选购小熊牌，质量信得过。 ,-,-,2021-06-20
4,t**9,颜色分类: 白色,好评,大白天的拍不出效果，大家可以参照一下别人的买家秀。这个老实说我看中了好久了。之前还只有扭转的款，这个新出的触屏的，比较方便。可以切换档。有小雾和大雾供选择。有防干烧功能。我加的是某师傅的水，出雾没有任何问题。一点水可以喷很久。加湿效果也还行。很对的很这个价，整体来说，很满意。性价比，颜值，是比较高的。就是发货太慢了，3-4天才发货。别的问题不大 ,-,-,2021-06-20
5,b**儿,颜色分类: 蓝色,好评,这款加湿器无噪音又是大容量的，夏天开空调用起来房间一点也不干了，买的超级值特别适合我这种睡眠轻的人了 ,-,-,2021-06-24
6,狐**哈,颜色分类: 白蓝,好评,小熊加湿器外观简单大方，非常静音，基本上听不见动静，水箱容量挺大，加湿效果很明显，非常满意，值得购买。 ,-,-,2021-06-24
7,t**9,颜色分类: 白蓝,好评,特意用了几天才来评价的，排雾大小可以调，挺好方便的，一点声音都没有，可以安安心心的睡觉了,-,-,2021-06-20
8,d**5,颜色分类: 白蓝,好评,其他特色：出雾很大，之前看评论还说小，但是出雾一点也不小，里面加点冰块有点吹空调的感觉，赞哦 外观材质：颜色方面比较高档 噪音控制：没什么噪音 水箱容量：非常大 ,-,-,2021-06-20
9,徐**瑞,颜色分类: 绿色,好评,噪音很小，雾也很细，买的透明水箱可观察水量，质感很好，小熊的买过几次了，好评！ ,-,-,2021-06-21
10,吕**环,颜色分类: 白蓝,好评,加好水，用一夜没问题，雾气细腻，静音，颜值高，开空调后再不觉得鼻子干了,-,-,2021-06-22
11,青**7,颜色分类: 白色,好评,加湿器水箱容量大，一晚上不用再加水，没有声音，出雾大，加湿效果好，一晚上安心睡觉好眠，以前的老加湿器，一会儿就红灯要加水。 ,-,-,2021-06-25
12,佘**芝,颜色分类: 白色,好评,几乎是静音模式，很喜欢，操作简单清洗也方便，价格实惠真的很满意。  ,已经用了好几天了，真的太棒了，客服推荐的果然好用。满意！,o(≧v≦)o好棒，十分感谢您对小熊信任和好评！小熊会再接再厉~后期使用中有任何需要帮助的问题随时联系我们在线客服哦，随时为您效劳！世界这么大，荣幸与亲能遇见，淘海那么深，感谢亲的支持。我们正是有了像您一样的忠实的顾客，才会一步步走到现在的，非常感谢您的支持，我们也会一如既往的努力，为您打造更加高质量的产品为您服务的哦。感谢你选购小熊产品，小熊祝您生活愉快！,2021-06-24
13,准**者,颜色分类: 白蓝,好评,特别好，够一晚上的量，水箱清洁也方便，完全静音，空调房里不怕干啦！ ,-,-,2021-06-22
14,随**q,颜色分类: 白色,好评,今天一拿到快递晚上就用起来了，去年买了一个容量太小了，这个容量很大，雾也可大可小，挺好的，用的好的话推荐给朋友 ,-,-,2021-06-23
15,柳**粒,颜色分类: 白蓝,好评,试用了下，很不错，使用时没听到有什么声音，出雾也挺大的，很细腻，放满水用两个晚上没问题，上加水特别方便。 ,-,-,2021-06-24
16,草**8,颜色分类: 白色,好评,加湿器收到了 虽然物流慢了点 不过收到货没让我失望 颜值挺高的 手柄石头设计挺不错的  ,-,-,2021-06-20
17,l**8,颜色分类: 白蓝,好评,声音不大，蓝白配色好好看！喷射的雾气也很细腻。 客服小葡萄也很好很有耐心。 喜欢～ ,-,-,2021-06-21
18,t**4,颜色分类: 白蓝,好评,拿到货就试了，非常好用，开关打开就出雾，雾量可以。颜值也很棒。 ,-,-,2021-06-22
