数据下载时间：2021-06-26 20:34:24 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/643131629762/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,m**h,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 8+128GB,好评,电池续航：电池容量很大玩一天基本上没有问题，比较适合高强度的使用 而且小米的快充也非常不错哦，玩完以后半个小时基本上能充80%快充是真的棒。￼￼￼￼ 显示效果：屏幕显示非常不错，虽然是大猩猩玻璃屏但是整体品质非常不错。色彩各方面都很鲜艳。￼￼ 运行速度：使用的是天矶的处理器还是非常不错的，也是非常好的旗舰处理器 拍照效果：拍照也还不错 直接上图片好吧 大家看图就明白了拍摄视频什么都很清晰，很好 对于这个价位的手机来说，这种拍照质量和拍摄视频的质量来说非常不错了，很具有性价比。￼ ,-,-,2021-06-24
2,t**2,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 6+128GB,好评,Noto10pro的性价比挺高的，拍照挺清晰的🐱 🐱 外观颜值挺高的，电池续航挺耐用的，基本上一天一充🐱 🐱 信号挺好的，毕竟是天玑基带，运行速度非常的流畅，外放的声音也挺大的🐱 🐱 没有发烫，手机的质感挺好的，性价比很高，是真的香，一千来块钱买到的，真的很奈斯，赞赞赞🐱 🐱  ,手机真心的不错！好评，价格优惠  看↓↓↓,-,2021-06-22
3,s**o,网络类型: SA/NSA双模(5G) 机身颜色: 月魄 套餐类型: 官方标配 存储容量: 8+256GB,好评,优点: 流畅，续航不错，高刷YYDS，LCD显示细腻，外放效果非常好，NFC 红外等基本功能齐全，侧边指纹YYDS，67W快充爽。 中规中矩: 外观尚可，miui 12.5还是有不稳定的地方（问题很小那种），5G 缺点: 拍照差（比米9差），中框易磨损，无息屏显示，室外显示亮度一般（能看），没有无线充。  结论: 买买买 ,-,-,2021-06-19
4,t**8,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 8+128GB,好评,"手机已经收到了,用了2天才来评价,运行速度比我之前的小米5快多了,通话音质清晰,拍照效果还不错。电池基本上是一天一充,不玩游戏的话可以两天一充 ",-,-,2021-06-20
5,t**2,网络类型: SA/NSA双模(5G) 机身颜色: 幻青 套餐类型: 官方标配 存储容量: 6+128GB,好评,优点：电池容量大，屏幕清晰，相机像素高，玩游戏流畅，可以开高帧率，外观不错  缺点：发热。耗电快。买了半个月*机了两次。网络不是很好。一些推广的功能关不了。系统浏览器都是广告。,-,-,2021-06-22
6,a**2,网络类型: SA/NSA双模(5G) 机身颜色: 月魄 套餐类型: 官方标配 存储容量: 8+128GB,好评,"yr重度使用一天一✳充,指纹解锁快,五星评🚴价也习惯性的打上。是😏真的快,使用时间长,🌌溢于言表。也会有一些🛀瑕疵以及小问题,不容☠易发热,店家生意兴隆💳。给我妈买的,很好可💔以很大声,挺好用,跑🐮分很高, ",看我晒图!!!非常划算哟,-,2021-06-21
7,j**8,网络类型: SA/NSA双模(5G) 机身颜色: 幻青 套餐类型: 官方标配 存储容量: 8+256GB,好评,整体感觉不错，值得拥有，常规使用大电池真给力。充电速度快，系统可能是个人习惯问题，有待熟悉。游戏不中断接打电话不错。其他体验后续再评,-,-,2021-06-20
8,t**5,网络类型: SA/NSA双模(5G) 机身颜色: 幻青 套餐类型: 官方标配 存储容量: 8+128GB,好评,真的非常好，性能很好 拍照效果：一般吧 很卡 比我苹果卡 电池续航：闪充真的快 显示效果：还不错 屏幕柔和 ,-,-,2021-06-22
9,景**g,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 8+256GB,好评,电池续航能力强，充满电用一天还有一半多的电。特色功能多，通话音质好，拍照像素高，总之性价比很高！手机手机颜值高！星纱很有高级感 ,-,-,2021-06-21
10,张**5,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 6+128GB,好评,我个人的使用体验还是可以的，总结几点供参考：  1.性能尚可，系统工作起来流畅未见异常（仅王者卡住一次，我又退出重登的，可能网络问题）。  2.颜值中上，屏幕观感和做工都还不错，可惜无法实现小米的动态壁纸。  3.拍照算法进化，比红米N9P在个别情况下还强点，但是比友商算法还没有优势。  4.马达，双扬声器立体声音，NFC和散热表现不错。  5.电量好评，充满电仅需要半小时。  总结：胜在性价比，适合绝大多数消费者的性价比旗舰支持小米，好评。   ,-,-,2021-06-15
11,丶**丨,网络类型: SA/NSA双模(5G) 机身颜色: 月魄 套餐类型: 官方标配 存储容量: 8+128GB,好评,此用户没有填写评价。,数码产品总要使用一段时间才能知道适合不，手机充电确实挺快的，没电了到充满也就半个来小时吧，音质是确实不错，上下两个喇叭，拍照也清晰，不过令我困惑的是，微信里直接拍照似乎并不怎么样，手机会发热，就是后台听小说，然后刷淘宝的时候，手机就会很热。只用过一次指纹解锁，应该是开机键来着，不过这个价位能买到这样的手机，也还是不错滴，还在慢慢摸索中,-,2021-06-10
12,y**妈,网络类型: SA/NSA双模(5G) 机身颜色: 星纱 套餐类型: 官方标配 存储容量: 6+128GB,好评,6.1下单  用了十多天  说下我的使用感受到的优缺点 照相白天满意  晚上快门延迟很大 有点太迟顿 电池续航可以  充电很快 但也有弊端就是有发热现象 不知影不影响电池寿命  中度使用到晚上还剩一半电量 不玩游戏够用了 通话音质满意  听筒模式下感觉别人也能听清楚 而且手机屏幕贴脸上 当前应用画面乱跳 不会熄屏 运行速度可以  用了十多天出现过一次*机 闪退 全面屏模式手势识别不精准 需要反复操作  显示效果满意   打电话的时候屏幕下方底色开始发黑 不知是不是有意设计的 不影响使用 体验效果一般吧  没想到会有这么多疑问 有什么问题后面再追评 性价比的确很高  低端机已经不错了 实话实说 给需要的做参考 ,-,-,2021-06-15
13,油**里,网络类型: SA/NSA双模(5G) 机身颜色: 月魄 套餐类型: 官方标配 存储容量: 6+128GB,好评,拍照效果：超级清晰 电池续航：持久 运行速度：流畅 给爸爸妈妈婆婆一人买了一部，蓝色超级好看，后悔有活动没再买两部，一千多块钱中的王者，全家人一直都是用小米的手机，有新款还会再买、哈哈， ,-,-,2021-06-23
