数据下载时间：2021-06-27 19:18:29 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/615148465630/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**3,颜色分类: 6插位 0.8米,好评,插排质量特别好，手感摸上去跟其他那种杂牌完全不一样，线很粗，插上很多电源线也不用担心会发热，孔位还很多，很安全的插排 ,很好用，两个孔的和三个孔的都有了，插上电磁炉烧饭，电源线和插排一点也不会发热，很满意,-,2021-06-20
2,b**s,颜色分类: 6插位 0.8米,好评,刚拿到就迫不及待打开用了！做工材质都很好很结实，安全性能很高可以按键关闭，响应速度也很快插上立马就充上电了 ,充电不影响速度，响应速度很快！！几个插孔方便多了，也很可爱哈哈,-,2021-06-23
3,y**饱,颜色分类: 6插位 0.8米,好评,插排质量不错，摸起来质感很好，这个价格买来性价比还是蛮高的👍。放在茶几上使用，插头也都好使，好评~ ,样子挺可爱，因为性价比蛮好的，推荐给我家里人啦😏想买可以冲，还送了挂墙的无痕贴纸，赞哦。,-,2021-06-14
4,爱**e,颜色分类: 8插位 1.8米,好评,插排收到了😬质量挺好的还赠送个小夜灯，孩子很喜欢下次还会来购买便😅宜实惠，很好，长度💎刚刚好，充电也不错颜值高，好用，还有防止小孩子手伸进去的。抱着试试的心态，没想着这么好用，😅下次还会再买一个的！,-,-,2021-06-09
5,东**权,颜色分类: 6插位 2.8米,好评,智能功能：非常的使用，简约而方便 ,已经用了一段时间了，完全没问题，喜欢的朋友们可以下单了,-,2021-06-14
6,t**0,颜色分类: 6插位 0.8米,好评,插排质量不错，包装也完好，没有破损现象，颜值也挺好看的，材质做工好，价格便宜，性价比挺高。 ,插排已经用上了，多孔多功能的，挺实用的，颜色也好看，是我喜欢的类型。,-,2021-06-24
7,o**！,颜色分类: 6插位 0.8米,好评,整体评价：这款插排整体hin可以的呀～ 外观设计：外观设计简单大方！ 做工材质：做工精细！ 智能功能：使用起来巨方便 ,在家里用这款插排简直太实用啦～再也不用担心电脑和手机同时充电啦～质量也是杠杠的！,-,2021-06-13
8,s**1,颜色分类: 5插位带USB 0.8米,好评,整体评价：总体来说，价格实惠，就是不知道质量怎么样 外观设计：外观挺好看，就是和天猫没关系 做工材质：粗糙一点，浓重的硬塑料感觉。 响应速度：开关目前挺好用，不知道能用多久，担心质量，但是用着感觉还行。 ,-,-,2021-06-20
9,星**1,颜色分类: 6插位 0.8米,好评,好用美观大方。插位很多很方便。安全性能很好。质量做工非常精细 ,好用。  插位这么很满足我这样需求的人。不用来回折腾了不用的时候。按按键就行。不在拔插头了,-,2021-06-10
10,d**g,颜色分类: 8插位 1.8米,好评,整体评价：一般 外观设计：仿冒天猫，上当了。 还以为是天猫的产品，结果不是，插排轻飘飘的制造粗糙，外包装粗糙，如果不是这个造型不会买的，暂时还没用一直在考虑到底用在哪？大功率电器不敢用，放卧室也不敢。。。。唉:-( 做工材质：一般 ,-,-,2021-06-24
11,回**3,颜色分类: 6插位 2.8米,好评,这是一条很用心的评价，东西很好，好到值得我费尽我为数不多的脑细胞想尽一切描述来描述它。东西期望值超乎我的期望，质量不错，颜色不错，我愿意推荐给我的朋友让她们也能买到如此好的东西。剩下的话就不是那么用心了，因为据说字数要超过多少多少才可以，苦了老夫了。小时候写作文也没这么用心过。 ,-,-,2021-06-20
12,风**s,颜色分类: 6插位 0.8米,好评,整体评价：今天刚收到，还没开始使用。应该没问题吧？先收货好评再说吧，等用了之后再追加评价。 ,-,-,2021-06-25
13,於**羽,颜色分类: 10插位 4.8米,好评,这个插排很不错，发货快，外包装也没有损坏，线材也很软不是那种有点有点硬的，特别好。,-,-,2021-06-25
14,郝**0,颜色分类: 7插位带USB 3.8米,好评,颜值不错，这下还能省了小夜灯，儿童防触也挺好的，推介给大家。,-,-,2021-06-21
