数据下载时间：2021-06-28 14:04:40 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/644195613773/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,平**w,颜色分类: 适用【苹果11ProMax】+送官方磁吸壳,好评,外观材质：无线充电器真的非常得好，只需要轻轻把手机一放就可以充电非常的方便，而且不影响睡眠感觉现在高科技真是太方便了，要不然以前很多线比较乱 ,-,-,2021-06-25
2,梦**涵,颜色分类: 适用【苹果11ProMax】+送官方磁吸壳,好评,用了好几天才来评论，只能说very good，非常棒了，方便携带走到哪充到哪，对于耗电的手机来说无疑是个好 东西，很喜欢 ,-,-,2021-06-21
3,邻**子,颜色分类: 适用【苹果8】+送官方磁吸壳,好评,电速度特别快 容量也足够 。。尤其无线充电特别方便，出门不用带线 一吸就开始充了。便于携带！随时揣在口袋就可以出门了，丝毫不用担心续航问题。,-,-,2021-06-21
4,风**机,颜色分类: 适用【苹果X/XS】+送官方磁吸壳,好评,特别好用的一款充电宝，充电速度快，很方便,有质感的一款充电器，设计线条完美，方便好用。手感不错携带起来挺方便的，体积不大性价比很高，无线充电器真棒，没线也能冲，非常喜欢,-,2021-06-21
5,l**g,颜色分类: 适用【苹果8Plus】+送官方磁吸壳,好评,好东西必须推荐，吸附的充电宝讲真第一次用，感觉很新奇，设计的也非常轻薄便携，真的很方便！经常会去外面借共享的感觉不是很划算，所以买一个来备用个人觉得挺便利的，而且不止容量大，还支持快充。,-,-,2021-06-11
6,b**9,颜色分类: 海军蓝【苹果12系列】【大容量磁吸闪充版】,好评,買了兩個，誤信了廣告、評論留言。 完全不好用，容量少，差速慢，非常熱，無線充很難對準！ 仔細看評論，不難發現有很多評論的背景是一樣的。熟悉的窗戶、沙發，地板，木枱！相信那一家人，應該住了幾十人和買了數十個了！ 最後那在無線充電時，充電器的綠燈會亮着的，奉勸那些造假的，如果沒有亮着就即係充不到了，那就別說充得很好很快，人家會很快就揭穿的，請留意一下！,-,-,2021-06-26
7,芹**8,颜色分类: 适用【苹果11ProMax】+送官方磁吸壳,好评,刚换手机就一直想买个无线充，平时老爱忘记带线，这个真的很方便，手机跟充电宝一靠就能充电了，充的挺快的，而且充满会自动断电，安全放心！个头也挺小巧，出门放包里不错！ ,-,-,2021-06-13
8,心**6,颜色分类: 适用【苹果8Plus】+送官方磁吸壳,好评,充着电玩手机一点也不影响，真的物有所值！这款无线充电宝的手感很好，外观整体的设计偏简约，大容量加上快充功能在日常使用是足够的，而且带磁吸效果放在接触面就能触发 ,-,-,2021-06-15
9,胡**广,颜色分类: 适用【苹果8Plus】+送官方磁吸壳,好评,挺方便的，比一般的充电宝都要小还簿，如果出门在外没电拿出来一贴上又可以用！不错不错，简直是黑科技。  ,吸上就充电，很便利，近看这款充电宝的表面处理，特别的有质感,-,2021-06-12
10,聪**3,颜色分类: 海军蓝【苹果12系列】【大容量磁吸闪充版】,好评,收到快递，打开，充电宝盒子都烂了，也不确定是不是全新的，不过产品还可以，磁力吸附能力还👌 容量大小：合适 尺寸大小：合适 外观材质：挺好 ,-,-,2021-06-24
