数据下载时间：2021-06-28 13:45:55 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/639008681616/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,饼**i,颜色分类: 圆杆简易配置,好评,"CC图是熨好的效果☁,特意烫了几件衣服☁,外观材质：还可以﻿☀,质量非常好﻿☀,之前货比了很多家都比较贵☁,在网上对比了很多家⛄, ",-,-,2021-06-26
2,t**8,颜色分类: 高配置双杆【蓝色】,好评,出乎意料，真的太喜欢这款挂烫机了，家用非常方便，又不占地方。新手熨衣熨得不熟练但效果已经很好啦。蒸汽量也是足够的，一次大约可以烫十多件衬衫。推荐大家购买，不是一般的非品牌货可以比的。 ,又熨了几件衣服，特别喜欢，就立马跑来评价了，机器这个价格买到是真的超值的，多孔的熨烫头能让熨烫更加的均匀，也能更好的熨烫好衣服，更加耐用也能更好的熨烫，而且这款产品外形比图片大气、美观，出汽快，熨烫完后衣服也不会湿，挂一下就能穿，机器比较小巧，用完了很容易收纳，出汽声音很柔和，出汽量大烫衣快；旅行也能带着，物有所值 物流快！,-,2021-06-16
3,s**9,颜色分类: 高配置双杆【蓝色】,好评,家用蒸汽挂烫机 已收到了 质量非常好款式颜色及好看很漂亮  使用很方便 性价比很高 朋友看到也很喜欢 已推荐了 值得购买 喜欢放心入手 ,-,-,2021-06-13
4,慕**0,颜色分类: 高配置双杆【蓝色】,好评,我买的高配置双杆蓝色的。之前货比了很多家都比较贵，这个才几十块钱，快递拿回来箱子挺大，重量不重，拿着轻巧方便，不过有一些塑料感，但是我觉得物有所值，毕竟价格在这儿呢，满意 ,-,-,2021-06-23
5,n**8,颜色分类: 圆杆简易配置,好评,特色功能：反正是发货很快，到货也很快，主要是可以挂着衣服烫，一次性可以烫很多衣服。 外观材质：塑料的，然后感觉不得坏。 熨烫效果：要坚持。哈就是蛮好用的 最主要是要夸一下客服的态度，耐心太好了，我这么笨哈哈哈帮我不厌其烦的结束指导怎么安装。 ,-,-,2021-06-24
6,被**啊,颜色分类: 高配置双杆【蓝色】,好评,可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以。安装简单，价格合适，效果不错，总体评价:巴适！ ,-,-,2021-06-21
7,t**2,颜色分类: 高配置双杆【蓝色】,好评,在网上对比了很多家，最后选择的这款双杆的，首先是安装方便，然后使用简单，最重要的是价格实惠，性价比高。值得购买，赞一个！ ,-,-,2021-06-12
8,云**青,颜色分类: 高配置双杆【蓝色】,好评,看着不错，还没用,-,-,2021-06-23
9,l**8,颜色分类: 高配置双杆【蓝色】,好评,熨斗已经收到了，物流很给力， 特色功能：功能很实用，熨斗熨出来的衣服很平整，蒸汽很足 外观材质：绿色的外观很漂亮，很大气，很拉风 熨烫效果：衣服很整齐，效果不错！ ,-,-,2021-06-25
10,猪**主,颜色分类: 圆杆简易配置,好评,熨烫效果：挂烫管子用着用着就会掉了，往上喷蒸汽了，有时候也会不喷雾喷水.这个就是价格便宜点，只能凑活着用吧 外观材质：很单薄的样子，材料都是很简易风，不能期望太高！ ,-,-,2021-06-23
11,t**7,颜色分类: 高配置双杆【蓝色】,好评,去年给父母买了一个，今年又买了个自己用，熨烫效果不错，经济实惠，还有小桌板可以放平熨衣服，好评。 ,-,-,2021-06-13
12,王**评,颜色分类: 高配置双杆【蓝色】,好评,颜值不错！冲这这个颜色买的，好看，也好用，特意烫了几件衣服，烫的效果很好，买的双杠，就是好用呀,-,-,2021-06-22
13,l**0,颜色分类: 圆杆简易配置,好评,特色功能：功能性价比高 外观材质：外观设计漂亮 熨烫效果：效果特别好。 ,-,-,2021-06-23
14,l**n,颜色分类: 圆杆简易配置,好评,加热很快，水雾也很大，烫全棉的衣物效果还是很明显的。价格也很便宜，性价比高。 ,-,-,2021-06-25
15,y**2,颜色分类: 圆杆简易配置,好评,此用户没有填写评价。,已經是買了第二台，真的好好用,-,2021-06-09
16,7**森,颜色分类: 高配置双杆【蓝色】,好评,特色功能：分各种衣服的材料。  外观材质：还可以。  熨烫效果：我用的都是衬衫，体恤。 价格很公道，自己拿回来安装的，如图。 ,-,-,2021-06-20
17,f**3,颜色分类: 红色 高配置【升级版】,好评,杆太短了,-,-,2021-06-22
18,奶**群,颜色分类: 高配置双杆【蓝色】,好评,满意度10分，我给7分，7分是给它的操作和结果，熨得特别平整，用起来也很傻瓜！喜欢这点，蒸汽出来得也很快。 不满意的第一：到货的时候有个夹子脱了。搞了半天以为是哪里的零件。问客服，可以也只回答另一个零件的用途。 第二：白色衣架挂杆很松，轻轻一扯就脱离原处。双杆也很容易脱离。挂烫机不好移动，拉着双杆的时候就容易脱离主机。 第三，蒸汽凝结的水滴落烫到了。手放在上边容易被蒸汽烫，手放在下面又会被滴落的水烫，看来要好好练练。 最后，还是会推荐购买。很实用，比熨斗好用。 ,-,-,2021-06-11
19,t**4,颜色分类: 高配置双杆【蓝色】,好评,漏水不说，好评都是刷单刷的， 外观材质：塑料材质，挂衣服十分难受，不建议购买，希望广大朋友注意！好评都是恶意刷单！谁买谁上单！ 熨烫效果：没发现一点好的效果，使用完还是褶皱， ,-,-,2021-06-23
20,梦**z,颜色分类: 圆杆简易配置,好评,第二次用刚插上没反应灯不亮等过一会才好 有点接触不良 使用效果 很差 第一次熨衬衫勉强能不那么皱 第二次熨牛仔裤 熨和没熨效果差不多 浪费时间和体力  图是熨好的效果 ,-,-,2021-06-21
21,t**0,颜色分类: 宽杆标准配置,好评,挂烫机收到一段时间了，特别好安装，水箱也非常的大，用了一下，蒸汽很大，比较厚的衣服也可以熨平，不同材质的衣服还有不同的选项，推荐购买,-,-,2021-06-13
22,云**客,颜色分类: 高配置双杆【蓝色】,好评,东东收到了，汽好大好雾化的，价廉物美，值得信赖和拥有，点赞👍,-,-,2021-06-21
23,一**0,颜色分类: 高配置双杆【蓝色】,好评,外观材质：质量不错，容易安装，熨烫效果明显，值得购买的一款产品！ ,-,-,2021-06-17
24,t**9,颜色分类: 米色 高配置【升级版】,好评,我觉得应该买最普通的那个，除了多个板子还有衣架也没哪里不一样，而且我这个夹子坏了我还不会弄，退也麻烦凑合用吧 ,-,-,2021-06-23
25,y**1,颜色分类: 圆杆简易配置,好评,质量超级好，放购买。,-,-,2021-06-21
26,z**5,颜色分类: 米色 高配置【升级版】,好评,朋友买过推荐给我的，熨衣服分很多档，水箱也够大，熨完的衣服很平整，物美价廉 ,-,-,2021-06-15
27,小**了,颜色分类: 红色 高配置【升级版】,好评,熨烫效果：很好 外观材质：衣架有点旧划痕，熨衣板下面的一个东西折了 ,-,-,2021-06-25
28,l**0,颜色分类: 红色 高配置【升级版】,好评,配件很多，方便实用，有很多档针对不同衣料可以选择熨烫模式z ,插上电，选择模式，马上就有蒸汽喷出，好快。衣服马上不皱了。,-,2021-06-23
29,狗**圣,颜色分类: 高配置双杆【蓝色】,好评,还没用不知道效果 外观材质：商家联系我给好评 估计都是刷的，本来打算给个好评拿几块钱的，一堆要求，火大，给个中评把 ,-,-,2021-06-21
30,董**娅,颜色分类: 高配置双杆【蓝色】,好评,货收到三四天了，用了几次，不错，真心推介，方便实惠，性价比高 ,-,-,2021-06-15
31,p**8,颜色分类: 圆杆简易配置,好评,东西很不错、价格很实惠、家用首选 ,-,-,2021-06-17
32,t**1,颜色分类: 圆杆简易配置,好评,质量非常好，价钱也值得,已经用了一段时间了，非常顺手，以后还会回购他家东西,-,2021-06-19
33,人**迹,颜色分类: 圆杆简易配置,好评,挺好用的，质量可以，出气量大,-,-,2021-06-22
34,c**a,颜色分类: 宽杆标准配置,好评,回家用用看 ,-,-,2021-06-22
