数据下载时间：2021-06-29 09:19:40 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/610754948095/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,谢**5,颜色分类: 8.0公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,容量大小：8kg 洗衣效果：很干净 外观材质：美观大方 静音效果：很好 没噪音。  用了好几天了 很好用 质量不错 很方便 价格实惠 洗的很干净 ,很好用 推荐购买 价格实惠质量又好,-,2021-06-26
2,t**0,颜色分类: 10公斤新款+强力风干+蓝光仰菌多功能,好评,容量大小：10kg可以洗毛巾被 洗衣效果：干净 外观材质：塑料推荐宝宝们购买 静音效果：噪音很小，不影响工作和生活 ,用了一段时间之后，非常喜欢。比我以前那台洗衣机好用多了，主要是噪音小洗的干净，并且容量很大，可以洗垫毯，推荐购买。,-,2021-06-24
3,娄**8,颜色分类: 8.5公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,此用户没有填写评价。,用了没多久排水管就漏水了 联系客服 补发了排水管不带卡扣 上门维修收费50，其他的懒得说了 便宜真的没好货大家慎重吧 自己再买个找别人安吧,-,2021-06-08
4,t**4,颜色分类: 9公斤智能强力风干+抗菌波轮+蓝光抑菌大容量款,好评,今天下午刚到，晚上就用了，空间也挺大，洗衣服很干净，主要是很省事，丢里面不用管了,想买的可以放心购买，确实很不错,-,2021-06-21
5,y**t,颜色分类: 8.0公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,容量大小：大小很合适，放在家里刚刚好 洗衣效果：洗衣服很干净 外观材质：质量很不错 静音效果：挺安静的 ,已经用过了真的很不错！质量真的很棒，洗衣机声音也很小，总之就是good！,-,2021-06-19
6,小**号,颜色分类: 8.5公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,果然果然网上的洗衣机便是便宜点，但缩水比较严重，同一家店和朋友总共买两台，桶的公斤不一样，但实际桶内相差无几。而且洗两件夏天的衣服都蛮抖动，到时候洗冬天的衣服还得了 😅😅😅 ,大家可以听声音，就洗了件小马甲，就吱吱嘎嘎响，这点都带不动。🙃🙃🙃,-,2021-06-21
7,l**熹,颜色分类: 8.5公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,容量大小：容量实际偏小，可以适当买大点。 洗衣效果：现在夏天洗东西还是很方便的。  总体来说对得起价格。 ,整体来说不错的。,-,2021-06-18
8,主**6,颜色分类: 10公斤新款+强力风干+蓝光仰菌多功能,好评,洗衣机收到好几天了，没有质量问题，洗的衣服也很干净，也可以洗中厚毛毯，声音也不发，主要是价格便宜，想买的可以放心购买。,用了五六天了才来评价的，解放了双手，洗漂都很给力，也可以单脱，按键感应都很好,-,2021-06-20
9,乱**3,颜色分类: 7.2公斤强力风干+抗菌波轮+蓝光抑菌+冲量款,好评,其余的都还可以 我给家里小宝宝专门用的   ,这个价位  而且还是全新的  性价比都还算高得了,-,2021-06-17
10,t**1,颜色分类: 7.2公斤强力风干+抗菌波轮+蓝光抑菌+冲量款,好评,洗衣机收到货，试了一下，挺好用的！洗衣效果好！发现少了一块防鼠板！客服马上就答应补发一块！,洗衣机收到试了一下！挺好用的！值得拥有！,-,2021-06-20
11,x**n,颜色分类: 8.5公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,容量大小：8.5比我家8.0 小很多  这都不是主要的  主要是我可能买了个二手货 拿回来塑料袋跟洗衣机里全是水  应该是用了的  如果是试水的 发快递不应该更贵吗不应该把水放干净再发货吗 这么多水肯定是二手的。慎拍！慎拍!  慎拍！不然有你吃亏的 ,难怪这么多好评  呵呵,您好，洗衣机在出厂前都会经过无数道bai工艺及检测程序来测量洗衣机的功能是否正常；特别是漏气情况测试，当洗衣机进行测试之后，虽然进行了排水，但由于洗衣机内部脱水结构问题，会多多少少有一些残留水在其中。洗衣机脱水桶的夹层中有一圈水盒，此水盒中放置的是配重液体，是防止脱水桶内衣物不平衡导致脱水桶偏心而运转时发生撞桶情况，这种水声是正常情况。您要是不相信我们也可以百度查查我们说的对不对，我们客服24小时都在线的有什么问题随机联系我们，而不是评价后又联系我们抱歉是您误会我们了，因为您的这个误会会给我们带来不好的影响的，谢谢您。,2021-06-18
12,吴**棒,颜色分类: 8.5公斤智能强力风干+抗菌波轮+蓝光抑菌,好评,我买的8.5kg，声音不大，洗的也干净，超值 ,还带蓝光的,-,2021-06-23
