数据下载时间：2021-06-29 13:27:51 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/617379618588/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,旋**一,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,前两天一个不能用了，坚持不了一分钟，今天突然另一个也不能用了，都是大太阳整整晒一天，质量真的好差。 ,-,-,2021-06-25
2,w**2,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,收到宝贝后欣喜，快去安装好使用了，会继续光顾。 ,-,-,2021-06-25
3,s**6,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,安装简单明了，材质很好，店家服务态度很好，物流很快，看看效果怎么样。,-,-,2021-06-20
4,l**x,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,朋友推荐说有抓到蚊子，就买来试试，效果出乎意料的好，直接秒杀蚊香，无毒无害而且抓蚊子又很给力，非常满意 没想到这款灭蚊灯效果这么好，蓝紫色的光也不刺眼，功率小不么费电，没有声音的，有栏杆保护，人不会被电到，可以放心使用。 ,-,-,2021-06-10
5,t**0,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,东西不错 就是感觉买小了 下回要大一点的哈哈哈,-,-,2021-06-17
6,t**9,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,灭蚊灯太阳能发电省时省心，防水防蚊效果非常好，节能环保满意,-,-,2021-06-17
7,t**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,👌从没想过这么实惠的价格，😴能买到这么好的宝贝，😃性价比非常高，我很喜欢哦😃 ,-,-,2021-04-08
8,f**a,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,先买一只试用，灭蚊虫效果不错，又买一只，不仅灭蚊虫，而且也使小小花园增色，棒棒哒👍,-,-,2021-06-17
9,h**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,特别好用，抓蚊子挺多的,-,2021-06-19
10,飞**飘,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,宝贝收到后很满意，以前一直都是用蚊香，总担心有毒影响家人身体，犹豫了一些时间买的这个灭蚊灯不锈钢材质很大气，太阳能充电，白天关晚上开全自动哦，电池还可以拆卸更换，非常人性化，值得购买。,-,-,2021-06-10
11,天**影,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,真挺好的，放在外面，太好了 ,-,-,2021-06-22
12,t**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,我很喜欢这一款灭蚊灯给我减少了很多烦恼  家里再也没有那么多的蚊子了，然后特别的方便。￼ ,-,-,2021-04-08
13,t**1,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,比之前买过的多了个保护壳，也较光亮，值得推荐。,-,-,2021-06-23
14,z**1,颜色分类: 金属网耐用型-太阳能灭蚊灯 容量: 1个,好评,整体来说，还是很好的，非常值得再次回购 全五星好评了！ ,-,-,2021-06-22
15,大**8,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,试了两天还没有看到效果，观察几天再来评价,-,-,2021-06-21
16,y**n,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,不错，只要功能正常这个性价比很高了。 ,-,-,2021-06-20
17,t**9,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,烂到家．产品质量不是一般差：谁买谁后悔． 服务是还可以,-,-,2021-06-17
18,t**9,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,谁买谁后悔：产品质量真差：一点用也没有．烂到底了：但服务还不错,-,-,2021-06-17
19,b**6,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,太阳能户外灭蚊灯，期待使用，值得一买,-,-,2021-06-19
20,伟**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,质量还不错，挺好的 ,-,-,2021-06-15
21,黑**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,夏天来了，天热了好多蚊子，我还招蚊子，真心受不了，就买了这款灭蚊灯，颜值吸引我，收到后发现做工也精致，效果很好！机器感应自动开关机的，省心省力，卖家服务态度很好，值得放心购买！ ,-,-,2021-06-10
22,动**r,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,以前都是用的蚊香或者电蚊片，今年开始打算使用这种纯物理的灭蚊灯，携带方便，小巧可爱，无毒无害纯物理灭蚊灯，而且设计感非常得好，在院子乘凉闲聊就不怕蚊子来袭了，好产品多分享，值得推荐！！！ ,-,-,2021-06-10
23,t**9,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,质量不是一般差,-,-,2021-06-17
24,t**0,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,商品质量好。准备在买两个。,-,-,2021-06-17
25,张**3,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,买来送给朋友的，据说不错,-,-,2021-06-25
26,谢**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,很棒的一次购物，,-,-,2021-06-23
27,郑**l,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,买了个没用的东西 ,-,-,2021-06-26
28,z**2,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,以零时按到了老家花园,-,-,2021-06-26
29,t**9,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,宝贝儿不错，服务态度好物流很快,-,-,2021-06-17
30,捷**n,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,户外灭蚊灯收到了，包装完好无损，质量很好，效果不错,-,-,2021-06-17
31,w**0,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,收到货，安装方便，安全，装在阳台小花园里晚上很美观，希望明天蚊子扫光光。,-,-,2021-06-20
32,蔡**晨,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,对比了很多家，最后选中这家，果然没让我失望。颜值高，价位低，服务佳，质量好。准备再入手几个。有需要的亲可以入手。 ,-,-,2021-06-10
33,草**猪,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,亮度不太亮，灭蚊效果没看到,-,-,2021-06-23
34,t**2,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,赏个好评 ,-,-,2021-06-25
35,h**0,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,二次购买，不多说，不错 ,-,-,2021-06-26
36,y**o,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,看着不错，不知效果咋样，用了好，再来评价,-,-,2021-06-20
37,t**糖,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手 ,-,-,2021-06-17
38,t**6,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,灭蚊效果挺好的,-,-,2021-06-23
39,小**4,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,天放太阳下充电，晚上自动灭蚊。下雨天可以插上电充电，很方便，一晚上抓不少蚊子了，目前效果整体非常满意。希望大家购后都会评价及晒图，那么以后就能放心地网购了。谢谢店家的好货，会多多关注，期待上新。祝生意兴隆。,-,2021-06-10
40,t**3,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,此用户没有填写评价。,不好用，没杀过蚊子,-,2021-04-08
41,续**梦,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,庭院里用，还是有些小，起不到作用 ,-,-,2021-06-24
42,q**7,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,物流很快，物超所值谢谢店家生意兴隆，财源广进零售多多 ,-,-,2021-06-20
43,不**n,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,也不知道能不能灭蚊，先用着 ,-,-,2021-06-24
44,w**0,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,满意，好用，大气。 ,-,-,2021-06-20
45,光**品,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,此用户没有填写评价。,一个也没逮到,-,2021-06-04
46,梦**0,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,超好用的灭蚊灯，安装在庭院里，防蚊效果非常棒，推荐这家,收到商品三天赶紧下单又买了一个，效果很棒，这里蚊虫很多，每天都是尸体一片，每天清理一次都不够，战果累累哦，而且客服服务态度很好，赞一个，有需要还会再买的，以后买这产品就你家了哦 很棒,-,2021-06-10
47,c**5,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,可能电路板有问题…灯面朝上通电，灯面朝下就断电。而且灭蚊功能需要按压开关也打开…此物废了，个人不推荐。 ,-,-,2021-05-30
48,j**6,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,晚上亮的时间太短了，效果不明显。,-,-,2021-06-19
49,幸**x,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,宝贝收到，刚刚插上电，期待好的效果,-,-,2021-06-10
50,鹿**9,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,效果功能：强 使用体验：效果不错 ,-,-,2021-06-12
51,韩**亓,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,买回来就开始充电应用了。还真的好，昨天晚上我发现家里有一只蚊子🦟，今天检查这个灭蚊灯，看到蚊子已经被电*了。难怪昨天晚上没有被蚊子叮。 ,-,-,2021-06-10
52,天**x,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,特别垃圾，一个不亮的，给我换个电池，还是没用，太阳能根本充不进电！一个太阳能板是坏的，不给解决，还让我拍这拍那的看图片，不亮就是不亮，装有电的电池却能亮，沟通真累！！！ ,废品,-,2021-06-09
53,l**8,颜色分类: （加大号）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,庭院应该可以使用，好评跟上！,-,-,2021-06-12
54,w**8,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,此用户没有填写评价。,我这里的蚊子太聪明了！一个蚊子都上当！,-,2021-06-11
55,夏**3,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,有些用，但好用谈不上。设计不错,-,-,2021-06-17
56,长**星,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,很方便，效果不错,-,-,2021-06-09
57,t**5,颜色分类: （加大号）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,之所以过了好几天才来评价，是想看看灭蚊灯的效果。收到以后，我不会用，卖家耐心的指导**作，过了一天后有一个灯不亮了，卖家又指导我换电池试试，确定是电池坏了后，马上给补发了两个。就冲卖家这么好的服务，必须给个好评。现在蚊子还不是很多，等过些天用用再来追评。,-,-,2021-05-30
58,洪**挂,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,不错 很好,-,2021-06-12
59,f**a,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,小玩意儿，颜值高，灭蚊虫效果好，棒棒哒👍,-,-,2021-06-17
60,t**5,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,服务周到、态度好，发货快！,-,-,2021-05-19
61,李**9,颜色分类: （加大号+加高）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,买了好多个 质量很好,-,-,2021-06-02
62,z**3,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,挺好的，还不错,-,-,2021-06-09
63,a**y,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,用了2周左右 已经坏了 啥也没动过 就放在花园里 白天晒阳光 晚上灯不亮 这质量 呵呵呵,-,2021-05-31
64,v**o,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,灭蚊效果一般接近无，只是可以作为园艺或庭院观赏 ,-,-,2021-06-09
65,鑫**8,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,应该是被骗了，20多块的东西，不退了！但是其他人别买了,-,-,2021-06-15
66,t**8,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,收到货后马上插上了，已经点亮，期待效果，好评！,-,-,2021-06-06
67,t**1,颜色分类: （加大号）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,买了十个一个有点不亮卖家说补发一只服务态度好○,-,-,2021-06-23
68,小**s,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,此用户没有填写评价。,杀蚊效果太差,-,2021-05-22
69,t**4,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,实用性和颜值都非常的赞，我很喜欢，还会再来买的 ,-,-,2021-06-08
70,李**0,颜色分类: （加大号+加高）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,没什么用 晚上也没有亮 ,-,-,2021-06-13
71,善**装,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,二次回购了，挺不错,-,-,2021-06-08
72,c**4,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,此用户没有填写评价。,使用方便 节省能耗,-,2021-06-04
73,球**雪,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,垃圾产品，用了一天就坏了，千万别买这家的，**商家，坑骗广大消费者。,-,-,2021-06-10
74,t**1,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,宝贝很好小巧实用，能照又能电蚊插在阳台花盘里美美哒！经济又实惠值得购买。 ,-,-,2021-06-23
75,t**2,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,超级差，没效果，蚊子堆里面几天才*几只，还没有一手抓的多，注意服务太差，客服嘲讽你 效果功能：没用 使用体验：忽悠一天又一天 ,-,-,2021-06-25
76,九**林,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,垃圾产品,-,2021-06-07
77,轩**仔,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,挺好的，不错 ,-,-,2021-06-02
78,z**o,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,有功效好用，已經買了4支,-,-,2021-05-18
79,老**1,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,东西非常好，夜晚的氛围瞬间就出来了，一物多用，值得拥有 ,-,-,2021-05-25
80,l**3,颜色分类: （加大号）太阳能电击感应灭蚊器 容量: 1个,好评,此用户没有填写评价。,用了一段时间，蓝色灯坏了，只能白灯照明了，蚊子也没有抓到几个，唉,-,2021-05-26
81,毛**6,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,一般，晚上用的时间不算很长，灭蝇灭蚊不清楚有没有效果，因为我没看到被电*的蚊蝇！,-,-,2021-06-01
82,t**5,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,大家别在买这个啦，我花了58元买了两个，一晚上10只蚊子都没有捕捉到，还不如几角钱的黄板,-,-,2021-05-10
83,铭**8,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,整体评价：我只想说质量太差了，第一次邮寄来是两个坏掉的，售后人员态度很好立马补发了两个新灯头，邮来是好的，插到院子花园里，没到两天，下了小雨，就立马坏掉一个压根儿不亮了 做工材质：劣质塑料 效果功能：没电*一只蚊子 外观款式：比较小巧可爱 ,-,-,2021-05-21
84,t**1,颜色分类: （加大号+加高）太阳能电击感应灭蚊器（10台优惠装） 容量: 1个,好评,可能我打火机比他还亮一点，恶心*了，灭蚊效果等于0,-,-,2021-06-23
85,j**6,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,质量一般，晚上蓝光，都不怎么亮,-,-,2021-06-19
86,s**i,颜色分类: （加大号）太阳能电击感应灭蚊器（2台装） 容量: 1个,好评,此用户没有填写评价。,千万不要买一点用都没有，根本不能灭蚊子！用了半个月以上才追评,-,2021-05-30
87,l**e,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,太阳能的，直接插上就能用，灯的颜色也好看，还可以。,-,-,2021-05-30
88,t**0,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】 容量: 1个,好评,货已收到，很满意！客服态度也很好！赞！ ,-,-,2021-06-17
89,t**2,颜色分类: （小号）太阳能电击感应灭蚊器 容量: 1个,好评,多次购买，小灯很不错，驱蚊效果棒棒的,-,-,2021-06-25
90,f**2,颜色分类: （加大号）太阳能电击感应灭蚊器【加高】（2台装） 容量: 1个,好评,此用户没有填写评价。,用了这么久，蚊子一只没电到，效果很差！！！,-,2021-04-24
