数据下载时间：2021-06-28 14:03:49 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/600147641166/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,我**w,颜色分类: 10吋蓝牙手提版标配,好评,老板服务态度很好 东西收到了 声音很大 给我老妈买的 下次给我婆婆也买一个  ,价格不贵 听歌的音质非常好,-,2021-06-17
2,t**5,颜色分类: 17吋大屏WiFi网络版+单U段话筒+32G视频U盘,好评,这个音响可以，希望爱愉乐的姐妹们前去购买，各个方面很可以，值得好评。我发个短短视频给大家，,-,-,2021-06-23
3,g**7,颜色分类: 10吋蓝牙手提版标配,好评,货收到了·与伙伴们来一个唱K小聚，都觉得音质清晰，效果非常好！强烈推荐！对于喜欢音乐唱K与跳舞的朋友，值得拥有！再次好评！！,用过之后一点问题也没有，插上U盘视频很清楚~,-,2021-06-17
4,x**9,颜色分类: 触摸屏WiFi网络同屏版+双U段话筒+32G视频U盘,好评,外观材质：棱角分明，比较结实，就是开机10分钟就上面外壳就很烫手，担心安全隐患。 声音效果：声音清晰而且洪亮。 ,-,-,2021-06-20
5,g**7,颜色分类: 10吋蓝牙手提版标配,好评,货物都收到了，外观材质：棱角分明，比较结实，担心安全隐患。 声音效果：声音清晰而且洪亮。,老板服务态度很好 东西收到了 声音很大 给我老妈买的 下次给我婆婆也买一个,-,2021-06-17
6,g**7,颜色分类: 10吋蓝牙手提版标配,好评,货物收到了~板服务态度很好 东西收到了 声音很大 给我老妈买的 下次给我婆婆也买一个,买的第二个了，质量一直都没有问题~,-,2021-06-17
7,t**8,颜色分类: 10吋蓝牙手提版标配,好评,包装完好无损很满意打开一看很漂亮，音响款式时尚大气出门好携带声音清晰好听声音可大！ ,-,-,2021-06-24
8,刘**8,颜色分类: 17吋大屏WiFi触摸语音点歌版+双U段话筒+32G视频U盘+支架,好评,音响不错，可以连接wifi点歌，效果也不错，操作简单。,-,-,2021-06-22
9,t**3,颜色分类: 蓝牙升级版(持久续航)+单U段话筒+32G视频U盘,好评,音质好，声音大，功能齐全，老年人跳广场舞非常不错，价格实惠！,音亮大外观美观，电力强劲充一次电可用一个星期，画质清楚，老年人学舞不错,-,2021-06-26
10,d**柔,颜色分类: 触摸屏WiFi网络同屏版+双U段话筒+32G视频U盘+支架,好评,此用户没有填写评价。,你们买东西需要谨慎哦，店家卖了东西，退货不高兴，东西发回去说欠，幸好快递站人检查有监控，不然给冤枉*，态度敷衍，还骂人，换别的客服说好话，唱双黃,-,2021-03-26
11,l**2,颜色分类: 10吋蓝牙手提版标配,好评,包装很完整，做工非常精细，材质很厚实，音质清晰。,-,-,2021-06-26
12,t**6,颜色分类: 10吋蓝牙手提版标配,好评,大屏高清，音质清晰，我们大家可以更尽兴的跳舞唱歌了，质量真的很不错,-,-,2021-06-25
