数据下载时间：2021-06-27 19:11:37 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/628703283901/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,y**6,颜色分类: 单拍特权不享受权益,好评,"整体评价：06-22 0人浏览0人觉得有用免打扰  非常好，外观太漂亮了，选了好几家，最终选方太,实体店太贵了，现在61 8做活动太划算了，老公说太好了，以后都用方太的，煤气灶也特别漂亮，618做活动便宜一半，给力，下次活动再买买别的，感谢老板，快递服务也好，还没安装，等安装看效果。高端大气_上档次。好用再来追评 做工质量：好 产品性能：好 容量大小：大 ",-,-,2021-06-22
2,直**逢,颜色分类: 单拍特权不享受权益,好评,外观好看 很好用 推荐购买,-,-,2021-06-25
3,g**i,颜色分类: 单拍特权不享受权益,好评,拍下了这个福袋，送了个口袋杯，很可爱呢，买的是方太的热水器，一直很信赖这个品牌，安装师傅态度热情，安装好试用了一下，水温稳定，使用效果也非常满意，好评！ ,-,-,2021-06-13
4,l**3,颜色分类: 单拍特权不享受权益,好评,旧机换装，颜值很可，今天安装后的第一次使用，非常满意，声音在可接受范围内，家里也闻不到油烟味了，服务也很棒 ,-,-,2021-06-14
5,开**y,颜色分类: 单拍特权不享受权益,好评,油烟机安装好了，外观挺高大上，油烟也吸得很干净，今天煮了鱼，一点都没油烟味，好用,-,-,2021-06-22
6,s**0,颜色分类: 单拍特权不享受权益,好评,旧机位置换新机，尺寸安完刚刚好。,-,-,2021-06-21
7,z**3,颜色分类: 单拍特权不享受权益,好评,拿到了，今天师傅上门安装，细致。安装完成还把所有的垃圾带走，房子还在装修，细心的用油布把机子盖好非常好。期待入住后使用,-,-,2021-06-13
8,若**皮,颜色分类: 单拍特权不享受权益,好评,很好用，油烟全部吸走，清洗也很方便，磁铁吸的，拿下来就可以清洗，很好 ,-,-,2021-06-20
9,j**雯,颜色分类: 单拍特权不享受权益,好评,使用了一周，东西很好，吸力大，物流超快，安装师傅操作熟练，而且还做了台面清洁 ,-,-,2021-06-22
10,j**6,颜色分类: 单拍特权不享受权益,好评,这是用了好几天的样子，超级好用，妈妈很喜欢！,-,-,2021-06-24
11,岚**龙,颜色分类: 单拍特权不享受权益,好评,很不错  质量很好  物流很快 就是安装有些贵 ,-,-,2021-06-22
12,t**6,颜色分类: 单拍特权不享受权益,好评,"之前的止烟阀是开发商之前做的 感觉不是很好 又让师傅带一个过来换了一个 安装很快 因为还没有电,就没试验, 等安装完了看看效果 应该不会差 之前对比了很多的品牌 感觉方太确实可以 老品牌了不会差",-,-,2021-06-23
13,s**1,颜色分类: 单拍特权不享受权益,好评,整体评价：还不错！ 外形外观：简约好看！ 产品性能：尚未使用，具体使用效果未知！ ,-,-,2021-06-19
14,一**学,颜色分类: 单拍特权不享受权益,好评,清洁方便，火力够大，颜值高 ,-,-,2021-06-20
15,l**e,颜色分类: 单拍特权不享受权益,好评,此用户没有填写评价。,用了一段时间才过来评价，特别好用，颜值很高，安装师傅也比较细心，五星好评,-,2021-06-18
16,我**9,颜色分类: 单拍特权不享受权益,好评,挺好挺不错的，一些东西确实要在淘宝买，挺不错的。便宜经济实惠。挺好挺不错的。棒棒棒 ,-,-,2021-06-25
17,8**社,颜色分类: 单拍特权不享受权益,好评,吸油烟强，安装师傅专业,-,-,2021-06-23
18,心**3,颜色分类: 单拍特权不享受权益,好评,外观精致，好看 ,-,-,2021-06-14
19,缘**5,颜色分类: 单拍特权不享受权益,好评,房子在装修中就买了好几件，相信方太的大品牌，物流迅速，售后告知周到及时。待装修完再预约安装，品质创造美好生活！,-,-,2021-06-14
20,南**～,颜色分类: 单拍特权不享受权益,好评,和洗碗机一起拍的，很优惠，洗碗机还没安装上，期待好用！！！,-,-,2021-06-21
21,g**2,颜色分类: 单拍特权不享受权益,好评,太高大上了,-,-,2021-06-19
22,s**g,颜色分类: 单拍特权不享受权益,好评,收到一个好可爱的哆啦A梦的口袋杯 ,-,-,2021-06-20
23,g**7,颜色分类: 单拍特权不享受权益,好评,方太无论是产品还是售后还是客服，都很棒，会继续光顾,-,-,2021-06-17
24,邻**人,颜色分类: 单拍特权不享受权益,好评,整体评价：划算 做工质量：质量好 产品性能：质量好 容量大小：动力大  外形外观：漂亮 ,-,-,2021-06-16
25,李**1,颜色分类: 单拍特权不享受权益,好评,装好了还没用，服务不错 ,-,-,2021-06-23
26,拥**秋,颜色分类: 单拍特权不享受权益,好评,很好 款式好 吸力强,-,-,2021-06-24
27,恋**鸟,颜色分类: 单拍特权不享受权益,好评,口袋杯挺好的,-,-,2021-06-22
28,h**0,颜色分类: 单拍特权不享受权益,好评,安装好了，还没使用，客服态度好，安装师傅也很热情 ,-,-,2021-06-25
29,骑**呀,颜色分类: 单拍特权不享受权益,好评,支持方太！品质很好，值得信懒！ ,-,-,2021-06-21
30,t**9,颜色分类: 单拍特权不享受权益,好评,特别满意，好评必须好评,-,-,2021-06-20
31,t**p,颜色分类: 单拍特权不享受权益,好评,福意满满，小竹客服很贴心，很热情，“找小竹” ,-,-,2021-06-20
