数据下载时间：2021-06-28 13:01:33 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/619862167474/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,陈**1,颜色分类: 【轿化旋钮】180分钟内任意倒计时-静音版（无常通模式）,好评,定时器质量很好，漂亮美观，价格实惠，物美价廉，值得购买。 ,质量很好，价格实惠，物美价廉，值得购买。,非常感谢亲的支持与肯定哦！您的满意是对我们最大的支持！ 每一个客户，我们都将心比心；每一笔交易，我们都恪尽职守；每一个评价，我们都心怀感恩！用最真诚的心换取您的认可，得到您的信任！祝您生活愉快~！,2021-06-23
2,t**7,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,用了两晚了，确实很方便，自动停止电源定时也很准确。我的电扇定时是那种卡拉卡拉机械的，夜里用很烦人，看到这个就买来试试。一点噪音都没有，非常好。 ,-,-,2021-06-23
3,x**1,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,这个定时开关不错，小巧方便，需要用电几个小时，一旋就可以了。研究了一下里面好像有个小马达，只有插入电源这个定时器才会走动，如果有个指示灯就更好了。 ,-,-,2021-06-26
4,我**4,颜色分类: 24小时循环定时开关,好评,操作难易：操作简单   做工质量：质量还可以 产品材质：用料不错 外形外观：美观不失大雅 ,-,-,2021-06-21
5,t**5,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,这款简单好操作，我就给风扇定时，精确点就好了，实惠 ,-,-,2021-06-25
6,心**5,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,良心商家，第一个发的有点小毛病和客服说了一下，下午就补发了一个，定时器非常好用，定时准确没有声音，以后再也不用担心电动车充电过充了 ,-,-,2021-06-22
7,t**3,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,我已试用了几天，走时准确，确实能控制电动车，充电的问题了，比数字的耐用，希望有用的赶紧购买,用了几次，效果不错，计时很准，以后电动车不会充股了，有需要的就买吧,非常感谢亲的支持与肯定哦！您的满意是对我们最大的支持！ 每一个客户，我们都将心比心；每一笔交易，我们都恪尽职守；每一个评价，我们都心怀感恩！用最真诚的心换取您的认可，得到您的信任！祝您生活愉快~！,2021-06-19
8,c**7,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,放在床头的小桌子上给手机定时充电，可以定时几十分钟避免手机过充很好，不过用了十几天定时器就有点小小吵音了，放在床头安静的时候是可以听到的，刚开始的时候还没有，可能是机械款都有这小吵音吧，希望这吵音不要越用越大就好，好评！ ,-,-,2021-06-22
9,小**y,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,用了几天暂时没有问题，做工还可以插拔紧密不松动，不知道寿命如何，价格实惠性价比很高值得推荐购买五分好评。 ,-,-,2021-06-18
10,t**1,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,买给家里人用的，定时功能非常好用，煮粥或者给手机充电，再也不用担心时间了，幸福感满满 ,用了后家人反馈说很好，操作简单，功能强大。,非常感谢亲的支持与肯定哦！您的满意是对我们最大的支持！ 每一个客户，我们都将心比心；每一笔交易，我们都恪尽职守；每一个评价，我们都心怀感恩！用最真诚的心换取您的认可，得到您的信任！祝您生活愉快~！,2021-06-20
11,t**2,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,倒计时充电器收到了，比想象还要高，可以常通，也可以倒计时，喜欢,-,-,2021-06-26
12,t**0,颜色分类: 【轿化旋钮】11小时内任意倒计时-3C认证防雷版,好评,包装买精致的，之前买过。,-,-,2021-06-20
13,酒**9,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,收到货后拿来试用电动车充电，调了6个钟自动断电挺不错，再也不怕电池充过头了，还可以用来插充电器充手机，可以，一次愉快的购物 ,-,-,2021-06-16
14,1**缘,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,感恩南无僧伽吒经！感恩商家和厂家，买回家给老爸充电动车用的，简单操作，还没开始用 ,-,-,2021-06-21
15,指**2,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,做工质量：精致大气 产品材质：塑料、铜 外形外观：美观大方实用 操作难易：使用方便，定时准确，到时自动断电 ,-,-,2021-06-16
16,t**5,颜色分类: 24小时循环定时开关,好评,挺好的，可以定开定关，价格实惠 ,-,-,2021-06-25
17,风**x,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,可以用。价格比较实惠。但做工没有某牛的那么好，那个旋钮有点松。但比较安静的。,-,-,2021-06-26
18,m**8,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,操作难易：简单 做工质量：还可以 产品材质：还可以 外形外观：还好，略宽了一些。 ,-,-,2021-06-20
19,树**丁,颜色分类: 【轿化旋钮】11小时内任意倒计时-3C认证防雷版,好评,定时开关，定时非常准确，几乎没有声音，物美价廉，非常划算。 ,-,-,2021-06-24
20,t**2,颜色分类: 【轿化旋钮】11小时内任意倒计时-3C认证防雷版,好评,很管用，做工精细，五星好评,-,-,2021-06-26
21,l**2,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,宝贝东东，品质不错，做工精细，材质最好，款式新颖，值得购买。,-,-,2021-06-21
22,笋**谋,颜色分类: 【轿化旋钮】11小时内任意倒计时-3C认证防雷版,好评,发货快捷，物流给力。货品质地不错，外形美观，功能正常。,-,-,2021-06-24
23,t**1,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,等用一段时间再来追评哦 ,-,-,2021-06-20
24,人**人,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,定时器收到了试用了一下效果挺不错的，希望能用的久一点 ,-,-,2021-06-17
25,唐**1,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,巧妙的设计，物美价廉，非常实用 ,-,-,2021-06-26
26,t**8,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,非常满意，虽然几块钱的东西，但是看上去没有一点粗糙感！有需要的朋友可以放心购买了,-,-,2021-06-23
27,成**2,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,定时开关很好，时间还准确，下次还买。,-,-,2021-06-26
28,p**k,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,试过，可以。好评！,-,-,2021-06-26
29,t**1,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,没有异响，很静音，定时准确方便，好东西,-,-,2021-06-20
30,天**福,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,宝贝收到了，非常漂亮，试用几天看看效果 ,-,-,2021-06-24
31,大**7,颜色分类: 【轿化旋钮】11小时内任意倒计时-标准版（无常通模式）,好评,收到了产品，看来挺好用的！顺时针拨动订2小时，到时就自动停止，,-,-,2021-06-22
32,h**6,颜色分类: 24小时循环定时开关,好评,有了这个不怕过冲，不怕忘了时间，安全方便。,-,-,2021-06-25
33,曾**3,颜色分类: 【轿化旋钮】22小时内任意倒计时-静音版（无常通模式）,好评,使用了一周还算不错吧 质量可以 ！ ,-,-,2021-06-16
34,t**0,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,效果不错，值得拥有。,-,-,2021-06-20
35,t**3,颜色分类: 24小时循环定时开关,好评,-时控较准，小巧玲珑，使用方便。,-,-,2021-06-19
36,天**车,颜色分类: 【轿化旋钮】180分钟内任意倒计时-静音版（无常通模式）,好评,好，方便易用 ,-,-,2021-06-17
37,张**军,颜色分类: 【轿化旋钮】180分钟内任意倒计时-静音版（无常通模式）,好评,真好用，电风扇定时器坏了用这个代替,-,-,2021-06-26
38,吾**收,颜色分类: 10小时内任意倒计时-2插插孔 冲量特价！每人限购2台！,好评,方便保险,-,-,2021-06-21
39,好**0,颜色分类: 【轿化旋钮】180分钟内任意倒计时-静音版（无常通模式）,好评,小东西解决大问题！家里的蒸蛋器没水后会继续保温，干烧，害得都不敢大胆出门，有了定时器，放心出街 ,-,-,2021-06-16
40,t**1,颜色分类: 【轿化旋钮】11小时内任意倒计时-静音-3C认证版,好评,物有所值，定时准确，没有声音，不影响休息,-,-,2021-06-20
41,里**0,颜色分类: 【轿化旋钮】180分钟内任意倒计时-静音版（无常通模式）,好评,操作非常简单，走时很准确，物美价廉，希望耐用 ,不错，非常好用,每一个点击，每一次对话，每一秒等待， 您和我都会走的更近一步。 有您的支持，我们的团队会变得更加充实而快乐。亲亲有什么问题也可以随时联系我们的在线的客服MM，相信我们店的品质和我们的服务一定会给您带来美好的体验。祝您天天开心，生活愉快！,2021-06-16
