数据下载时间：2021-06-27 18:30:28 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/574330927921/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,t**1,颜色分类: 白色,好评,外观很漂亮，还能折叠起来。以前用素士的，这个风没有素士大，但头发吹完也没有素士毛躁，而且便宜几十块，挺好的 ,-,-,2021-06-23
2,l**8,颜色分类: 白色,好评,好看的香槟色，用过几次还不错，冷热大小都可以调，满意！代言人同款真不错 ,-,-,2021-06-21
3,m**涵,颜色分类: 白色,好评,宝贝和介绍的一样，质感很好，功能强大，用了感觉不错。开了强劲挡很快就吹干了 ,-,-,2021-06-24
4,t**1,颜色分类: 白色,好评,此用户没有填写评价。,冲着代言人蔡徐坤买哒！真的很不错唉！不会很干燥，而且风力也很大，像我这种头发多的几分钟就吹干了！真的很不错，友友们真的可以值得入手！,-,2021-06-23
5,趁**g,颜色分类: 白色,好评,外观材质：材质滑滑的 很舒服 护发功效：有几个档位可供选择 非常护发 风量大小：很舒服的风 ,-,-,2021-06-23
6,s**0,颜色分类: 白色,好评,电动牙刷，电吹风必须买！松下大品牌，跟着坤坤买同款！ ,-,-,2021-06-22
7,s**0,颜色分类: 白色,好评,声音小，温度刚好合适，配色手感都好，声音大小可调，细节非常不错服务好,-,-,2021-06-22
8,智**a,颜色分类: 白色,好评,外观材质：质量好，风大，不伤头发 ,-,-,2021-06-25
9,胭**离,颜色分类: 白色,好评,很好用 吹出来的风非常柔和 很快就吹干了 吹完头发不毛躁 很顺滑 说是含有负离子的 款式也很简洁大方 这款锤风口很方便 头发不会搅进去,-,-,2021-06-14
10,s**3,颜色分类: 白色,好评,Nice就完了！好耶好耶好耶好耶好耶好耶！好耶好耶好耶好耶！ 外观材质：精致 护发功效：有效果 风量大小：可以 ,-,-,2021-06-20
11,t**9,颜色分类: 白色,好评,之前是因为代言人蔡徐坤而第一次购买松下吹风机，用后感觉特别棒！是真的！吹的时候感觉很好，吹完头发都有自然卷度，很温和！不像我以前用的吹风机那样吹完头发，很明显头发干燥，尤其是发尾很干燥的！这个松下吹风机确实很温和！赞一个！ ,-,-,2021-06-15
12,z**3,颜色分类: 白色,好评,吹风机很好，第二次购买，也是帮邻居带的，这款安利给了好多朋友，值得购买 ,-,-,2021-06-18
13,请**4,颜色分类: 白色,好评,为了代言人买的，拿到快递迫不及待的使用了，东西比我想象中的还要完美，风是特别温和那种，效果真的特别好，不愧是蔡徐坤推荐的，开心。 ,-,-,2021-06-18
14,t**者,颜色分类: 白色,好评,试了下蛮好的，多档调节很合适，声音都可以接受，后面如果有需要还会继续回购的。,-,-,2021-06-20
15,回**里,颜色分类: 白色,好评,选择了好久，选了这款电吹风，性价比很高，非常好用，一次愉快的购物。,-,-,2021-06-23
