数据下载时间：2021-06-27 10:18:33 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/523912724195/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,黄**y,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,竹炭包收到了，买的是组合套餐，收到包装完好无损，满满的一箱，全部都一起放进车里使用了，竹炭包和赠品炭狗狗的外观都很可爱，好看，招人喜欢 ，非常不错！,炭包用了几天了，能感觉到异味确实减少了，是布袋包装的，外面还有一个透明包装，单独包装很不错，这家确实不错。不像之前买过的一家，赠品很小质量不咋地，价格还高，最主要用了后一點效果都没有。所以又买了这家，没有异味，外形挺可爱，装饰刚刚好。,-,2021-06-22
2,红**朵,颜色分类: 600g【纳米矿晶】300g/袋x2袋+送1只竹炭狗.,好评,整体评价：刚到还没有使用，但是看着就不错，竹炭包份量足，拿着都比较重，希望效果好 ！碳包外包装挺好看的，公仔也很可爱，价格实惠，质量不错！质量非常不错，很大一包，价钱实惠，希望可以尽快除完味  ,车载炭包质量非常不错，很大一包，价钱实惠，买了很多包，希望可以尽快除完，性价比也很高，放到车上几天，车上味道减弱了，之前还担心没有效果，果然担心是多余的，哈哈,-,2021-06-22
3,t**0,颜色分类: 活动款50克翠绿小包一包.,好评,"产品材质：包装就那样🌂,但是看着就不错🌀,使用起来很方便🌅,收到货很快🌇,相对来说还不错☔,色彩和印刷质★量包括纸张都可以普通包装🌇,狗狗不是全竹炭🌀,趣味是真的好🌄,评价和销量都不错☁,！碳包外包装挺好看的🌄,果断的點个好评⛄,放足够的活性炭效果杠杠的🌅,快递小哥态度很好⚡ ",-,-,2021-06-13
4,吾**偶,颜色分类: 整箱1000克（2大包）送1只竹炭狗-简装,好评,自我感觉这个竹炭包的效果还是挺好的，东西还不错，物流也快，收到打开特意闻了下没有异味，图案漂亮，放车上挺好看，净味效果好，还会再光临,车载炭包质量还是挺不错的，用了几天挺满意，也挺管用，放了几天，车里的味道确实没有那么重了，难闻的异味少了挺多，还在继续放着，相信会有更好的效果,-,2021-06-22
5,h**g,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,新买一辆车，唯一美中不足的就是室内空气有点呛，能理解，新内饰么没有通过风有气味很正常，我也不担心，毕竟之前那辆车有过经验，放足够的活性炭效果杠杠的，这次也不例外，不过换了一种包装让视觉也新鲜，分量挺足。,包装漂亮很干净，没有什么特别的味道。去除车里的气味挺好的，现在感觉空气清新了很多。袋子上面的图案也特别的好看，可爱，也可以放在车里当装饰品还不容易损坏，挺好的，需要的可以选购,-,2021-06-14
6,x**8,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,这个竹炭包性价比很高，很不错，包装和袋子的图案太好看了，狗狗不是全竹炭，但是是可爱的小玩偶，挺漂亮好看，没有异味，收到好几天也用了好几天了，相对来说还不错，能起作用，质量也不错  ,拿到使用感觉很好，竹炭包质量不错，放在车上使用也很方便，袋子挺大的一个，很厚实非常方便，设计比较方便，很实用。袋子颜色清新好看，炭包也确实很好用，比一般的好用多了，之前也买过其他家的，但是总感觉还差點，这家挺不错,-,2021-06-19
7,崔**3,颜色分类: 4400g【新车快速除味推荐】【8袋纳米矿金+4包小猪】【送好礼】.,好评,新车买来味好大，买来试试。最近有空就打开窗户通风，配上这个，发现味道淡了很多。炭包的包装很漂亮，可以在车上当个装饰，使用很方便，可以随意的摆放，送的小狗狗很好看，萌萌哒,这个竹炭包效果确实挺不错的，去除味道很明显，包装也好看 ，没有什么特别的味道。去除车里的气味挺好的，现在感觉空气清新了很多 ，挺好的，想买车里除味炭包的可以放心购买,-,2021-06-14
8,莱**1,颜色分类: 整箱2500克（5大包）送2只竹炭狗-简装,好评,炭包收到，包装完好无破损，发货迅速，收到产品和想象中的一样，希望能赶快除异味 ,很好这下终于可以改善下车里的空气质量了，真心不错，价格也不贵。推荐购买。,-,2021-06-25
9,孙**2,颜色分类: 活动款50克翠绿小包一包.,好评,"qaq感觉☁甲醛少了也放心了很多,有实力的厂家！尤其是这个东西用的时间长🌀8,下次有需要🌀还来这里购买,到⚡货速度快,车内空气☔质量要,朋友推荐买的他们家的炭⛄包",“超级划算！！看我晒图！！”,-,2021-06-16
10,紫**1,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,车子里面味道很浓，买炭包来吸一下，没想到效果真的蛮好，本来放了香水、水果这些都没什么用，效果不好，用过炭包之后现在车子没那么重的异味了，感觉甲醛少了也放心了很多，主要是孩子经常要坐车，车内空气质量要，非常不错的产品,产品使用下来效果不错，这次买来放在旧车上，用了这款产品味道降了很多，说明产品效果出来了，还很好的，吸附力好。包装袋很好看，车里随意摆放。价格不贵，蛮喜欢,-,2021-06-09
11,妖**成,颜色分类: ★【增强型】卡通1800g高效活性炭【6中包】送2只炭狗+检测盒1个,好评,需要除甲醛产品，都回来这家店铺购买，产品效果依旧那么好，特别是除甲醛除异味。用了几天，车内就好很多，吸附能力好。产品外观简约大方，很适合放在车里用，大小也刚刚好。,新车合适用，炭包一收到就全部放在车里了，车门凹槽、后备厢都放了。这款产品真的好用，去除异味和甲醛，效果非常明显，现在我车里已经没有任何味道了。都很好看！需要直接下单,-,2021-06-11
12,z**1,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,包装漂亮很干净，没有什么特别的味道。去除车里的气味挺好的，现在感觉空气清新了很多。袋子上面的图案也特别的好看，可爱，也可以放在车里当装饰品还不容易损坏，挺好的，推荐购买。 ,车里有难闻气味，产品收到放了一段时间，到现在车子里那种不喜欢的味道淡了很多，车里闻起来没那么刺鼻，清新很多，比我以前买的其他的要好很多。这款产品吸附力好，整体是比较满意，可以购买。,-,2021-06-08
13,流**尊,颜色分类: 【奋斗柴犬-阿财】【2000g/4大包】+送竹炭狗.,好评,汽车除味炭包收到货了，看到质量包装各方面都挺不错的，用了几天效果也挺好的，车里味道少了好多，很不错的产品，很赞。挺实惠的，会一直使用着，下次再来。,放车里效果好，真是没想到这家的炭包这么给力呢，用了几天，味道就有明显的下降。车里原来不舒服的气味明显小了。这家有那个证书，卖家还很贴心的推荐了使用量和使用方法，炭包真的不错，可以放心选购,-,2021-06-13
14,青**空,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,收到货很快，炭包分量感十 ，足车里的角角落落都放了一些，多用點希望能快點改善车里的空气质量，车里放了这个才能空气质量好很多，必须好评, 袋子我喜欢，自己也喜欢简单大气的包装，不喜欢太复杂的，这个炭包第一眼就看上了。然后收到货非常不错，手感也好，产品用了几天，效果也是非常不错的，甲醛有下降，异味也小下来了。,-,2021-06-12
15,尘**6,颜色分类: 3200g【新车中度污染推荐】【4袋纳米矿金+4包小猪】【送好礼】.,好评,长时间开车气味大，放了活性炭。朋友挑的款式，我付的钱。有眼光吧！炭包放在车上样子挺不错的，重要的是净化空气效果挺好的 ，使用起来很方便，净化空气特别好，推荐使用 ,产品用过一段时间异味明显好了很多，效果不错。不管是外观还是质量方面都很好，一袋一袋放车里很美观，大小合适不占地方。老板发货也快，今天朋友看到了喜欢问哪里买的，分享给她了。,-,2021-06-13
16,t**0,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,车载除味竹炭包收到货了，感觉 质量非常不错，很大一包，价钱也挺实惠的，买了很多包，希望可以尽快除完味 车里面的异味，有一个健康舒适的车内环境 ,这款专利产品用了几天，效果真不一样，现在车里味道真的小了很多。应该不是心理作用，家里人也这么说了，味道小了。效果很好，推荐购买这款产品，老板发货速度快,-,2021-06-13
17,战**釜,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,用了1周无明显变化，车内味道改变不大。加之给我的货5包2包破损，用不上，赠品1只可用，1只破损，漏到座垫上，还不好清除，只有洗车店用吸尘器吸掉。总的感觉一句话“便宜无好货”。,-,-,2021-06-25
18,春**5,颜色分类: 活动款50克翠绿小包一包.,好评,其实我收到的就是一小包，具体好不好我也不知道，毕竟我现在没用不知道，包装就那样，全是还行吧，普通包装，内容丰富，内容不知道，没问孩子，色彩和印刷质量包括纸张都可以普通包装，内容丰富，内容不知道，没问孩子，色彩和印刷质量包括纸张都可以 ,-,-,2021-06-23
19,j**1,颜色分类: 卡通整箱1800克（6中包）送2只竹炭狗,好评,对比了几家最后在这家购买了，评价和销量都不错，款式和质量都喜欢，价格也便宜，箱子上的生产日期到现在才二十多天，有实力的厂家！尤其是这个东西用的时间长，质量也好，放车里净化空气好 。 ,自己用了几天的，效果好明显，今天开车车里味道小了，不愧是专利产品，母婴安全。也喜欢这个样式包装，袋子漂亮扎实。物美价廉，好产品。,-,2021-06-03
20,t**3,颜色分类: 1200g【微型小车】300gx4袋+送2只竹炭狗.,好评,车里除味炭包到货了 东西真的是很实在，物流也非常的快，每袋都是独立的密封包装，拆开密封包装是透气袋，袋子不大但份量很足，放起来不占地方，总的来说还是不错的。  ,这家竹炭包用了挺满意的，也挺管用的，对于除味除甲醛确实有用，产品没有小碎屑，，放车里也好看，放了几天，车里味道没那么重了，继续放着，效果一定会更好的,-,2021-06-15
21,熊**3,颜色分类: 活动款50克翠绿小包一包.,好评,迷你型翠绿小包收到货咯、放在家里备用。 ,-,-,2021-06-24
22,l**0,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,汽车除味炭包收到了，感觉这个竹炭包的挺好的，看着不错，物流也快，收到打开特意闻了下没有异味，图案漂亮，放车上挺好看，净味效果好的话，还会再光临,这个竹炭包性价比很高，很不错，包装和袋子的图案太好看了，狗狗不是全竹炭，但是是可爱的小玩偶，挺漂亮好看，没有异味，收到好几天也用了好几天了，相对来说还不错，能起作用，质量也不错,-,2021-05-30
23,2**g,颜色分类: 整箱2500克（5大包）送2只竹炭狗-简装,好评,前一段买的另外一款竹炭不是太好，同事介绍又买的这家的炭包，收到就放车里了 这几天发现以前那种刚打开车门很冲的感觉有明显好转，味道也小了。样子也很高端大气的！挺满意的,炭包已经试用过了，感觉的到车内味道变小了，前些天经常下雨，开车时都不能开窗，现在好了，使用了炭包后味道没那么大了，不开窗也没有刺激的感觉！简简单单很好看，物美价廉！,-,2021-05-27
24,极**归,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,炭包到货完好无损，到货速度快，客服态度好，送的狗狗也很好看很可爱很漂亮，可以放在后座上，买了不少炭包，我这异味可以去除了，开心,拿到使用感觉很好，竹炭包质量不错，放在车上使用也很方便，袋子挺大的一个，很厚实非常方便，设计比较方便，很实用。袋子颜色清新好看，炭包也确实很好用，比一般的好用多了，清新的图案很喜欢，这家的炭包不错,-,2021-05-28
25,非**1,颜色分类: 【奋斗柴犬-阿财】【2000g/4大包】+送竹炭狗.,好评,价格合适，效果明显！推荐入手！,-,-,2021-06-21
26,樊**1,颜色分类: 整箱2000克（4大包）送4只竹炭狗-简装,好评,炭包收到，包装完好无破损，发货迅速，收到产品和想象中的一样，希望能赶快除异味，物流服务、卖家服务、客服服务给个好评先，再冲着产品赞一个,炭包袋子实用好看，车里味道有點难闻，碳包已全部放到车里了，用了几天下来效果还不错，是真的有用，吸附味道效果好，汽车的味道有明显减少。,-,2021-06-03
27,6**生,颜色分类: 活动款50克翠绿小包一包.,好评,整体评价：这款宝贝收到了！包装完好👌🏻，这个不错，商家快递都给他们5星好评！ ,-,-,2021-06-24
28,夕**c,颜色分类: 1200g【微型小车】300gx4袋+送2只竹炭狗.,好评,炭包挺好的，很满意，物流很快，快递小哥态度很好。没想到这个价格能买到这么好的产品，果断的點个好评，下次有需要还来这里购买,产品不错，分量很足，不会掉粉，车里都可以摆放。用了一段时间了，再打开车门车里不好闻的味道小了不少，开车的时候会打开窗户让车里空气也循环一下，不得不说下这个炭包小宝宝也可以用，安全环保，挺不错的,-,2021-06-06
29,戚**清,颜色分类: ★【增强型】2500g高效活性炭【5大包】送2只炭狗+检测盒1个,好评,本来车里没有什么味道，前几天酒喝多了，吐在车上了， 洗车洗了几次也没有多大作用，用了这个几天了效果就很明显，那股酒精的臭味终于清淡了很多了，车内异味重的真的是可以放心购买,亲测有效，进车里可以顺畅呼吸了，哈哈，刚开始进车里时空气质量真的很差，味道大的都不敢呼吸，车里味道大的小伙伴可以放心购买，质量和品牌都可以放心，一定要坚持使用效果真的非常明显的，包装不容易破损，漏气，需要会回购该产品！,-,2021-06-09
30,萧**5,颜色分类: 整箱1000克（2大包）送1只竹炭狗-简装,好评,好吧 就是这么个迷你小玩意儿,-,-,2021-06-25
31,z**9,颜色分类: 活动款50克翠绿小包一包.,好评,竹炭包很好，包装精美使用方便净味效果很好价格实惠，好评！ ,-,-,2021-06-25
32,t**2,颜色分类: 1200g【微型小车】300gx4袋+送2只竹炭狗.,好评,长时间开车气味大，买了这款除味炭包，朋友挑的款式，我付的钱，有眼光吧！炭包放在车上样子挺不错的，重要的是净化空气效果挺好的 ，使用起来很方便，净化空气特别好，推荐使用，可以放心购买  ,真的是抱着试试的心态买的，我的车味道真的是挺大的，我鼻子比较敏感，但放了这个之后味道真的是减轻很多，真心推荐这家炭包，颜值和作用真是超值。性价比很高，需要车里面除味炭包的，可以放心选购,-,2021-06-20
33,微**8,颜色分类: 1200g【微型小车】300gx4袋+送2只竹炭狗.,好评,使用体验：趣味 效果很好 。已经用一天车里味道少很多。趣味是真的好 。需要的宝宝们下单吧 ,-,-,2021-06-19
34,m**2,颜色分类: 活动款50克翠绿小包一包.,好评,价廉物美值得拥有 ,-,-,2021-06-25
35,雁**1,颜色分类: 活动款50克翠绿小包一包.,好评,不错值得购买质量很好 ,-,-,2021-06-24
36,s**2,颜色分类: 活动款50克翠绿小包一包.,好评,包装很好，物流很快，就是不知这一小包，丢进冰箱会不会被异味淹没😊 ,-,-,2021-06-25
