数据下载时间：2021-06-27 18:46:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/644844096131/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,柒**唧,长度: 0.2m 颜色分类: 银色/TYPE-C3.0接口【文件传输/移动硬盘/U盘等】,好评,商品与华为无半点关系，目测某工厂伴生产品，接口金属松动，做工一般，便宜没好货，有感兴趣的建议买运费险，否则退货自己垫付十几块运费,以前在淘宝买东西都是系统自动好评，后来才知道淘宝评论得积分可以涨淘气 值，才知道评论的重要性。,-,2021-06-24
2,6**y,长度: 0.2m 颜色分类: 灰色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,"宝贝收到了，质量看着不错，使用过程中不会发烫，转换出来信号稳定，插口比较紧，不容易松动，太给力了，物美价廉，价格实惠宝贝又好用，体验感也足够了，还回购个送朋友了。喜欢 好看 和电脑正好搭起来 硬盘上传速度快,加上细节图哟，外观真的可以，再也不用担心没接口使用。",-,-,2021-06-22
3,t**5,长度: 0.2m 颜色分类: 黑色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,此用户没有填写评价。,非常匹配我的苹果电脑，又小方便携带，可以出差装到包里面，买这个正好解决电脑没有U**接口的困扰，做工精细，方便了很多，个人比较喜欢把东西放在U盘里，带电脑，就可以用这个把一些素材什么的直接放进U盘里，很方便携带,-,2021-06-14
4,t**5,长度: 0.2m 颜色分类: 灰色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,插口很很稳不会松动，细节做得都挺满意的不错粗糙，即插即识别，反应灵敏，速度还挺快的，使用过程中不会发烫。比较好用，而且可以再多几个插口，我用的很方便，电脑接口不能接U**，这个转换器用的刚刚好，传输速率挺快的,-,-,2021-06-14
5,y**5,长度: 0.2m 颜色分类: 灰色/TYPE-C3.0接口【文件传输/移动硬盘/U盘等】,好评,挺好用的 4个孔都是好的 插上U盘反应很快 平时工作时同时插三个U盘和一个打印机 都没问题 没有出现其他评论里那些情况 晚上下的单，第二天下午就送到了，就这发货速度都值得五星了，这样的性价比真的物有所值！由于是放车上用的，原来还怕太长了不好放，收到一看这迷你的身段，简直太合适了，接了一行车记仪，一迷你加湿器，一手机充电，效果杠杠滴！好评,-,-,2021-06-22
6,c**8,长度: 0.2m 颜色分类: 灰色/TYPE-C3.0接口【文件传输/移动硬盘/U盘等】,好评,跟我的笔记本也太搭配了，好喜欢这个小小的分线器，跟我整个小清晰风格太搭了吧，哈哈哈，试用了，三个小时没有发烫，插口跟我笔记本也很吻合，不松不紧刚刚好，简直不要太合适，试插了U盘导照片，传输速度快，没有问题，小巧实用,-,-,2021-06-23
7,没**3,长度: 0.2m 颜色分类: 灰色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,质量很好，快递很快，银色很美观，是我想要的样子，也是很小巧没错，跟卖家描述一致，材质的确是合金材质的，质感很赞，收到暂时试用了一下，没有发烫现象，我是本来是用来接MacBook air的，但是我电脑不在 ，然后我直接接了下充电头和充电线试了下，直接可以用来当多口充电器用，然后我又接了下手机和U盘，传输速度也可以，等我回家试过电脑好用的话会推荐同事过来买,-,-,2021-06-24
8,你**5,长度: 0.2m 颜色分类: 黑色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,喜欢，刚拿到的时候，就连外包装都让我感觉好好看，可以，开开后，东西没有让我失望，是我想象中的样子，给赞，以后有需要再继续关注他们家的商品~~收到了这个USB分线器，非常满意，很好用，收到就用上了，超级方便，直接插在电脑上就可以了，价格也实惠,-,-,2021-06-15
9,珍**e,长度: 0.2m 颜色分类: 灰色/TYPE-C3.0接口【文件传输/移动硬盘/U盘等】,好评,宝贝不错比想象中还要好很多，拷贝10G文件不用一分中，好用了，供电跟原装的一样快，不错，识别度很高插上就可以使用，东西也买了挺多的，真的挺不错的。对于在公司用打印机的方便很多,-,-,2021-06-23
10,琦**4,长度: 0.2m 颜色分类: 灰色/USB3.0接口【文件传输/移动硬盘/U盘等】,好评,方便了很多，个人比较喜欢把东西放在U盘里，又不喜欢带电脑，就可以用这个把一些素材什么的直接放进U盘里，很方便携带以后都不用担心接口不够用了，多接口的方便很多，基本什么都可以连接了，也不会发烫，连着手机玩，挺嗨的,-,-,2021-06-24
