数据下载时间：2021-06-28 13:47:51 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/621776237205/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,a**f,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,type-c数据线已收到性价比靠谱，5A快充性能好。使用结实方便。同类型蓝色购买多次，传输，充电均靠谱，支持快充。,-,-,2021-06-26
2,睿**7,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,红色圈有三个铜点(旧线)，紫色圈无铜点(新购线)快充线也买了用了好几条了，没搞过什么协议！！！从来都是买了就用，需商家给个说法,-,-,2021-06-26
3,l**6,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,正用着呢，还不错便宜用着还行好用。,-,-,2021-06-09
4,t**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,用优惠券0元购，接触不算太灵敏，有时是普通充电有时是超级快充。全五星好评。,-,-,2021-06-18
5,思**9,长度: 2米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,此用户没有填写评价。,不好用，如果想边玩手机边充电，充电线一不小心就不充了，都气*了,-,2021-06-23
6,m**1,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,促銷款並不是5A，我買了，後悔了,-,-,2021-06-25
7,t**4,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,这数据线质量很好，下次继续购买,-,-,2021-06-26
8,t**4,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,超实惠还包邮，辛苦店家了，生意兴隆！,-,-,2021-06-26
9,老**猫,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,便宜😊，正好需要就备着，以后用的上,-,-,2021-06-25
10,月**7,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线不错，收到后试了试，确实充电快，👍,-,-,2021-06-18
11,t**0,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,做工精细，物流快，价格低廉，就是不知道质量怎么样？,-,-,2021-06-18
12,妃**7,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,充电老慢了，用快充的头配合也不行，不太建议购买,-,-,2021-06-25
13,国**人,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,这个数据线价格便宜质量还不错,-,-,2021-06-18
14,t**2,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,便宜是真便宜，而且确实是快充，物超所值！,-,-,2021-06-22
15,t**3,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,发货快物流也挺快的，价格经济实惠。,-,-,2021-06-25
16,放**筝,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,再接再厉更上层楼,-,-,2021-06-21
17,灵**冉,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线挺好用的，用于华为手机。,-,-,2021-06-23
18,林**0,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,一分钱一分货,-,-,2021-06-22
19,华**9,长度: 3米 颜色分类: Type-C/5A快充/象牙白/超值3条装,好评,非常好用，推荐给朋友买👍,-,-,2021-06-23
20,t**8,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,真的很不错，充电也很快，也很质量！,-,-,2021-06-22
21,缘**柳,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量很好，还是快充，有需要还会回购的,-,-,2021-06-21
22,又**啊,长度: 1米 颜色分类: Type-C/5A快充/象牙白/超值3条装,好评,便宜，挺好的,-,-,2021-06-25
23,s**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,数据线好用,-,-,2021-06-23
24,h**u,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,看的挺好，还没用，好用就行，习惯好评,-,-,2021-06-26
25,t**2,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,试了试，我的手机可以快速充电,-,-,2021-06-22
26,a**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,收到了还不错下回还来哈哈哈哈哈哈哈哈己收到。,-,-,2021-06-25
27,d**2,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,充电是没问题，传输还没试,-,-,2021-06-22
28,t**6,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量高，态度好！,-,-,2021-06-21
29,爱**灵,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,习惯性好评。但充电速度确实上不来，小米无法进入快充。,-,-,2021-06-19
30,t**9,长度: 1.5米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,此用户没有填写评价。,这不是快充数据线。,-,2021-04-25
31,磊**9,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,把手头的旧充电线换成这个新的，很明显，充电器发热正常，电流也上去了，希望这次的充电线能够用的长久。,-,-,2021-06-20
32,t**4,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,垃圾，充不进去电,-,-,2021-06-26
33,s**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,之前好像买过，还可以吧，性价比高，好评吧,-,-,2021-06-23
34,t**5,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,还可以，物美价廉,-,-,2021-06-17
35,洛**衣,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,短的带出门方便,-,-,2021-06-21
36,天**游,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,还不错，经济实惠，好用不贵，还会再来,-,-,2021-06-20
37,一**将,长度: 2米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,卖家发货及时 快递也很迅速 试了试也能用,-,-,2021-06-23
38,w**0,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,好好好好好确实不错。,-,-,2021-06-23
39,t**3,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,不用不贵，好用好用。,-,-,2021-06-25
40,蒲**1,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,使用优惠券购买一些生活用品。很划算。,-,-,2021-06-15
41,t**3,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,vivo差不了,-,-,2021-06-25
42,q**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物流和产品都不错，性价比高，赞赞赞👏👏👏,-,-,2021-06-26
43,t**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,价格实惠值得购买,-,-,2021-06-18
