数据下载时间：2021-06-28 13:18:01 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641945913514/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,w**e,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,买来送给女儿的，夏天特别实用。丫头很喜欢。比那个手持的要方便的多，而且很秀气，怪脖子上很好看，很时尚的感觉。不能陪娃身边，送这个，就像我一直陪着在一样。挺好的。 ,-,-,2021-06-23
2,w**宝,颜色分类: 松鼠【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,小风扇很可爱，很凉快，待机，如果是最大风速，也就是俩小时。冲着颜值去的…满意… ,-,-,2021-06-23
3,l**4,颜色分类: 松鼠【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,风力还是挺大的，很喜欢，也很小巧随身携带，图案也很好看 ,-,-,2021-06-21
4,羽**儿,颜色分类: 白又白【绿+绿】【两只装立减11元】三档风力·照明灯·持久续航,好评,风力效果：风力很强，用起来很舒服，宿舍的福音！ 便携性：很容易携带，挂在脖子上洋气又好看。 外观材质：材质很好，真的很喜欢了 ,充一次电能用好长时间，带着非常方便，夏日必备神器,-,2021-06-12
5,y**8,颜色分类: 福牛【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,可以挂脖子上，非常方便携带，挂绳是皮筋的，可以撑开挂脖子上松手后离脖子还是很近的，就不会耽误风力，外观真的太好看了，好可爱，还有小灯，晚上也能凑合照个路，设计真的太好了，风力如果能再大一点就更好了 ,-,-,2021-06-22
6,思**0,颜色分类: 松鼠【粉色】挂脖·照明灯·三档风力·持久续航·解放双手,好评,小风扇特别可爱，也很耐用，女儿带去学了用了3次还有电，推荐～❤️ ,-,-,2021-06-11
7,y**8,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,可以挂脖子上，非常方便携带，挂绳是皮筋的，可以撑开挂脖子上松手后离脖子还是很近的，就不会耽误风力，外观真的太好看了，好可爱，还有小灯，晚上也能凑合照个路，设计真的太好了 ,-,-,2021-06-22
8,c**n,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,电风扇颜值高，挂脖子方便不占手，三档风力满足各种场合需要，还有小夜灯，奈斯。特别招孩子喜欢 ,-,-,2021-06-21
9,l**3,颜色分类: 白又白【粉】+松鼠【白】【推荐两个装】送2张卡通贴纸,好评,好看感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢赶紧下手 ,-,-,2021-06-23
10,侯**9,颜色分类: 白又白【粉+粉】【推荐两个装】送2张可爱卡通贴纸,好评,宝贝质量很好，也很凉快 ,用了两天了，很不错,-,2021-06-20
11,宝**8,颜色分类: 白又白【粉+粉】【推荐两个装】送2张可爱卡通贴纸,好评,小风扇太爱了，既实用又可以凹造型，风力强，没什么噪音，夏日必备佳品,-,-,2021-06-24
12,蚂**米,颜色分类: 白又白【粉+绿】【推荐两个装咨询客服立省10元】送2张卡通贴纸,好评,用了好几天了，没有邻角，不会伤到孩子，小家伙很喜欢，风速合适。天天背学校去了。 ,-,-,2021-06-21
13,落**诺,颜色分类: 白又白【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,风力效果：适宜 便携性：小巧方便 外观材质：大气上档次 可可爱爱适合小朋友和软妹子 ,-,-,2021-06-21
14,只**q,颜色分类: 福牛【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,便携性：非常方便携带，小孩拿到就挂脖子了，风力不错，三档调节，还有小灯。还有贴纸。小孩非常喜欢。 ,-,-,2021-06-21
15,找**去,颜色分类: 白又白【粉色】挂脖·照明灯·三档风力·持久续航·解放双手,好评,风力效果：三档可调，比较静音，最大档风力可以但会有些声音，老婆很满意 便携性：很小巧，老婆很满意 外观材质：藕粉，不是嫩粉，兔兔很可爱老婆很满意 ,-,-,2021-06-06
16,漫**2,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,挺可爱的，送给小孩的礼物，小朋友自己挑选的，每天都挂在脖子上，3档风力，风力也还可以了， ,-,-,2021-06-26
17,忽**兔,颜色分类: 白又白【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,风力效果：还不错。 便携性：挺好。 外观材质：质量不错，主要是很可爱。 忘记送贴纸，跟客服说了补发。收到追评 ,-,-,2021-06-24
18,t**0,颜色分类: 松鼠【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,宝贝已收到🎈，超级喜欢，颜值高又实用，超级喜欢！❥❥❥小孩用非常合适。,-,-,2021-06-23
19,王**0,颜色分类: 松鼠【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,小风扇非常实用，孩子上学戴脖子上也不会弄丢，还有小灯，孩子很喜欢 ,-,-,2021-06-26
20,j**n,颜色分类: 白又白【粉】+松鼠【粉】【推荐两个装】送2张卡通贴纸,好评,风力效果：可以 便携性：完美 外观材质：可爱 很实用的小风扇，用了感觉自己都变年轻了，哈哈哈哈，充电口是type c口，用手机线就可以了，还蛮方便的 ,-,-,2021-06-19
21,t**7,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,挺可爱，一档风好小，二挡三挡风稍微大一点，但是声音也比较大，在吵闹的环境用还用，图书馆的话可能会影响别人。给小朋友用也可以，缝很小不用担心手指。 ,-,-,2021-06-19
22,t**2,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,这样的小风扇还是很方便的，解放了双手，还可以随身携带，买在上班的时候用的，用的一档，一共是有三个档的，就觉得风力就已经足够了，还很静音的，续航能力不错的。,风力很大，携带很方便，直接挂在脖子上就可以了，非常喜欢！,-,2021-06-23
23,g**霞,颜色分类: 白又白【粉色】挂脖·照明灯·三档风力·持久续航·解放双手,好评,风力效果：有好几档可以调 便携性：小巧，很方便携带，还很安全，不会加头发 外观材质：感觉特别有质感，送给孩子的六一礼物，孩子特别喜欢， ,-,-,2021-06-17
24,丶**灬,颜色分类: 松鼠【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,超级可爱，风力还不错，挺凉快的，送的贴纸也超可爱的,-,-,2021-06-23
25,阿**敌,颜色分类: 白又白【白+绿】【两只装立减11元】三档风力·照明灯·持久续航,好评,风力可以调节，当然颜值也很高，姐弟一人买了一个，省的两个人争抢，两个人天天挂脖子上，到处显摆。还有灯呢，不错不错。小伙伴都羡慕呢。 ,-,-,2021-06-16
26,t**4,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,懒人挂脖小风扇设计，精致做工精细款式，时尚非常耐用，是正品物美价廉。,-,-,2021-06-23
27,甜**茶,颜色分类: 松鼠【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,满意孩子非常喜欢！关键不缠头发！孩子方便 ,-,-,2021-06-22
28,何**洪,颜色分类: 白又白【绿+绿】【推荐两个装】送2张卡通贴纸,好评,非常方便携带，买了两个，我一个女儿一个，因为女儿才几岁，在房间里呆不住，天天要出去玩，就买了这个，挂在脖子上面，可以解放双手，充一次电可以用好久，颜值很高，特别的喜欢 ,-,-,2021-06-21
29,米**拉,颜色分类: 白又白【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,随便买的一个小风扇，结果非常好用，颜色很好看，挂脖子上也不重，噪音也很小，就是一档风有点小，二档和三档还不错，电力目前用了一个下午还有电，比想象中的耐用，很满意！ ,-,-,2021-06-20
30,覃**6,颜色分类: 白又白【绿+绿】【推荐两个装】送2张卡通贴纸,好评,这个小风扇颜值很高，很可爱。虽然小小的但风力超大，没有噪音，挂脖子上就行，方便省事，我们一家人都非常喜欢 ,-,-,2021-06-23
31,t**1,颜色分类: 白又白【绿】+松鼠【粉】【推荐两个装】送2张卡通贴纸,好评,小风扇真的好可爱，挂在脖子上也不重，声音不大，有三档可以调节，买了两个，和孩子一人一个。 ,-,-,2021-06-23
32,t**d,颜色分类: 松鼠【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,颜值高，萌萌的，孩子出去玩的时候用，挺好的,-,-,2021-06-23
33,心**悠,颜色分类: 白又白【粉色】挂脖·照明灯·三档风力·持久续航·解放双手,好评,风力效果：很好，舒服。 便携性：携带方便。 外观材质：造形可爱，孩子带到学校，有几个家长都要链接。 ,-,-,2021-06-17
34,d**6,颜色分类: 白又白【绿+绿】【推荐两个装】送2张卡通贴纸,好评,很可爱很萌的小风扇，儿子很喜欢！发货很快，质感很好！ ,-,-,2021-06-23
35,r**0,颜色分类: 白又白【粉+绿】【推荐两个装】送2张卡通贴纸,好评,很可爱的小风扇，宝贝很喜欢 ,-,-,2021-06-21
36,春**8,颜色分类: 松鼠【粉+粉】【推荐两个装】送2张卡通贴纸,好评,小风扇外观呆萌可爱，小巧精致方便携带，风力很大，非常实用,-,-,2021-06-26
37,叶**3,颜色分类: 松鼠【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,可真是夏天的一个宝，风力强，充电式真不错，而且挂在脖里行走很方便，不会有负重感哦。款式新颖 很好看,-,-,2021-06-21
38,t**2,颜色分类: 白又白【白色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,非常可爱，小朋友们很喜欢哦。,-,-,2021-06-23
39,刘**明,颜色分类: 白又白【绿色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,风速很大，颜值很高，太萌了，质量做工精美，价格也实惠 ,-,-,2021-06-26
40,淑**6,颜色分类: 松鼠【粉+粉】【推荐两个装】送2张卡通贴纸,好评,小风扇好可爱，小巧轻便，携带方便，风力也够大，出门挂脖子上就可以,-,-,2021-06-26
41,小**3,颜色分类: 松鼠【粉色】送可爱卡通贴纸·挂脖·照明灯·三档风力,好评,真的超级超级可爱 买给宝贝的 收到后爱不释手 有三档风力 静音便携带 非常好 准备再回购 支持 ,-,-,2021-06-16
42,嘟**嘴,颜色分类: 白又白【粉】+松鼠【白】【推荐两个装】送2张卡通贴纸,好评,风力很大，携带方便，出去可以直接挂脖子上解放双手，最主要还是好看，颜值担当，姐姐妹妹超爱的！ ,-,-,2021-06-18
43,伊**蝶,颜色分类: 白又白【粉色】挂脖·照明灯·三档风力·持久续航·解放双手,好评,小风扇太实用啦，尤其是夏季外出，一打开就有风吹来，再也不怕热啦，还可以当小夜灯使用，萌萌的也特别可爱，非常少女心,-,-,2021-06-06
