数据下载时间：2021-06-28 13:46:25 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/631403418020/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,买**i,颜色分类: 苹果扁口转双扁口【游戏/充电/线控/通话】,好评,真是个好宝贝，苹果手机 和ipd都能用 玩和平精英的时候就可以边充电边玩了。再也不用担心没电了就不能带耳机听脚步了。 也适合没电了想边充电边带耳机听音乐。完美适配。超级棒👍 ,-,-,2021-06-22
2,张**7,颜色分类: 苹果扁口转3.5mm圆孔【听歌/看视频】,好评,此用户没有填写评价。,这才用了三个月左右，就不行了，我还是每次都拿在手里很爱惜呢，现在跟接触不良一样，碰着它老是没有声音，我也不是天天用，偶尔下班路上听歌，明明说三年包换，店家说30天，三年只修不换，你换我也要考虑一下啊，还要自己出运费也不合适啊，运费钱都能自己买个新的了，最主要的是这质量，别说了，真心不敢恭维。这也是我自己的作用感受，还是自己斟酌吧,-,2021-04-06
3,j**5,颜色分类: 苹果扁口转3.5mm圆孔【听歌/通话/看视频/线控】蓝牙版,好评,外观材质：非常的简洁 接触灵敏度：灵敏度很好 拿到就试了通话，音乐，声控，完美，手机买了一年一直用蓝牙，蓝牙用久了，经常没用多久就没电了，以前苹果原装耳机还有好几个，有了这个转头都可以搬出来用了😄 ,-,-,2021-06-24
4,l**8,颜色分类: 苹果扁口转双扁口【游戏/充电/线控/通话】,好评,接触灵敏度：可以 充电速度：可以 外观材质：可以 一直就想买这个苹果耳机转接车，可以在玩游戏的时候一边充电一边连麦！挺好 ,-,-,2021-06-26
5,t**l,颜色分类: 苹果扁口转3.5mm圆孔【听歌/通话/看视频/线控】蓝牙版,好评,这家的转换线质量不行！ 音質超差！而且声音变了单声道！打算用来听歌的话不要买。 没有线控功能！声称有线控功能但其实没有，试了几款耳机也不行。 这款需要同时插住手机跟开蓝牙才能使用，超蠢超耗電！ 售后服务差！真人跟智能客服不停转，不断重复相同的问题，真人客服态度敷衍。,-,-,2021-06-25
6,勿**8,颜色分类: 苹果扁口转3.5mm圆孔【直播/U盾/K宝/通话/听歌】,好评,充电速度：挺不错的一款苹果转换线，经济实惠又好用，看了好多家选择的他家 ,-,-,2021-06-22
7,n**者,颜色分类: 苹果扁口充电+3.5mm圆口【听歌/看视频/充电】,好评,宝贝已经收到，试了试质量真是太好了，看着小巧精致美观大方，用了用充电快声音清晰，值得购买 ,-,-,2021-06-26
8,t**4,颜色分类: 苹果扁口转3.5mm圆孔【听歌/看视频】,好评,可以啊，性价比超高的转接器，买苹果手机都没送，这么便宜就能买到，快点下单吧，买不了吃亏，买不了上当,-,-,2021-06-16
9,t**9,颜色分类: 苹果扁口转双扁口【游戏/充电/线控/通话】,好评,还挺不错的各种音质什么的都可以，推荐买，价格实惠，打游戏也很方便，充电耳机俩不误,-,-,2021-06-21
10,h**2,颜色分类: 苹果扁口转3.5mm圆孔【听歌/通话/看视频/线控】蓝牙版,好评,转换头很简洁，白色很漂亮，做工很精致，音质非常好，使用起来非常方便！ ,-,-,2021-06-22
11,t**9,颜色分类: 苹果扁口转3.5mm圆孔【听歌/看视频】,好评,转换头非常好，小巧玲珑的，使用过程中没有出现延迟的情况，也没有影响音质与音量，值得购买！ ,-,-,2021-06-21
