数据下载时间：2021-06-27 19:03:55 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/622884272407/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,c**e,套餐类型: 官方标配 颜色分类: 玫瑰金★标准版【不含内存卡】,好评,颜色漂亮，音量很大、主要用来听广播，自动搜索很多台，都可以自动保存，质量蛮好的，推荐购买,昨天用了一个晚上，老妈非常喜欢，用起来很方便,-,2021-06-21
2,唯**0,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,收台多，声音响亮而有节奏，时尚的造型，样子好看，携带方便，,-,-,2021-06-23
3,c**5,套餐类型: 官方标配 颜色分类: 玫瑰金★标准版【不含内存卡】,好评,这个小家伙买的非常好，我很满意。经常看电视，眼睛痛，于是买个收音机，也很精彩，各种节目都能收到，也很清晰。很喜欢 ,-,-,2021-06-22
4,z**1,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,收音机发货速度挺快的，给家里老人买的，有好多歌曲，老人很喜欢，外观小巧，携带方便 ,-,-,2021-06-22
5,ω**分,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,整体评价：很好 特色功能：手感摸着也好，非常好看，质量挺不错的 音质音效：音质很清晰比之前买的音质好太多了 客服也挺好的，很好说话，购物体验很不错 ,-,-,2021-06-14
6,陈**5,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,声音不错，也很小巧 ,很小巧，声音不错，收音机也没问题，连续听个五六小时应该没问题，使用起来也很方便，，内存卡东西也比较多。,-,2021-06-24
7,w**n,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,推荐购买，非常好的一款机器，收音很清楚，能收好多台，播放优盘和储存卡也非常流畅清晰。商家服务态度非常好，收到货后因为包装箱有点破损发现内存卡丢失，和商家沟通后商家马上安排给重新发了一个，点赞。,收音效果非常好，信号穿墙接收效果厉害，优盘和内存卡和收音转换方便，真心不错的好产品。,-,2021-06-24
8,反**1,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,整体外观非常好看，功能齐全，音质非常好，做工质量非常到位、放口袋也好放，非常值得大家购买， ,-,-,2021-06-14
9,t**6,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,机器虽小，音质较好，外形也美观，而且功能可收音、U盘、储存卡放歌曲，一次满意的购物。 ,-,-,2021-06-16
10,x**2,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,机器做工挺好，音质也可以，最好的是里面含有各种戏曲，老人很喜欢 ,-,-,2021-06-14
11,t**8,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,整体评价：发货神速，同一时段下单商品，这家到半路了，另一家还在捡货中，五星好评 特色功能：音量开关设计简约实用，验钞，手电，场能多 音质音效：声音大，电池仓可换备用电池 价格平，值得购买， ,-,-,2021-06-17
12,t**6,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,给老年人买的，大小合适，声音质量不错，没有滋滋啦啦的情况，收音功能不错，搜索电台迅速准确，还有照明灯和验钞灯，功能强大呀。老人一学就会。,-,-,2021-06-16
13,r**a,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,此用户没有填写评价。,非常好用 手感也非常棒 超出我的预期 收音效果也非常好 送的歌很多 老年人很喜欢听 真的值得大家购买 ,-,2021-06-21
14,陈**国,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,非常好下次还会来,-,-,2021-06-24
15,t**7,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,音质好 客服也耐心的给我讲解怎么使用。真的是送给老人的最好礼物 。好开心谢谢卖家 我奶奶特喜欢听戏。终于淘到宝了 开心😊,-,-,2021-06-20
16,v**5,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,机器小巧 功能多 给自己姥爷买的 操作也不繁琐 有手电筒和验钞灯功能不错 看了下说明书 年轻人也能用因为能当做小音箱用 适合学生党给电脑当音响 还能听校园广播！ 推荐,-,-,2021-06-16
17,z**2,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,收银机收到了，父亲听了一会儿，很是喜欢，有他喜欢的频道，还有戏曲，太棒了。😁😁😁,-,-,2021-06-22
18,t**1,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,陪伴老人的好礼物！ ,-,-,2021-05-31
19,牵**线,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,给老年人买的，大小合适，声音质量不错，没有滋滋啦啦的情况，收音功能不错，搜索电台迅速准确，还有照明灯和验钞灯，功能强大呀。老人一学就会。 ,-,-,2021-06-16
20,洋**3,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,这个收音机质量很好，电台也多，音质也不错，适合老年人使用，简单简单 ,-,-,2021-06-17
21,柠**糕,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,音质音效：音质很好 做工质量：不错 外形外观：很好 整体评价：收到了这款感觉很好哦……买来准备送老人 ,-,-,2021-06-19
22,风**4,套餐类型: 官方标配 颜色分类: 中国红★标准版【不含内存卡】,好评,买来送给老妈用的，收音机功能强大，有手电筒，验钞机，还可以听mP3，非常方便，老妈太喜欢了，收台又多，声音响亮，爱不释手，整天拿着听！ ,-,-,2021-06-22
23,桐**7,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,真是太好用啦 简单易学 非常适合老年人 音质也好 音量也大体积还小 老人出个门溜个弯带着很方便,-,-,2021-06-21
24,t**4,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,外形好看，大小合适，外出旅游携带方便。收音效果好，音箱效果明显，内存卡内容丰富，适合老年人的兴趣爱好，价格还特别厚道，我喜欢！,-,-,2021-06-16
25,q**6,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,整体评价：帮别人买的，用了几天来，说挺满意的， 音质音效：很不错 做工质量：总体上不错，下次会推荐 ,-,-,2021-06-21
26,姜**恙,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,老妈很喜欢，质量不错，音质很好,-,-,2021-06-14
27,t**1,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,商品质量好，做工精细，放音、收音效果清，小巧玲珑适合老年人健身段练时使用，特好我很喜欢。,-,-,2021-05-31
28,t**0,套餐类型: 官方标配 颜色分类: 品质黑★标准版【不含内存卡】,好评,此用户没有填写评价。,希望大家购买谨慎，给我爸爸买了一个，十几天就坏了，后来联系客服给我换了一个，第3天又坏了，再联系他，他叫我退款，不知道是不是商家设置了退款系统，怎么也进不去，下面有照片视频为证，希望大家不要上当。,-,2021-06-10
29,喝**掉,套餐类型: 官方标配 颜色分类: 玫瑰金★标准版【不含内存卡】,好评,声音大，挺好👌🏻。,-,-,2021-06-19
30,t**3,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【16G内存卡+送4138首（歌曲+戏曲）+点歌本】,好评,很不错的产品体验，从小就喜欢听广播，现在又找回了童年的感觉。爱不释手，赞一个！声音深厚而清晰，很满意！ 材质和手感都很不错哦，各部位的衔接缝隙紧而密实。 外观大气而不失时代感,-,-,2021-06-25
31,t**6,套餐类型: 官方标配 颜色分类: 玫瑰金★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,刚收到货，功能多，有电筒，挺方便的马上试听，音声大声，搜索电台很快，推荐朋友购买。,-,-,2021-06-16
32,衡**李,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,音质音效：清晰，没有杂音，给老爷子买的，父亲节我得了五星好评，也给东家赞一个，感谢心心客服用心服务👍👍👍 做工质量：棒 ,-,-,2021-06-22
33,w**4,套餐类型: 官方标配 颜色分类: 品质黑★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,东西收到了！质感挺好的！挺高档的！音质也不错，先试用一段时间吧应该不错！客服也挺客气的！,-,-,2021-06-23
34,d**3,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,整体评价：不错，爸妈很喜欢 特色功能：歌曲戏曲挺多 音质音效：还行，算是这个价位里比较良心的了 ,-,-,2021-06-22
35,古**影,套餐类型: 官方标配 颜色分类: 中国红★标准版【不含内存卡】,好评,非常漂亮，客服回复也很及时。,-,-,2021-06-17
36,t**1,套餐类型: 官方标配 颜色分类: 玫瑰金★标准版【不含内存卡】,好评,外型新頴，小巧精細，再次購買，推介。,-,-,2021-05-31
37,y**6,套餐类型: 官方标配 颜色分类: 中国红★旗舰版【8G内存卡+送3800首（歌曲+戏曲）+点歌本】,好评,整体评价：东西不错 但是可以做工也不错，放的声音大 电池也耐用 小巧 送人很喜欢 不错哦 推荐 ￼物有所值￼ ,-,-,2021-06-16
