数据下载时间：2021-06-29 09:27:20 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635956823681/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,凤**狼,套餐类型: 官方标配 颜色分类: 枪黑色,好评,"低调炫酷的黑色，我很喜欢。声音效果：音质还不错，这个价格算是合理了，这个耳机戴起来是真舒服，耳朵也不会觉得捂着，透气感是有的，颜值看起来就赏心悦目，不会让人觉得花，也不显得笨重，看上去好有档次的感觉，而且价格非常经济实惠，音效效果用着不错,放了首重低音歌，测试下音质，声音干净，没有多余的杂音。  ",-,-,2021-06-23
2,q**6,套餐类型: 官方标配 颜色分类: 枪黑色,好评,这是我买的最好用的蓝牙耳机，通话声音很清楚，听音乐音质很好，以后可以边开车边听音乐，还可以接电话了，外观材质不错佩戴很舒适声音效果很清晰电力续航持久很满意这次购物，颜色很正，而且音质不错，佩戴方便不容易的掉下来。   ,-,-,2021-06-22
3,玫**睿,套餐类型: 官方标配 颜色分类: 枪黑色,好评,宝贝很好轻便佩戴舒适，音质也很好，很喜欢，推荐购买哦，只要是平时开车用，平常散步时听听书什么的都很便利，主要是电非常给力，能满足我的需要了，而且我也觉得非常合适。这个价格倒是相当的合理，太棒 ,-,-,2021-06-24
4,开**子,套餐类型: 官方标配 颜色分类: 枪黑色,好评,非常不错的一款耳机。我前前后后买了几款蓝牙耳机，这款是目前我最满意的。它的弧度设计最合理，能够真正吻合地挂在耳朵上，长时间配戴也不觉得难受。我使用强度不是很大，一块电池用了几天电量还剩60%（手机上可以显示），考虑到配备了两块电池，所以电量还是有保证的。 ,-,-,2021-06-23
5,t**5,套餐类型: 官方标配 颜色分类: 枪黑色,好评,使用效果很满意，时间久了耳朵也没有感觉的，一点也不痛，用来听歌非常棒、 物流服务好、耳机上面的材质特别舒服，戴久了也不会酸痛，也是我今年最满意的一款产品了，做工质量看上去都非常满意的音质听歌感觉是挺好的，戴上耳机不会有下滑的情况，还是很牢固的，跑步时戴着也没事，而且价格也是超实惠的，待机时间长。能用好久。,-,-,2021-06-02
6,教**8,套餐类型: 官方标配 颜色分类: 枪黑色,好评,纽曼正品，双电池设计非常棒，可以用一天电都用不完！耳机使用的时候，没有发现有杂音，降噪效果好，外面吵的情况下也能听清楚。舒适度较好，骑车用很方便，比有线的有用多了，而且打电话的声音非常清晰，这个价格能买到这么好的耳机，算物美价廉了。  ,喜欢，戴着很舒适不夹耳朵,-,2021-06-18
7,j**z,套餐类型: 官方标配 颜色分类: 枪黑色,好评,耳机佩戴舒服不会让耳朵感到不适！开车接电话的时候可以不用停车了，耳机的样子特别好看。总体感不错，质量强硬，真是一个用心的卖家，收到后看说明书一下子就会连接了。确实不错哈，而且声音还大，接电话特别清楚没有任何杂音，连接信号也特别强.耳机电池特别耐电给力，商家把电池容量做得够足，给商家点赞！是正品来的，值得购买。 值得购买。  ,爱了爱了。喜欢的不要犹豫。值得买,-,2021-06-15
8,t**0,套餐类型: 官方标配 颜色分类: 枪黑色,好评,物流很快就收到货，下班到家太晚了没有来得及评价，今天拆开看了，外观看着就不错，买的单耳的，质量不错，还送了一个收纳包，这个比较实用，省得塞到兜里了弄坏，不错，想的真周到，我想骑自行车戴个耳机，这款就特别适合，不用担心掉下来，以后骑自行车与它为伴喽。很好，值得购买！ ,-,-,2021-06-18
9,t**2,套餐类型: 官方标配 颜色分类: 枪黑色,好评,实在太满意了，忍不住上来夸奖下，评论只针对产品本身。这款产品做的非常好，首先作为无线蓝牙耳机，连接距离经多次测试。耳机本身还是很稳定的，蓝牙也没断过，耳机本身轻，佩戴非常牢固，不入耳的风格非常适合长时间使用，不会痛非常棒，音质也是很好，性价比还是很高的 ,打算给家人也入手一件！太超值了！爱了爱了爱了,-,2021-06-09
10,接**n,套餐类型: 官方标配 颜色分类: 枪黑色,好评,声音特别清晰，款式很正，和图片的描述一样，戴上去很轻巧。不错哦，大小合适，声音质感特别的好，声音比较浑厚，不会沉闷，在家里走来走去也不会断断续续的。每天晚上下班了，都会戴着耳机听歌来夜跑，听音乐没有噪音，隔音效果很强，通话效果比较不错，适合开车用，续航时间也长 ,-,-,2021-06-15
