数据下载时间：2021-06-26 20:44:12 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/625159608953/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,兔**8,适用手机型号: iPhonexsmax 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,"qaq丝滑﻿☀的手感输油层挺好的8,这次买了☁防窥膜,品质有⚡保证,物☔流公司服务态度很好,我每个月林林总总要买很⚡多东西,真的🌁很喜欢,起泡了才☔换,没什么油⛄腻感,撕下来都⛄折不断那种  ",-,-,2021-06-21
2,孙**8,适用手机型号: iPhone12 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,绿联的忠实粉丝，趁着618的活动，赶紧囤一些，然后这次买的比较好的，价格最贵的一款产品，希望有不一样的体验，等用过以后再给大家来反馈，先给个五星好评吧，推荐给大家！😚ヾ😚ヾ😚ヾ ,-,-,2021-06-22
3,败**衣,适用手机型号: iPhone 11 Pro Max 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,一直都是用绿联的牌子，品质有保证，每次摔都是把防护膜摔坏玻璃屏非常的好，能起到很好的保护作用，而且表面很光滑挺好的，用起来非常顺手。 ,-,-,2021-06-14
4,楼**七,适用手机型号: iPhonexs 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,贴合度：贴膜很快，技术问题，气泡会有一点点 ,-,-,2021-06-24
5,挥**火,适用手机型号: iPhone12 颜色分类: 绿光森林护眼膜【无边全屏】2片-送贴膜器,好评,贴合度：完美 尺寸大小：刚刚好，钢化膜大小正好，可以套手机壳不卡表，翘边 材质手感：正常手感 包装很赞，比之前买的包装用心一点，其他店铺买的就是一般的小纸盒。这个是绿联定制的包装盒，就是产品盒，看起来，会增加信任感。  ,-,-,2021-06-23
6,外**n,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,【亚瑟服务不错】 贴合度：非常好 尺寸大小：完美 材质手感：很滑很顺畅 不愧是大品牌，质量很靠谱，外面现在都贪心的要20贴一次膜，说不定都用的几毛钱的膜给我贴， 还是买品牌，才几块钱，实惠，质量又有保障 虽然第一次还是漏了点灰尘，要一点无尘真的很难，好在他家还有质保，很快帮我重新发了，吸取上次经验，贴了很好，使用手感很棒 ,-,-,2021-06-21
7,胡**4,适用手机型号: IPhone12 Mini 颜色分类: 高清款【全屏覆盖】1片-送贴膜器★,好评,此用户没有填写评价。,还可以 价格也还比较实惠 我是我们村第一个在网上上买东西的人。这里大部分人是不网购的。他们买东西价格一般不超过五块，听说我在网上买东西后，整个村都震惊了，村长跑到我家里对我爸说我是不是疯了? 说这日子没法过了，让我出去租房子住，面对重重压力，我坚持要买。我相信我这个月的工资不会白花，终于快递我怀揣着激动的心情，颤抖的打开包裹，那到了，感觉我的眼都要亮**，啊..这颜值、这一霎那，手感、这质量、只怪我读书少，无法用华丽的语言整个村都来形容它。我举着它，骄傲的站在村口，他们就跳井，吓得我赶紧收起宝贝，挤出人群落荒而逃。为测试我立刻去我们村高达100米山上村长家客厅里测试宝贝效果，用完后，在全村人羡慕的目光中，仰首挺 胸扬长而去。,-,2021-02-17
8,仅**购,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,货到了   这钢化膜与手机大小匹配度恰到好处，💝是超薄的膜，🏥 而且蓝光高透，💑 贴膜后接触手机触控依旧很顺畅，♌灵敏度没有改变，🍅 贴膜工具配的很齐全，☝一贴就到位， 不会碎边。而且蓝光特别护眼哦。没什么油腻感， 不会脏， 用起来反应也十分灵敏， 使用效果非常赞，超  喜欢的这就是绿联的膜，屏幕擦的很干  ,-,-,2021-06-08
9,友**音,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,手感超级好特别光滑不留指纹 看某书很多人推荐绿联牌子的钢化膜才买的，趁着活动便宜买的。好用又便宜啊，包装很好，擦屏布和除尘贴也质量很好，还送了一个贴膜神器 虽然一般我都不用 很细心  ,-,-,2021-06-21
10,l**1,适用手机型号: iPhone12 颜色分类: 无色蓝光护眼膜【无边全屏】1片-送贴膜器,好评,按键处一点都不贴合，鼓鼓的，慎入手！ ,-,-,2021-06-22
11,l**0,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,膜很好 容易贴 手感超顺滑 值得买,-,-,2021-06-23
12,f**7,适用手机型号: iPhone12 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,整个膜看起来也很高透清晰，丝毫不影响，质量很强硬，全玻璃不碎边，完美的还原了裸机的手感和质感，而且玩游戏很灵敏，玩久了也不会留指纹，防指纹挺不错，性价比较高，用起来反应也十分灵敏，手指在屏幕上面点触起来很顺滑的赶脚，经常玩游戏屏幕都不会脏。这款钢化璃膜保护性也很强，已经推荐同事来买了，值得推荐的一款好产品膜真的很好用。,-,-,2021-06-21
13,婷**2,适用手机型号: iPhone12 颜色分类: 28°防窥膜【无边全屏】1片-送贴膜器,好评,特别好，上一个买了用了半年，起泡了才换，撕下来都折不断那种，这次买了防窥膜，一样很好 ,很好，耐用，贴合性好,-,2021-06-14
14,生**形,适用手机型号: iPhone 11 Pro 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,好使 还是有黑边的方便 不容易进灰 这个膜确实比五六块钱的膜好用很多 清楚 并且手指在屏幕上滑动的时候几乎感受不到阻力 六月买到的最喜欢的东西 太提升生活幸福感了 ,-,-,2021-06-23
15,月**7,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,钢化膜无毛边，手感顺滑，￼听筒部分有防尘网，这个细节点赞。附带贴膜神器和贴膜说明书，简单易上手。两张套装更划算。 ,-,-,2021-06-24
16,m**a,适用手机型号: iPhonexsmax 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,挺好的，绿联确实是我买过质量品质很不错的品牌了。之前买过各种数码小物件，这次入手了这个贴膜，果然没有让我失望，包装很给力，质量也很好，贴了之后一个泡都没有，说明质量很不错eljingjingeguiligon ,-,-,2021-06-20
17,玄**明,适用手机型号: iPhone12 颜色分类: 磨砂电竞膜【无边全屏】2片-送贴膜器,好评,这次购物很差劲，不想多说啥 ,卖家给补发了，没事了,-,2021-06-21
18,t**6,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,包装有很nice两片膜分装高级感很强 贴膜辅助**使用很好贴贴合度好 惊喜的是前置喇叭防尘设计 两片装 领券买的 价格划算 比我的预期要好很多 推荐入手,-,-,2021-06-24
19,他**暖,适用手机型号: iPhone12 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,贴合度：新买的手机，第一次使用镜头贴，感觉神奇 尺寸大小：贴上尺寸正好，大小合适 材质手感：专门试了下，拍照没有影响，犹豫的小姐妹可以入起来，这样就不用担心镜头会有磨损了 ,-,-,2021-06-19
20,t**6,适用手机型号: iPhonexr 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,好高级的包装 平时用他家的充电头啥的 第一次买他家的手机膜 摸起来好结实 自己一个女孩子都能贴上去 简单易操作 以后就这家了 ,-,-,2021-06-24
21,b**5,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,6.16下单的手机现在24号还没发货呢。正好赶上领券完两张膜10块钱两张高清膜 包装挺好看的，拆开快递拆开包装看到钢化膜听筒的位置有个防尘网。真是用心了  以前闪魔的用了很久。是因为闪魔的不碎边，贴一张真的能用几个月。本来还想买闪魔的看到里边评价的有点像是刷的 这次想换换绿联的试试怎么样。希望能用久一点 ，手机还没发货，到时候贴上用两天再追评  贴合度：手机还没到货，没贴上 材质手感：耳机孔的防尘网真是用心了 ,-,-,2021-06-24
22,y**5,适用手机型号: iPhonex 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,绿联的钢化膜真的是不用多说什么，质量太好了，贴合度好，尺寸是严丝合缝，上一次买的一片就用了几个月还完好无损，这个质量对得起这个价格。618的日常囤货中，嘿嘿。 ,-,-,2021-06-22
23,t**5,适用手机型号: iPhone12 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,贴合度：质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。 ,-,-,2021-06-21
24,金**好,适用手机型号: iPhone12 Pro max 颜色分类: 无色蓝光护眼膜【无边全屏】2片-送贴膜器,好评,贴合度：还可以，基本戴上壳也不会顶 尺寸大小：可以，自己贴的，虽然手有点残， 材质手感：手感挺顺滑，有疏油层 ,-,-,2021-06-20
25,张**太,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,平平无奇的贴膜小天才就是我了！刚贴上去时候边缘有缝隙 揭起来重新盖了一下就好了 很方便超级好上手 质量很好 很光滑 揭起来也没碎 手感很好 ,-,-,2021-06-21
26,骷**魅,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】3片-送贴膜器,好评,此用户没有填写评价。,6月6号，用到6月24号，寿终正寝，算绿联里，钢化膜疏油层最好的了，图片可见疏油层没了并且磨损严重，😔用苹果真麻烦,-,2021-06-21
27,t**3,适用手机型号: iPhonexr 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,贴合度：很好！ 尺寸大小：大小很完美！ 材质手感：触感细腻！ 贵点的膜确实用起来很好，真的是一分钱一分货，这款用起来确实很好，推荐购买！ ,-,-,2021-06-19
28,p**n,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,贴合度：贴给度挺高，限位还是有一点矿量，导致边边贴合有点小瑕疵，总体对新手挺友好！ 尺寸大小：刚刚好吧，覆盖全面 材质手感：摸起来挺滑，适合打游戏 ,-,-,2021-06-22
29,h**4,适用手机型号: iPhone12 Pro max 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,12promax根本就覆盖不了，手机膜比屏幕小一点，不是左边有一条缝隙就是右边有一条缝隙，再不相信绿联了，真是醉了，买个绿联的汽车手机支架说是啥重力感应的，结果回来粘不了多久就点，太阳晒的话更是手机放都放不住，直接掉！ 想着手机膜没啥科技含量吧，结果又翻车，真恶心！ ,-,-,2021-06-22
30,蔡**斌,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,材质手感：可口可乐公司宣布推出全新 尺寸大小：合适不过合适不过适合 贴合度：完美结合起来完美演绎现代风格 ,-,-,2021-06-21
31,芳**可,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,还没用，包装看着不错，挺便宜的，留着备用，比去店里贴膜实惠的多,-,-,2021-06-24
32,v**n,适用手机型号: iPhone12 颜色分类: 无色抗蓝光膜【无边全屏+不伤眼】2片-送贴膜器-,好评,此用户没有填写评价。,有点不爽的是，阳光下会变轻微朦胧蓝色！？室内就是完全透明的。尺寸还是可以的，周围空出一圈03到05MM的样子。。搭配亲肤壳，匹配。不卡膜。包装到位。,-,2021-06-08
33,钺**h,适用手机型号: iPhone8plus 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,挺好的，绿联也是大品牌，品质有保证。这句话我是快捷输入的，其目的在于表达对这个商品和商家服务的初步认可和接受，因为才买没多久，你不可能说我就能准确的给出一个负责任的评价。同时，出于效率和时间成本的考虑，在接下来的商品使用过程中，如果没出现问题的话，我可能就不会追加评价，如果有问题，我会尽快告诉大家。 ,-,-,2021-06-23
34,j**6,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,第二次购买绿联的膜，真的非常不错，高清不留指纹，细节做工很好，听筒部位自带过滤网，非常用心的设计！ ,-,-,2021-06-21
35,d**r,适用手机型号: iphone8 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,买了还没用 当作备品来的，先不说价格（太划算了）单单这个包装就太高大上了！完全不像一个简单的手机膜，细节决定成败，为包装点赞 ,-,-,2021-06-19
36,l**2,适用手机型号: iPhone12 Mini 颜色分类: 高清膜【无边全屏】3片-送贴膜器,好评,好评！绿联产品都挺好的！以前买过一些绿联的产品，手机配件品质也做的很好！就是钢化膜型号太少了，只要一些较新的高端手机膜。 ,-,-,2021-06-21
37,m**林,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,钢化膜小了，而且没贴之前上面全是手指印，贴完后有一个角翘起来了。  快递在没联系本人的情况下将快递放到菜鸟驿站，开始菜鸟驿站诱导我同意将快递放菜鸟驿站，没经过本人同意放菜鸟驿站，菜鸟驿站催着我去取快递（快鸟驿站距离小区1公里）理由是自己没有派送员,-,-,2021-06-20
38,t**5,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,贴合度：挺好  尺寸大小：刚好合适  材质手感：不错 整体来说，还是很好的，非常值得再次回购，客服曹*服务挺好，值得表扬 ,-,-,2021-06-21
39,蓝**飞,适用手机型号: iPhonexsmax 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,贴合度：完美贴合 尺寸大小：尺寸刚刚好 活动忘记多拍几张，经常摔手机，重新拍了两张，价格回归原价了。 ,-,-,2021-06-21
40,t**9,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,买了一堆膜跟配件，绿联的包装可以说是很好看了 还没贴不过应该很不错，大牌值得信 ,-,-,2021-06-21
41,泡**0,适用手机型号: iPhone 11 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,贴合度：很贴合，但是手机膜的防护那一面做的应该是硬塑料垫片，特别难撕开，很怕手机膜被我用力扯裂了，还是柔软的塑料纸片垫片比较好 ,-,-,2021-06-23
42,流**琳,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,钢化膜的包装很好，看起来还不错，送了贴膜神器和一些辅助工具，很棒 ,-,-,2021-06-23
43,z**8,适用手机型号: iPhone12 Mini 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,蛮不错的 开口准，有疏油层，手感不错,-,-,2021-06-22
44,w**0,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】1片-送贴膜器,好评,包装非常好，大厂确实跟别的小厂还是有区别。用起来也比较顺滑。 ,-,-,2021-06-23
45,l**0,适用手机型号: iphone7 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,便宜划算，发货快，膜还挺结实的。就是我用那个贴膜神器贴歪了。整体挺好,-,-,2021-06-23
46,h**j,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,"先说商品质量:产品总体不错,包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。",-,-,2021-06-22
47,d**a,适用手机型号: iPhone12 Pro max 颜色分类: 高清膜【9D曲面全屏】2片-送贴膜器,好评,手机膜是消耗品，在外面贴一张不错的膜基本都是百元左右，所以买膜回来自己贴比较划算。之前也买过一些品牌，都不太满意。这次买的绿联真心不错，价格便宜，质量好，服务也周到。有一张膜有瑕疵，直接补发了一盒全新的过来。用了一周左右，高清，不容易留指纹，也不易破损，还是挺满意的！ ,-,-,2021-06-17
48,w**0,适用手机型号: iphone7plus 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,大厂的包装就是到位，膜的手感也确实优于一些小厂的牌子。 ,-,-,2021-06-23
49,基**多,适用手机型号: iPhone12 颜色分类: 高清膜【无边全屏】2片-送贴膜器,好评,包装内的东西挺全的，贴膜教程，贴膜辅助工具包还有一个手机套 钢化膜全屏覆盖有预留位置给带壳的朋友。边角弧度设计流畅，不会割手。 本人完美主义者，自己贴的膜，几次没贴正然后拨起来再贴，最后也是完美贴合。没留指纹还挺耐脏。 物流快，客服耐心态度好。 支持支持！！！,-,-,2021-06-17
50,k**c,适用手机型号: iPhone SE(第二代) 颜色分类: 高清膜【无边非全屏】2片-送贴膜器,好评,虽然 iPhone7和8与se2一样，但是钢化膜不通用，se2的屏幕弧度比78都要大，用78的膜会有白边，用这款专用膜就不会，比闪膜手感要好，非常滑顺，还有贴膜神器不会贴歪 ,-,-,2021-06-16
