数据下载时间：2021-06-28 13:03:28 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641076429358/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,天**猫,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,非常小巧迷你，很薄不占空间，一个头瞬间边三个，很好用 ,-,-,2021-06-10
2,t**0,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,整体评价：东西还可以，价格摆在这里，质量轻薄，实用性很强。对于商家的服务态度呢，还是非常不认可的。虽然东西很小，价格很便宜，但是服务质量体现了一家店铺的总体啊，无论回复我的是商家还是招的客服，都希望可以反思。 ,-,-,2021-06-14
3,詹**y,颜色分类: 超薄转换器【一转三】白色款  2台装,好评,很方便，很实用的一个小东西，能够有效提高插排的可用性，剩下一个插排的钱 ,-,-,2021-06-22
4,c**5,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,好用，插拔方便，紧凑，方向灵活，有点挡面板开关。全五星好评。 ,-,-,2021-06-24
5,夏**果,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,挺便宜的，所以质感看着也不是很好，插孔特别紧，一开始插头插不进去，得特别用力才能***，还好能用，对于这个价格来说可以了。,-,-,2021-06-26
6,凉**孩,颜色分类: 超薄转换器【一转三】白色款  3台装,好评,刚好做活动，价格便宜了很多，性价比超高，真的特别划算 ,-,-,2021-06-26
7,l**薇,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,不错，很好用，再也不用担心柜子压着线了 ,-,-,2021-06-21
8,芊**家,颜色分类: 超薄转换器【一转三】蓝色\白色款 6台装,好评,可以，基本用于小功率用电，小心无大错,-,-,2021-06-24
9,t**7,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,抖音跟风，用处不大，这个是转弯了。充电器还是那么大，一样占空间,-,-,2021-06-25
10,a**泽,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,便宜好用，很贴心的设计，厉害了打工人！ ,-,-,2021-06-21
11,笑**儿,颜色分类: 超薄转换器【一转三】蓝色款  1台装,好评,东西太小，件丢了，找不到了😓😓😓。没看到实物，不知好用不，就给一半3星吧。 ,-,-,2021-06-25
12,k**7,颜色分类: 超薄转换器【一转三】白色款  2台装,好评,总体来说还是不错的，小巧方便 还是物超所值的 ,-,-,2021-06-25
13,飞**虎,颜色分类: 超薄转换器【一转三】白色\l蓝色款  2台装,好评,插座很好用，再也不会因多个插头，无处插或太重而引起的脱落而烦恼了。一下买了两个，准备在床头柜后再换一个此插座。,-,-,2021-06-16
14,l**6,颜色分类: 超薄转换器【一转三】白色\l蓝色款  2台装,好评,很好用，可惜只能插两脚插头，有三个插口。 ,-,-,2021-06-24
15,t**3,颜色分类: 超薄转换器【一转三】蓝色款  1台装,好评,小巧精致，使用方便。,-,-,2021-06-24
16,x**i,颜色分类: 超薄转换器【一转三】白色款  2台装,好评,看着质量很好，也很实用。,-,-,2021-06-21
17,t**0,颜色分类: 超薄转换器【一转三】蓝色款  3台装,好评,小巧玲珑，适合狭小空间，适用于小功率电器吧，尽量不要大功率电器！ ,-,-,2021-06-14
18,西**8,颜色分类: 【一转三】白色款  2台装+【壁挂手机支架】1台装,好评,做工材质：太单薄 ,-,-,2021-06-26
19,t**6,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,宝贝小巧可爱，设计精致，三个插空，包装好快递快,-,-,2021-06-24
20,q**s,颜色分类: 超薄转换器【一转三】白色款  3台装,好评,很实用，转换一下就可以多插两个电器了！,-,-,2021-06-22
21,r**2,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,轻巧方便 ,-,-,2021-06-22
22,a**6,颜色分类: 超薄转换器【一转三】白色款  3台装,好评,有些单薄，希望安全,-,-,2021-06-26
23,相**8,颜色分类: 【一转三】蓝色款  2台装+【壁挂手机支架】1台装,好评,就是小了一点，还可以  ,-,-,2021-06-20
24,h**g,颜色分类: 超薄转换器【一转三】白色款  1台装,好评,不错，挺好用的，又实惠,-,-,2021-06-21
